precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
1.400 €/mes;Piso en Imperial - Arganzuela;/alquilar/piso-imperial28005-38405570393_101000/;Imperial (Distrito Arganzuela. Madrid Capital);2 habs.;2 baños;104 m²;"""esta oficina cumple con la normativa vigente en materia de arrendamientos. En cumplimiento con la ley 12/2023 de la ley del derecho a la vivienda. No cobramos honorarios al inquilino""

¡¡No se admiten mascotas!!

¡Descubre tu nuevo hogar en la zona imperial!

¿Buscas un piso espacioso y versátil para alquilar en una de las zonas más prometedoras de madrid? Este hermoso piso de 2 dormitorios y 2 baños, sin amueblar pero con una cocina totalmente amueblada, es la opción ideal para ti.

Características destacadas:

 2 dormitorios amplios: espacio suficiente para tu familia o un espacio de trabajo en casa.
 2 baños completos: sin esperas por la ducha, comodidad en tu día a día.
 Zona imperial: disfruta de una ubicación estratégica con acceso a servicios, transporte y entretenimiento.

Este piso es la elección perfecta para quienes buscan personalizar su espacio y hacerlo suyo. 

No dejes escapar esta oportunidad única. Contáctanos ahora para programar una visita y descubre tu próximo hogar en la zona imperial. ¡Te esperamos!

Condiciones económicas; 2 meses de fianza + el mes en curso.";40,4052826;-3,7194934;
3.600 €/mes;Piso en calle de Claudio Coello, 75;/alquilar/piso-salamanca_castellana28001-38410343911_998173/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;160 m²;Grupo interpres alquila en exclusiva este espectacular piso exterior y reformado en plena milla de oro. Cuenta con una superficie ...;40.429357362496475;-3.6861110042446796;6ª planta
945 €/mes;Piso en Carabanchel;/alquilar/piso-carabanchel_vista_alegre28025-35921526236_100500/;Vista Alegre (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;57 m²;¡Descubre tu nuevo hogar en vista alegre, madrid! Presentamos un luminoso piso en alquiler, recién reformado y ubicado en una de l...;40.3882207;-3.7425943;3ª planta
1.100 €/mes;Apartamento en calle del Divino Vallés;/alquilar/apartamento-arganzuela_delicias-39205363923_527271/;Delicias (Distrito Arganzuela. Madrid Capital);1 hab.;1 baño;50 m²;Ponemos a tu disposición este amplio apartamento de 1 dormitorio ubicado en el madrileño barrio de las delicias (arganzuela) junto...;40.3963881;-3.6955971;1ª planta
4.250 €/mes;Casa en calle de Gloria Fuertes;/alquilar/casa-mirasierra_arroyo_del_fresno28049-34229386439_512757/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;4 baños;461 m²;"Alquiler de chalé adosado recien terminado de construir, de 4 plantas, en urbanización cerrada de 9 chalés, muy representativa.

S...";40.496206062;-3.724233484;
2.200 €/mes;Apartamento en La Florida-Valdemarín-Aravaca;/alquilar/apartamento-moncloa_aravaca_el_plantio-72574149946_101600/;El Plantío (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;2 baños;70 m²;Urbanización la florida, aravaca, próximos a la avda. De valdemarín. Apartamentos en una de las zonas más exclusivas del noroeste ...;40.4670701;-3.8018599;
1.800 €/mes;Piso en A Dos calles del Parque del Retiro;/alquilar/piso-ibiza28009-37508398815_109100/;Ibiza (Distrito Retiro. Madrid Capital);2 habs.;2 baños;116 m²;Donpiso retiro alquila piso totalmente exterior en la calle de narváez. El piso dispone de 105 metros cuadrados útiles, distribuid...;40.4166875;-3.6761561;6ª planta
1.850 €/mes;Piso en calle del Valle de Mena;/alquilar/piso-valdezarza28039-89252376945_515510/;Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital);3 habs.;2 baños;100 m²;"Vivienda no disponible, vivienda reservada
                                ...";40.4709246;-3.7195027;1ª planta
1.100 €/mes;Apartamento en calle de Balmes, 1;/alquilar/apartamento-trafalgar28010-25043213229_101600/;Trafalgar (Distrito Chamberí. Madrid Capital);1 hab.;1 baño;40 m²;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona metro iglesia, muy centrico y buenas comunicaciones, en ...;40.4354;-3.7003;4ª planta
4.500 €/mes;Ático en calle de Génova;/alquilar/atico-chamberi_almagro28004-30096805975_109300/;Almagro (Distrito Chamberí. Madrid Capital);4 habs.;3 baños;241 m²;De rojas servicios inmobiliarios, pone a su disposición en alquiler este fantástico ático situado en el corazón del barrio de cham...;40.42717074818356;-3.694480545865929;
5.850 €/mes;Piso en calle de José Ortega y Gasset;/alquilar/piso-salamanca_castellana28006-30012106241_101800/;Castellana (Distrito Salamanca. Madrid Capital);3 habs.;3 baños;255 m²;"C/ josé ortega y gasset, entre velázquez y serrano, en el mejor tramo. Edificio representativo, con garaje.

Piso de 255m² reforma...";40.4301693;-3.6845611;
6.950 €/mes;Ático en calle de Núñez de Balboa;/alquilar/atico-salamanca_castellana28006-35060309616_101800/;Castellana (Distrito Salamanca. Madrid Capital);5 habs.;5 baños;268 m²;"Ático con terraza de 45 m², 4 dormitorios + despacho + dormitorio de servicio, con 5 baños en total.

2 plazas de garaje incluidas...";40.432225;-3.6819916;
2.200 €/mes;Ático en calle de José Antonio de Armona;/alquilar/atico-palos_de_moguer28012-35837674743_100500/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);3 habs.;2 baños;112 m²;Se alquila precioso ático en la calle josé antonio de armona, a 450 metros de metro y cercanías de embajadores. Es una sexta plant...;40.4058514;-3.6977576;
4.800 €/mes;Chalet adosado en calle de Joselito;/alquilar/chalet_adosado-piovera28043-35896123789_996542/;Piovera (Distrito Hortaleza. Madrid Capital);5 habs.;5 baños;358 m²;Diplomatic real estate ofrece fantástico chalet adosado de cuatro plantas y 320 metros cuadrados construidos en una parcela de 80 ...;40.454505;-3.6455985;
4.100 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;300 m²;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444;7ª planta
1.900 €/mes;Ático en Ciudad Universitaria;/alquilar/atico-ciudad_universitaria28040-38422278016_100200/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;;89 m²;Inmobiliaria en tetuán, berruguete - tecnocasa risico servicios inmobiliarios sl alquila espectacular piso formado por dos dormito...;40.4559334;-3.7169698;
4.500 €/mes;Piso en Palacio;/alquilar/piso-centro_palacio28013-35035585586_100500/;Palacio (Distrito Centro. Madrid Capital);4 habs.;2 baños;150 m²;"Se acepta alquiler temporal con todos los gastos incluidos.
Fantástica vivienda en pleno centro de madrid, zona palacio. Tiene uno...";40.4177456;-3.7102933;4ª planta
