precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
2.150 €/mes;Piso en Paseo de la Castellana;/alquilar/piso-castillejos28046-38402451777_101800/;Castillejos (Distrito Tetuán. Madrid Capital);79 m²;"SOLO PARA EMPRESAS Y AUTÓNOMOS CON EMPRESA.
Piso de 79 m² con excelente ubicación en Castellana cuenta con un amplio dormitorio con armarios empotrados y baño en suite gran salón con vistas despejadas, cocina integrada y equipada con todos los electrodomésticos, también dispone de plaza de garaje en finca con portero físico, calefacción central con contadores individuales.
Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona.
Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4638223;-3,6902385;;;
3.100 €/mes;Piso en Paseo del General Martínez Campos;/alquilar/piso-chamberi_almagro28010-35862740835_101800/;Almagro (Distrito Chamberí. Madrid Capital);178 m²;"Oportunidad de vivir en una de las mejores calles del barrio de Chamberí en un ático con 67 m2 de terraza con orientación Norte.
La vivienda cuenta con un hall de entrada que da paso al baño de cortesía, que a su vez, esta en suite con la habitación principal. A continuación un salón de 46 m2 con la cocina integrada en el que se encuentra la salida a la fantástica terraza. Esta terraza consta de 2 ambientes diferenciados en los que colocar zona de estar y zona de barbacoa. Además cuenta con 2 habitaciones dando la segunda a la terraza y con baño también en suite. Los suelos son en parquet y la altura del techo en la vivienda esta en 2.70 m. Calefacción individual de gas natural y Aire acondicionado.
Finca exclusiva y clásica con servicio de portería y vigilancia 24 h. Ascensor y distintos accesos contando con parking en la finca para posible alquiler de plaza. 

Estupenda Ubicación, rodeado de todos los servicios, uno de los lugares de la capital más castizos, con gran actividad comercial y de entretenimiento, con buenas comunicaciones tanto de transporte privado como púbico.
Destaca su tranquilidad, magnífica arquitectura y la variedad de servicios, sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas, repleta de palacetes convertidos en centros de interés y entretenimiento.
Chamberí es un barrio residencial señorial con diversos puntos de interés cultural, como el Museo Sorolla, que ocupa una elegante casa del siglo XIX e incluye una galería de arte. Andén 0, que es una estación de metro cerrada en la que se alberga un museo del transporte. El escenario de los Teatros del Canal ofrece espectáculos de flamenco e importantes obras de teatro. En torno a la plaza de Olavide se ha creado una importante cultura de tomar tapas y alternar, y también hay que destacar el ambiente que posee la zona de Almagro. Además, destaca el Parque de Santander, favorito de deportistas por su pista de atletismo y canchas de fútbol.

Con VISITA SEGURA de Walter Haus podrás seguir alquilando y vendiendo tu piso con total seguridad. Nuestras viviendas y las visitas que realizamos están libres de Covid-19 gracias al protocolo que hemos desarrollado:
•Visitas Virtuales
•Desinfección con ozono
•Kit de seguridad
•Firma digital

Todo para que puedas seguir alquilando y vendiendo tu piso con total normalidad.

Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona.

Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4348411;-3,6959733;;;
1.100 €/mes;Apartamento en calle del Divino Vallés;/alquilar/apartamento-arganzuela_delicias-39205363923_527271/;Delicias (Distrito Arganzuela. Madrid Capital);50 m²;Ponemos a tu disposición este amplio apartamento de 1 dormitorio ubicado en el madrileño barrio de las delicias (arganzuela) junto...;40.3963881;-3.6955971;1 hab.;1 baño;1ª planta
4.250 €/mes;Casa en calle de Gloria Fuertes;/alquilar/casa-mirasierra_arroyo_del_fresno28049-34229386439_512757/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);461 m²;"Alquiler de chalé adosado recien terminado de construir, de 4 plantas, en urbanización cerrada de 9 chalés, muy representativa.

S...";40.496206062;-3.724233484;3 habs.;4 baños;
3.400 €/mes;Piso en calle de Claudio Coello, 75;/alquilar/piso-salamanca_castellana28001-38410343911_998173/;Castellana (Distrito Salamanca. Madrid Capital);160 m²;Grupo interpres alquila en exclusiva este espectacular piso exterior y reformado en plena milla de oro. Cuenta con una superficie ...;40.429357362496475;-3.6861110042446796;4 habs.;3 baños;6ª planta
1.400 €/mes;Apartamento en calle de Silva;/alquilar/apartamento-justicia_chueca28004-39196450932_992238/;Justicia-Chueca (Distrito Centro. Madrid Capital);55 m²;Precioso apartamento en alquiler, ubicado en una primera planta con ascensor, en una zona tranquila y bien comunicada. Este inmueb...;40.4218997;-3.7057096;1 hab.;1 baño;1ª planta
4.100 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);300 m²;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444;4 habs.;3 baños;7ª planta
1.000 €/mes;Piso en calle de Rosalía Trujillo, 6;/alquilar/piso-concepcion-39176241212_994401/;Concepción (Distrito Ciudad Lineal. Madrid Capital);50 m²;"Se alquila bonito piso sito en el barrio de la concepción - ciudad lineal. 
La vivienda consta de hall de entrada, cocina totalmen...";40.440491032313155;-3.6449322316206407;;;5ª planta
2.800 €/mes;Piso en Barrio de Salamanca - Fuente del Berro;/alquilar/piso-fuente_del_berro28028-32558073293_101800/;Fuente del Berro (Distrito Salamanca. Madrid Capital);175 m²;Espectacular piso exterior en la zona de fuente del berro, en la zona de día cuenta con un gran salón comedor, cocina con salida a...;40.4269063;-3.6673251;;;
990 €/mes;Apartamento en calle de Fernán Caballero;/alquilar/apartamento-carabanchel_comillas28019-39262021730_108900/;Comillas (Distrito Carabanchel. Madrid Capital);75 m²;Vivienda madrid comillas alquila estupendo apartamento en zona residencial cerca de madrid río, a pocos metros de la calle antonio...;40.3921698;-3.7106391;1 hab.;1 baño;
