precio;sub_descr;href;ubicacion;banios;mt2;planta;otros;latitude;longitude;habitaciones
1.250 €/mes;Apartamento en Chamartin;/alquilar/apartamento-chamartin_hispanoamerica28016-41700341059_101800/;Hispanoamérica (Distrito Chamartín. Madrid Capital);1 baño;50 m²;6ª planta;"Engel & Völkers presenta en exclusiva este estudio recien demodelado a estrenar y sin amueblar, muy luminoso, en una de las mejores zonas de Madrid.  Es muy luminoso!!!!

Al entrar al estudio nos encontramos un recibidor, donde se pueden dejar los abrigos. A la derecha inmediatamente se encuentra un baño cómo, con muebles para guardar cosas, y plato de ducha, todo nuevo y muy agradable.

La cocina es abierta, y está equipada con vitrocerámica, nevera, horno microondas y lavadora pequeña.

El Salón comedor es exterior. Tiene un ventanal por el que entra toda la luz del sol durante gran parte del día. Comunica con el dormitorio por medio de un separador de media altura. La luz  natural que ilumina el salón es el mismo que da luz a la habitación. Cabe una cama doble. Tiene armarios de piso a techo también nuevos

La finca es grande, tiene portero y tiene una terraza en el techo con piscina. Acepta estudiantes y solvencia en el extranjero.

Este piso es ideal para personas que quieren vivir con clase. Pide tu cita y ve a visitarlo ya!!
Este fantástico estudio sin amueblar se encuentra sobre la calle Serrano  colindante con la Calle Infanta María Teresa, en el corazón del  barrio de Chamartín en Hispanoamérica. Se encuentra cerca del IE, EAE y otras universidades.

La vivienda goza de buenas comunicaciones con el resto de la capital gracias a la proximidad a las principales líneas de transporte público, así como de los metros de Colombia, Concha Espina y Santiago Bernabéu. Se ubica próxima a importantes arterias de tráfico rodado, que garantiza una excelente comunicación a través de vehículo propio. Cerca de la Plaza de Duque de Pastrana, se encuentra en una zona con gran oferta de locales comerciales, zonas verdes y colegios. Tiene acceso inmediato a la M-30, M-40, Intercambiador de transportes de Plaza de Castilla y al Aeropuerto, y está muy próxima a los centros financieros de AZCA y CTBA (Cuatro Torres Business Area).";40,4545636;-3,6801652;
6.500 €/mes;Piso en Chamberi;/alquilar/piso-chamberi_almagro28004-38347779347_101800/;Almagro (Distrito Chamberí. Madrid Capital);3 baños;191 m²;;"Engel & Völkers presenta este piso en el centro de Almagro. 
Situado en un edificio de imagen representativa de este barrio y reformado en su totalidad.
Consta de un amplio salón con comedor con tres balcones a la calle Génova. Cocina independiente y equipada con electrodomésticos de alta gama.
Se compone de tres habitaciones, la master room con vestidor y baño ensuite, además de un aseo de cortesía y un baño completo que da servicio a las otras habitaciones. Cabe destacar la luminosidad del piso y el buen gusto en la selección de materiales de alta calidad.
Otras características de esta finca moderna es que dispone un gimnasio y piscina interior.
Todas la viviendas están reformadas con un aislamiento tanto térmico como acústico.
Su ubicación excelente cerca de la Plaza de Colón y de Alonso Martínez, lo hacen aún mas atractiva.
Posibilidad de una plaza de garaje en el mismo edificio.
El apartamento se encuentra en el barrio de Almagro, una de
las zonas más elegantes de Madrid. A escasos metros del
Paseo de la Castellana, goza de una buena comunicación a
través de varias estaciones de metro y muchas líneas de
autobuses en su vecindad. Presenta una excelente cercanía a
puntos de interés turístico, y zonas comerciales y de negocio
de la capital. Todo ello unido a la gran oferta de espacios
gastronómicos. El barrio, que está poblado por embajadas (de
Alemania, Suecia, Finlandia, Hungría, Brasil) y galerías o
centros culturales (Instituto Goethe, Centro Cultural Coreano,
Fundación Japonesa, Instituto del Cine) es conocido
también como el Triángulo de Oro de Madrid.";40,4283471;-3,6946369;3 habs.
1.400 €/mes;Apartamento en Centro;/alquilar/apartamento-justicia_chueca28004-40076266685_101800/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 baño;44 m²;;"Engel & Völkers le ofrece este recién renovado apartamento en el barrio de Malasaña. La vivienda es exterior, se ubica en la primera planta sin ascensor.
Cuenta con salón-comedor con un bonito mirador acristalado, dormitorio doble igualmente exterior, cocina completamente equipada con electrodomésticos y baño con plato de ducha.
El suelo es porcelánico.
El piso cuenta con el aire acondicionado por splits (frío/calor) en el salón y en el dormitorio.
Las ventanas tienen persianas eléctricas.
El apartamento se ofrece sin amueblar para estancia larga (contrato de 1 año renovable). 
En la finca no hay ascensor ni portero.
Malasaña es uno de los barrios históricos más emblemáticos del centro de Madrid, actualmente está viviendo un nuevo auge con la peatonalización de sus calles, la numerosa oferta cultural, tiendas de diseño, pequeños restaurantes con encanto.
Perfectamente ubicado, con varias líneas de metro y red de autobuses. Próximo a la Moncloa e intercambiador de cercanías, así como puntos cercanos de bici MADRID para recorrer la ciudad.
Debe su nombre a la bordadora Manuela Malasaña, unas de las protagonistas del levantamiento de Madrid contra las tropas napoleónicas. Centro neurálgico de la Movida Madrileña, movimiento sociocultural que surgió a mediados de los años 70, en plena transición española y que se caracterizó por ser una nueva forma de expresión, con un carácter muy innovador, donde surgieron importantes artistas de todas las disciplinas.";40,4245706;-3,6979957;1 hab.
2.800 €/mes;Ático en Trafalgar;/alquilar/atico-trafalgar28010-41722746330_996152/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;87 m²;;"Ático planta 7 º
Superficie construida: 87 m²
Terraza: 20 m²
1 dormitorio, 1 baño
Año construcción: 1950
Estado de conservación: i...";40.4294143;-3.6973165;1 hab.
2.300 €/mes;Piso en Avenida de Juan Antonio Samaranch, 124;/alquilar/piso-valdebebas_valdefuentes28055-40062860931_100500/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);2 baños;150 m²;1ª planta;"Espectacular piso en valdebebas en alquiler por meses, amoblado y equipado - todo super confortable y listo para entrar a vivir.

...";40.4943;-3.62233;2 habs.
1.100 €/mes;Apartamento en calle de Balmes, 1;/alquilar/apartamento-trafalgar28010-25043213229_101600/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;40 m²;4ª planta;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona metro iglesia, muy centrico y buenas comunicaciones, en ...;40.4354;-3.7003;1 hab.
4.000 €/mes;Piso en calle de los Hermanos de Pablo;/alquilar/piso-concepcion-40056624320_526198/;Concepción (Distrito Ciudad Lineal. Madrid Capital);2 baños;256 m²;Bajo;Se alquila local comercial en la calle hermanos de pablo 10, en el barrio de madrid. Este amplio local de 256 metros cuadrados de ...;40.4360322;-3.6447812;
5.500 €/mes;Piso en calle de Diego de León;/alquilar/piso-salamanca_castellana28006-40040211085_101800/;Castellana (Distrito Salamanca. Madrid Capital);3 baños;156 m²;2ª planta;Descubre esta maravillosa vivienda de 156 m², completamente renovada con un diseño de vanguardia y lista para estrenar. Emplazada ...;40.4352469;-3.6856536;3 habs.
1.000 €/mes;Piso en calle de Fundadores;/alquilar/piso-fuente_del_berro28028-865837337_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 baño;50 m²;4ª planta;¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmad...;40.424629;-3.6682907;1 hab.
1.750 €/mes;Piso en calle Toledo, 126;/alquilar/piso-imperial28005-41683793468_527794/;Imperial (Distrito Arganzuela. Madrid Capital);2 baños;94 m²;2ª planta;"Excelente oportunidad de alquiler para larga estancia.
Piso con 3 dormitorios, el principal con baño en suite, todos los dormitori...";40.40549;-3.7125304;3 habs.
