precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
2.800 €/mes;Piso en calle Corredera Baja de San Pablo;/alquilar/piso-universidad_malasana28004-38397852616_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);1 hab.;1 baño;84 m²;3ª planta;"Engel & Völkers presenta este piso de lujo en alquiler en un edificio histórico, situado en el corazón de Madrid, en el Distrito Centro. Esta vivienda se ofrece amueblada. El piso ha sido reformado en su totalidad, acondicionado para entrar a vivir y disfrutar de un diseño y mobiliario exclusivo. Este apartamento de 65 metros cuadrados ddestaca por sus techos de buardilla que le da un toque de encanto y su  así como la alta calidad de su mobiliario. Consta de una habitación, 1 baño con ducha italiana y un salón con cocina abierta y comedor. Está decorado con un estilo moderno y atemporal, que te sumergirá en un ambiente acogedor y de bienestar gracias a la decoración con materiales ecológicos y fibras naturales. Los gastos de comunidad e IBI, Servicios - Agua, Electricidad, Gas-, internet de alta velocidad y asistencia 24 horas al día durante toda la estancia están incluidos en el precio de renta. Listo para entrar a vivir. Solo Para cortas estancias ( De 1 a 11 Meses)
Esta vivienda en alquiler se ubica en pleno centro de Madrid, en el barrio de Malasaña. Es un barrio hipster, bohemio, con mucha vida y amplia oferta cultural, restaurantes alternativos y vida nocturna. Algunos cronistas improvisados han llegado a compararlo con el Camden Town de Londres o el East Village de Nueva York. En la zona se puede observar como historia y modernidad se entrelazan y van de la mano. La vivienda se encuentra a escasos metros de las zonas de Sol, Plaza Mayor, Gran Vía y Cortes. Además se ofrece una amplia gama de servicios, desde comercios, farmacias, supermercados y mercados, librerías, colegios. Por otro lado, se dispone de múltiples opciones de servicios de transporte público como estaciones de acceso al metro, varias líneas de autobuses y estación de tren de cercanías y también se puede conectar a la M30 en pocos minutos. En los alrededores hay disponibles parking públicos y privados no incluidos en el precio. Este barrio es una de las zonas más emblemáticas de la ciudad por la vida que tiene y por su cercanía tanto al parque del Oeste y el Templo Debod. El barrio alberga una variedad de tiendas, bares, restaurantes y espacios singulares para ocio y entretenimiento.";40,4235568;-3,7024484
3.500 €/mes;Casa pareada en Sol;/alquilar/casa_pareada-sol_barrio28013-39168520092_101800/;Sol (Distrito Centro. Madrid Capital);5 habs.;3 baños;267 m²;;"Engel & Völkers tiene el placer de ofrecerles en exclusiva este precioso chalet pareado de 267 m construidos y 391 m de parcela en Fuente el Saz, una de las poblaciones con mayor expansión y crecimiento en los últimos años que se encuentra a 30km de Chamartín y a 20km de la Moraleja. La vivienda que se alquila sin muebles con posibilidad de amueblar,  se trata de una vivienda con excelente distribución, amplios espacios, un precioso jardín con sistema de riego, piscina privada, calefacción de gas natural y aire acondicionado. Entrando en la vivienda nos encontramos con un práctico distribuidor, que da acceso a una magnífica cocina comedor, reformada y amueblada con materiales de calidad, de frente podemos pasar a un amplio salón de con acceso directo a la piscina y a una agradable terraza, antesala del bello jardín, así mismo, esta planta cuenta con un aseo de cortesía, a continuación, subimos a la zona de descanso, donde nos encontramos con una bonita habitación acondicionada como amplio vestidor, que cuenta con una cama abatible para invitados y un baño completo con plato de ducha, en la siguiente planta tenemos tres dormitorios con armarios empotrados, en la siguiente planta hay una semi-buhardilla acondicionada como habitación, y finalmente está la buhardilla también como zona de descanso.  En la planta sótano la casa cuenta con plaza de garaje y zona de lavadero, así como un increíble espacio de bodega para vinos, acondicionada para zona de ocio con saloncito y chimenea. La casa está rodeada por un cuidado jardín y setos de arizonicas, que cuenta con zona de barbacoa, piscina y un increíble porche techado con toldos y con espacio una mesa de comedor y tumbonas.
La ubicación de la casa es muy buena ya que se encuentra en una zona tranquila.
Fuente el Saz es un municipio que se encuentra en el Noreste de la Comunidad de Madrid, con una población de unos 6.000 habitantes, se encuentra en el km 23 de la A1. Limita con Algete, Valdetorres del Jarama y el Casar. El municipio dispone de tres guarderías, una pública y dos privadas y un colegio público de educación infantil, primaria y secundaria. A pocos kilómetros también tenemos el Trinity College y el Sek. Se encuentra situado en un entorno natural, junto a la Vega del Rio Jarama y de la Sierra de Guadarrama. Las principales vías de acceso son la A-1, la M-50, la R-2 y la M-111 que da acceso a Barajas. Cuenta con un Servicio Público de transportes a Madrid- Plaza Castilla (bus 184 y 197). Este magnífico emplazamiento es ideal para aquellos que quieran disfrutar de un ambiente de tranquilidad rodeados de un entorno natural donde disfrutar de diferentes deportes al aire libre como la hípica o el Golf. Cuenta además con un área industrial y amplia oferta gastronómica.";40,4178125;-3,7033124
3.300 €/mes;Piso en Ríos Rosas;/alquilar/piso-rios_rosas28003-42552066823_101800/;Ríos Rosas (Distrito Chamberí. Madrid Capital);4 habs.;3 baños;204 m²;;"Engel & Völkers presenta esta luminosa vivienda ubicada en el edificio Geminis II, una finca representativa, que cuenta con un gran patio de manzana ajardinado, elegante portal, patios interiores con fuentes… El piso se distribuye en hall de entrada, salón-comedor, cocina con office y terraza tendedero, 4 dormitorios (el principal en suite) y 3 baños. Tanto el espacioso salón comedor, como la cocina están orientados a este gran jardín interior, un verdadero pulmón en el centro de Madrid, por lo que gozan de un gran silencio y tranquilidad. La amplia cocina se acaba de renovar y se encuentra equipada con frigorífico, placa de inducción, campana extractora, lavavajillas, microondas y horno. Dispone de una terraza tendedero con lavadora – secadora. Los 4 dormitorios son dobles y muy grandes (el principal está en suite) y cuentan con numerosos armarios empotrados. Uno de ellos se ha usado hasta ahora como cuarto de estar. De los 3 baños, el principal posee bañera, el secundario ducha doble con mampara, y el tercero es un funcional acceso de cortesía ubicado junto a la entrada. Con respecto a las instalaciones, la calefacción y el agua caliente son a través de caldera individual de gas, y tanto el salón como los 4 dormitorios cuentan con splits de aire acondicionado. El edificio en el que se encuentra posee un portal accesible, y portero físico y automático. Con la renta se incluye una plaza de aparcamiento en el parking de la finca (con vigilancia 24 horas).
La vivienda se encuentra muy bien comunicada, entre las estaciones de metro y cercanías de Nuevos Ministerios (con línea directa al aeropuerto) y Cuatro Caminos, así como de numerosas líneas de autobuses. Cuenta con numerosos comercios a su alrededor, así como las grandes zonas comerciales de El Corte Inglés de Castellana y AZCA.";40,4453719;-3,6995715
1.000 €/mes;Piso en Ronda de Segovia;/alquilar/piso-centro_palacio28005-42507278455_100500/;Palacio (Distrito Centro. Madrid Capital);1 hab.;1 baño;42 m²;1ª planta;Distribuida en hall de entrada, con puerta de acceso blindada, salón de paso con cocina americana equipada con placa vitrocerámica...;40.4113541;-3.7178916
950 €/mes;Piso en calle de Fundadores;/alquilar/piso-fuente_del_berro28028-865837337_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 hab.;1 baño;50 m²;4ª planta;¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmad...;40.424629;-3.6682907
950 €/mes;Apartamento en calle de Hartzenbusch, 6;/alquilar/apartamento-trafalgar28010-11717586466_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);1 hab.;1 baño;45 m²;Bajo;Junto a la calle fuencarral y próximo al metro bilbao, le ofrecemos este estupendo apartamento totalmente reformado, muy bonito y ...;40.4302;-3.70232
9.450 €/mes;Piso en Chamartin;/alquilar/piso-castilla28046-39259556371_109300/;Castilla (Distrito Chamartín. Madrid Capital);5 habs.;5 baños;575 m²;;Precioso piso en alquiler todo exterior de 5 dormitorios, 4 baños, un aseo, garaje y trastero en alquiler en pleno corazón del pas...;40.4288608;-3.690055
2.900 €/mes;Piso en calle de Andrés Torrejón;/alquilar/piso-jeronimos28014-41690792080_100500/;Jerónimos (Distrito Retiro. Madrid Capital);3 habs.;2 baños;199 m²;7ª planta;"Domum realty alquila: ¡Espectacular vivienda completamente reformada, muy cercana al parque del retiro!

** disponible para el 1 d...";40.4080101;-3.682517
3.800 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;230 m²;7ª planta;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444
2.400 €/mes;Piso en calle de Fuencarral, 74;/alquilar/piso-justicia_chueca28004-42544044363_527794/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;2 baños;94 m²;3ª planta;"Excelente oportunidad de alquiler para larga estancia.
Piso con 2 dormitorios, el principal con baño en suite y pequeño espacio ve...";40.42519;-3.7007356
