precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios
5.500 €/mes;Piso en calle de Diego de León;/alquilar/piso-salamanca_castellana28006-40040211085_101800/;Castellana (Distrito Salamanca. Madrid Capital);3 habs.;156 m²;2ª planta;"Descubre esta maravillosa vivienda de 156 m², completamente renovada con un diseño de vanguardia y lista para estrenar. Emplazada en un edificio representativo construido en 1962, esta propiedad destaca por su excelente distribución y calidades excepcionales.

La vivienda se organiza en dos amplias zonas de salones, comedor y una cocina totalmente exterior con un balcón que se orienta al sur, ofreciendo una luminosidad única. En la zona de descanso, encontrarás tres espaciosos dormitorios, dos de ellos en suite, y tres baños. Además, cuenta con una zona de lavandería independiente y una cocina integrada completamente amueblada con electrodomésticos de alta gama, todos de Grupo Porcelanosa. Los baños, la cocina y el suelo, de roble natural, añaden un toque de elegancia. Dispone de aire acondicionado centralizado para frio y calor, así como calefacción central. La comunidad cuenta con un portero residente, proporcionando seguridad y comodidad.

La propiedad goza de una ubicación privilegiada en una de las zonas más cotizadas del Barrio Salamanca-Castellana, en la intersección de las calles Diego de León y Claudio Coello. Desde aquí, podrás disfrutar de vistas a la embajada Americana y estar a un paso de las prestigiosas calles Serrano, Velázquez y Ortega y Gasset.

Sumérgete en el lujo, la comodidad y la exclusividad que ofrece esta oportunidad única. ¡Contáctanos para obtener más detalles y programar una visita!

Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava.

Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4352469;-3,6856536;
3.750 €/mes;Piso en calle Lagasca;/alquilar/piso-recoletos28001-43355219749_500635/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;148 m²;1ª planta;Luxcasa alquila magnifico y lujoso piso en una de las zonas mas exclusivas de la capital, en pleno barrio de salamanca-recoleletos...;40.4287826;-3.6851318;2 baños
2.400 €/mes;Piso en calle de Fuencarral, 74;/alquilar/piso-justicia_chueca28004-42544044363_527794/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;94 m²;3ª planta;"Excelente oportunidad de alquiler para larga estancia.
Piso con 2 dormitorios, el principal con baño en suite y pequeño espacio ve...";40.42519;-3.7007356;2 baños
2.150 €/mes;Ático en calle de San Epifanio;/alquilar/atico-imperial28005-10010439776_101800/;Imperial (Distrito Arganzuela. Madrid Capital);3 habs.;98 m²;;Casas y más alquila magnífico ático en san epifanio, en la zona de paseo imperial, y muy cerca de la glorieta de pirámides, calle ...;40.400974;-3.7189962;2 baños
3.800 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;230 m²;7ª planta;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444;3 baños
1.100 €/mes;Apartamento en calle de Churruca, 2;/alquilar/apartamento-justicia_chueca28004-10912823129_992099/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 hab.;65 m²;3ª planta;-finca con gimnasio, piscina, solarium y calef. Central- imprescindible para alquilarlo: demostrar solvencia económica en españa c...;40.42685855249331;-3.700573880319004;1 baño
1.600 €/mes;Ático en calle de Argumosa;/alquilar/atico-centro_embajadores_lavapies28012-43425247947_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 habs.;62 m²;;¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmad...;40.4083487;-3.6994158;1 baño
1.900 €/mes;Dúplex en Avenida de Manoteras;/alquilar/duplex-virgen_del_cortijo_manoteras28050-41751236571_996542/;Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital);2 habs.;135 m²;4ª planta;Diplomatic real estate ofrece fantástico tripex amueblado de 135m² en virgen del cortijo-manoteras, en buena ubicación y excelente...;40.4862689;-3.6657576;3 baños
15.000 €/mes;Piso en Chamberí - Almagro;/alquilar/piso-chamberi_almagro28010-35867831471_101800/;Almagro (Distrito Chamberí. Madrid Capital);10 habs.;1.400 m²;4ª planta;"1.400m² en una sola planta, en almagro zona, en uno de los mejores edificios de la zona.

Unico piso por planta. 4 plazas de garaj...";40.4331906;-3.6922041;11 baños
1.800 €/mes;Piso en calle de Rafael de Riego;/alquilar/piso-palos_de_moguer28045-41737855119_101000/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);3 habs.;90 m²;;Alquiler por meses !  Oportunidad! Alfa sierra norte, gestiona en exclusiva alquiler de temporada,  minimo 3 meses disponible para...;40.4046378;-3.6919441;2 baños
