precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
950.000 €;Piso en Castillejos;/comprar/piso-castillejos28046-28354005805_101800/;Castillejos (Distrito Tetuán. Madrid Capital);3 habs.;3 baños;120 m²;1ª planta;"Piso en venta exterior reformado en Castellana

Piso totalmente reformado que cuenta con 2 balcones con vistas. El edificio fue diseñado por el reconocido arquitecto Antonio Lamela, que también remodeló este estadio e impulsó varios proyectos de ciudades deportivas. 

Es una vivienda que cuenta con techos altos y que consta de 3 habitaciones, 3 baños completos, 2 de ellos en suite, uno de ellos con bañera y ducha y los restantes con ducha, salón, comedor y cocina americana equipada. El piso cuenta con acabados de madera natural, luces LED de ambiente y juegos de luces que permitirán mantener una excelente iluminación de la vivienda. Se entrega totalmente amueblado. Calefacción de gas individual y aire acondicionado.

Tanto la entrada como el portal cuentan con elevadores de silla de ruedas. Ubicado en Paseo de la Castellana muy cerca del estadio Santiago Bernabéu, una maravillosa ubicación con todos los servicios y muy buenas comunicaciones tanto en transporte privado como público.

Walter Haus Real Estate, somos un grupo inmobiliario de servicios personalizados con sede en las principales ciudades del país, con experiencia de más de 20 años y conocimiento profundo del sector en las zonas más exclusivas de Madrid, en Jose Ortega y Gasset, 66 en el Barrio de Salamanca y en General Martínez Campos, 13 en el Barrio de Chamberí, contamos con un dinámico equipo de profesionales con formación superior y experiencia en el asesoramiento personal, en constante formación. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de conseguir su satisfacción y confianza.
Nuestro trabajo se basa en firmes pilares, trato profesional, atención individualizada de cada uno de los procesos y una especialización muy concreta en cada zona de actuación, contando con un plan inicial de trabajo conciso, ágil y profesional adecuado a los parámetros de cada cliente. Apostamos por la tecn";40,4587656;-3,690897
2.350.000 €;Piso en calle de Condes del Val, 18;/comprar/piso-chamartin_hispanoamerica28036-37525115949_101800/;Hispanoamérica (Distrito Chamartín. Madrid Capital);5 habs.;5 baños;419 m²;3ª planta;"Espectacular vivienda en muy buen estado de conservación de 419 m² construidos, de los cuales 252 m² pertenecen a la vivienda, ubicada en el barrio de Hispanoamérica, a escasos metros del Paseo de la Habana, en una zona residencial de especial valor en el centro de Madrid. 

Este imponente inmueble dispone de una zona de día con un gran salón-comedor, cocina independiente totalmente equipada, habitación de servicio con baño completo y zona de lavandería. 

En la zona de noche encontramos una sala de estar, cuatro dormitorios dobles, tres de ellos con baño en suite y otro principal con vestidor, además cuenta con un último cuarto de baño adicional que da servicio al resto de los dormitorios y un aseo de cortesía. El inmueble incluye tres plazas de garaje.

Es una finca muy tranquila compuesta por 16 viviendas únicas y exclusivas, carece de barreras arquitectónicas y está adaptada para personas con movilidad reducida, tiene ascensor, portero y servicio de vigilancia 24 horas, piscina, zona Infantil, sala común para eventos y zonas ajardinadas, estupenda ubicación, rodeada de todos los servicios y con muy buenas comunicaciones tanto en transporte privado como público.
Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona.

Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4569;-3,68325
695.000 €;Piso en calle del Aviador Zorita, 39;/comprar/piso-tetuan_cuatro_caminos28020-35065153986_101800/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);4 habs.;2 baños;156 m²;3ª planta;"Walter Haus presenta este piso para reformar de, aproximadamente, unos 156 metros cuadrados, ubicado en la tercera planta de un edificio en el barrio de Cuatro Caminos, muy cercano al Bernabéu. El piso dispone de las siguientes estancias: salón comedor, 4 habitaciones y 2 cuartos de baño. También la finca dispone de: ascensor, garaje y servicio de portería. La ubicación es inmejorable, ya que, rodeada de todos los servicios y con muy buenas comunicaciones tanto en transporte privado como público.

Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona.

Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4507;-3,69837
199.900 €;Piso en calle de Escalona;/comprar/piso-latina_aluche28024-36720429649_100500/;Aluche (Distrito Latina. Madrid Capital);3 habs.;1 baño;76 m²;5ª planta;Gespain aluche-campamento vende vivienda en excelente zona. Dispone de hall con acceso a cocina y salón independiente con terraza ...;40.3978253;-3.7604835
245.000 €;Piso en calle de Antonio de Leyva;/comprar/piso-carabanchel_comillas28019-34180995810_101800/;Comillas (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;75 m²;3ª planta;"Zona plaza elíptica
Bonito piso de 2 habitaciones (antes 3) muy luminoso y bien cuidado. Enfrente de zonas verdes.buena comunicaci...";40.3903689;-3.715977
369.000 €;Piso en calle de José Bergamín;/comprar/piso-marroquina28030-35070656765_100500/;Marroquina (Distrito Moratalaz. Madrid Capital);2 habs.;1 baño;96 m²;8ª planta;Grupo gespain actividades inmobiliarias  pone a la venta en la zona mas demanda de moratalaz este fantastico inmueble  con  una su...;40.411714;-3.6365981
270.000 €;Piso en calle de la Virgen de la Fuencisla, 23;/comprar/piso-concepcion-33369848545_101000/;Concepción (Distrito Ciudad Lineal. Madrid Capital);4 habs.;1 baño;90 m²;;Persona de contacto fernando- vivienda exterior, según se entra se encuentra un recibidor y a continuación se accede a un pasillo ...;40.4384475;-3.6500419
157.000 €;Piso en calle de Isabela Saverana;/comprar/piso-carabanchel_buenavista28044-23400147428_101800/;Buenavista (Distrito Carabanchel. Madrid Capital);3 habs.;1 baño;105 m²;1ª planta;Vivienda arrendada. Te ofrecemos la posibilidad de rentar tu dinero desde el minuto uno. Esta magnífica vivienda situada en la pri...;40.3682007;-3.7598925
330.000 €;Piso en calle de la Virgen de Sonsoles, 1;/comprar/piso-concepcion-34189148575_514156/;Concepción (Distrito Ciudad Lineal. Madrid Capital);3 habs.;2 baños;95 m²;1ª planta;Bonito piso muy luminoso y soleado, exterior completamente, hace esquina a dos calles y jardincito privado, muy bien comunicado. S...;40.435995230229025;-3.654660986147655
128.000 €;Piso en calle de Estroncio;/comprar/piso-villaverde_los_rosales28021-39195020794_101800/;Los Rosales (Distrito Villaverde. Madrid Capital);2 habs.;1 baño;62 m²;1ª planta;Te presentamos un espacioso piso de dos dormitorios (antes tres). La actual reforma permite un amplio salón con dos ventanales que...;40.3475891;-3.6905617
