precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
170.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-39245702964_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);3 habs.;1 baño;77 m²;"Agencia inmobiliaria de madrid zona parque santa maria – pinar del rey- hortaleza tecnocasa,

Vende:

Estupenda vivienda en planta baja con ascensor. Se encuentra en una de las mejores zonas de hortaleza, al lado del metro de parque de santa maría. Se distribuye en entrada, pasillo distribuidor, cocina, salón, tres habitaciones, cuarto de baño y patio.

Estas son algunas de las características del inmueble:
 - planta baja con ascensor.
 - vivienda para reformar y muy luminosa con orientación norte y sur.
 - espacioso salón comedor.
 - tres amplios dormitorios, con posibilidad de dar uno de ellos al salón.
 - espaciosa cocina dividida en dos estancias que dan acceso a patio interior abierto.
- un cuarto de baño completo con bañera.
 - suelo de baldosín, puertas de madera y ventanas de aluminio.
 - calefacción eléctrica, aunque tiene posibilidad de ponerla de gas natural. 
 - ite favorable en 2019 por lo que hasta 2029 no habría que volver a pasarla.
 - metros útiles 71m, metros según catastro 77m construidos y según registro 51m construidos.

Se encuentra en una ubicación inmejorable, junto al metro de parque sta. María y en una de las mejores zonas de hortaleza. Desde esta línea tenemos comunicación directa con príncipe de vegara y con goya, además de que está a tan solo tres paradas del ifema. Las líneas de autobús próximas a la vivienda son la 9, 72, 87, 107 y n2. La línea 9 nos deja en pleno sol y la línea 107 en plaza castilla.

La finca se encuentra cerca de todos los servicios, como supermercados (carrefour, mercadona, alcampo y lidl), bancos, comercios, colegios, guarderías e institutos, parques y jardines.

El distrito de hortaleza es considerado uno de los mejores barrios fuera de la m-30 para vivir. Ya que es una zona residencial muy tranquila con muy buena comunicación con el centro de madrid y muy próximo a barajas.

Por todas estas razones las personas eligen el barrio hortaleza y más concretamente la zona de parque de sta. Maria para comprar su vivienda.";40,4749428;-3,6435512;
375.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-40080751969_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);3 habs.;2 baños;113 m²;"Agencia inmobiliaria de madrid zona parque santa maria – pinar del rey- hortaleza tecnocasa,

Vende:

Estupenda vivienda en cuarta planta con ascensor. Se encuentra en una de las mejores zonas de hortaleza, al lado del metro de parque de santa maría. Se distribuye en entrada, pasillo distribuidor, cocina, salón,tres habitaciones, dos cuartos de baño y terraza cerrada

Estas son algunas de las características del inmueble:
- cuarta planta con ascensor.
- vivienda en excelente estado para entrar a vivir.
- espacioso salón comedor con acceso a terraza cerrada.
- esta tipología de viviendas tienen cuatro habitaciones de origen, en este caso una de ellas se le ha dado al salón.
- tres amplias habitaciones totalmente exteriores.
- cocina completamente equipada.
- dos cuartos de baño completos con plato de ducha, uno de ellos en suite.
- suelo de parquè, puertas de madera y ventanas de climalit.
- vivienda muy luminosa. Orientación oeste .
- calefacción central.
 También cuenta con aire acondicionado por conductos.
- trastero en el mismo edificio.
- ite favorable en 2019 por lo que hasta 2029 no habría que volver a pasarla.
- 113 metros construidos según catastro.

Se encuentra en una ubicación inmejorable, junto al metro de parque sta. María y en una de las mejores zonas de hortaleza. Desde esta línea tenemos comunicación directa con príncipe de vegara y con goya, además de que está a tan solo tres paradas del ifema. Las líneas de autobús próximas a la vivienda son la 9, 72, 87, 107 y n2. La línea 9 nos deja en pleno sol y la línea 107 en plaza castilla.

La finca se encuentra cerca de todos los servicios, como supermercados (carrefour, mercadona, alcampo y lidl), bancos, comercios, colegios, guarderías e institutos, parques y jardines.

El distrito de hortaleza es considerado uno de los mejores barrios fuera de la m-30 para vivir. Ya que es una zona residencial muy tranquila con muy buena comunicación con el centro de madrid y muy próximo a barajas.

Por todas estas razones las personas eligen el barrio hortaleza y más concretamente la zona de parque de sta. Maria para comprar su vivienda.";40,4780005;-3,6451568;4ª planta
285.000 €;Piso en calle del Butrón, 27;/comprar/piso-san_blas_rosas28022-33389734272_514689/;Rosas (Distrito San Blas. Madrid Capital);3 habs.;2 baños;76 m²;Fantástico piso, con plaza de garaje privado, que está compuesta, por un hall, 1 baño, 1 aseo, cocina con terraza, 3 dormitorios y...;40.42578074017717;-3.6082450354172;6ª planta
165.000 €;Piso en Buenos Aires;/comprar/piso-numancia28038-40882119023_100500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);2 habs.;1 baño;60 m²;"Piso en madrid, reformado, con ascensor y cerca del centro.
“sv inmobiliaria madrid” ofrece en venta esta espectacular vivienda e...";40.397672;-3.6587299;1ª planta
220.000 €;Piso en calle de Londres;/comprar/piso-guindalera28028-85039372501_440000/;Guindalera (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;72 m²;"Este piso en venta es una oportunidad única! 

Semisotano con una superficie de 72 m², esta vivienda exterior cuenta con un amplio...";40.431472;-3.6679722;Subsótano
395.000 €;Piso en Paseo de los Pontones;/comprar/piso-acacias28005-40840701710_993204/;Acacias (Distrito Arganzuela. Madrid Capital);2 habs.;1 baño;72 m²;¡Bienvenido! En esta ocasión, inmobiliaria los berrocales tiene el placer de presentar un acogedor piso en venta en una de las zon...;40.404647;-3.7154069;5ª planta
3.650.000 €;Chalet en calle Horche, 3;/comprar/chalet-moncloa_aravaca_aravaca28023-3548570793_109700/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);5 habs.;7 baños;754 m²;Villa 3e. Chalet de obra nueva de 754 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 5 ha...;40.4592962;-3.7657263;
399.000 €;Piso en calle de Saúco, 19;/comprar/piso-berruguete28039-3130108618_109700/;Berruguete (Distrito Tetuán. Madrid Capital);2 habs.;2 baños;93 m²;2º a. Piso en un inmueble de obra nueva de 93 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4605041;-3.7051378;2ª planta
145.000 €;Piso en calle de Zubieta;/comprar/piso-san_blas_amposta-40893035143_512422/;Amposta (Distrito San Blas. Madrid Capital);2 habs.;1 baño;50 m²;Situado en el barrio de san blas – canillejas, a escasos 5 minutos andando de la parada de metro de simancas, se vende precioso pi...;40.4295415;-3.6254612;2ª planta
1.450.000 €;Apartamento en Justicia-Chueca;/comprar/apartamento-justicia_chueca28004-38387509210_106200/;Justicia-Chueca (Distrito Centro. Madrid Capital);3 habs.;3 baños;191 m²;Lucas fox presenta este fantástico dúplex, reformado con tres dormitorios y tres baños. El piso se sitúa en un edificio clásico y ...;40.4242907;-3.6956174;
172.000 €;Piso en calle de Salasierra;/comprar/piso-moscardo28026-40860098037_101800/;Moscardó (Distrito Usera. Madrid Capital);3 habs.;1 baño;85 m²;"Casas y mas, vende estupendo piso muy luminoso situado en una 1ª planta exterior sin ascensor.

El inmueble consta de un salón, tr...";40.386714;-3.7114465;1ª planta
171.000 €;Piso en calle de San Fidel;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-40056356592_108900/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;55 m²;"Vivienda madrid ofrece en exclusiva

Ideal para inversores

Inmobiliaria vivienda madrid gestiona piso en venta de 54 m² y 2 habit...";40.4261635;-3.6424328;
169.000 €;Piso en Paseo de Perales;/comprar/piso-puerta_del_angel-40921975380_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);3 habs.;1 baño;64 m²;"La casa agency pone a su disposición una vivienda exterior de 64m², ubicada en una segunda planta sin ascensor.

El piso se distri...";40.4051841;-3.7417263;2ª planta
248.000 €;Piso en calle de Arcos de Jalón;/comprar/piso-arcos28037-40060134043_403500/;Arcos (Distrito San Blas. Madrid Capital);3 habs.;1 baño;92 m²;Altura piso 1º, piso superficie total 92 m², superficie útil 85 m², habitaciones dobles: 3, 1 baño, antigüedad entre 30 y 50 años,...;40.4224109;-3.6178766;1ª planta
275.000 €;Piso en calle de Felipe Álvarez;/comprar/piso-casco_historico_de_vallecas28031-32540603149_101800/;Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital);4 habs.;2 baños;115 m²;"Magnifico piso de 4 dormitorios dobles, tres de ellos con armario empotrado,
2 baños, segunda planta totalmente reformada, gran sa...";40.3820991;-3.6229215;2ª planta
2.400.000 €;Piso en Castellana;/comprar/piso-salamanca_castellana28006-39265130436_108500/;Castellana (Distrito Salamanca. Madrid Capital);3 habs.;4 baños;192 m²;Colaboramos con otras agencias. Madin inmobiliaria – interiorismo ofrece en venta maravilloso piso recién reformado en la calle cl...;40.4314441;-3.6855399;
245.000 €;Piso en calle de Antonio de Leyva;/comprar/piso-carabanchel_comillas28019-34180995810_101800/;Comillas (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;75 m²;"Zona plaza elíptica
Bonito piso de 2 habitaciones (antes 3) muy luminoso y bien cuidado. Enfrente de zonas verdes.buena comunicaci...";40.3903689;-3.715977;3ª planta
374.500 €;Piso en Bellas Vistas;/comprar/piso-bellas_vistas28039-36755052446_100500/;Bellas Vistas (Distrito Tetuán. Madrid Capital);4 habs.;2 baños;150 m²;"Oportunidad!!! Para reformar 

Vohome inversiones presenta gran oportunidad, vivienda situada en el distrito de tetuán en madrid. ...";40.4549306;-3.7064419;3ª planta
5.280.000 €;Piso en Goya;/comprar/piso-recoletos28001-36742391650_100500/;Recoletos (Distrito Salamanca. Madrid Capital);3 habs.;5 baños;420 m²;Vohome inversiones presenta en exclusiva una fantástica vivienda en uno de los barrios más apetecidos de la ciudad madrileña, acom...;40.4274891;-3.6837178;4ª planta
