precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta
170.000 €;Piso en calle del Acuerdo;/comprar/piso-universidad_malasana28015-40034199966_100200/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;54 m²;"Agencia inmobiliaria de madrid zona san bernardo - conde duque - malasaña oficina tecnocasa vende:
-vivienda en planta baja interi...";40.4277278;-3.7079729;;
210.000 €;Piso en calle de Pont de Molins;/comprar/piso-puente_de_vallecas_portazgo28038-41765984021_527714/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);2 habs.;71 m²;Descubre la elegancia y comodidad en esta encantadora vivienda de 2 habitaciones con una superficie útil de 71 m². Este acogedor h...;40.3930819;-3.6444986;1 baño;6ª planta
141.000 €;Piso en calle de Tenerife;/comprar/piso-bellas_vistas28039-41763274574_998937/;Bellas Vistas (Distrito Tetuán. Madrid Capital);2 habs.;33 m²;"Ingesul vende

Piso en planta baja de un edificio sin ascensor, de 33,13 m² útiles distribuido en recibidor, salón y cocina abiert...";40.4523065;-3.7060844;1 baño;Bajo
179.000 €;Piso en calle de Silvio Abad;/comprar/piso-zofio28026-42509667327_520982/;Zofío (Distrito Usera. Madrid Capital);3 habs.;73 m²;Piso en venta en madrid zona usera, con 73m² de superficie y una acogedora terraza de 4m². Este luminoso inmueble cuenta con una h...;40.3808267;-3.7153736;1 baño;2ª planta
155.000 €;Piso en Numancia;/comprar/piso-numancia28038-36746277996_100500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);2 habs.;57 m²;"Gespain activadades inmobiliarias vende en exclusiva,  piso con ascensor, formado por 2 habitaciones, salón, cocina, baño y aseo.
...";40.4032598;-3.6605519;2 baños;2ª planta
147.000 €;Piso en calle de Antonio Durán Tovar;/comprar/piso-puente_de_vallecas_portazgo28018-40865004566_996584/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);3 habs.;55 m²;Se vende fantástico piso de 55m², 3 dormitorios, amplio salón, baño con plato de ducha y cocina luminosa. Gas natural. Vivienda pa...;40.3918104;-3.6618577;1 baño;1ª planta
525.000 €;Piso en calle de Narciso Serra;/comprar/piso-retiro_pacifico28007-40835213917_100500/;Pacífico (Distrito Retiro. Madrid Capital);3 habs.;129 m²;"Fantastica vivienda exterior a reformar con terraza en calle narciso serra al lado de la plaza de mariano de cavia.

En servifinca...";40.4059772;-3.6779561;2 baños;3ª planta
214.900 €;Piso en calle de Piqueñas;/comprar/piso-carabanchel_buenavista28044-40836468659_100500/;Buenavista (Distrito Carabanchel. Madrid Capital);3 habs.;75 m²;"Piso de esquina con doble orientación, totalmente exterior con mucha luminosidad.

Gespain las aguilas - carabanchel promociona pi...";40.3671029;-3.7609287;1 baño;2ª planta
245.000 €;Piso en calle del General Millán Astray, 37;/comprar/piso-las_aguilas28044-40894142122_100500/;Las Águilas (Distrito Latina. Madrid Capital);3 habs.;92 m²;Vivienda de esquina 3 dormitorios y 1 baño, con terraza y plaza de parking en una de las mejores zonas de águilas, junto a aluche ...;40.3761;-3.76566;1 baño;2ª planta
160.000 €;Piso en Paseo de Perales;/comprar/piso-puerta_del_angel-40897042626_518874/;Puerta del Ángel (Distrito Latina. Madrid Capital);2 habs.;55 m²;Masterpiso vende piso en paseo perales, puerta del ángel, madrid, bajo, 55m² construidos, 50m² útiles, 2 habitaciones, cocina inde...;40.4050786;-3.7385704;1 baño;Bajo
315.000 €;Piso en calle de Eugenia de Montijo, nº 97;/comprar/piso-carabanchel_buenavista28044-89254531052_998115/;Buenavista (Distrito Carabanchel. Madrid Capital);3 habs.;147 m²;Edificio estilo modéjar! Edificio singular. Orientación sur, luz todo el día. Edificio estilo modéjar, patio del mismo estilo de 5...;40.37453369082771;-3.7507807215484434;3 baños;1ª planta
199.000 €;Piso en calle de la Oca;/comprar/piso-carabanchel_vista_alegre28025-40066386800_100500/;Vista Alegre (Distrito Carabanchel. Madrid Capital);3 habs.;67 m²;Gespain aluche pone a la venta en exclusiva esta propiedad a escasos metros del metro de vista alegre( linea 5 ) y oporto (linea 6...;40.3895236;-3.7359266;1 baño;2ª planta
325.000 €;Piso en calle del Conde de Peñalver;/comprar/piso-lista_barrio28006-39206049363_100200/;Lista (Distrito Salamanca. Madrid Capital);2 habs.;46 m²;"'agencia inmobiliaria de madrid - zona salamanca - estudio guindalera - francisco silvela - diego de león

Oficina tecnocasa vende...";40.4331129;-3.674803;;4ª planta
510.000 €;Piso en calle de Ferrer del Río;/comprar/piso-guindalera28028-40871731047_440000/;Guindalera (Distrito Salamanca. Madrid Capital);3 habs.;83 m²;"Piso en venta de 87 m²  ubicada a pocos metros de diego de león. 

El salón comedor cuenta con salida a una amplia terraza, mientr...";40.4343526;-3.6723022;1 baño;3ª planta
550.000 €;Piso en Ronda de Segovia;/comprar/piso-centro_palacio28005-41714532909_440000/;Palacio (Distrito Centro. Madrid Capital);3 habs.;112 m²;Magnífico piso totalmente reformado, con plaza de  garaje situado en pleno centro de la ciudad, en la zona palacio, concretamente ...;40.4085032;-3.715884;2 baños;1ª planta
377.700 €;Ático en calle de Nuestra Señora de los Dolores, 18;/comprar/atico-valdeacederas28039-4269208361_109700/;Valdeacederas (Distrito Tetuán. Madrid Capital);1 hab.;59 m²;Ático a. Ático en una finca de obra nueva de 59 m² de superficie construida y emplazado en la zona de madrid capital, posicionado ...;40.4663558;-3.7035008;1 baño;
230.000 €;Piso en calle de Arriaza;/comprar/piso-moncloa_aravaca_arguelles28008-42523690713_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;35 m²;"Agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa vende:
Vivienda ubicada en c/arriaza,...";40.4217514;-3.716188;1 baño;
900.000 €;Piso en calle de Florestán Aguilar;/comprar/piso-guindalera28028-39207499030_440000/;Guindalera (Distrito Salamanca. Madrid Capital);5 habs.;155 m²;Piso en venta en la zona de guindalera. Este amplio inmueble cuenta con un luminoso salón comedor que tiene acceso a una terraza c...;40.4309093;-3.66753;2 baños;5ª planta
980.000 €;Ático en calle de Caleruega, 79;/comprar/atico-costillares-1772946757_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);2 habs.;123 m²;Ático B. Ático en una finca de obra nueva de 123 m2 de superficie construida y emplazado en la zona de Madrid Capital, posicionado en planta 7. Está dispuesto en 2 habitaciones, 2 baños completos y terraza. Cuenta como extras ascensor, 2 garajes.;40,4833397;-3,6685473;2 baños;
169.000 €;Piso en Paseo de Perales;/comprar/piso-puerta_del_angel-40921975380_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);3 habs.;64 m²;"La casa agency pone a su disposición una vivienda exterior de 64m², ubicada en una segunda planta sin ascensor.

El piso se distri...";40.4051841;-3.7417263;1 baño;2ª planta
2.950.000 €;Piso en calle de Montalbán;/comprar/piso-jeronimos28014-37580930245_101800/;Jerónimos (Distrito Retiro. Madrid Capital);3 habs.;179 m²;Vivienda de 179 m² metros muy luminosa en una tercera planta exterior. En proceso de reforma, consta de 3 dormitorios en suite y u...;40.4178699;-3.6897572;4 baños;3ª planta
1.339.000 €;Piso en calle Jorge Juan;/comprar/piso-goya28009-40868437393_524350/;Goya (Distrito Salamanca. Madrid Capital);3 habs.;158 m²;"Oasis house les ofrece este bonito piso exterior a estrenar y amueblado en la calle jorge juan.
La vivienda se distribuye en un am...";40.423305255;-3.674897272;4 baños;1ª planta
1.680.000 €;Piso en calle de Serrano;/comprar/piso-salamanca_castellana28006-40090850168_101800/;Castellana (Distrito Salamanca. Madrid Capital);3 habs.;214 m²;Descubre esta magnífica propiedad situada en las proximidades del emblemático parque del retiro y la puerta de alcalá. Totalmente ...;40.4320866;-3.6865105;3 baños;
179.000 €;Piso en calle de Marcos de Orueta;/comprar/piso-fuencarral_el_pardo_la_paz28034-39177285311_517167/;La Paz (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;65 m²;"Vivienda de tres habitaciones en exlusiva zona del barrio de begoña 

Vivienda madrid ofrece en exclusiva vivienda de 65 m² para a...";40.4845367;-3.6859685;1 baño;Bajo
5.500.000 €;Piso en calle de Alfonso XII;/comprar/piso-jeronimos28014-40868730015_100500/;Jerónimos (Distrito Retiro. Madrid Capital);4 habs.;264 m²;Boher gestión inmobiliaria, vende:  vivienda  singular, con tres balcones al emblemático parque del retiro y a la puerta de alcalá...;40.4177756;-3.6891756;5 baños;3ª planta
