precio;sub_descr;href;ubicacion;mt2;planta;otros;latitude;longitude;habitaciones;banios
410.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-42547923717_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);120 m²;3ª planta;"Agencia inmobiliaria de madrid zona parque santa maria-pinar del rey-hortaleza tecnocasa, empresa líder en el sector inmobiliario con más de 30 años de experiencia en españa,

Vende:

 Estupenda vivienda, acogedora y luminosa con trastero ubicada en la zona de parque de sta. María, junto al metro. Distribuida en hall, cocina, salón, pasillo distribuidor, cuatro habitaciones, dos cuartos de baño y terraza abierta.

 Estas son algunas de las características del inmueble:
- se trata de una tercera planta de un edificio residencial con dos ascensores.
- amplio salón comedor con acceso a terraza abierta.
- dos cuartos de baños interiores con bañera.
- cocina espaciosa con zona de office.
- cuatro dormitorios, uno de ellos destinado a comedor.
- seis armarios empotrados distribuidos en dos de las habitaciones y en el pasillo ideal para el desahogo de la vivienda.
- vivienda luminosa con orientación sureste.
- calefacción central de gas natural y aire acondicionado.
- se encuentra en buen estado, aunque necesitaría actualización.
- ventanas de aluminio, suelo de tarima flotante y puertas de madera.
- la finca cuenta con portero físico y videoportero.
- incluye trastero de 11 metros cuadrados en el propio edificio.

 Se encuentra en una ubicación inmejorable, junto a la salida a la m11, a escasos metros del mercadona y de la estación de metro de parque santa maría, línea 4.
El barrio cuenta con plazas de aparcamiento para residentes (plazas p.a.r.), de uso exclusivo para personas empadronadas en el barrio, las cuales pueden ser adquiridas su cesión por un número de años por un importe fijado por el ayuntamiento.
La finca se encuentra cerca de todos los servicios, como supermercados (carrefour y mercadona), bancos, comercios, colegios, guarderías e institutos, parques y jardines.
El distrito de hortaleza es considerado uno de los mejores barrios fuera de la m-30 para vivir. Ya que es una zona residencial muy tranquila con muy buena comunicación con el centro de madrid y muy próximo a barajas.
Por todas estas razones la gente el barrio de hortaleza y mas concretamente en la zona de parque de santa maria para comprar su vivienda";40,4766811;-3,6453553;;
230.000 €;Piso en calle de Arriaza;/comprar/piso-moncloa_aravaca_arguelles28008-42523690713_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);35 m²;;"Agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa vende:
Vivienda ubicada en c/arriaza,...";40.4217514;-3.716188;2 habs.;1 baño
398.000 €;Ático en calle de San Vicente Ferrer;/comprar/atico-universidad_malasana28004-41701631571_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);78 m²;;"Boher gestión inmobiliaria: vende, exclusivo ático sin terraza en la calle san vicente ferrer, 78 metros, 4º ext. Sin ascensor.

E...";40.4257261;-3.7027626;1 hab.;1 baño
369.000 €;Ático en calle de Saúco, 19;/comprar/atico-berruguete28039-3193770462_109700/;Berruguete (Distrito Tetuán. Madrid Capital);73 m²;;Ático b. Ático en una finca de obra nueva de 73 m² de superficie construida y emplazado en la zona de madrid capital, posicionado ...;40.4605085;-3.7051662;1 hab.;1 baño
155.000 €;Piso en calle del Pico de Almanzor;/comprar/piso-numancia28038-41752367596_100500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);53 m²;Bajo;Este fabuloso piso se encuentra en calle pico almanzor, madrid, en la entre planta. Es un piso que tiene 53 m² y dispone de 2 habi...;40.4023664;-3.6627884;2 habs.;1 baño
420.000 €;Ático en calle del Comandante Fontanes;/comprar/atico-carabanchel_san_isidro28019-38405864393_510936/;San Isidro (Distrito Carabanchel. Madrid Capital);139 m²;;Estudio pradera de san isidro, s.l., vende espectacular vivienda dúplex en calle comandante fontanes con vistas privilegiadas. Se ...;40.3950651;-3.7259071;3 habs.;2 baños
2.200.000 €;Piso en calle del General Arrando;/comprar/piso-chamberi_almagro28010-41760490269_524350/;Almagro (Distrito Chamberí. Madrid Capital);177 m²;3ª planta;"Oasis house les ofrece este maravilloso piso a estrenar de lujo en el barrio de almagro.
La vivienda esta en proceso de reforma y ...";40.431644;-3.6949285;3 habs.;4 baños
365.000 €;Piso en calle de Canarias;/comprar/piso-palos_de_moguer28045-40874048100_100500/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);88 m²;1ª planta;Si tu deseo es vivir en una de las zonas con más crecimiento, comunicación, zonas de ocio, restauración y a la vez cerca del centr...;40.4016602;-3.6914456;3 habs.;1 baño
3.250.000 €;Piso en calle de María de Molina;/comprar/piso-chamartin_el_viso28006-39180480477_101800/;El Viso (Distrito Chamartín. Madrid Capital);340 m²;11ª planta;Espectacular piso totalmente exterior en todo su perímetro, con unas vistas panorámicas de madrid. Ubicado en una planta alta sin ...;40.437989221;-3.689627648;5 habs.;4 baños
1.170.000 €;Piso en calle de Fernández de la Hoz;/comprar/piso-chamberi_almagro28003-39205359768_500635/;Almagro (Distrito Chamberí. Madrid Capital);162 m²;2ª planta;Luxcasa les ofrece esta espectacular y singular vivienda, totalmente reformada, junto a la plaza de san juan de la cruz, lista par...;40.439194;-3.6943382;2 habs.;2 baños
