precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta
279.000 €;Piso en Argüelles;/comprar/piso-moncloa_aravaca_arguelles28008-38407978941_101800/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;47 m²;"Magnífico apartamento de lujo ubicado en uno de los lugares más emblemáticos de Madrid, junto al centro histórico y a un paso de la Casa de Campo y Parque del Oeste.
El apartamento forma parte de una promoción de obra nueva del año 2015, consta de 31 viviendas y dos locales comerciales. Fachada moderna, plenamente integrada en su ubicación y un diseño original, atractivo  con las últimas prestaciones tecnológicas y las máximas calidades.
Consta de un dormitorio, y salón con cocina integrada, es interior a un cuidado patio de manzana el  dormitorio, el salón abre su ventana a otro patio, máxima tranquilidad en una ubicación inmejorable.
Esta magnífica propiedad está situada en el Barrio de Argüelles, frente a los Jardines del Campo del Moro, uno de los tres recintos ajardinados que adornan el Palacio Real y declarado de interés histórico artístico.
Con la construcción de la Estación del Norte, esta zona se convirtió en la entrada a la capital.
El barrio de Argüelles forma parte del distrito de Moncloa-Aravaca y está limitado por los conocidos Parque de Debod, calles de Princesa, Pintor Rosales, Paseo Moret, Ferraz y Cuesta de San Vicente, y por enclaves tan emblemáticos como la Plaza de España y el Parque del Oeste. 
Sus comercios y zonas de ocio lo convierten en una de las zonas más transitadas de la capital, estando conectado por varias líneas de autobús y metro con el resto de la ciudad y con los alrededores de Madrid por su fácil acceso a la A6.";40,4205055;-3,7172846;;
799.000 €;Piso en El Viso;/comprar/piso-chamartin_el_viso28036-38409398223_101800/;El Viso (Distrito Chamartín. Madrid Capital);2 baños;155 m²;"Engel & Völkers, comercializa propiedades para reforma integral, se puede utilizar tanto como vivienda o como oficina. Actualmente habilitado como clínica, nos encontramos en la entrada con la recepción y a la derecha e izquierda dos zonas bien diferenciadas. Ambas son muy amplias, y al no tener muros de cargas y diferentes zonas de bajantes, se pueden redistribuir de múltiples maneras. Tiene una superficie aproximada de 155 m2.
A la izquierda, hay una zona interior, con acceso a un patio de uso privativo, que se puede acondicionar como mejor desee el futuro propietario; y a la derecha una zona exterior, más soleada, que también se puede distribuir de diferentes formas. 
La vivienda cuenta con entrada principal y de servicio, con ascensor y montacargas.
La finca dispone de calefacción central y servicio de conserjería los 7 días de la semana. 
Está ubicado en la zona más comercial de El Viso, con acceso a todo tipo de tiendas, restaurantes y centros comerciales.
La propiedad se ubica en el barrio residencial de El Viso, dentro del distrito de Chamartín, al norte de la capital. El Viso es uno de los barrios residenciales más lujosos de Madrid. Su población de alto poder adquisitivo se compone de empresarios, diplomáticos, ejecutivos, etc., lo cual se expresa en la tipología de las viviendas que se encuentran entre las mejor valoradas en el centro de Madrid.
Es una zona muy tranquila, bien cuidada con espacios verdes cercanos y disfruta de una excelente comunicación con el resto de la ciudad. Además el barrio está regulado como zona de aparcamiento S.E.R. lo cual supone más comodidad para los residentes.
El distrito Chamartín ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, zonas deportivas, hasta una selección de los mejores bares y restaurantes de Madrid.
Chamartín alberga varias embajadas y administraciones públicas importantes.
El sistema de transporte público asegura la máxima comodidad para los residentes de sus barrios, ya que actualmente disponen de aproximadamente 50 líneas de autobús, 7 líneas de metro y dos estaciones de cercanías. La estación de Chamartín es también terminal para la mayoría de los trenes de media y larga distancia hacia el norte de España.
Otros puntos de interés son el Auditorio Nacional de Música, el estadio de fútbol Santiago Bernabéu, varios museos y el Parque de Berlín.";40,448156;-3,6903341;;
960.000 €;Piso en Valdebebas-Valdefuentes;/comprar/piso-valdebebas_valdefuentes28055-40842586021_101800/;Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital);2 baños;167 m²;"Engel & Völkers presenta este maravilloso piso tipo ático, en primera línea de Parque, con gran terraza de 32m2, en perfectas condiciones para entrar a vivir.
La vivienda de altísimos acabados tiene 102 m2 útiles, con orientación este y sur. El mismo consta de un hall de entrada con armarios empotrados, cocina independiente con electrodomésticos de alta gama, lavadero independiente, salón comedor de 30m2, con grandes ventanales con vistas despejadas y con salida a una gran terraza de 32m2 cerrada con Lumon en vertical y horizontal, pudiendo abrirse o cerrarse totalmente según la necesidad y el clima. Desde allí se disfruta de vistas totalmente despejadas gracias a su triple orientación. La zona de descanso, tres dormitorios con armarios, uno de ellos con baño en suite y baño familiar.
Las habitaciones están orientadas al este, el salón al este y sur. Tanto las habitaciones como el salón cuentan con unas vistas totalmente despejadas al paisaje que dota a la vivienda de una gran luz natural. Tiene, además, aire acondicionado por conductos y calefacción por losa radiante, vigilancia 24 horas, portero físico 12 horas, 2 piscinas, sala comunitaria, gimnasio, pista de pádel y amplios jardines.
En el precio está incluido una plaza de garaje y un trastero.
Este exclusivo piso se sitúa al Norte de Madrid, en Valdebebas, zona residencial muy familiar de alto nivel, delimitada por la M-12, M11, y el Parque Forestal Felipe VI. Su excelente localización, a 20 minutos del centro urbano y próxima a todos los servicios básicos (educativos, de salud, comerciales, deportivos y de ocio), la convierte en uno de los enclaves más deseados por quienes quieren disfrutar de un entorno urbano y a la vez muy tranquilo y familiar, pero muy bien comunicado. Próximos a este bonito piso se encuentran prestigiosos centros educativos nacionales e internacionales (Lycée Français, Numont, San José del Parque –Maristas, Colegio Bristol, Santa María de la Hispanidad, Higlands, Areteia, Los Saucos, CEU San Pablo, etc.), y varias escuelas infantiles. Valdebebas se sitúa muy próximo a los Parques Juan Carlos I, varios clubs deportivos (Club de Golf La Moraleja y Club de Golf Olivar de la Hinojosa) y Centros Comerciales (El Corte Inglés Campo de las Naciones y Sanchinarro, La Moraleja Green, Plaza Norte 2, HiperCor). El barrio también se encuentra próximo a numerosos parques empresariales (Campo de las Naciones, IFEMA. El área de Valdebebas ofrece proximidad a las principales vías de circunvalación de Madrid (M-30, M-40) y M-12-11 (acceso rápido al aeropuerto de Madrid-Barajas y todas las Radiales). Cuenta con Estación de Metro cercanías C5 además de líneas de autobús (L170,174, BR1 y N2).";40,4944729;-3,6234524;3 habs.;7ª planta
380.000 €;Piso en calle del Cantueso;/comprar/piso-valdeacederas28029-43386405309_500564/;Valdeacederas (Distrito Tetuán. Madrid Capital);2 baños;95 m²;¡Descubre esta vivienda en la calle cantueso, en el corazón del dinámico distrito de tetuán! Presentamos este exclusivo piso con u...;40.4688148;-3.7035372;3 habs.;1ª planta
224.900 €;Piso en calle de Los Yébenes;/comprar/piso-latina_aluche28047-41738174904_100500/;Aluche (Distrito Latina. Madrid Capital);1 baño;65 m²;Gespain aluche-campamento ofrece en exclusiva este inmueble, en planta baja, totalmente reformado con todos los detalles y las mej...;40.3919772;-3.7504048;2 habs.;Bajo
179.000 €;Piso en calle de Silvio Abad;/comprar/piso-zofio28026-42509667327_520982/;Zofío (Distrito Usera. Madrid Capital);1 baño;73 m²;Piso en venta en madrid zona usera, con 73m² de superficie y una acogedora terraza de 4m². Este luminoso inmueble cuenta con una h...;40.3808267;-3.7153736;3 habs.;2ª planta
220.000 €;Piso en calle de Arriaza;/comprar/piso-moncloa_aravaca_arguelles28008-42523690713_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;35 m²;"Agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa vende:
Vivienda ubicada en c/arriaza,...";40.4217514;-3.716188;2 habs.;
1.680.000 €;Piso en calle calle de Sagasti;/comprar/piso-goya28006-39176434478_101800/;Goya (Distrito Salamanca. Madrid Capital);3 baños;174 m²;Walter haus tiene el placer de presentar este extraordinario ático, destacando su impresionante terraza de 41 m². Aunque actualmen...;40.427368;-3.6708528;3 habs.;6ª planta
3.830.000 €;Piso en calle de María de Molina;/comprar/piso-chamartin_el_viso28006-40045550927_101800/;El Viso (Distrito Chamartín. Madrid Capital);4 baños;380 m²;Walter haus presenta esta magnífica vivienda recientemente reformada, con acabados de alta calidad y detalles exclusivos que la co...;40.4381633;-3.6892995;4 habs.;1ª planta
404.000 €;Piso en calle de Rafael de Riego;/comprar/piso-palos_de_moguer28045-42595004619_100500/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);2 baños;89 m²;"Confíanos tu vivienda en venta o en alquiler. Más de 25 años de experiencia nos avalan.

Bonita vivienda 
Plaza de garaje incluida...";40.4038586;-3.6923173;3 habs.;2ª planta
