precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
380.000 €;Estudio en calle de Alonso Cano;/comprar/estudio-rios_rosas28003-45087258770_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);39 m²;Redpiso ríos rosas – chamberí vende maravilloso estudio exterior muy luminoso y con piscina de uso comunitario, en c/ alonso cano, a un paso de la calle josé abascal. 39 mts2 construidos, reformado, moderno, con aire acondicionado y calefacción centralizada por conductos. Cocina equipada. Además la finca cuenta con servicio de portería,. No pierda la oportunidad de vivir en una vivienda actual con todas las comodidades en el barrio de chamberí. Perfectamente ubicada, muy próximo a la línea de metro alonso cano (l7) y rios rosas (l1) a pocos minutos del nudo de nuevos ministerios y su estación que ofrece 3 líneas de metro (6 - 8 y 10) y otras 7 de cercanías ( c-1, c-2, c-3, c-3a, c-4, c-7, c-8 y c-10) muy próximo a vías principales como raimundo fernández villaverde y bravo murillo. Rodeado de servicios como: farmacias, mercados, bares, restaurantes, etc. Líneas de autobuses 5 y 45. ¡Visítelo sin compromiso! Para más información contacte con nuestra oficina c/ ríos rosas 11. Teléfono 911 123 352 y whatsapp 622206523.;40,4393829;-3,6978293;;;
299.000 €;Piso en calle de Vargas;/comprar/piso-rios_rosas28003-44207637630_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);57 m²;"Piso bajo exterior, en venta con estupenda ubicación, esquina con la afamada calle josé abascal. Consta de 57m² construidos (51m² útiles), distribuidos en dos habitaciones, salón y comedor en dos estancias diferenciadas, baño y cocina con acceso patio comunitario para uso y disfrute de esta unidad funcional. Se encuentra en una magnifica zona comercial con todos los servicios al alcance y rodeado de todo tipo de comercios. Centros de salud, centros deportivos, parque de canal, mercado de chamberí, bares, restaurantes (muy cerquita de la calle ponzano) y a un paso de diversas líneas del metro (gregorio marañón (l.7 y l.10), alonso cano (l.7), canal (l2 y l7),. Iglesia y ríos rosas (l1) y de autobuses. Posibilidad de distribución, ideal como inversión. Contacte con redpiso ríos rosas para concertar una visita, teléfono de oficina 911.123.352 o whatsapp 664.464.490. Estaremos encantados de atenderle. ¡No pierda la oportunidad de vivir o invertir en una de las zonas más demandadas en madrid!

¿Necesita financiación? Consulte con nuestro departamento financiero, las mejores condiciones solo con redpiso.";40,438793;-3,6986356;3 habs.;;
225.000 €;Piso en calle de San Raimundo;/comprar/piso-bellas_vistas28039-45077861053_527800/;Bellas Vistas (Distrito Tetuán. Madrid Capital);48 m²;"Te presento este encantador inmueble con una excelente ubicación y distribución.

El edificio cuenta con ascensor y la i. T. E fav...";40.451817;-3.7038607;2 habs.;1 baño;Bajo
260.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-45088315406_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);55 m²;Agencia inmobiliaria de madrid zona parque santa maria – pinar del rey- hortaleza tecnocasa con más de 25 años de experiencia en e...;40.4779644;-3.6470922;2 habs.;1 baño;2ª planta
290.000 €;Piso en calle del Conde de Peñalver, 60;/comprar/piso-lista_barrio28006-39183060147_100500/;Lista (Distrito Salamanca. Madrid Capital);53 m²;Agencia inmobiliaria ds realtors te ofrece, sin honorarios al comprador, esta vivienda localizada en lista, en calle conde de peña...;40.4309;-3.67483;2 habs.;1 baño;Sótano
549.000 €;Piso en calle del General Pardiñas;/comprar/piso-goya28001-44188386222_100500/;Goya (Distrito Salamanca. Madrid Capital);54 m²;Boher gestión inmobiliaria. Vende en exclusiva.: precioso apartamento en la calle general pardiñas, junto a la calle goya, 5ª plan...;40.4264221;-3.678697;1 hab.;1 baño;5ª planta
369.000 €;Ático en Tetuán;/comprar/atico-bellas_vistas28039-42528476620_102100/;Bellas Vistas (Distrito Tetuán. Madrid Capital);80 m²;Gilmar consulting inmobiliario castellana-orense, vende ático, exterior situado en una tercera planta y con una superficie aproxim...;40.4617881;-3.7108311;2 habs.;1 baño;
195.000 €;Piso en Vista Alegre;/comprar/piso-carabanchel_vista_alegre28025-44197296913_100200/;Vista Alegre (Distrito Carabanchel. Madrid Capital);64 m²;Inmobiliaria en carabanchel, vista alegre madrid - tecnocasa estudio carpetana sl vende piso en la calle via carpetana compuesto p...;40.3906818;-3.7435048;2 habs.;1 baño;3ª planta
290.000 €;Piso en Puerta del Ángel;/comprar/piso-puerta_del_angel-44188766647_527800/;Puerta del Ángel (Distrito Latina. Madrid Capital);86 m²;"¡Bienvenido a tu próximo hogar situado entre puerta del ángel y alto de extremadura! 

Al entrar, te recibirán amplios espacios ll...";40.4067235;-3.7350172;3 habs.;2 baños;2ª planta
3.250.000 €;Piso en calle de María de Molina;/comprar/piso-chamartin_el_viso28006-39180480477_101800/;El Viso (Distrito Chamartín. Madrid Capital);340 m²;Espectacular piso totalmente exterior en todo su perímetro, con unas vistas panorámicas de madrid. Ubicado en una planta alta sin ...;40.437989221;-3.689627648;5 habs.;4 baños;11ª planta
1.680.000 €;Piso en calle calle de Sagasti;/comprar/piso-goya28006-39176434478_101800/;Goya (Distrito Salamanca. Madrid Capital);174 m²;Walter haus tiene el placer de presentar este extraordinario ático, destacando su impresionante terraza de 41 m². Aunque actualmen...;40.427368;-3.6708528;3 habs.;3 baños;6ª planta
1.290.000 €;Piso en calle Maestro Ángel Llorca;/comprar/piso-chamberi_vallehermoso28003-44178777106_100500/;Vallehermoso (Distrito Chamberí. Madrid Capital);231 m²;"Ds realtors comercializa en exclusiva este señorial piso de 231 metros en buen estado.
Es una 4ª planta exterior en edificio de si...";40.4432887;-3.7143009;6 habs.;3 baños;4ª planta
148.000 €;Piso en Ronda del Sur;/comprar/piso-puente_de_vallecas_entrevias28053-45091246563_108900/;Entrevías (Distrito Puente de Vallecas. Madrid Capital);75 m²;"Vivienda madrid vende en exclusiva piso luminoso de 75 m² con terraza, ubicado en 2ª planta de la ronda del sur. 

Se distribuye e...";40.3749148;-3.6695651;3 habs.;1 baño;
