OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,12534,5_38,20170530,5,38,GUADALAJARA,Estación RENFE,S,38,70200,,93,224,U,19,130,13002,1300201,99999,Plaza,de la,Estación,SN,SN,,,,01,001,,T1301,1300201001,,,C2,, ,0,28,536-1,2,3,20030331,19860101,,484688,4499472,N,,,,
2,9861,5_45,20170530,5,45,MECO,,S,45,70104,,93,271,U,28,083,08301,0830101,10097,Trva,de la,Calera,N,3,,,28880,01,001,,T083249,0830101001,,2,C1,4,083-001,1130,43,535-4,2,3,20030331,19860101,,474816,4487348,N,,,,
3,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
4,10860,5_59,20170530,5,59,"POZO, EL",,S,59,70003,,91,48,U,28,079,07901,0790101,01987,Avda,de,Entrevías,N,140,,,28053,13,002,131,T07914302,0790101771,3,3,A,2,079-13-374,374,74,559-4,2,3,20030331,19860101,,444402,4469894,N,,,,
5,9062,5_65,20170530,5,65,RECOLETOS,,I,65,18001,,92,67,U,28,079,07901,0790101,00985,Paseo,de,Recoletos,N,20,,,28001,04,005,041,T0798458,0790101325,1,1,A,1,079-04-070,70,57,559-1,2,3,20030331,19860101,,441504,4475190,N,,,,
6,10541,5_71,20170530,5,71,SAN FERNANDO,Con Avda de San Pablo,S,71,70101,,93,333,U,28,049,04901,0490101,10029,Calle, ,Estación de ferrocarril,N,6,,,28823,04,002,,T04913,0490101019,,2,B1,3,049-003,896,59,559-2,2,3,20030331,19860101,,454836,4477235,N,,,,
7,12658,5_75,20170530,5,75,SANTA EUGENIA,,S,75,70109,,93,340,U,28,079,07901,0790101,10280,Avda,de,Santa Eugenia,N,2,,,28031,18,039,182,T07912787,0790101788,,3,A,2,079-18-504,504,62,559-4,2,3,20030331,19860101,,448415,4471096,N,,,,
8,12653,5_10,20170530,5,10,ASAMBLEA DE MADRID-ENTREVIAS,,S,10,70002,,93,145,U,28,079,07901,0790101,06477,Calle,del,Vizconde de Arlessón,N,45,,,28053,13,023,131,T07913451,0790101766,,3,A,2,079-13-372,372,20,559-4,2,3,20030331,19860101,,443407,4470542,N,,,,
9,10540,5_106,20170530,5,106,"GARENA, LA",,E,106,70111,,92,218,U,28,005,00501,0050101,07030,Calle, ,Fausto Elhuyar,N,6,,,28806,08,029,,T005907,0050101050,,2,B3,3,005-008,864,,560-1,2,3,20040929,20040101,,466785,4481365,P,,,,
10,10589,5_11,20170530,5,11,ATOCHA,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910055,0790101717,1,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,
11,9860,5_12,20170530,5,12,AZUQUECA,,S,12,70105,,93,151,U,19,046,04601,0460101,99999,Paseo,de la,Estacion,SN,SN,,,,01,001,,T0461,0460101001,,,C1,, ,0,7,535-4,2,3,20030331,19860101,,477636,4490271,P,,,,
12,34602,5_143,20170530,5,143,SOTO DEL HENARES,,I,143,70112,,93,520,U,28,148,14801,,C0049,Paseo,de la,Democracia,N,17,,,28850,02,019,,T1488824,,,2,B2,2,148-013,944,,560-1,2,3,20150828,20150828,,462693,4479508,T,,,,
13,13713,5_18,20170530,5,18,CHAMARTIN,Complejo Ferroviario,I,18,17000,,90,25,U,28,079,07901,0790101,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791996,0790101150,1,1,A,1,079-05-086,86,11,559-2,2,3,20030331,19860101,,442257,4480589,T,,,,
14,12671,5_2,20170530,5,2,ALCALÁ DE HENARES,Con Calle de Valdetorres,S,2,70103,,93,125,U,28,005,00501,0050101,A0549,Calle, ,Pedro Lainez,N,2,,,28807,07,004,,T005571,0050101029,,2,B3,3,005-018,874,1,560-1,2,3,20030331,19860101,,469063,4482309,N,,,,
15,11739,5_22,20170530,5,22,COSLADA,Con Trva de León Felipe,I,22,70108,,92,87,U,28,049,04901,0490101,A0172,Calle,de,Luis Braille,N,8,,,28821,01,013,,T049291,0490101010,8,2,B1,3,049-005,898,14,559-2,2,3,20030331,19860101,,452508,4475148,P,,,,
16,9856,5_3,20170530,5,3,ALCALÁ DE HENARES UNIVERSIDAD,Pl Sector 20,S,3,70107,,93,126,U,28,005,00501,0050101,99999,Ctra,del ,Campus,SN,SN,,,28805,06,017,,T00535,0050101035,,2,B3,3,005-004,860,2,535-4,2,3,20030331,19860101,,471691,4484109,N,,,,
17,12674,5_81,20170530,5,81,TORREJON DE ARDOZ,Con Calle Pamplona,S,81,70102,,93,351,U,28,148,14801,1480101,01866,Paseo, ,Estación,N,3,,,28850,03,005,,T148376,1480101026,,2,B2,3,148-009,940,63,560-1,2,3,20030331,19860101,,459425,4478534,N,,,,
18,10862,5_87,20170530,5,87,VALLECAS,,E,87,70005,,91,49,U,28,079,07901,0790101,09429,Avda,de la,Democracia,N,1,,,28031,13,128,134,T07913501,0790101776,3,3,A,2,079-13-350,350,67,559-4,2,3,20030331,19860101,,447096,4470575,P,,,,
19,13715,5_90,20170530,5,90,VICALVARO,,I,90,70100,,91,39,U,28,079,07901,0790101,08410,Calle,de,San Cipriano,N,85,,,28032,19,047,191,T07910783,0790101895,4,3,A,2,079-19-531,531,68,559-4,1,3,20030331,19860101,,449540,4472679,N,,,,
