OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,13657,5_34,20170530,5,34,GETAFE CENTRO,,I,34,37002,,92,92,U,28,065,06503,0650301,A0299,Calle,,Ferrocarril,N,2,,,28904,03,033,,T065550,0650301031,7,4,B1,2,065-002,706,27,582-1,2,3,20030331,19860101,,437745,4462642,T,,,,
2,7904,5_36,20170530,5,36,GETAFE SECTOR 3,,S,36,37011,,93,220,U,28,065,06503,0650301,A0172,Calle,del,Cementerio Municipal,SN,SN,,,28906,01,014,,T065818,0650301022,,4,B1,3,065-028,732,82,582-1,2,3,20030331,19860101,,437436,4460219,T,,,,
3,12538,5_37,20170530,5,37,"GOLOSO, EL",El goloso. Madrid (MADRID-FUENCARRAL) (MADRID),S,37,17003,,93,221,U,28,079,07901,0790199,99999,Ctra,de,Colmenar Viejo,SN,SN,,,28790,08,130,088,T07954,0790199999,,7,B1,3,079-08-142,142,18,534-3,2,3,20030331,19860101,,439656,4490209,N,,,,
4,7906,5_43,20170530,5,43,"MARGARITAS-UNIVERSIDAD, LAS",,S,43,37010,,92,267,U,28,065,06503,0650301,A0460,Calle, ,Madrid,N,152,,,28903,02,013,,T06567,0650301036,,4,B1,3,065-002,706,32,582-1,2,3,20030331,19860101,,438314,4464074,T,,,,
5,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
6,12739,5_53,20170530,5,53,PARLA,,S,53,37012,,92,100,U,28,106,10601,1060102,00113,Calle,,Real,N,81,,,28981,01,003,,T106171,1060102001,7,4,B2,3,106-005,819,49,582-3,2,3,20030331,19860101,,434668,4454972,T,,,,
7,10589,5_11,20170530,5,11,ATOCHA,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910055,0790101717,1,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,
8,12215,5_122,20170530,5,122,SOL,,I,122,18101,,90,58,U,28,079,07901,0790101,04980,Plaza,de la,Puerta del Sol,N,6,,,28013,01,119,016,T0799116,0790101560,,5,A,1,079-01-014,14,,solape,2,3,20090625,20090625,,440460,4474469,T,,,,
9,1282,5_15,20170530,5,15,CANTOBLANCO UNIVERSIDAD,,S,15,17009,,93,32,U,28,079,07901,0790101,C1608,Calle,de,Freud,N,3,,,28049,08,130,088,T079101,0790101923,2,7,B1,3,079-08-142,142,9,534-3,2,3,20030331,19860101,,440805,4488558,T,,,,
10,13713,5_18,20170530,5,18,CHAMARTIN,Complejo Ferroviario,I,18,17000,,90,25,U,28,079,07901,0790101,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791996,0790101150,1,1,A,1,079-05-086,86,11,559-2,2,3,20030331,19860101,,442257,4480589,T,,,,
11,12535,5_21,20170530,5,21,COLMENAR VIEJO,,S,21,17005,,93,174,U,28,045,04505,0450501,99999,Calle,de la,Doctora Nogales de la Morena,SN,SN,,,28770,01,016,,T045610,0450501001,,7,B3,3,045-003,611,,534-1,2,3,20030331,19860101,,434520,4499843,T,,,,
12,1288,5_31,20170530,5,31,FUENCARRAL,,S,31,17001,,92,216,U,28,079,07901,0790101,08960,Calle,de,Antonio de Cabezón,N,10,,,28034,08,128,086,T079530,0790101008,,7,A,2,079-08-149,149,23,534-4,2,3,20030331,19860101,,442293,4483859,T,,,,
13,12536,5_83,20170530,5,83,TRES CANTOS,,S,83,17004,,92,353,U,28,903,90301,9030103,00285,Plaza,de la,Estación,N,1,,,28760,01,016,,T903274,9030103009,,7,B2,3,903-007,640,65,534-1,2,3,20030331,19860101,,439558,4494635,P,,,,
14,10875,5_92,20170530,5,92,VILLAVERDE ALTO,,S,92,37001,,91,82,U,28,079,07901,0790101,45300,Calle,del,Valle de Tobalina,N,56,,,28021,17,106,171,T07916147,0790101855,3,4,A,2,079-17-484,484,70,559-3,2,3,20030331,19860101,,439643,4466082,T,,,,
15,7907,5_93,20170530,5,93,VILLAVERDE BAJO,,S,93,60100,,92,23,U,28,079,07901,0790101,02052,Paseo,de la,Estación,N,2,,,28021,17,057,174,T07915541,0790101839,3,4,A,2,079-17-482,482,71,559-4,2,3,20030331,19860101,,442026,4467330,T,,,,
