OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,10820,5_42,20170530,5,42,MAJADAHONDA,,S,42,10007,,92,263,U,28,080,08022,0802201,A0005,Cmno, ,Estación del Plantío,N,6,,,28221,02,015,,T080165,0802201043,,6,B2,3,080-004,979,41,559-1,2,3,20030331,19860101,,428452,4480950,P,,,,
2,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
3,11738,5_58,20170530,5,58,PITIS,,S,58,97100,,93,86,U,28,079,07901,0790199,45576,Ctra,a la,Estación de Pitis,N,19,,,28035,08,139,087,T079764,0790199999,2,7,A,2,079-08-158,158,52,559-1,2,3,20030331,19860101,,438601,4483172,P,,,,
4,10860,5_59,20170530,5,59,"POZO, EL",,S,59,70003,,91,48,U,28,079,07901,0790101,01987,Avda,de,Entrevías,N,140,,,28053,13,002,131,T07914302,0790101771,3,3,A,2,079-13-374,374,74,559-4,2,3,20030331,19860101,,444402,4469894,N,,,,
5,11080,5_60,20170530,5,60,POZUELO,,S,60,10002,,93,303,U,28,115,11504,1150401,A0255,Calle, ,Estación,N,2,,,28224,02,004,,T115197,1150401010,,6,B1,3,115-009,996,53,559-1,2,3,20030331,19860101,,432259,4477916,N,,,,
6,13438,5_61,20170530,5,61,PRINCIPE PIO,Con Vía Ferrocarril,I,61,10000,,90,18,U,28,079,07901,0790101,02239,Paseo,de la,Florida,N,2,,,28008,09,010,091,T0798149,0790101315,1,6,A,1,079-09-230,230,54,559-1,2,3,20030331,19860101,,439007,4474950,N,,,,
7,12539,5_64,20170530,5,64,RAMON Y CAJAL,,S,64,97201,,92,311,U,28,079,07901,0790101,08431,Calle,de,San Modesto,N,50,,,28034,08,111,086,T0791097,0790101069,,7,A,2,079-08-187,187,56,559-1,2,3,20030331,19860101,,441231,4482389,N,,,,
8,9062,5_65,20170530,5,65,RECOLETOS,,I,65,18001,,92,67,U,28,079,07901,0790101,00985,Paseo,de,Recoletos,N,20,,,28001,04,005,041,T0798458,0790101325,1,1,A,1,079-04-070,70,57,559-1,2,3,20030331,19860101,,441504,4475190,N,,,,
9,10824,5_68,20170530,5,68,"ROZAS, LAS",,S,68,10005,,93,322,U,28,127,12704,1270401,A0038,Calle,de la,Vía de Servicio de las Rozas,N,1,,,28231,01,006,,T127599,1270401012,,6,B2,3,127-009,1018,34,558-2,2,3,20030331,19860101,,426543,4483184,N,,,,
10,10541,5_71,20170530,5,71,SAN FERNANDO,Con Avda de San Pablo,S,71,70101,,93,333,U,28,049,04901,0490101,10029,Calle, ,Estación de ferrocarril,N,6,,,28823,04,002,,T04913,0490101019,,2,B1,3,049-003,896,59,559-2,2,3,20030331,19860101,,454836,4477235,N,,,,
