OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,stop_name,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,stop_id,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
8.0,14051.0,5_142,20170530.0,5.0,142.0,AEROPUERTO T4,,I,142.0,98305.0,,90.0,33.0,U,28.0,79.0,7901.0,790101.0,20169,Ctra,de,Alcobendas a Barajas,SN,SN,,,28042.0,21.0,28.0,214.0,T079916658,790101240.0,4.0,2.0,A,1.0,079-21-575,575.0,,559-2,2.0,3.0,20110914.0,20110915.0,,449828.0,4482718.0,N,,,,,,,,,,,,,,,
14.0,12671.0,5_2,20170530.0,5.0,2.0,ALCALÁ DE HENARES,Con Calle de Valdetorres,S,2.0,70103.0,,93.0,125.0,U,28.0,5.0,501.0,50101.0,A0549,Calle, ,Pedro Lainez,N,2,,,28807.0,7.0,4.0,,T005571,50101029.0,,2.0,B3,3.0,005-018,874.0,1.0,560-1,2.0,3.0,20030331.0,19860101.0,,469063.0,4482309.0,N,,,,,,,,,,,,,,,
16.0,9856.0,5_3,20170530.0,5.0,3.0,ALCALÁ DE HENARES UNIVERSIDAD,Pl Sector 20,S,3.0,70107.0,,93.0,126.0,U,28.0,5.0,501.0,50101.0,99999,Ctra,del ,Campus,SN,SN,,,28805.0,6.0,17.0,,T00535,50101035.0,,2.0,B3,3.0,005-004,860.0,2.0,535-4,2.0,3.0,20030331.0,19860101.0,,471691.0,4484109.0,N,,,,,,,,,,,,,,,
,,,,,,ALVAREZ DE VILLAAMIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_5,5.0,Calle del Príncipe Carlos 13 B,40.48905,-3.65136,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,ALVAREZ DE VILLAAMIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_5,5.0,Calle del Príncipe Carlos 13 B,40.48905,-3.65136,A,http://www.crtm.es,1.0,,Europe/Madrid,2.0
,,,,,,ANTONIO SAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_4,4.0,Calle del Príncipe Carlos 10,40.48546,-3.65353,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,ANTONIO SAURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_4,4.0,Calle del Príncipe Carlos 10,40.48546,-3.65353,A,http://www.crtm.es,1.0,,Europe/Madrid,2.0
8.0,12653.0,5_10,20170530.0,5.0,10.0,ASAMBLEA DE MADRID-ENTREVIAS,,S,10.0,70002.0,,93.0,145.0,U,28.0,79.0,7901.0,790101.0,06477,Calle,del,Vizconde de Arlessón,N,45,,,28053.0,13.0,23.0,131.0,T07913451,790101766.0,,3.0,A,2.0,079-13-372,372.0,20.0,559-4,2.0,3.0,20030331.0,19860101.0,,443407.0,4470542.0,N,,,,,,,,,,,,,,,
6.0,10589.0,5_11,20170530.0,5.0,11.0,ATOCHA,,I,11.0,18000.0,,90.0,54.0,U,28.0,79.0,7901.0,790101.0,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007.0,2.0,83.0,27.0,T07910055,790101717.0,1.0,4.0,A,1.0,079-02-033,33.0,8.0,559-3,2.0,3.0,20030331.0,19860101.0,,441621.0,4473322.0,T,,,,,,,,,,,,,,,
10.0,10589.0,5_11,20170530.0,5.0,11.0,ATOCHA,,I,11.0,18000.0,,90.0,54.0,U,28.0,79.0,7901.0,790101.0,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007.0,2.0,83.0,27.0,T07910055,790101717.0,1.0,4.0,A,1.0,079-02-033,33.0,8.0,559-3,2.0,3.0,20030331.0,19860101.0,,441621.0,4473322.0,T,,,,,,,,,,,,,,,
,,,,,,AVENIDA DE EUROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_21,21.0,Avda   Comunidad de Madrid 3,40.43931,-3.79305,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,AVENIDA DE EUROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_21,21.0,Avda   Comunidad de Madrid 3,40.43931,-3.79305,B1,http://www.crtm.es,1.0,,Europe/Madrid,2.0
,,,,,,AVENIDA SISTEMA SOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_59,59.0,Avda del Sistema Solar 9,40.22343,-3.76072,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
11.0,9860.0,5_12,20170530.0,5.0,12.0,AZUQUECA,,S,12.0,70105.0,,93.0,151.0,U,19.0,46.0,4601.0,460101.0,99999,Paseo,de la,Estacion,SN,SN,,,,1.0,1.0,,T0461,460101001.0,,,C1,, ,0.0,7.0,535-4,2.0,3.0,20030331.0,19860101.0,,477636.0,4490271.0,P,,,,,,,,,,,,,,,
,,,,,,Arturo Soria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_1_721,1.0,Calle de Arturo Soria 330,40.48023,-3.66684,,http://www.crtm.es,2.0,est_10_1,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_1_722,1.0,Calle de Arturo Soria 330,40.48015,-3.66694,,http://www.crtm.es,2.0,est_10_1,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_2_724,2.0,Cmno de la Fuente de la Mora 6,40.48566,-3.66302,,http://www.crtm.es,2.0,est_10_2,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_2_726,2.0,Calle de Dulce Chacón 15,40.48461,-3.66302,,http://www.crtm.es,2.0,est_10_2,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_3_728,3.0,Avda de Manoteras 49,40.48742,-3.66116,,http://www.crtm.es,2.0,est_10_3,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_6_720,6.0,Calle del Príncipe Carlos 48,40.49357,-3.6557,,http://www.crtm.es,2.0,est_10_6,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_7_730,7.0,Calle de María Tudor 15,40.49708,-3.65905,,http://www.crtm.es,2.0,est_10_7,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_14_809,14.0,Calle  Veritas 1,40.41567,-3.79264,,http://www.crtm.es,2.0,est_10_14,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_21_811,21.0,Avda  Comunidad de Madrid 3,40.43953,-3.79301,,http://www.crtm.es,2.0,est_10_21,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_22_813,22.0,Calle  Plutón 1,40.4446,-3.79116,,http://www.crtm.es,2.0,est_10_22,,0.0
,,,,,,Ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_29_738,29.0,Avda del Montepríncipe 1,40.39777,-3.83592,,http://www.crtm.es,2.0,est_10_29,,0.0
,,,,,,Avda. Fuente de la Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_2_723,2.0,Cmno de la Fuente de la Mora 6,40.48561,-3.66318,,http://www.crtm.es,2.0,est_10_2,,0.0
,,,,,,Avda. Manoteras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_3_727,3.0,Avda de Manoteras 49,40.4874,-3.66105,,http://www.crtm.es,2.0,est_10_3,,0.0
,,,,,,Avenida de Europa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_21_810,21.0,Avda  Comunidad de Madrid 3,40.43914,-3.79309,,http://www.crtm.es,2.0,est_10_21,,0.0
,,,,,,BELGICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_18,18.0,Via de las Dos Castillas 5,40.43058,-3.80755,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,BERNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_22,22.0,Calle   Plutón 1,40.44487,-3.7912,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,BERNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_22,22.0,Calle   Plutón 1,40.44487,-3.7912,B1,http://www.crtm.es,1.0,,Europe/Madrid,2.0
,,,,,,BLASCO IBAÑEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_6,6.0,Calle del Príncipe Carlos 50,40.49368,-3.65584,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,BLASCO IBAÑEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,est_10_6,6.0,Calle del Príncipe Carlos 50,40.49368,-3.65584,A,http://www.crtm.es,1.0,,Europe/Madrid,2.0
,,,,,,BOADILLA CENTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_34,34.0,Ctra de Boadilla-Majadahonda 40,40.40714,-3.88004,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,BULEVAR SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_55,55.0,Calle   San Antón 4,40.23473,-3.77236,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,Berna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc_10_22_812,22.0,Calle  Plutón 1,40.44476,-3.79116,,http://www.crtm.es,2.0,est_10_22,,0.0
