stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_10_1,1,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.66684,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_1_721,1,Arturo Soria,Calle de Arturo Soria 330,40.48023,-3.66684,,http://www.crtm.es,2,est_10_1,,0
acc_10_1_722,1,Ascensor,Calle de Arturo Soria 330,40.48015,-3.66694,,http://www.crtm.es,2,est_10_1,,0
par_10_2,2,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.48482,-3.66325,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_2_723,2,Avda. Fuente de la Mora,Cmno de la Fuente de la Mora 6,40.48561,-3.66318,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_724,2,Ascensor,Cmno de la Fuente de la Mora 6,40.48566,-3.66302,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_725,2,Camino Fuente de la Mora,Calle de Dulce Chacón 15,40.48461,-3.66308,,http://www.crtm.es,2,est_10_2,,0
acc_10_2_726,2,Ascensor,Calle de Dulce Chacón 15,40.48461,-3.66302,,http://www.crtm.es,2,est_10_2,,0
par_10_3,3,VIRGEN DEL CORTIJO,Avda de Manoteras 54,40.48734,-3.66098,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_3_727,3,Avda. Manoteras,Avda de Manoteras 49,40.4874,-3.66105,,http://www.crtm.es,2,est_10_3,,0
acc_10_3_728,3,Ascensor,Avda de Manoteras 49,40.48742,-3.66116,,http://www.crtm.es,2,est_10_3,,0
par_10_4,4,ANTONIO SAURA,Calle del Príncipe Carlos 10,40.48546,-3.65353,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_4_732,4,Príncipe Carlos,Calle del Príncipe Carlos 10,40.48552,-3.6535,,http://www.crtm.es,2,est_10_4,,0
par_10_5,5,ALVAREZ DE VILLAAMIL,Calle del Príncipe Carlos 13 B,40.48905,-3.65136,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_5_733,5,Príncipe Carlos,Calle del Príncipe Carlos 13 B,40.48903,-3.65126,,http://www.crtm.es,2,est_10_5,,0
par_10_6,6,BLASCO IBAÑEZ,Calle del Príncipe Carlos 50,40.49368,-3.65584,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_6_719,6,Príncipe Carlos,Calle del Príncipe Carlos 48,40.49354,-3.65563,,http://www.crtm.es,2,est_10_6,,0
acc_10_6_720,6,Ascensor,Calle del Príncipe Carlos 48,40.49357,-3.6557,,http://www.crtm.es,2,est_10_6,,0
par_10_7,7,MARIA TUDOR,Calle de María Tudor 15,40.49717,-3.65889,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_7_729,7,María Tudor,Calle de María Tudor 15,40.49701,-3.65907,,http://www.crtm.es,2,est_10_7,,0
acc_10_7_730,7,Ascensor,Calle de María Tudor 15,40.49708,-3.65905,,http://www.crtm.es,2,est_10_7,,0
acc_10_7_731,7,Catalina de Austria,Calle de María Tudor 15,40.49779,-3.6582,,http://www.crtm.es,2,est_10_7,,0
par_10_8,8,PALAS DE REY,Calle de Palas de Rey 18 A,40.50544,-3.66507,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_8_734,8,Palas de Rey,Calle de Palas de Rey SN,40.50546,-3.66501,,http://www.crtm.es,2,est_10_8,,0
par_10_9,9,LAS TABLAS,Calle de Palas de Rey 30,40.50824,-3.66932,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_9_735,9,Palas de Rey,Calle de Palas de Rey SN,40.50808,-3.66884,,http://www.crtm.es,2,est_10_9,,0
est_10_1,1,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.66684,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_2,2,FUENTE DE LA MORA,Calle de Dulce Chacón 15,40.48482,-3.66325,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_3,3,VIRGEN DEL CORTIJO,Avda de Manoteras 54,40.48734,-3.66098,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_4,4,ANTONIO SAURA,Calle del Príncipe Carlos 10,40.48546,-3.65353,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_5,5,ALVAREZ DE VILLAAMIL,Calle del Príncipe Carlos 13 B,40.48905,-3.65136,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_6,6,BLASCO IBAÑEZ,Calle del Príncipe Carlos 50,40.49368,-3.65584,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_7,7,MARIA TUDOR,Calle de María Tudor 15,40.49717,-3.65889,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_8,8,PALAS DE REY,Calle de Palas de Rey 18 A,40.50544,-3.66507,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_9,9,LAS TABLAS,Calle de Palas de Rey 30,40.50824,-3.66932,A,http://www.crtm.es,1,,Europe/Madrid,2
par_10_10,10,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.39698,-3.77456,A,http://www.crtm.es,0,,Europe/Madrid,2
par_10_11,11,PRADO DE LA VEGA,Ctra   M-502 (Carabanchel) 1200,40.4023,-3.78121,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_12,12,COLONIA DE LOS ANGELES,Ctra   M-502 (Carabanchel) 1900,40.40721,-3.7844,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_13,13,PRADO DEL REY,Avda   Radio y Televisión 4,40.41047,-3.78748,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_14,14,SOMOSAGUAS SUR,Calle   Veritas 4,40.41536,-3.79252,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_14_808,14,Somosaguas Sur,Calle  Veritas 1,40.41499,-3.79262,,http://www.crtm.es,2,est_10_14,,0
acc_10_14_809,14,Ascensor,Calle  Veritas 1,40.41567,-3.79264,,http://www.crtm.es,2,est_10_14,,0
par_10_15,15,SOMOSAGUAS CENTRO,Ctra   Carabanchel (M-502) 36,40.41937,-3.79874,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_16,16,POZUELO OESTE,Ctra   Carabanchel (M-502) 63,40.42307,-3.80447,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_18,18,BELGICA,Via de las Dos Castillas 5,40.43058,-3.80755,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_19,19,DOS CASTILLAS,Via de las Dos Castillas 11 D,40.43253,-3.80162,B1,http://www.crtm.es,0,,Europe/Madrid,2
