"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","425423.301","4584014.032","425331.416","4583813.083","2.106711","41.402393","BUS -130--","05","23","Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431424.589","4589242.768","431332.65","4589041.769","2.177905","41.450021","BUS -127--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431141.119","4589147.753","431049.183","4588946.754","2.174522","41.449141","BUS -127--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426071.156","4581210.425","425979.264","4581009.501","2.114803","41.377203","BUS -54-157-D20-H8--","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425186.978","4585316.419","425095.096","4585115.458","2.103723","41.414101","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431609.613","4588791.9","431517.672","4588590.905","2.180171","41.445976","BUS -60-76-127--","08","52","Nou Barris","la Prosperitat","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429300.641","4581018.192","429208.719","4580817.269","2.153442","41.375762","BUS -55--","02","10","Eixample","Sant Antoni","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431652.068","4589915.005","431560.127","4589713.999","2.180552","41.456095","BUS -180--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431790.712","4589940.342","431698.77","4589739.336","2.182209","41.456335","BUS -180--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431737.922","4590258.385","431645.981","4590057.376","2.181541","41.459195","BUS -180--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431919.628","4590679.248","431827.685","4590478.235","2.183669","41.463001","BUS -76-97--","08","56","Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430073.294","4588316.74","429981.367","4588115.749","2.161836","41.441564","BUS -182--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431778.597","4587754.401","431686.655","4587553.415","2.182311","41.436646","BUS -11-132--","08","45","Nou Barris","Porta","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","427693.083","4583606.281","427601.177","4583405.335","2.133911","41.398929","NITBUS -N0--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429970.561","4583183.517","429878.634","4582982.574","2.161202","41.395323","BUS -101--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430209.649","4585521.255","430117.72","4585320.29","2.163791","41.416399","BUS -114--","07","34","Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431711.719","4585556.105","431619.777","4585355.14","2.181759","41.416842","BUS -H8--","09","63","Sant Andreu","Navas","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430773.124","4587501.376","430681.191","4587300.393","2.170306","41.434281","BUS -122--","08","46","Nou Barris","el Turó de la Peira","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431475.725","4590247.877","431383.786","4590046.868","2.178403","41.459078","BUS -199-183--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427567.219","4586782.666","427475.315","4586581.69","2.132025","41.427525","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427724.356","4586744.231","427632.451","4586543.256","2.13391","41.427193","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425625.255","4583971.538","425533.368","4583770.589","2.109132","41.402029","BUS -130--","05","23","Sarrià-Sant Gervasi","Sarrià","",""
