precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
1.300 €/mes;;/alquilar/estudio-la_dreta_de_eixample08007-45863383077_996754/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);1 hab.;1 baño;50 m²;"En alquiler estudio completamente amueblado y equipado en el corazón de la ciudad, ideal para estancias temporales.
Ubicado en una...";41.3911684;2.163047;;barcelona
1.600 €/mes;Piso en Carrer de Sevilla, 1;/alquilar/piso-ciutat_vella_la_barceloneta08003-45911351061_108700/;La Barceloneta (Distrito Ciutat Vella. Barcelona Capital);3 habs.;1 baño;54 m²;"Se alquila acogedora vivienda amueblada en perfecto estado cerca del mar en barceloneta. Disponible a partir del 1 de septiembre.
...";41.3795;2.18912;;barcelona
935 €/mes;;/alquilar/piso-rubi_les_torres-45839251624_519928/;Les Torres (Rubí);4 habs.;3 baños;120 m²;Altura piso 4º, piso superficie total 120 m², superficie útil 100 m², hab. Individuales: 3, habitaciones dobles: 1, 2 baños, 1 ase...;41.482451625;2.033143409;4ª planta;barcelona
1.470 €/mes;;/alquilar/duplex-vilanova_i_la_geltru_centre-44179666981_401700/;Centre (Vilanova i la Geltrú);4 habs.;2 baños;219 m²;Alarcon propiedades presenta un exclusivo triple tipo casa, situado en la rambla principal de la ciudad de vilanova y geltrú. La f...;41.221653;1.7259951;Bajo;barcelona
1.500 €/mes;;/alquilar/piso-centre_passeig_i_rodalies08242-44196526476_500793/;Centre-Passeig i Rodalies (Manresa);3 habs.;2 baños;156 m²;Manresa - passeig pere iii. Descubre tu nuevo hogar en el centro vibrante de la ciudad. Ubicado en una posición envidiable en el s...;41.726180609;1.823478248;6ª planta;barcelona
1.133 €/mes;;/alquilar/piso-sants_montjuic_sants08014-45838404609_100200/;Sants (Distrito Sants-Montjuïc. Barcelona Capital);;1 baño;75 m²;Tecnocasa les corts les presenta esta vivienda nueva a estrenar compuesta por 3 dormitorios, uno con salida a balcón, baño con bañ...;41.3817742;2.1397778;;barcelona
1.200 €/mes;Piso en Carrer de Ferran, 17;/alquilar/piso-el_barri_gotic08002-45013143262_100500/;El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital);;1 baño;56 m²;Luminoso estudio diáfano en alquiler en el corazón  de barcelona. Está totalmente equipado y amueblado. Tiene amplia cama de matri...;41.381;2.17491;1ª planta;barcelona
1.275 €/mes;;/alquilar/piso-el_camp_en_grassot_gracia_nova08025-45835543356_100500/;El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital);2 habs.;1 baño;70 m²;"Alquiler 12- 18 meses
Fantástico piso de 70m² construidos muy bien distribuido, cerca de passeig de sant joan y del mercado provis...";41.4034513;2.1675669;5ª planta;barcelona
850 €/mes;;/alquilar/piso-el_raval08001-45834568295_109300/;El Raval (Distrito Ciutat Vella. Barcelona Capital);2 habs.;1 baño;50 m²;"Presentamos este piso (sin cedula de habitabilidad)  recién reformado en la calle de sant climent 10, en el corazón del raval.

Ub...";41.3785699;2.1699498;;barcelona
1.500 €/mes;;/alquilar/piso-terrassa_centre08221-42585806883_525755/;Centre (Terrassa);4 habs.;3 baños;210 m²;Inmueble en alquiler el centro de terrassa,  distribuido en 4 habitaciones (3 habitaciones dobles y 1 habitación individual), un c...;41.561139;2.0095397;3ª planta;barcelona
1.100 €/mes;;/alquilar/piso-centre_passeig_i_rodalies08242-45011578662_100500/;Centre-Passeig i Rodalies (Manresa);3 habs.;;121 m²;"Gran rehabilitació al centre de manresa

Exclusiu àtic al cor de manresa
Somies viure en un espai únic i exclusiu al centre de man...";41.727950651;1.824129966;5ª planta;barcelona
1.200 €/mes;;/alquilar/atico-centre_covadonga_centre08202-45085131634_108900/;Centre (Distrito Centre-Covadonga. Sabadell);4 habs.;2 baños;100 m²;Exes sabadell centre comercializa este piso-ático muy amplio y soleado de 95 m²,alquiler temporal para contratos de temporalidad! ...;41.5479609;2.1146518;;barcelona
