precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
2.800 €/mes;Piso en Carrer de Balmes;/alquilar/piso-la_dreta_de_eixample08007-45064902844_522145/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);2 habs.;2 baños;85 m²;2ª planta;"Alquiler temporal

Exclusivo piso disponible recientemente reformado ubicado en el distrito de dreta de l'eixample, donde albergan...";41.3889335;2.163301;barcelona
3.900 €/mes;Piso en Carrer del Consell de Cent;/alquilar/piso-la_dreta_de_eixample08007-42560725860_522145/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);1 hab.;1 baño;51 m²;3ª planta;El acogedor apartamento cuenta con 1 dormitorio doble y 1 baño, lo que lo hace perfecto para una pareja o un viajero soltero. El s...;41.383925058;2.156095885;barcelona
14.000 €/mes;Piso en Carrer d'Ausiàs Marc;/alquilar/piso-la_dreta_de_eixample08010-42534077684_522145/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;165 m²;1ª planta;"Alquiler apartamento de lujo en casa burés
Espectacular vivienda de diseño en la exclusiva casa burés, diseñada por berenguer, col...";41.3910675;2.175424;barcelona
2.450 €/mes;Casa en Centro;/alquilar/casa-vilassar_de_mar_centro_urbano-45857697848_100500/;Vilassar de Mar;5 habs.;4 baños;278 m²;;Magnifica casa de pueblo en segunda linea de mar, en el centro de vilassar de mar y a un minuto de la estación. La casa esta total...;41.500938524;2.389108737;barcelona
2.950 €/mes;Piso en Centre;/alquilar/piso-sitges_centre-45058770103_101800/;Centre (Sitges);3 habs.;2 baños;120 m²;1ª planta;¡Descubra la casa de sus sueños en el corazón de sitges! Este elegante piso totalmente amueblado de tres dormitorios y dos baños o...;41.2361117;1.8118622;barcelona
2.430 €/mes;Piso en Carrer del Consell de Cent, 179;/alquilar/piso-la_nova_esquerra_de_eixample08015-42502077158_100500/;La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital);1 hab.;1 baño;53 m²;3ª planta;"*completamente amueblado*
*alquileres mensuales de 1 a 11 meses*

Espectacular apartamento en consell de cent, con 1 dormitorio y ...";41.3836;2.15533;barcelona
2.800 €/mes;Piso en calle de Casp;/alquilar/piso-la_dreta_de_eixample08010-45860898830_101300/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);2 habs.;2 baños;118 m²;;Gdt realty union te ofrece en exclusiva para alquiler temporal este encantador piso en la codiciada zona del eixample derecho, a p...;41.3909417;2.1729951;barcelona
8.150 €/mes;Piso en Can Girona-Terramar-Vinyet;/alquilar/piso-can_girona_terramar_vinyet-42548299111_101800/;Can Girona-Terramar-Vinyet (Sitges);3 habs.;2 baños;140 m²;2ª planta;"¡Vive el verano junto al mar!

Disfruta de unas vacaciones inolvidables en este encantador piso situado en la primera línea de mar...";41.2339482;1.8039689;barcelona
2.500 €/mes;Piso en Els Molins-Poble Sec-Pins Vens;/alquilar/piso-els_molins_poble_sec_pins_vens-45874323469_101800/;Els Molins-Poble Sec-Pins Vens (Sitges);3 habs.;2 baños;141 m²;;Descubre este encantador bajo en alquiler temporal, ideal para disfrutar. Este hermoso piso cuenta con dos jardines, uno delantero...;41.2403142;1.8165638;barcelona
17.000 €/mes;Ático en Avinguda de Pedralbes;/alquilar/atico-pedralbes08034-45008321655_522145/;Pedralbes (Distrito Les Corts. Barcelona Capital);5 habs.;6 baños;546 m²;;"¡Bienvenido al lujoso ático que estás buscando en pedralbes, barcelona!

Este exclusivo ático de lujo cuenta con 5 dormitorios dob...";41.3929249;2.1150659;barcelona
1.500 €/mes;Piso en Sant Sebastià-Aiguadolç;/alquilar/piso-sant_sebastia_aiguadolc08870-32563547157_101800/;Sant Sebastià-Aiguadolç (Sitges);1 hab.;1 baño;25 m²;;El apartamento está situado directamente en la zona del port esportiu d'aiguadolç. Apartamento recién reformado y dispone en dos p...;41.2347109;1.8256583;barcelona
3.200 €/mes;Piso en calle Gran Via;/alquilar/piso-la_nova_esquerra_de_eixample08011-16723920264_522145/;La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;100 m²;3ª planta;"Disponible en julio
Would you like to live in eixample?

Modern barcelona was born in l'eixample, devised by the engineer and urba...";41.37950787;2.152519737;barcelona
2.800 €/mes;Piso en El Raval;/alquilar/piso-el_raval08001-27532848809_101800/;El Raval (Distrito Ciutat Vella. Barcelona Capital);3 habs.;2 baños;107 m²;3ª planta;Alquiler de temporada. Disponible diciembre 2023 a junio 2024. Amueblado con alto standing. Luminoso piso reformado de 115m² const...;41.3850217;2.167916;barcelona
