precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.550 €/mes;Piso en Avenida de Ana de Viya;/alquilar/piso-playa_de_la_victoria-45065319566_265000/;Playa de la Victoria (Cádiz Capital);3 habs.;2 baños;140 m²;3ª planta;Estupendo piso  de 140 m²,  3 habitaciones ( 1 tipo suite y 2 dobles),  2 baños completos, amplia cocina a estrenar, lavadero, com...;36.5094775;-6.2789471;cadiz
1.500 €/mes;Chalet en Campo de Gibraltar;/alquilar/chalet-tarifa_centro_urbano-45046433297_108700/;Tarifa;4 habs.;2 baños;250 m²;;"¡ Alquila tu hogar ideal en el corazón de facinas!

Descubre esta hermosa casa totalmente renovada de mas o menos 250 m², situada ...";36.144058044;-5.699629198;cadiz
550 €/mes;Apartamento en Camino de los Enamorados, 35;/alquilar/apartamento-pinar_alto_crevillet_menesteo-44250730010_528266/;Pinar Alto-Crevillet-Menesteo (El Puerto de Santa María);1 hab.;1 baño;50 m²;1ª planta;"Alquiler de apartamento a 2min de la playa andando , no anual, disponible a partir del  del  1 de julio
Reformado y coqueto, con t...";36.59082857281683;-6.241470319342568;cadiz
1.800 €/mes;Chalet unifamiliar en El Águila-Las Redes-Fuentebravía;/alquilar/chalet_unifamiliar-el_aguila_las_redes_fuentebravia-44194528372_528266/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);4 habs.;3 baños;145 m²;;"Alquiler anual a partir de julio chalet en el soto de vistahermosa sin muebles, magnífica ubicación y orientación (sur)
La viviend...";36.600323324;-6.250533919;cadiz
550 €/mes;Piso en calle Almanzor;/alquilar/piso-reconquista_san_jose_artesano_el_rosario-40884703438_512576/;Reconquista-San José Artesano-El Rosario (Algeciras);2 habs.;1 baño;80 m²;3ª planta;"Se alquila excelente piso en zona centro, cerca del parque ""maría cristina"", ambulatorio, centros educativos, y múltiples comercio...";36.135639;-5.4494773;cadiz
780 €/mes;Piso en La Paz-Segunda Aguado-Loreto;/alquilar/piso-la_paz_segunda_aguado_loreto-24249568729_522680/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);3 habs.;1 baño;75 m²;9ª planta;"!! Fántastica vivienda para curso escolar en cádiz capital !!

La vivienda está situada en la zona de extramuros, concretamente ce...";36.5109758;-6.2727367;cadiz
2.400 €/mes;Chalet en Montes de Oca;/alquilar/chalet-urbanizaciones_zona_norte-44182115840_100500/;Urbanizaciones Zona Norte (El Puerto de Santa María);4 habs.;2 baños;281 m²;;"Fersa inmobiliaria ofrece en exclusiva alquiler anual de chalet con piscina en montes de oca.
Chalet independiente distribuido en ...";36.6257577;-6.2435624;cadiz
850 €/mes;Piso en Avenida;/alquilar/piso-san_jose_varela_la_laguna11010-44259243464_100500/;San José-Varela-La Laguna (Cádiz Capital);3 habs.;1 baño;72 m²;1ª planta;1. Piso → piso en cadiz zona avenida, 72 m. De superficie, 3 habitaciones,  un baño, propiedad en buen estado, cocina equipada, ca...;36.5043613;-6.2738646;cadiz
1.000 €/mes;Piso en calle Tripería;/alquilar/piso-centro_historico_la_costilla-40896532832_526725/;Centro Histórico-La Costilla (Rota);3 habs.;1 baño;75 m²;1ª planta;Si quieres pasar tus dias cerca del mar, este piso seria ideal, cuenta con 3 habitaciones 2 de ellas con cama de matrimonio y  la ...;36.6178667;-6.3592424;cadiz
900 €/mes;Piso en Loreto - Puntales;/alquilar/piso-la_paz_segunda_aguado_loreto11011-45043040497_100500/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);3 habs.;1 baño;71 m²;2ª planta;A pocos minutos de la playa, piso en cadiz zona avenida, 71 m. De superficie, 3 habitaciones,  un baño, propiedad en buen estado, ...;36.5034951;-6.2716288;cadiz
