precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
2.900 €/mes;Casa en Urb. los Almendros;/alquilar/casa-urbanizaciones_zona_norte-42511021017_106000/;Urbanizaciones Zona Norte (El Puerto de Santa María);5 habs.;3 baños;190 m²;"Ref: ralmhoj24 -
Ofertas verano - pregunta por precios por semana / quincena en julio y agosto.
Cómodo alojamiento independiente d...";36.6093467;-6.2697287;;cadiz
700 €/mes;Dúplex en Camino Cerro del Molino;/alquilar/duplex-mogarizas_las_rapaces-46722901068_100500/;Mogarizas-Las Rapaces (Chiclana de la Frontera);2 habs.;2 baños;80 m²;2. Casa/chalet → casa tipo dúplex en chiclana de la frontera zona el sotillo, 80 m. De superficie,  una habitación doble y  una ha...;36.3801325;-6.1740381;Bajo;cadiz
550 €/mes;Apartamento en Camino de los Enamorados, 35;/alquilar/apartamento-pinar_alto_crevillet_menesteo-44250730010_528266/;Pinar Alto-Crevillet-Menesteo (El Puerto de Santa María);1 hab.;1 baño;50 m²;Ocasion vacacional junto a la playa por 550€ la semana. Alquiler de apartamento a 2min de la playa andando , no anual, disponible ...;36.59082857281683;-6.241470319342568;1ª planta;cadiz
1.800 €/mes;Chalet unifamiliar en El Águila-Las Redes-Fuentebravía;/alquilar/chalet_unifamiliar-el_aguila_las_redes_fuentebravia-44194528372_528266/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);4 habs.;3 baños;145 m²;"Alquiler anual a partir de julio chalet en el soto de vistahermosa sin muebles, magnífica ubicación y orientación (sur)
La viviend...";36.600323324;-6.250533919;;cadiz
950 €/mes;Piso en El Mentidero-Teatro Falla-Alameda;/alquilar/piso-el_mentidero_teatro_falla_alameda11003-45881870995_516894/;El Mentidero-Teatro Falla-Alameda (Cádiz Capital);3 habs.;1 baño;85 m²;Cadizsur servicios inmobiliarios les presenta en alquiler de larga duración, este elegante piso reformado y amueblado, ubicado en ...;36.5337277;-6.3013768;Bajo;cadiz
750 €/mes;Piso en calle Navas;/alquilar/piso-la_caleta_la_vina-25052979696_516894/;La Caleta-La Viña (Cádiz Capital);2 habs.;1 baño;70 m²;Cadizsur servicios inmobiliarios les presenta ésta vivienda en alquiler para la temporada escolar 23/24. Zona mentidero, gran teat...;36.5352346;-6.3016821;1ª planta;cadiz
650 €/mes;Piso en calle Sagasta;/alquilar/piso-la_caleta_la_vina11002-45888954787_100500/;La Caleta-La Viña (Cádiz Capital);2 habs.;1 baño;60 m²;Temporada escolar. ¡Oportunidad única en el corazón de cádiz! Alquilamos un encantador piso en pleno casco histórico, ideal para l...;36.5292802;-6.300895;;cadiz
1.200 €/mes;Piso en calle Libertad;/alquilar/piso-la_caleta_la_vina11001-45015443452_516894/;La Caleta-La Viña (Cádiz Capital);4 habs.;2 baños;110 m²;Cadizsur servicios inmobiliarios les informa de éste magnífico piso en alquiler para el curso escolar 24/25, que se encuentra ubic...;36.5303107;-6.2978597;2ª planta;cadiz
900 €/mes;Casa adosada en San Garcia;/alquilar/casa_adosada-san_garcia_getares-46762899749_100500/;San García-Getares (Algeciras);3 habs.;3 baños;105 m²;Adosado en algeciras zona san garcia, 105 m. De superficie, 3 habitaciones dobles, 3 baños, propiedad en buen estado, cocina equip...;36.1104771;-5.4517923;;cadiz
800 €/mes;Casa adosada en San Garcia- Campo de Golf;/alquilar/casa_adosada-san_garcia_getares-38351335476_100500/;San García-Getares (Algeciras);3 habs.;2 baños;130 m²;"Fantástico adosado en san garcía  solo temporada escolar

En urbanización special getares, junto a la playa de getares, dispone de...";36.1029048;-5.4433351;;cadiz
