precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.700 €/mes;;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;60 m²;3ª planta;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;cantabria
1.150 €/mes;;/alquilar/atico-santander_centro_ayuntamiento39010-41760956522_100500/;Centro-Ayuntamiento (Santander);3 habs.;1 baño;88 m²;;¡Echa un vistazo a este ático que tenemos en alquiler temporal, en la calle jesús de monasterio! Es ideal para estudiantes que bus...;43.46169972;-3.813014298;cantabria
800 €/mes;Piso en calle de Benidorm, 7;/alquilar/piso-los_castros39005-45915427609_427100/;Los Castros (Santander);3 habs.;1 baño;71 m²;7ª planta;Luminoso y acogedor, frente a las universidades. **alquiler temporal desde septiembre hasta junio**, séptima altura, con fantástic...;43.470097;-3.7939267;cantabria
500 €/mes;Piso en calle Vista Alegre, 21;/alquilar/piso-cabezon_de_la_sal_centro_urbano-35860309460_519849/;Cabezón de la Sal;1 hab.;1 baño;40 m²;Bajo;Superficie total 40 m², piso superficie útil 38 m², habitaciones dobles: 1, 1 baño, antigüedad entre 5 y 10 años, calefacción (cen...;43.31056181968742;-4.232251251323902;cantabria
2.600 €/mes;Piso en calle de Menéndez Pelayo, 30;/alquilar/piso-laredo_centro-35075618053_515274/;Centro (Laredo);2 habs.;2 baños;87 m²;1ª planta;"¡Precioso piso en alquiler en el centro de laredo para disfrutar de tus vacaciones de verano!

Cerca de todos los servicios y a es...";43.41252605730827;-3.412753663287109;cantabria
1.400 €/mes;Piso en Avenida de Francia, 46;/alquilar/piso-zona_playa-33400351165_515274/;Zona Playa (Laredo);2 habs.;1 baño;70 m²;3ª planta;Piso en alquiler en laredo en residencia privada a escasos metros de la playa salvé, ¡Dónde poder disfrutar de unas estupendas vac...;43.413966773684415;-3.4373315694606195;cantabria
900 €/mes;Piso en Avenida de los Derechos Humanos, 40;/alquilar/piso-zona_playa-25851123426_515274/;Zona Playa (Laredo);2 habs.;2 baños;70 m²;2ª planta;Piso para alquiler vacacional en estupenda residencia privada a pocos metros de la playa. El piso cuenta con dos dormitorios, ampl...;43.4164;-3.4435;cantabria
1.000 €/mes;Piso en Avenida de la Libertad, 87;/alquilar/piso-zona_playa-26688985085_515274/;Zona Playa (Laredo);2 habs.;1 baño;65 m²;7ª planta;¡Estupendo piso en alquiler para disfrutar de tus vacaciones! Cuenta con dos dormitorios, baño con bañera, cocina equipada, y ampl...;43.41302376323155;-3.4376998787271082;cantabria
800 €/mes;;/alquilar/piso-santander_cuatro_caminos39010-40032158483_100500/;Cuatro Caminos (Santander);2 habs.;1 baño;50 m²;2ª planta;"Buscas piso de alquiler en el centro para fijo???
Ética inmobiliria, te ofrece este coqueto  precioso piso a estrenar, totalmente ...";43.4608571;-3.8242466;cantabria
1.500 €/mes;;/alquilar/duplex-cotolino39700-43402313260_100500/;Cotolino (Castro Urdiales);3 habs.;3 baños;180 m²;4ª planta;"Alquiler de larga duración
Ático dúplex en excelente ubicación de cotolino, a tan solo 50 metros de la playa de brazomar, muy cerc...";43.3676199;-3.2121912;cantabria
900 €/mes;;/alquilar/piso-santander_el_sardinero39005-23349094159_427100/;El Sardinero (Santander);3 habs.;2 baños;83 m²;5ª planta;A un paso de la playa. Fantástico apartamento en alquiler en pleno sardinero. **alquiler de temporada** disponible desde el 1 de s...;43.4695738;-3.7843533;cantabria
1.900 €/mes;Piso en calle de la República de Colombia, 10;/alquilar/piso-zona_playa-31740166937_515274/;Zona Playa (Laredo);2 habs.;1 baño;62 m²;11ª planta;Estupendo piso donde poder pasar unas estupendas vacaciones de verano a escasos metros de la playa salvé, en residencia privada co...;43.410659623409124;-3.4357415514077276;cantabria
5.000 €/mes;;/alquilar/piso-cotolino39709-45097793429_100500/;Cotolino (Castro Urdiales);3 habs.;2 baños;95 m²;;"Se alquila por temporadas vivienda a 200m de la playa de brazomar.
Julio:

 Quincena 2.400€ 
 Semana 1.400€
Agosto:
2ª quincena 2....";43.372289359;-3.205616208;cantabria
120 €/día;;/alquilar/piso-el_dueso-45016435144_510167/;El Dueso (Santoña);2 habs.;2 baños;75 m²;2ª planta;"A un paso de la playa de berria.
Urbanización con piscina y tenis
Dúplex con cocina, salón con terraza, 2 dormitorios, uno de ello...";43.462884822;-3.469706017;cantabria
2.500 €/mes;Piso en calle Centro, nº 1;/alquilar/piso-laredo_centro-16666731818_515274/;Centro (Laredo);3 habs.;2 baños;90 m²;1ª planta;¡¡Estupendo piso en alquiler para pasar tus vacaciones de verano en el centro de laredo con unas magníficas vistas al puerto depor...;43.41159464094557;-3.4115767478942876;cantabria
150 €/día;Piso en calle de la Bajada al Puerto, 9;/alquilar/piso-suances_centro_urbano-45877711965_511222/;Suances;2 habs.;1 baño;90 m²;4ª planta;Buscas una ubicación perfecta para disfrutar de tus días de vacaciones? Desconecta con las mejores vistas en nuestro piso de bajad...;43.432247;-4.0381427;cantabria
