precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
3.200 €/mes;;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;2ª planta;"¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé!

Un apartamento moderno y funcional. Cuenta con do...";43.410932303;-3.414800789;;cantabria
750 €/mes;;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;55 m²;cantabria
850 €/mes;;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;4ª planta;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;110 m²;cantabria
850 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;1ª planta;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;75 m²;cantabria
2.300 €/mes;;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;1ª planta;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;70 m²;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;72 m²;cantabria
1.900 €/mes;;/alquilar/piso-brazomar39700-45022295062_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;1ª planta;"Se alquila por temporada vivienda a 200m de la playa de brazomar.
Julio: 
Mensual 2.000€
Quincena 1.300€ 
- capacidad máxima 4 per...";43.373526034;-3.214615513;70 m²;cantabria
950 €/mes;Piso en calle de la Rúa, 26;/alquilar/piso-castro_urdiales_centro-45035818828_100500/;Centro (Castro Urdiales);2 habs.;1 baño;2ª planta;En alquiler por temporadas, piso en el centro de castro urdiales, ubicado junto a la playa de ostende, puerto, iglesia de santa ma...;43.385;-3.21708;75 m²;cantabria
590 €/mes;;/alquilar/estudio-puerto_chico39003-37586330509_523562/;Puerto Chico (Santander);1 hab.;1 baño;;"Se alquila estudio con encanto en pleno centro septiembre-junio. Excelente ubicación 

En el centro de la ciudad, en una de las me...";43.4632221;-3.803542;33 m²;cantabria
800 €/mes;Piso en calle de Calderón de la Barca, 14;/alquilar/piso-castilla_hermida39002-22558468906_100500/;Castilla-Hermida (Santander);2 habs.;1 baño;3ª planta;Piso disponible en septiembre en alquiler para larga estancia, en una de las calles más céntricas de santander, calderón de la bar...;43.459;-3.80929;70 m²;cantabria
150 €/día;Piso en calle de la Bajada al Puerto, 9;/alquilar/piso-suances_centro_urbano-45877711965_511222/;Suances;2 habs.;1 baño;4ª planta;Buscas una ubicación perfecta para disfrutar de tus días de vacaciones? Desconecta con las mejores vistas en nuestro piso de bajad...;43.432247;-4.0381427;90 m²;cantabria
2.000 €/mes;Piso en Avenida de la Victoria, 36;/alquilar/piso-zona_playa-45863701216_100500/;Zona Playa (Laredo);2 habs.;1 baño;1ª planta;"Se alquila el mes de agosto, 2.000 €
Residencia cercana a la playa salve de laredo. Urbanización con pista de tenis y columpios pa...";43.4096;-3.43052;74 m²;cantabria
1.995 €/mes;;/alquilar/piso-puerto_chico39004-45092874591_100500/;Puerto Chico (Santander);4 habs.;2 baños;2ª planta;Propiedad de lujo, totalmente amueblada que invita a entrar para comenzar a vivirla y disfrutar del privilegio que supone encontra...;43.46492;-3.7904089;147 m²;cantabria
1.600 €/mes;;/alquilar/duplex-santona_centro_urbano-45885783344_100500/;Santoña;2 habs.;2 baños;2ª planta;Alquiler vacacional de este espectacular dúplex de estilo moderno en santoña, completamente amueblado y equipado con todo lo neces...;43.4442455;-3.4571276;98 m²;cantabria
