precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta;CCAA
600 €/mes;Estudio en calle Playa de San Cristobal, Edificio Chinasol, nº 20;/alquilar/estudio-almunecar_casco_urbano-40868272200_100500/;Casco Urbano (Almuñécar);37 m²;"Alquiler de temporadas.
Dsiponible: todo julio
Precio anunciado no corresponde a los meses veraniegos ( consultar precio)
Precioso...";36.7341;-3.70261;;;;granada
600 €/sem;Ático en Camino de la Galera;/alquilar/atico-almunecar_taramay-26703581883_173200/;Taramay (Almuñécar);136 m²;En  una urbanizacion a los pies de una preciosa calita de arena negra y en un entorno único e inigualable. Inmobiliaria grupo iris...;36.748841321;-3.658332212;3 habs.;2 baños;;granada
800 €/mes;Piso en Ganivet;/alquilar/piso-granada_capital_centro_catedral18010-45068025107_100500/;Centro-Catedral (Granada Capital);82 m²;Piso en el centro de granada zona plaza nueva, piso en un cuarta planta con ascensor, en pleno centro de granada, cerca de plaza n...;37.176318063;-3.596760272;2 habs.;1 baño;4ª planta;granada
1.100 €/mes;Piso en calle Playa de Cotobro;/alquilar/piso-cotobro18697-35058450668_100500/;Cotobro (Almuñécar);130 m²;"Alquiler de temporadas
Costa tropical de granada 
Dsiponible: todo julio

El precio anunciado no corresponde a los meses veraniego...";36.7330795;-3.7127259;2 habs.;;1ª planta;granada
1.100 €/mes;Piso en calle de Trajano, 4;/alquilar/piso-granada_capital_centro_catedral-37576220432_991011/;Centro-Catedral (Granada Capital);135 m²;Vivienda espectacular de 3 habitaciones grandes con armarios empotrados, 2 baños (uno de ellos en suite) salón y cocina independie...;37.17459387025942;-3.6062417923336128;3 habs.;2 baños;1ª planta;granada
1.100 €/mes;Piso en Paseo del Altillo;/alquilar/piso-almunecar_casco_urbano-35047832527_100500/;Casco Urbano (Almuñécar);110 m²;"Dsiponible: todo julio
El precio anunciado no corresponde a los meses de verano(consultar precio)
El precio anunciado no correspon...";36.7311348;-3.69085;3 habs.;;4ª planta;granada
750 €/mes;Apartamento en calle Mayor Zaragoza;/alquilar/apartamento-velilla_taramay-655884786_173200/;Taramay (Almuñécar);90 m²;En residencial galera playa inmobiliaria grupo iris alquila apartamento seminuevo y bien amueblado con terraza . Esta en una urb. ...;36.74862176;-3.665056111;2 habs.;2 baños;2ª planta;granada
550 €/mes;Estudio en Paseo de San Cristóbal;/alquilar/estudio-almunecar_casco_urbano-35083424530_100500/;Casco Urbano (Almuñécar);37 m²;"Alquiler de temporadas.
Precio hasta abril.
El precio no incluye facturas de agua y electricidad
Edificio chinasol. Apartamento es...";36.7342;-3.70247;;1 baño;;granada
750 €/mes;Apartamento en Paseo de Andrés Segovia;/alquilar/apartamento-la_herradura_distrito-40094644543_173200/;La Herradura (Almuñécar);72 m²;Inmobiliaria grupo iris alquila apartamento en el residencial rosa náutica situado en un espectacular rinconcito de la bahía de la...;36.735942335;-3.744836111;2 habs.;2 baños;Bajo;granada
700 €/mes;Apartamento en calle Ancha de la Virgen;/alquilar/apartamento-realejo18009-6696926687_100500/;Realejo (Granada Capital);65 m²;Bonito apartamento amueblado de 1 dormitorio muy céntrico, en calle ancha de la virgen junto al corte inglés. Rodeado de todo tipo...;37.1714551;-3.5953233;1 hab.;1 baño;1ª planta;granada
