precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios;CCAA
500 €/mes;Piso en Plaza del Doctor Álvarez;/alquilar/piso-cotobro18690-36682984095_100500/;Cotobro (Almuñécar);1 hab.;50 m²;4ª planta;"Costa tropical de granada, alquiler de temporadas.
Alquiler de temporada. Curso escolar
 Disponible: de septiembre hasta junio.
Ap...";36.7359997;-3.6917581;;granada
800 €/mes;Piso en Ganivet;/alquilar/piso-granada_capital_centro_catedral18010-45068025107_100500/;Centro-Catedral (Granada Capital);2 habs.;82 m²;4ª planta;Piso en el centro de granada zona plaza nueva, piso en un cuarta planta con ascensor, en pleno centro de granada, cerca de plaza n...;37.176318063;-3.596760272;1 baño;granada
1.100 €/mes;Piso en calle Playa de Cotobro;/alquilar/piso-cotobro18697-35058450668_100500/;Cotobro (Almuñécar);2 habs.;130 m²;1ª planta;"Alquiler de temporadas
Costa tropical de granada 
Dsiponible: todo julio

El precio anunciado no corresponde a los meses veraniego...";36.7330795;-3.7127259;;granada
1.100 €/mes;Piso en Paseo del Altillo;/alquilar/piso-almunecar_casco_urbano-35047832527_100500/;Casco Urbano (Almuñécar);3 habs.;110 m²;4ª planta;"Dsiponible: todo julio
El precio anunciado no corresponde a los meses de verano(consultar precio)
El precio anunciado no correspon...";36.7311348;-3.69085;;granada
500 €/mes;Apartamento en calle Guadalajara, 3;/alquilar/apartamento-granada_capital_centro_catedral18002-45071852213_100500/;Centro-Catedral (Granada Capital);1 hab.;44 m²;1ª planta;Apartamento en alquiler amueblado, ubicado en el centro de granada, en la calle guadalajara, junto a la plaza trinidad y la plaza ...;37.1764;-3.60312;1 baño;granada
1.100 €/mes;Piso en calle de Trajano, 4;/alquilar/piso-granada_capital_centro_catedral-37576220432_991011/;Centro-Catedral (Granada Capital);3 habs.;135 m²;1ª planta;Vivienda espectacular de 3 habitaciones grandes con armarios empotrados, 2 baños (uno de ellos en suite) salón y cocina independie...;37.17459387025942;-3.6062417923336128;2 baños;granada
600 €/sem;Ático en Camino de la Galera;/alquilar/atico-almunecar_taramay-26703581883_173200/;Taramay (Almuñécar);3 habs.;136 m²;;En  una urbanizacion a los pies de una preciosa calita de arena negra y en un entorno único e inigualable. Inmobiliaria grupo iris...;36.748841321;-3.658332212;2 baños;granada
750 €/mes;Apartamento en Paseo de Andrés Segovia;/alquilar/apartamento-la_herradura_distrito-40094644543_173200/;La Herradura (Almuñécar);2 habs.;72 m²;Bajo;Inmobiliaria grupo iris alquila apartamento en el residencial rosa náutica situado en un espectacular rinconcito de la bahía de la...;36.735942335;-3.744836111;2 baños;granada
2.200 €/mes;Chalet en calle del Rancho Río Verde;/alquilar/chalet-cotobro18690-35906710816_100500/;Cotobro (Almuñécar);3 habs.;110 m²;;"Alquilar de temporadas. 
 
Costa tropical de granada 
El precio no incluye facturas de electricidad
Alquiler de temporada 

Dispon...";36.743243843;-3.706026654;2 baños;granada
700 €/mes;Apartamento en calle Ancha de la Virgen;/alquilar/apartamento-realejo18009-6696926687_100500/;Realejo (Granada Capital);1 hab.;65 m²;1ª planta;Bonito apartamento amueblado de 1 dormitorio muy céntrico, en calle ancha de la virgen junto al corte inglés. Rodeado de todo tipo...;37.1714551;-3.5953233;1 baño;granada
3.850 €/sem;Casa en calle Barranco de Cabria;/alquilar/casa-velilla_taramay-793744592_173200/;Taramay (Almuñécar);4 habs.;200 m²;;En curumbico chalet de estilo moderno situado en un tranquilo y romántico paraje de facil acceso a tan sólo 10 minutos andando de ...;36.74803517;-3.663730817;4 baños;granada
650 €/mes;Piso en La Chana;/alquilar/piso-granada_capital_chana18015-45006423662_100500/;Chana (Granada Capital);2 habs.;64 m²;1ª planta;Te presentamos este fantástico piso de alquiler recién reformado en la chana. Este acogedor piso ha sido renovado por completo par...;37.1927815;-3.6261221;1 baño;granada
700 €/mes;Piso en calle de Darro del Boquerón;/alquilar/piso-granada_capital_centro_catedral18001-45019954519_512614/;Centro-Catedral (Granada Capital);2 habs.;60 m²;3ª planta;Se alquila pisoa estudiantes en la zona centro-catedral. Situado en un 3º piso, con una superficie total de 60 m² distribuidos en ...;37.1813272;-3.6012196;2 baños;granada
385 €/sem;Casa adosada en calle Al Club, nº 19;/alquilar/casa_adosada-almunecar_centro_urbano-945856908445356_109700/;Velilla (Almuñécar);2 habs.;100 m²;;Casa totalmente reformada y consta de 2 dormitorios ( uno de ellos con cama extra grande de 150x 2m y el otro dormitorio con 2 ca...;36.7392;-3.67181;2 baños;granada
1.200 €/mes;Piso en Centro;/alquilar/piso-figares_san_anton18005-45069322159_100500/;Figares-San Antón (Granada Capital);2 habs.;75 m²;6ª planta;Te presentamos este espectacular piso recién reformado en la emblemática calle recogidas. Con un diseño moderno y funcional, esta ...;37.1724808;-3.6017203;2 baños;granada
1.000 €/mes;Piso en Campus de La Salud;/alquilar/piso-armilla_san_anton18100-45019780432_100500/;San Antón (Armilla);3 habs.;81 m²;2ª planta;"¡Amplio y luminoso piso con plaza de garaje en alquiler de larga temporada!

Este fantástico piso de 3 dormitorios se encuentra en...";37.150338;-3.6076061;2 baños;granada
870 €/mes;Apartamento en Plaza de Toros;/alquilar/apartamento-pajaritos_plaza_de_toros18012-35011407408_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;95 m²;3ª planta;"¡Bienvenido a tu nuevo hogar en plaza de toros!

Este encantador piso de 3 habitaciones es el sueño de cualquier estudiante que bu...";37.1899089;-3.6095497;1 baño;granada
750 €/mes;Piso en calle del Periodista Francisco Javier Cobos, 18;/alquilar/piso-los_periodistas_parque_almunia_albayda18014-45093223490_521299/;Los Periodistas-Parque Almunia-Albayda (Granada Capital);2 habs.;80 m²;2ª planta;Bonito piso de dos dormitorios, muy soleado. En una urbanización con dos piscinas, muy cerca de parada de metro y de bus, rodeado ...;37.193203;-3.6224475;1 baño;granada
1.050 €/mes;Casa adosada en Campus Salud;/alquilar/casa_adosada-armilla_san_miguel18100-45068511764_100500/;San Miguel (Armilla);3 habs.;127 m²;;Ponemos en alquiler esta fantástica casa de dos plantas que consta de 127m², con 3 habitaciones, 2 baños y 90m de terraza. En la p...;37.1490925;-3.6132167;2 baños;granada
900 €/mes;Apartamento en Paseo de Cotobro;/alquilar/apartamento-cotobro-32519045320_512325/;Cotobro (Almuñécar);1 hab.;60 m²;7ª planta;No se alquila todo el año. En la mejor zona de almuñécar disponemos de un piso muy coqueto situado a primera linea de playa al fin...;36.7338827;-3.7053824;1 baño;granada
1.200 €/mes;Casa en Carretera de Otura;/alquilar/casa-villa_de_otura_centro_urbano-45094566452_100500/;Villa de Otura;4 habs.;250 m²;;Descubre este oasis de serenidad y lujo en la encantadora localidad de otura, donde el confort moderno se encuentra con la tranqui...;37.0824415;-3.6353578;3 baños;granada
900 €/mes;Piso en Avenida de la Ilustración;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45053429922_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;90 m²;1ª planta;Se alquila precioso piso en gran manzana con muebles en el campus de la salud. La vivienda cuenta con 90 metros construidos,2 balc...;37.1495373;-3.6026683;1 baño;granada
200 €/día;Piso en Avenida de la Marina del Este, 73;/alquilar/piso-marina_del_este_punta_de_la_mona-42566489521_525717/;Marina del Este-Punta de la Mona (Almuñécar);3 habs.;120 m²;3ª planta;Altura piso 3º, piso superficie total 120 m², superficie útil 110 m², hab. Individuales: 2, habitaciones dobles: 1, 2 baños, aire ...;36.726036;-3.7277658;2 baños;granada
A consultar;Piso en calle Golondrina;/alquilar/piso-torrenueva_costa_torrenueva-43376549371_510584/;Torrenueva (Torrenueva Costa);3 habs.;65 m²;2ª planta;Bonito piso en alquiler vacacional en torrenueva costa. Disfrute de una excelente estancia en este piso de 3 habitaciones, salon, ...;36.702299;-3.4876678;1 baño;granada
1.300 €/mes;Ático en calle Hinojosa;/alquilar/atico-granada_capital_centro_catedral18001-44204643701_512614/;Centro-Catedral (Granada Capital);4 habs.;128 m²;;Se alquila ático duplex a estudiantes este magnífico ático que se encuentra en la zona centro-catedral de granada capital junto a ...;37.1784691;-3.6004107;2 baños;granada
1.600 €/mes;Chalet en Urb. Cañadas del Parque;/alquilar/chalet-dilar_centro_urbano-43415134864_100500/;Dílar;3 habs.;184 m²;;¡Descubre tu nuevo refugio en granada! En la exclusiva urbanización cañadas del parque, te espera un chalet de ensueño que promete...;37.0565195;-3.6321182;2 baños;granada
325 €/mes;Piso en Alcampo;/alquilar/piso-norte_cartuja-35914624587_100500/;Cartuja (Distrito Norte. Granada Capital);4 habs.;110 m²;10ª planta;"Estas buscando habitacion  cerca de las universidades,  para el proximo curso!!!! Quedan dos habitaciones disponibles.

Bonito pis...";37.1963468;-3.6043632;1 baño;granada
800 €/mes;Estudio en Centro;/alquilar/estudio-granada_capital_centro_catedral18002-41670307113_100500/;Centro-Catedral (Granada Capital);1 hab.;40 m²;;Estudio en pleno centro de granada, rodeado de todo tipo de comercios, cuenta con salón con salida a terraza, cocina americana, do...;37.1759942;-3.6032179;1 baño;granada
A consultar;Apartamento en Las Flores-La Huerta;/alquilar/apartamento-las_flores_la_huerta-43349657790_995390/;Las Flores-La Huerta (Las Gabias);1 hab.;60 m²;1ª planta;Bonito  apartamento  nuevo  a  estrenar,  1  dormitorio , salon moderno  con  television   de  pantalla   plana   ,  cocina  ameri...;37.133342932;-3.667957499;1 baño;granada
900 €/mes;Piso en Hipercor;/alquilar/piso-camino_de_ronda18004-24230763442_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);3 habs.;90 m²;1ª planta;Atención estudiantes piso  disponible para el curso 24/25  bonito piso de tres dormitorios en una de las mejores zonas para vivir ...;37.1812145;-3.6151383;1 baño;granada
750 €/mes;Estudio en Constitucion;/alquilar/estudio-granada_capital_centro_catedral18001-45055810186_100500/;Centro-Catedral (Granada Capital);;35 m²;;Disponible en julio! Estudio recién reformado en pleno centro de granada, con 35 m² es todo lo que necesitas para estar en el cent...;37.1820908;-3.6026315;1 baño;granada
