precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta;CCAA
550 €/mes;Estudio en Paseo de San Cristóbal, 20;/alquilar/estudio-almunecar_casco_urbano-38397908404_100500/;Casco Urbano (Almuñécar);1 baño;36 m²;"Este precio es hasta abril
Estudio, primera línea de playa de san cristóbal, con piscina abierta todo el año. 
Edificio chinasol. ...";36.7338;-3.70264;;;granada
2.200 €/mes;;/alquilar/chalet-cotobro18690-35906710816_100500/;Cotobro (Almuñécar);2 baños;110 m²;"Alquilar de temporadas. 
 
Costa tropical de granada 
El precio no incluye facturas de electricidad
Alquiler de temporada 

Dispon...";36.743243843;-3.706026654;3 habs.;;granada
385 €/sem;Casa adosada en calle Al Club, nº 19;/alquilar/casa_adosada-almunecar_centro_urbano-945856908445356_109700/;Velilla (Almuñécar);2 baños;100 m²;Casa totalmente reformada y consta de 2 dormitorios ( uno de ellos con cama extra grande de 150x 2m y el otro dormitorio con 2 ca...;36.7392;-3.67181;2 habs.;;granada
980 €/sem;Apartamento en calle Mayor Zaragoza, nº 2;/alquilar/apartamento-almunecar_taramay-22505441113_173200/;Taramay (Almuñécar);3 baños;143 m²;En un enclave único e inigualable de la costa tropical. En un residencial exclusivo con piscina abierta todo el año rodeada de her...;36.7485501632802;-3.6572122015545543;4 habs.;4ª planta;granada
750 €/mes;;/alquilar/apartamento-la_herradura_distrito-40094644543_173200/;La Herradura (Almuñécar);2 baños;72 m²;Inmobiliaria grupo iris alquila apartamento en el residencial rosa náutica situado en un espectacular rinconcito de la bahía de la...;36.735942335;-3.744836111;2 habs.;Bajo;granada
1.500 €/sem;;/alquilar/chalet-las_palomas_cerro_gordo-712606796_173200/;Las Palomas-Cerro Gordo (Almuñécar);2 baños;243 m²;En un enclave único de la costa tropical granadina, nos encontramos esta maravillosa villa, ideal para pasar una estancia inolvida...;36.7467692;-3.7561069;3 habs.;;granada
1.500 €/mes;;/alquilar/apartamento-cotobro-396892147_173200/;Cotobro (Almuñécar);2 baños;80 m²;En el paseo de china gorda, inmobiliaria grupo iris alquila para estancias cortas apartamento frente al mar completamente amueblad...;36.7340874;-3.7031885;2 habs.;5ª planta;granada
600 €/sem;;/alquilar/atico-almunecar_taramay-26703581883_173200/;Taramay (Almuñécar);2 baños;136 m²;En  una urbanizacion a los pies de una preciosa calita de arena negra y en un entorno único e inigualable. Inmobiliaria grupo iris...;36.748841321;-3.658332212;3 habs.;;granada
700 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-37560709421_100500/;Casco Urbano (Almuñécar);2 baños;60 m²;"Costa tropical de granada. Playa de san cristobal 
Disponible.
Alquiler de temporada invernal, escolar hasta junio. 
El precio no ...";36.7345;-3.70179;1 hab.;3ª planta;granada
600 €/sem;;/alquilar/chalet-las_palomas_cerro_gordo-41724027506_173200/;Las Palomas-Cerro Gordo (Almuñécar);2 baños;120 m²;Inmobiliaria grupo iris alquila para vacaciones o cortas estancias este chalet con pisicina privada en el encantador entorno de lo...;36.737896636;-3.75843452;3 habs.;;granada
1.000 €/mes;;/alquilar/piso-armilla_san_anton18100-45019780432_100500/;San Antón (Armilla);2 baños;81 m²;"¡Amplio y luminoso piso con plaza de garaje en alquiler de larga temporada!

Este fantástico piso de 3 dormitorios se encuentra en...";37.150338;-3.6076061;3 habs.;2ª planta;granada
650 €/mes;;/alquilar/apartamento-figares_san_anton18005-45047600804_998849/;Figares-San Antón (Granada Capital);1 baño;50 m²;Agencia nf, alquila bonito estudio en calle recogidas, disponible para entrar en julio, reformado, calefacción y aire acondicionad...;37.172934;-3.6005533;1 hab.;2ª planta;granada
650 €/mes;;/alquilar/piso-granada_capital_chana18015-45006423662_100500/;Chana (Granada Capital);1 baño;64 m²;Te presentamos este fantástico piso de alquiler recién reformado en la chana. Este acogedor piso ha sido renovado por completo par...;37.1927815;-3.6261221;2 habs.;1ª planta;granada
600 €/mes;Estudio en calle Playa de San Cristobal, Edificio Chinasol, nº 20;/alquilar/estudio-almunecar_casco_urbano-40868272200_100500/;Casco Urbano (Almuñécar);1 baño;37 m²;"Alquiler de temporadas.
Dsiponible: todo julio
Precio anunciado no corresponde a los meses veraniegos ( consultar precio)
Precioso...";36.7341;-3.70261;;;granada
900 €/mes;;/alquilar/apartamento-cotobro-32519045320_512325/;Cotobro (Almuñécar);1 baño;60 m²;No se alquila todo el año. En la mejor zona de almuñécar disponemos de un piso muy coqueto situado a primera linea de playa al fin...;36.7338827;-3.7053824;1 hab.;7ª planta;granada
700 €/mes;;/alquilar/apartamento-realejo18009-6696926687_100500/;Realejo (Granada Capital);1 baño;65 m²;Bonito apartamento amueblado de 1 dormitorio muy céntrico, en calle ancha de la virgen junto al corte inglés. Rodeado de todo tipo...;37.1714551;-3.5953233;1 hab.;1ª planta;granada
200 €/día;Piso en Avenida de la Marina del Este, 73;/alquilar/piso-marina_del_este_punta_de_la_mona-42566489521_525717/;Marina del Este-Punta de la Mona (Almuñécar);2 baños;120 m²;Altura piso 3º, piso superficie total 120 m², superficie útil 110 m², hab. Individuales: 2, habitaciones dobles: 1, 2 baños, aire ...;36.726036;-3.7277658;3 habs.;3ª planta;granada
850 €/mes;;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45053429922_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);1 baño;90 m²;Se alquila precioso piso en gran manzana con muebles en el campus de la salud. La vivienda cuenta con 90 metros construidos,2 balc...;37.1495373;-3.6026683;2 habs.;1ª planta;granada
1.200 €/mes;Chalet en calle del Chileno, 1;/alquilar/chalet-velilla_distrito-35882953510_500785/;Velilla (Almuñécar);2 baños;200 m²;Alquiler de invierno. Bonita propiedad en alquiler anual a escasos metros de playa velilla. En un residencial tranquilo y con prec...;36.74452346658439;-3.666833158247475;3 habs.;;granada
1.100 €/mes;Piso en calle de Trajano, 4;/alquilar/piso-granada_capital_centro_catedral-37576220432_991011/;Centro-Catedral (Granada Capital);2 baños;135 m²;Vivienda espectacular de 3 habitaciones grandes con armarios empotrados, 2 baños (uno de ellos en suite) salón y cocina independie...;37.17459387025942;-3.6062417923336128;3 habs.;1ª planta;granada
1.200 €/mes;;/alquilar/piso-figares_san_anton18005-45069322159_100500/;Figares-San Antón (Granada Capital);2 baños;75 m²;Te presentamos este espectacular piso recién reformado en la emblemática calle recogidas. Con un diseño moderno y funcional, esta ...;37.1724808;-3.6017203;2 habs.;6ª planta;granada
