precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.000 €/mes;;/alquilar/piso-pajaritos_plaza_de_toros18014-44223371610_515238/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);4 habs.;2 baños;100 m²;2ª planta;Piso reformado, colchones y escritorios nuevos, parque. Estudiantes, es una  2 planta con ascensor. 4 dormitorios , 2 baños, salón...;37.1943905;-3.60977;granada
560 €/mes;;/alquilar/piso-granada_capital_centro_catedral18001-36693379030_100500/;Centro-Catedral (Granada Capital);1 hab.;1 baño;55 m²;2ª planta;"¡¡¡ Alquiler de apartamento!!! Super céntrico, cerca de las universidades

Este piso se encuentra en pleno centro de la ciudad, ce...";37.182922;-3.6037518;granada
650 €/mes;;/alquilar/piso-los_periodistas_parque_almunia_albayda18014-26721524852_100500/;Los Periodistas-Parque Almunia-Albayda (Granada Capital);1 hab.;1 baño;72 m²;Bajo;¡Si valoras tu independencia por encima de todas las cosas tenemos el piso que estas buscando¡. Este precioso piso que hoy te pres...;37.2049165;-3.627686;granada
1.000 €/mes;Piso en Avenida de América, 30;/alquilar/piso-zaidin_vergeles18007-44191232330_991073/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);5 habs.;2 baños;180 m²;8ª planta;Se alquila este amplio piso recién reformado totalmente,  a pie de metro, situado en la zona de la rotonda del helicóptero, muy bi...;37.16059;-3.597582;granada
900 €/mes;Piso en calle Jesse Owen, nº 1;/alquilar/piso-juventud_sanders18003-25860563466_100500/;Juventud-Sanders (Distrito Ronda. Granada Capital);4 habs.;1 baño;100 m²;3ª planta;"Piso en alquiler junto estadio de la juventud y urbanización sanders.
Piso con calefacción central. Planta alta exterior. 4 dormit...";37.1851;-3.6167;granada
890 €/mes;Piso en calle San José Baja, 49;/alquilar/piso-figares_san_anton18005-44199821940_100500/;Figares-San Antón (Granada Capital);2 habs.;2 baños;120 m²;4ª planta;Exclusiva vivienda situada en fígares junto calle alhamar, se compone amplio salón comedor, cocina independiente separada del saló...;37.1701;-3.60131;granada
630 €/mes;;/alquilar/piso-granada_capital_chana18015-45055311927_100500/;Chana (Granada Capital);3 habs.;1 baño;67 m²;Bajo;Inmobiliaria garcia delgado alquila: bonito piso en la zona de la chana,  planta baja distribuido en 3 dormitorios, salon, cocina ...;37.1931492;-3.6273415;granada
575 €/mes;;/alquilar/atico-norte_cartuja-43417601826_100500/;Cartuja (Distrito Norte. Granada Capital);2 habs.;1 baño;80 m²;;Piso en alquiler de dos dormitorios amoblado | zona cartuja | precio de alquiler incluye la comunidad , el gasto de suministros es...;37.2055104;-3.5990098;granada
900 €/mes;;/alquilar/piso-pajaritos_plaza_de_toros18014-45834604774_106700/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;2 baños;100 m²;;Magnifico piso de 3 dormitorios, 2 baños completos, cocina independiente con lavadero, salón con terraza y garaje. La vivienda se ...;37.1955591;-3.6112945;granada
700 €/mes;;/alquilar/piso-realejo18009-45846198823_512614/;Realejo (Granada Capital);2 habs.;1 baño;80 m²;2ª planta;Este es un piso en alquiler situado en la zona centro junto al ayuntamiento de granada capital. Se encuentra en la segunda planta ...;37.1736926;-3.5978202;granada
