precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
4.000 €/mes;Casa unifamiliar en calle XIX;/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/;Las Matas-Los Peñascales (Las Rozas de Madrid);6 habs.;7 baños;600 m²;Inmobaralia te ofrece la oportunidad de alquilar un impresionante chalet en las rozas. Con una superficie construida de 600m², dis...;40.566081683;-3.897150552;;madrid
1.250 €/mes;Piso en calle de Escalonia;/alquilar/piso-marazuela_el_torreon28231-44190901365_524219/;Marazuela-El Torreón (Las Rozas de Madrid);2 habs.;1 baño;149 m²;Precioso apartamento de 66 m² utiles, consta de dos dormitorios el principal con aire acondicionado y armario empotrado, un baño, ...;40.5030617;-3.8682789;1ª planta;madrid
1.670 €/mes;Piso en calle de Rafael de Riego;/alquilar/piso-palos_de_moguer28045-41737855119_101000/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);3 habs.;2 baños;90 m²;Alquiler por meses o larga temporada  oportunidad alfa sierra norte, gestiona en exclusiva alquiler de temporada,  minimo 3 meses ...;40.4046378;-3.6919441;;madrid
3.000 €/mes;Piso en Avenida de Casablanca;/alquilar/piso-prado_de_somosaguas-45094517344_280500/;Prado de Somosaguas (Pozuelo de Alarcón);4 habs.;3 baños;249 m²;"Inmobaralia alquila: espectacular piso en avenida casablanca - nuevo mundo

Disponible a partir del 01/09/24.

¡No pierdas la opor...";40.402156;-3.789965;1ª planta;madrid
1.100 €/mes;Apartamento en Avenida de España, 87;/alquilar/apartamento-el_burgo_el_abajon28231-8419271922_101800/;El Burgo-El Abajón (Las Rozas de Madrid);1 hab.;1 baño;65 m²;Apartamento de un dormitorio en urbanización privada con piscinas y amplios espacios verdes,  apartamento completamente exterior, ...;40.4883;-3.87996;2ª planta;madrid
5.500 €/mes;Ático en calle Avda. Rafael Nadal;/alquilar/atico-alcobendas_valdelacasa-40035636843_103800/;Valdelacasa (Alcobendas);5 habs.;5 baños;275 m²;La urbanización jardines del juncal es uno de los mejores desarrollos urbanísticos de la comunidad de madrid. Tiene amplias zonas ...;40.5306586;-3.6518926;;madrid
2.950 €/mes;Piso en Paseo Parques;/alquilar/piso-la_moraleja_encinar_de_los_reyes28109-44220962040_500635/;Encinar de los Reyes (La Moraleja);3 habs.;2 baños;155 m²;"Luxcasa alquila magnifica vivienda de 3 dormitorios y 2 baños en el encinar, junto plaza de la moraleja.

Es una vivienda especial...";40.5122634;-3.6501652;2ª planta;madrid
2.400 €/mes;Piso en calle de Fuencarral, 74;/alquilar/piso-justicia_chueca28004-42544044363_527794/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;2 baños;94 m²;"Excelente oportunidad de alquiler para larga estancia.
Piso con 2 dormitorios, el principal con baño en suite y pequeño espacio ve...";40.42519;-3.7007356;3ª planta;madrid
1.050 €/mes;Piso en Avenida de La Rioja;/alquilar/piso-villanueva_de_la_canada_nucleo_urbano-44257800054_100200/;Núcleo Urbano (Villanueva de la Cañada);2 habs.;;151 m²;"Agencia inmobiliaria tecnocasa de villanueva de la cañada - alquila piso con garaje y trastero.
Piso de 2 dormitorios; consta de: ...";40.4353907;-3.9988347;;madrid
1.200 €/mes;Piso en calle de Cuart de Poblet;/alquilar/piso-lucero28047-42530027043_100500/;Lucero (Distrito Latina. Madrid Capital);3 habs.;;72 m²;Alquilo para temporada de 11 meses o un curso escolar, piso exterior de 3 dormitorios en el pasillo verde de madrid, junto a la es...;40.3965474;-3.7512267;5ª planta;madrid
2.300 €/mes;Piso en calle de Ríos Rosas;/alquilar/piso-rios_rosas28003-44191487174_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 habs.;;97 m²;"Maravilloso piso en alquiler, todo lo que necesita lo encontrará en esta propiedad que puede ser su próximo hogar. 

Redpiso ríos ...";40.4415998;-3.6964161;;madrid
1.000 €/mes;Piso en calle Galicia;/alquilar/piso-getafe_juan_de_la_cierva28903-45035078462_108900/;Juan de la Cierva (Getafe);2 habs.;1 baño;51 m²;"Se alquila exclusivamente a estudiante. Contrato de arrendamiento de temporada  (10/12 meses)

La vivienda se encuentra en la zona...";40.3111774;-3.72074;;madrid
1.475 €/mes;Piso en calle Móstoles, 3;/alquilar/piso-villanueva_de_la_canada_nucleo_urbano-41675774076_106700/;Núcleo Urbano (Villanueva de la Cañada);2 habs.;2 baños;74 m²;Barchán inmobiliaria, alquila piso muy luminoso de dos dormitorios con dos baños uno de ellos en suite, cocina independiente, equi...;40.446;-4.0041;;madrid
1.600 €/mes;Piso en calle del 2 de Febrero;/alquilar/piso-las_vegas_el_pozanco_adelfillas28770-45022600929_501223/;Las Vegas-El Pozanco-Adelfillas (Colmenar Viejo);3 habs.;2 baños;132 m²;"Cruzasociados alquila

Disponible las visitas a partir del 17 de junio.

Precioso piso no amueblado ubicado en urbanización privad...";40.6613467;-3.7555148;2ª planta;madrid
950 €/mes;Dúplex en Puerta de Madrid, El Juncal;/alquilar/duplex-puerta_de_madrid_el_juncal28802-44170403427_106700/;Puerta de Madrid, El Juncal (Distrito Reyes Católicos. Alcalá de Henares);2 habs.;2 baños;75 m²;"Dúplex de ensueño a estrenar en la garena
¿Buscas un hogar luminoso, espacioso y moderno? ¡No busques más! Este espectacular dúple...";40.47456;-3.3919192;;madrid
