precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
900 €/mes;Piso en Valdezarza;/alquilar/piso-valdezarza28035-45021521231_101800/;Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital);1 hab.;1 baño;50 m²;6ª planta;¡Oportunidad! Directamente propiedad. Sin comisión de agencia. Calefacción central. Comunidad incluída. Fianza 900€, garantía comp...;40.4667407;-3.7229227;madrid
1.200 €/mes;Piso en calle del General Díaz Porlier;/alquilar/piso-goya28001-35048421119_100500/;Goya (Distrito Salamanca. Madrid Capital);1 hab.;;36 m²;Bajo;"Boher gestion inmobiliaria alquila : 
Piso bajo interior,  reformado y amueblado 5 ventanas oscilobatientes de aluminio climalit a...";40.4272432;-3.6769221;madrid
4.000 €/mes;Casa unifamiliar en calle XIX;/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/;Las Matas-Los Peñascales (Las Rozas de Madrid);6 habs.;7 baños;600 m²;;Inmobaralia te ofrece la oportunidad de alquilar un impresionante chalet en las rozas. Con una superficie construida de 600m², dis...;40.566081683;-3.897150552;madrid
1.500 €/mes;Piso en Aravaca;/alquilar/piso-moncloa_aravaca_aravaca28023-45072351463_101800/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;1 baño;90 m²;2ª planta;Nuestra promoción de viviendas azata plaza, se sitúa en la c/ avda de europa,27 en donde podemos disfrutar de zonas comunes con pi...;40.4446662;-3.7879384;madrid
2.400 €/mes;Piso en calle de Fuencarral, 74;/alquilar/piso-justicia_chueca28004-42544044363_527794/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;2 baños;94 m²;3ª planta;"Excelente oportunidad de alquiler para larga estancia.
Piso con 2 dormitorios, el principal con baño en suite y pequeño espacio ve...";40.42519;-3.7007356;madrid
5.500 €/mes;Ático en calle Avda. Rafael Nadal;/alquilar/atico-alcobendas_valdelacasa-40035636843_103800/;Valdelacasa (Alcobendas);5 habs.;5 baños;275 m²;;La urbanización jardines del juncal es uno de los mejores desarrollos urbanísticos de la comunidad de madrid. Tiene amplias zonas ...;40.5306586;-3.6518926;madrid
1.147 €/mes;Estudio en calle de Pollensa, 5;/alquilar/estudio-parque_empresarial28290-45008053320_101800/;Parque Empresarial (Las Rozas de Madrid);;1 baño;50 m²;;Apartamentos exclusivos con todos los servicios:  luz, agua, wifi, limpieza semanal. Completamente equipados: menaje, cubertería, ...;40.5316;-3.89072;madrid
1.500 €/mes;Piso en Arturo Soria - Chamartin;/alquilar/piso-pinar_del_rey28033-45007695189_101000/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);2 habs.;2 baños;93 m²;;Alfa madrid norte gestiona el alquiler de vivienda con altas calidades y excelentes zonas comunes en una de las mejores urbanizaci...;40.466942127;-3.658975235;madrid
2.950 €/mes;Piso en Paseo Parques;/alquilar/piso-la_moraleja_encinar_de_los_reyes28109-44220962040_500635/;Encinar de los Reyes (La Moraleja);3 habs.;2 baños;155 m²;2ª planta;"Luxcasa alquila magnifica vivienda de 3 dormitorios y 2 baños en el encinar, junto plaza de la moraleja.

Es una vivienda especial...";40.5122634;-3.6501652;madrid
2.300 €/mes;Piso en calle de Ríos Rosas;/alquilar/piso-rios_rosas28003-44191487174_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 habs.;;97 m²;;"Maravilloso piso en alquiler, todo lo que necesita lo encontrará en esta propiedad que puede ser su próximo hogar. 

Redpiso ríos ...";40.4415998;-3.6964161;madrid
