precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
1.100 €/mes;Piso en calle de Juan Díaz de Solís;/alquilar/piso-barrio_leon_el_tardon_blas_infante41010-45019478008_104700/;Barrio León-El Tardón-Blas Infante (Distrito Triana. Sevilla Capital);3 habs.;65 m²;"Disponible para estudiantes para el curso 2024-2025
 Características del inmueble: piso de 65 m², completamente reformado, con 3 d...";37.3781892;-6.008962;;;sevilla
990 €/mes;Piso en Zona Ronda de Triana-Cartuja;/alquilar/piso-zona_ronda_de_triana_cartuja41010-45061340551_100500/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);2 habs.;69 m²;¡Descubre tu nuevo hogar en el corazón de triana! Este fantástico piso a estrenar te sorprenderá con su luminosidad y sus techos a...;37.3890239;-6.0090644;;;sevilla
950 €/mes;Dúplex en calle Puerta del Osario;/alquilar/duplex-casco_antiguo_santa_catalina41003-14247424061_515011/;Santa Catalina (Distrito Casco Antiguo. Sevilla Capital);2 habs.;72 m²;"Excelente piso a estrenar, exclusividad y altas calidades.
Enclavado en el centro de sevilla, en puerta osario-santa catalina.

Pr...";37.393482720126606;-5.985151344586089;2 baños;Bajo;sevilla
2.000 €/mes;Casa en calle Pepe Arquellada, nº 1;/alquilar/casa-montequinto_el_colmenar41704-45054654989_515011/;Montequinto-El Colmenar (Dos Hermanas);5 habs.;198 m²;"Exclusiva vivienda unifamiliar en urbanización selecta mykonos.

Esta casa se encuentra en una de las urbanizaciones más exclusiva...";37.3077604442302;-5.931564421023381;3 baños;;sevilla
890 €/mes;Piso en calle Cardenal Rodrigo de Castro;/alquilar/piso-nervion_ciudad_jardin41005-43348908645_103800/;Ciudad Jardín (Distrito Nervión. Sevilla Capital);3 habs.;74 m²;Piso de 3 dormitorios y 1 baño en primera planta con ascensor, fácil aparcamiento en la zona y bien comunicado con nervión y porve...;37.377847;-5.9650153;1 baño;1ª planta;sevilla
975 €/mes;Piso en Avenida de las Ciencias-Emilio Lemos;/alquilar/piso-avenida_de_las_ciencias_emilio_lemos41020-44223449226_100200/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);4 habs.;130 m²;Tecnocasa ofrece este excelente piso de alquiler, consta de 4 dormitorios, terraza y plaza de garaje en la zona de avenida de la a...;37.38817956;-5.920135237;2 baños;;sevilla
1.600 €/mes;Piso en calle Virgen de la Cinta;/alquilar/piso-los_remedios_barrio41011-45040124909_995624/;Los Remedios (Distrito Los Remedios. Sevilla Capital);4 habs.;170 m²;Vivienda completamente reformada en el barrio de los remedios. Solo larga duración. Cocina completamente equipada con todos los el...;37.3726093;-5.9963871;2 baños;1ª planta;sevilla
1.000 €/mes;Piso en calle Samaniego;/alquilar/piso-san_jose_san_carlos_fontanal41008-45094006195_100500/;San José-San Carlos-Fontanal (Distrito San Pablo-Santa Justa. Sevilla Capital);3 habs.;75 m²;¿Eres estudiantes y estás cansad@ de ver pisos a modo de cuéntame? ¡¡No pierdas esta oportunidad!!Precioso piso reformado de 3 dor...;37.3971075;-5.9753458;1 baño;1ª planta;sevilla
1.200 €/mes;Piso en calle Castillo de Alcalá de Guadaira;/alquilar/piso-tabladilla_bami41013-44256343595_522814/;Tabladilla-Bami (Distrito Sur. Sevilla Capital);4 habs.;97 m²;Piso de cuatro dormitorios en bami, cercano al hospital virgen del rocio, colegios, universidades y a un paso de la avenida de la ...;37.3592563;-5.9761257;2 baños;2ª planta;sevilla
950 €/mes;Dúplex en calle Sierra de Vicaría;/alquilar/duplex-tiro_de_linea-42569693774_100500/;Tiro de Línea (Distrito Sur. Sevilla Capital);4 habs.;120 m²;Magnifico piso muy cuidado y recién pintado que consta de 4 dormitorios, 2 cuartos de baño, salón, cocina amueblada y con electrod...;37.3699272;-5.9718763;2 baños;;sevilla
700 €/mes;Piso en Pío XII;/alquilar/piso-pio_xii41008-44179164748_100200/;Pío XII (Distrito Macarena. Sevilla Capital);;45 m²;"¡Descubre este magnífico piso en alquiler en la ronda de pío xii!
Sólo para docentes, periodo de septiembre a junio.
Ubicado en un...";37.4066337;-5.9777287;1 baño;2ª planta;sevilla
2.600 €/mes;Piso en calle Doctor Antonio Cortés Lladó;/alquilar/piso-prado_de_san_sebastian41004-40858498079_100500/;Prado de San Sebastián (Distrito Sur. Sevilla Capital);5 habs.;254 m²;No le cobramos nada al inquilino. En la mejor zona de nervión, extraordinario piso de esquina de 254 metros, realmente son 2 pisos...;37.37847;-5.9811728;4 baños;6ª planta;sevilla
1.025 €/mes;Chalet en Sevilla Este;/alquilar/chalet-avenida_de_las_ciencias_emilio_lemos41020-43410618903_108900/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);5 habs.;180 m²;Fantástica casa adosada de 180 m² de dos plantas. Está reformada, recién pintada y ubicada en una zona muy tranquila. La vivienda ...;37.4034184;-5.9264543;3 baños;;sevilla
650 €/mes;Apartamento en calle Parras;/alquilar/apartamento-casco_antiguo_san_gil41002-45026428455_524646/;San Gil (Distrito Casco Antiguo. Sevilla Capital);1 hab.;60 m²;Apartamento amplio sin amueblar en casa rehabilitada. Salón comedor, 1 dormitorio, baño, cocina amueblada. Climatizado. Armario. N...;37.4016888;-5.9903919;1 baño;Bajo;sevilla
770 €/mes;Piso en calle Abril;/alquilar/piso-villegas_los_principes41009-45087766440_104700/;Villegas-Los Príncipes (Distrito Macarena. Sevilla Capital);3 habs.;81 m²;"Disponible sólo para estudiantes para el curso 2024-2025
 Características del inmueble: piso de 81 m² con 3 dormitorios, salón con...";37.4093912;-5.9786435;;;sevilla
950 €/mes;Piso en calle Perséfone;/alquilar/piso-bellavista_la_palmera_bellavista41014-45097029296_100500/;Bellavista (Distrito Bellavista-La Palmera. Sevilla Capital);3 habs.;115 m²;"No puede visitar hasta el viernes 28 ¡ 
Estupendo piso exterior, amueblado, situado en los jardines de hércules. 
Es muy amplio y ...";37.3315479;-5.9662892;;4ª planta;sevilla
1.100 €/mes;Piso en calle Pirineos, 7;/alquilar/piso-la_florida_huerta_del_pilar41018-44181686854_510641/;La Florida-Huerta del Pilar (Distrito Nervión. Sevilla Capital);2 habs.;80 m²;En nervión, situado junto a avenida la buhaira y eduardo dato. Con terraza propia. Primera planta, alta. Entrada con armario empot...;37.38545639689116;-5.977496449077364;1 baño;1ª planta;sevilla
650 €/mes;Piso en calle Parras;/alquilar/piso-casco_antiguo_san_lorenzo41002-6673714134_106000/;San Lorenzo (Distrito Casco Antiguo. Sevilla Capital);1 hab.;;"**ref. 201717 - apartamento san gil: ¡Tu nuevo hogar te espera!**

Descubre este encantador piso interior de 55 m², ideal para qui...";37.400894;-5.9900973;1 baño;Bajo;sevilla
850 €/mes;Apartamento en calle Puente y Pellón;/alquilar/apartamento-alfalfa41004-45021789664_516479/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);1 hab.;75 m²;"Home international pone en alquiler este magnífico apartamento con bonito patio en pleno centro.  

El piso dispone, de aire acond...";37.3913693;-5.992155;1 baño;1ª planta;sevilla
1.900 €/mes;Chalet unifamiliar en Centro;/alquilar/chalet_unifamiliar-bormujos_centro-83351853775_516479/;Centro (Bormujos);4 habs.;350 m²;"Disponible a partir del 1 de septiembre. 

Home international pone en alquiler y en venta este magnifico chalet independiente. Ubi...";37.3658389;-6.083441;3 baños;;sevilla
450 €/mes;Piso en calle calle Estrella Betelgeuse;/alquilar/piso-pino_montano41015-39176042746_101800/;Pino Montano (Distrito Norte. Sevilla Capital);2 habs.;50 m²;Alquiler subvencionado por la consejería de fomento y vivienda de la junta de andalucia, en régimen de alquiler  (con garaje y tra...;37.4257581;-5.9711338;1 baño;;sevilla
850 €/mes;Piso en calle Francos;/alquilar/piso-santa_cruz_barrio41004-44232764179_523453/;Santa Cruz (Distrito Casco Antiguo. Sevilla Capital);1 hab.;53 m²;"Kámaraljarafe,  la agencia que te acompaña a tu nuevo hogar. 
Se alquila piso en la calle francos, pleno centro de sevilla. La viv...";37.3883923;-5.9927719;1 baño;Entresuelo;sevilla
2.400 €/mes;Casa pareada en calle Ruiseñor;/alquilar/casa_pareada-zona_ronda_de_triana_cartuja41010-44199560776_100500/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);4 habs.;168 m²;¡Bienvenidos al corazón de triana! En este hermoso chalet pareado de dos plantas, encontrarás el hogar perfecto para tu familia. C...;37.3823668;-6.0061451;;;sevilla
900 €/mes;Piso en calle y Pellón;/alquilar/piso-alfalfa41004-45023877975_100500/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);1 hab.;78 m²;¡Descubre tu nuevo hogar en el corazón de sevilla! Este encantador apartamento de 78 m², ubicado en una primera planta con ascenso...;37.389798851;-5.992260827;;1ª planta;sevilla
1.250 €/mes;Piso en Campoalegre;/alquilar/piso-mairena_del_aljarafe_casco_antiguo-45096151426_101000/;Casco Antiguo (Mairena del Aljarafe);3 habs.;140 m²;¡Descubre tu nuevo hogar en el corazón de mairena del aljarafe! Este espectacular piso sin amueblar de 140 m² construidos y 124 m²...;37.3477409;-6.0584741;2 baños;;sevilla
1.100 €/mes;Ático en calle de Manila;/alquilar/atico-avenida_de_las_ciencias_emilio_lemos41020-45096119934_100500/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);4 habs.;118 m²;Ático en sevilla zona avenida de las ciencias, 118.00 m. De superficie, 4 habitaciones, 2 baños, propiedad para entrar a vivir, co...;37.4043082;-5.919559;2 baños;;sevilla
1.050 €/mes;Piso en calle Asunción;/alquilar/piso-los_remedios_barrio41011-41691576302_100500/;Los Remedios (Distrito Los Remedios. Sevilla Capital);2 habs.;102 m²;Luminosa vivienda junto al río guadalquivir y a unos pasos del recinto ferial. Está situada a unos pasos de la zona céntrica y mon...;37.3779427;-5.9975866;2 baños;1ª planta;sevilla
