precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.600 €/mes;;/alquilar/apartamento-daimus_centro_urbano-32565949987_100500/;Daimús;3 habs.;2 baños;90 m²;3ª planta;Situado en la zona céntrica de la playa de daimús y a tan sólo 10 metros de la arena, encontramos este apartamento diseñado y cuid...;38.973952547;-0.140258592;valencia
1.800 €/mes;;/alquilar/apartamento-alboraia_alboraya_centro_urbano-37519696107_101800/;Alboraia - Alboraya;4 habs.;3 baños;180 m²;;La propiedad goza de unas preciosas vistas al embarcadero de port saplaya, siendo muy luminoso y amplio ya que son dos propiedades...;39.508913945;-0.333635132;valencia
2.100 €/mes;;/alquilar/piso-el_pla_del_remei46004-23340375845_100500/;El Pla del Remei (Distrito L'Eixample. València Capital);2 habs.;2 baños;119 m²;3ª planta;Grupo alain inmobiliaria, alquila lujoso piso en cirilo amorós junto al merado de colón. Distribuido en dos dormitorios dobles, do...;39.4671699;-0.3716868;valencia
600 €/mes;Loft en Paseo Marítimo 9 de Octubre, 39;/alquilar/loft-canet_en_berenguer_centro_urbano-44234632242_525733/;Canet d'en Berenguer;1 hab.;1 baño;40 m²;;"Alquiler de septiembre-mayo
Desde trato hecho gestiones inmobiliarias se ofrece un precioso loft en canet d'en berenguer con una s...";39.674614;-0.20399842;valencia
1.600 €/mes;;/alquilar/apartamento-playa_de_gandia-31675794986_100500/;Playa de Gandia (Gandia);2 habs.;2 baños;80 m²;3ª planta;"Este apartamento se encuentra en una de las zonas más solicitadas de la playa de gandía.
 
 La vivienda está compuesta por dos dor...";39.0000534;-0.1635236;valencia
700 €/mes;;/alquilar/apartamento-llombo-42520466339_101800/;Llombo (Ontinyent);2 habs.;1 baño;80 m²;1ª planta;"Precioso apartamento en ontinyent para larga estancia.
Disponible desde ya!!
Excelente vivienda reformada, de diseño moderno, en e...";38.820695775;-0.610112421;valencia
900 €/mes;;/alquilar/piso-alfara_del_patriarca_centro_urbano-44191074037_100500/;Alfara del Patriarca;3 habs.;2 baños;80 m²;3ª planta;"J.a.f inmobiliaria dispone en exclusiva de este piso luminoso y exterior!
Se alquila a estudiantes de la universidad.
Disponible a...";39.5468622;-0.3838499;valencia
1.000 €/mes;;/alquilar/piso-centre_port-34187989651_108500/;Centre Port (Distrito Port de Sagunt. Sagunt - Sagunto);3 habs.;1 baño;96 m²;;Os presentamos esta vivienda que dispone de 3 habitaciones, 1 baño, cocina independiente totalmente equipada con lavadero, salón c...;39.6654406;-0.2258526;valencia
1.000 €/mes;Apartamento en Avinguda Tramontana;/alquilar/apartamento-el_puig_de_santa_maria_centro_urbano-37502293144_103800/;El Puig de Santa Maria;2 habs.;1 baño;90 m²;3ª planta;Apartamento  en playa, con 90 m² construidos, 2 dormitorios, 1 baños, buen estado, planta 3, 1 terraza(s), ascensor, , piscina com...;39.5852;-0.27469;valencia
A consultar;Apartamento en Passeig Marítim de Neptú, 39;/alquilar/apartamento-playa_de_gandia-45086740469_528520/;Playa de Gandia (Gandia);1 hab.;2 baños;70 m²;1ª planta;"Exclusivo familias
No estan permitidas las reservas de grupos de jóvenes ni despedidas

Desde 150€/noche. Mínimo 5 noches los mese...";39.001625;-0.16055588;valencia
