precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios;CCAA
1.900 €/mes;Piso en Avenida de Mare Nostrum;/alquilar/piso-canet_en_berenguer_centro_urbano-30863950709_100900/;Canet d'en Berenguer;2 habs.;68 m²;2ª planta;Te presentamos este encantador apartamento en alquiler, ubicado en la segunda línea de mar, perfecto para disfrutar de la brisa ma...;39.68230394;-0.204201428;;valencia
1.450 €/mes;Piso en Alfara del Patriarca;/alquilar/piso-alfara_del_patriarca_centro_urbano-45929640856_108500/;Alfara del Patriarca;3 habs.;80 m²;;Vivienda nueva a estrenar, de 3 habitaciones y 2 baños en alfara del patriarca. Ideal para estudiantes, cerca de la universidad ce...;39.5448264;-0.3824098;2 baños;valencia
15.000 €/mes;Chalet unifamiliar en Carrer Merla;/alquilar/chalet_unifamiliar-torre_en_conill_cumbres_san_antonio-26696841965_995023/;Torre en Conill-Cumbres San Antonio (Bétera);4 habs.;508 m²;;Excelente vivienda unifamiliar aislada, situada en la exclusiva urbanización de torre en conill, en bétera. Se orienta hacia el ca...;39.5658515;-0.4699843;5 baños;valencia
1.300 €/mes;Piso en calle de Tramoyeres;/alquilar/piso-el_cabanyal_el_canyamelar46011-46727476334_994429/;El Cabanyal-El Canyamelar (Distrito Poblats Marítims. València Capital);3 habs.;66 m²;Bajo;Planta  baja vivienda en el cabañal con amplia terraza  a  5 minutos de las playa. La vivienda en una casa típica, reformada y per...;39.4724159;-0.3309421;1 baño;valencia
1.190 €/mes;Piso en Carrer de San Vicente Mártir;/alquilar/piso-cami_real46017-46738172515_100500/;Camí Real (Distrito Jesús. València Capital);3 habs.;96 m²;5ª planta;"Se alquila espectacular vivienda con plaza de garaje incluida en precio.

Vivienda de 96m², exterior, consta de amplio salón comed...";39.4438179;-0.387255;2 baños;valencia
1.750 €/mes;Piso en calle del Norte;/alquilar/piso-la_petxina46008-46751171093_100500/;La Petxina (Distrito Extramurs. València Capital);2 habs.;52 m²;4ª planta;Este moderno piso de dos habitaciones se encuentra en una ubicación privilegiada en valencia, a solo un minuto del parque turia, t...;39.4749814;-0.3905627;1 baño;valencia
1.380 €/mes;Piso en Carrer de Cadis, 92;/alquilar/piso-russafa46006-46688086801_100900/;Russafa (Distrito L'Eixample. València Capital);2 habs.;65 m²;3ª planta;¡Ruzafa te espera! Espectacular piso de alquiler en el corazón de ruzafa, calle cádiz. Este luminoso y moderno apartamento, ubicad...;39.4592;-0.371976;1 baño;valencia
1.400 €/mes;Piso en calle José Chabas Bordehore, 3;/alquilar/piso-rascanya_sant_llorenc46019-45877473541_522827/;Sant Llorenç (Distrito Rascanya. València Capital);3 habs.;100 m²;4ª planta;"Se alquila magnífico piso en la zona de sant llorenç, en el municipio de valència capital. 
Este piso se encuentra en la 4ª planta...";39.49328;-0.36059275;2 baños;valencia
1.600 €/mes;Apartamento en Camino Vell de València;/alquilar/apartamento-playa_de_gandia-45841409047_100500/;Playa de Gandia (Gandia);2 habs.;67 m²;1ª planta;"""descubre este encantador dúplex en gandia. Con una superficie de 67 m², esta propiedad se encuentra en excelente estado y ofrece ...";39.0053019;-0.1701503;2 baños;valencia
1.200 €/mes;Apartamento en El Cabanyal-El Canyamelar;/alquilar/apartamento-el_cabanyal_el_canyamelar46011-45931402753_109300/;El Cabanyal-El Canyamelar (Distrito Poblats Marítims. València Capital);3 habs.;74 m²;5ª planta;"Vivienda en alquiler en pleno cabañal.

Solo estudiantes

A partir 1 de septiemebre hasta 30 de junio

La vivienda tiene 3 habitac...";39.4740569;-0.3301173;1 baño;valencia
1.500 €/mes;Piso en Carrer de Pérez Galdós;/alquilar/piso-raco_de_bellver-35060484609_100500/;Racó de Bellver (Cullera);3 habs.;97 m²;2ª planta;"Se alquila apartamento en cullera. Zona del racó, edificio aigua blava.

Situado en la 2° planta de un edificio que cuenta con 2 a...";39.1802382;-0.237968;2 baños;valencia
130 €/día;Apartamento en Carrer de La Rioja, 129;/alquilar/apartamento-playa_de_gandia-45068866265_528520/;Playa de Gandia (Gandia);2 habs.;54 m²;7ª planta;"Exclusivo familias
No estan permitidas las reservas de grupos de jóvenes ni despedidas

Desde 130€/noche.- mínimo 5 noches en juli...";39.01568668821221;-0.17618594045362101;1 baño;valencia
1.300 €/mes;Dúplex en calle Conca;/alquilar/duplex-almarda46520-45872906872_100500/;Almardà (Sagunt - Sagunto);3 habs.;160 m²;1ª planta;"Vas a poder disfrutar de un verano espectacular en una de las mejores playas de la provincia de valencia.

Alquiler de temporada d...";39.7080524;-0.1996635;2 baños;valencia
1.100 €/mes;Piso en Avenida Amat Granell Mesado ´Militar´;/alquilar/piso-na_rovella46013-45848421584_519889/;Na Rovella (Distrito Quatre Carreres. València Capital);3 habs.;69 m²;6ª planta;Se alquila piso en la zona de na rovella, caminando a 5 minutos de las artes y las ciencias, centro comercial el saler, tiene buen...;39.4545495;-0.3631322;2 baños;valencia
1.100 €/mes;Piso en calle de L'arxiduc Carles;/alquilar/piso-safranar46014-45930831862_100500/;Safranar (Distrito Patraix. València Capital);3 habs.;105 m²;4ª planta;"¡Alquiler de vivienda totalmente exterior con plaza de garaje!

Se halla sujeta a la aprobación de la póliza de impago por la comp...";39.462219388;-0.396838341;2 baños;valencia
1.290 €/mes;Ático en calle de los Toneleros;/alquilar/atico-el_grau46024-44249025255_100900/;El Grau (Distrito Poblats Marítims. València Capital);1 hab.;65 m²;;Calle boters - el grau - poblats maritims. Ático con espectacular terraza de 18m² para disfrutar del clima mediterráneo, habitació...;39.4597382;-0.3369202;1 baño;valencia
1.600 €/mes;Piso en El Botànic;/alquilar/piso-el_botanic46008-45890879992_108500/;El Botànic (Distrito Extramurs. València Capital);2 habs.;56 m²;;Alquilamos un piso en zona botanico, muy cerca de las torres de quart y a diez de la plaza del ayuntamiento. Ubicado en una finca ...;39.4752796;-0.3847053;1 baño;valencia
1.000 €/mes;Apartamento en Urbanització Bosque, 1;/alquilar/apartamento-chiva_centro_urbano-46740567895_511599/;Chiva;2 habs.;80 m²;1ª planta;"¡Descubre tu nuevo hogar en la exclusiva urbanización el bosque! 
Este encantador apartamento se encuentra en la planta alta de un...";39.44715;-0.6192177;2 baños;valencia
1.400 €/mes;Piso en Avenida del Maestro Rodrigo, 105;/alquilar/piso-sant_pau46015-45886765128_101800/;Sant Pau (Distrito Campanar. València Capital);1 hab.;95 m²;3ª planta;Ref. 5497. Estupendo apartamento en residencial privado en nou campanar. Piscina, zonas comunes y deportivas. Vigilancia y conserj...;39.4856;-0.403843;2 baños;valencia
2.800 €/mes;Piso en calle Dels Sants Just I Pastor;/alquilar/piso-ciutat_jardi46022-40839226822_527170/;Ciutat Jardí (Distrito Algirós. València Capital);3 habs.;137 m²;1ª planta;"Excelente piso en alquiler de corta estancia.

La propiedad se alquila por el mes de febrero 2024, disponible a partir del 17 de e...";39.4698299;-0.3457923;2 baños;valencia
