precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
800 €/mes;Piso en calle Luzarra;/alquilar/piso-doneperiaga_deustuibarra_san_pedro_la_ribera48014-45024364687_102200/;Doneperiaga-Deustuibarra San Pedro-La Ribera (Distrito Deustu. Bilbao);2 habs.;1 baño;65 m²;2ª planta;¡Atención estudiantes del curso 24/25! Se alquila una encantadora vivienda semiexterior de 58 m², completamente reformada y ubicad...;43.2722899;-2.9463341;vizcaya_bizkaia
1.600 €/mes;Piso en Funikularreko Plaza;/alquilar/piso-matiko_loruri48007-45055661930_100500/;Matiko-Loruri (Distrito Uribarri. Bilbao);3 habs.;2 baños;107 m²;4ª planta;"Bonita vivienda exterior, situada en la plaza del funicular, con entrada también desde la plaza moraza. 

Distribuida en salón com...";43.2685343;-2.92597;vizcaya_bizkaia
1.000 €/mes;Piso en calle de Urazurrutia;/alquilar/piso-bilbo_zaharra48003-45041651710_521979/;Bilbo Zaharra (Distrito Ibaiondo. Bilbao);3 habs.;1 baño;70 m²;Sótano;"Se alquila este acogedor piso en bilbao, ubicado en la zona de bilbao la vieja.
Se requieren nominas ,obligatorio aval y seguro de...";43.2517807;-2.9232671;vizcaya_bizkaia
1.200 €/mes;Piso en Bolueta;/alquilar/piso-bolueta48004-45019183370_109300/;Bolueta (Distrito Begoña-Santutxu. Bilbao);3 habs.;2 baños;90 m²;2ª planta;Se alquila piso en las torres nuevas de bolueta. El edificio cuenta con azotea con zona infantil, zona ajardinada y piscina comuni...;43.2473833;-2.9052122;vizcaya_bizkaia
1.200 €/mes;Piso en Sarriko;/alquilar/piso-san_ignazio_elorrieta48015-45058802275_109300/;San Ignazio-Elorrieta (Distrito Deustu. Bilbao);3 habs.;2 baños;80 m²;;"Estudiantes!! Se alquila estupendo piso&nbsp; a estrenar en la zona de la universidad de sarriko. Cerca de la parada de&nbsp; upv&...";43.2772719;-2.9601809;vizcaya_bizkaia
1.900 €/mes;Piso en Autonomia Kalea;/alquilar/piso-indautxu48012-44248126575_102200/;Indautxu (Bilbao);4 habs.;2 baños;108 m²;5ª planta;Se alquila piso exterior con balcones totalmente reformado ideal empresas , estudiantes o gente joven a compartir, vivienda solead...;43.257545;-2.9425717;vizcaya_bizkaia
2.300 €/mes;Piso en Abandoibarra-Guggenheim;/alquilar/piso-abando_ensanche48008-43431048370_109300/;Abando Ensanche (Distrito Abando. Bilbao);5 habs.;2 baños;150 m²;;Estudiantes!! Disponible próximo curso. Estupendo piso en abando. La vivienda es muy amplia y se distribuye en hall, salón comedor...;43.2597207;-2.930089;vizcaya_bizkaia
1.200 €/mes;Piso en Centro;/alquilar/piso-berango_centro_urbano-42524166154_109300/;Berango;2 habs.;2 baños;60 m²;;"La vivienda consta de&nbsp; dos dormitorios, dos baños completos con plato de ducha y mampara y salón-comedor-cocina.
La cocina es...";43.3617725;-2.9950802;vizcaya_bizkaia
1.350 €/mes;Piso en San Adrian;/alquilar/piso-iralabarri48003-43422788133_109300/;Iralabarri (Distrito Errekalde. Bilbao);4 habs.;2 baños;95 m²;;Estudiantes, alquiler de piso en san adrián.  Cerca de parada autobús a la upv. Vivienda de 4 habitaciones exteriores y luminosas,...;43.2481186;-2.9343438;vizcaya_bizkaia
1.350 €/mes;Piso en Casco Viejo;/alquilar/piso-casco_viejo_zazpi_kaleak48007-31747339859_100500/;Casco Viejo - Zazpi Kaleak (Distrito Ibaiondo. Bilbao);3 habs.;2 baños;120 m²;3ª planta;Inmobiliaria best-house bilbao deusto alquila este magnífico piso para entrar a vivir en la mejor zona del casco viejo. Consta de ...;43.263338778;-2.923079289;vizcaya_bizkaia
3.600 €/mes;Dúplex en calle de Gustavo Adolfo Becquer, 1;/alquilar/duplex-andra_mari48993-45012909894_109800/;Andra Mari (Getxo);3 habs.;3 baños;220 m²;2ª planta;"Dúplex amueblado con exquisito gusto y con magníficas vistas al
Mar, en la zona de santa maría de getxo junto al molino de
Aixerro...";43.359314;-3.0175848;vizcaya_bizkaia
2.200 €/mes;Piso en calle Ormetxe, 12;/alquilar/piso-neguri_aiboa48992-45015157803_100500/;Neguri-Aiboa (Getxo);3 habs.;3 baños;109 m²;2ª planta;¡Descubre tu nuevo hogar en neguri! Este impresionante piso de obra nueva a estrenar te ofrece el lujo y la comodidad que siempre ...;43.3422;-3.00495;vizcaya_bizkaia
1.200 €/mes;Piso en calle de Juan de Antxeta;/alquilar/piso-san_ignazio_elorrieta48015-45012151632_102200/;San Ignazio-Elorrieta (Distrito Deustu. Bilbao);3 habs.;1 baño;60 m²;5ª planta;"Alquiler  exclusivamente estudiantes curso 24/25

Coqueto piso a un paso de metro y autobuses 

60 m² totalmente exterior y con vi...";43.2787356;-2.9578145;vizcaya_bizkaia
1.350 €/mes;Piso en Erriberri Kalea;/alquilar/piso-ametzola48012-44224279175_524268/;Ametzola (Distrito Errekalde. Bilbao);3 habs.;2 baños;110 m²;12ª planta;"¡Atención estudiantes del curso 2024/2025! 

Ubicado en la vibrante zona de la casilla, este piso de alquiler cuenta con una ubic...";43.256653458;-2.945394887;vizcaya_bizkaia
