precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
1.450.000 €;Chalet en Avinguda del Regadiu, 1;/comprar/chalet-sant_vicenc_de_montalt_centro_urbano-35841884736_108500/;Sant Vicenç de Montalt;5 habs.;6 baños;557 m²;Esta maravillosa masía data de 1980 y está totalmente reformada en el año 2017. Se encuentra cerca del golf de sant vicenç de mont...;41.5763;2.50961;;;barcelona
196.500 €;Piso en La Solana;/comprar/piso-sant_andreu_de_la_barca_centro_urbano-44243057265_100500/;Sant Andreu de La Barca;3 habs.;1 baño;80 m²;Fantástica vivienda en venta en sant andreu de la barca. Totalmente reformada de diseño y lista para mudarse. Esta acogedora vivie...;41.447506896;1.976699807;2ª planta;;barcelona
220.000 €;Piso en Carrer de Francesc Layret;/comprar/piso-badalona_centre08911-42548706468_101800/;Centre (Badalona);2 habs.;1 baño;70 m²;Vivienda situada en la calle francesc layret, este piso es un bajos con ascensor y cuenta con una superficie de 70 m² distribuidos...;41.4521114;2.249813;;;barcelona
175.000 €;Piso en Carrer de Sant Martí, 7;/comprar/piso-el_raval08001-44243688518_990014/;El Raval (Distrito Ciutat Vella. Barcelona Capital);1 hab.;1 baño;40 m²;C/ sant marti. Piso todo reformado de 38 m², 1 habitación doble , baño completo con ducha, cocina americana toda equipada (nevera,...;41.378292;2.169027;Entresuelo;;barcelona
178.000 €;Piso en Passeig Marítim;/comprar/piso-malgrat_de_mar_centro_urbano-39260473105_169200/;Malgrat de Mar;3 habs.;1 baño;65 m²;Piso en el paseo maritimo ,frente al mar,comedor con cocina americana ,3 hab. 1 aseo con plato de ducha, todo reformado,suelo de g...;41.6366105;2.7274453;Bajo;;barcelona
249.000 €;Chalet en Abrera;/comprar/chalet-abrera_centro_urbano-40080482210_100500/;Abrera;4 habs.;3 baños;244 m²;"Casa 4 vientos en la urbanización de can villalba. Con una parcela de 546m² aprox.
Distribuida en 3 plantas:
- planta baja: garaje...";41.524592406;1.923083006;;;barcelona
455.000 €;Piso en Carrer de Lope de Vega;/comprar/piso-sant_marti_el_poblenou08005-42531964187_100500/;El Poblenou (Distrito Sant Martí. Barcelona Capital);4 habs.;1 baño;89 m²;"Estupendo piso completamente reformado de 4 habitaciones y 1 baño. En el mejor sitio de poblenou, a metros de la playa.

Ubicado e...";41.401639;2.2071073;1ª planta;;barcelona
225.000 €;Piso en Carrer d'En Roig;/comprar/piso-el_raval08001-42572200514_991211/;El Raval (Distrito Ciutat Vella. Barcelona Capital);2 habs.;1 baño;68 m²;Situado en el corazón de ciutat vella, a 2 minutos del macba y a 5 minutos del mercat de la boqueria. piso en planta principal (1º...;41.3803846;2.1689492;Entresuelo;;barcelona
342.000 €;Chalet en Vallserrat;/comprar/chalet-sant_esteve_sesrovires_centro_urbano-32556235087_100500/;Sant Esteve Sesrovires;5 habs.;4 baños;368 m²;Vivienda de 3 plantas en sant esteve sesrovires - urbanización vallserrat (barcelona) cerca del club de golf. En planta sótano enc...;41.501046847;1.853128302;;;barcelona
199.000 €;Ático en calle Carrer D'antoni de Gimbernat;/comprar/atico-estacio_del_nord_estacio_de_franca-42522282847_100500/;Estació del Nord-Estació de França (Mollet del Vallès);4 habs.;1 baño;100 m²;¡Bienvenidos a una oportunidad única en el corazón de la encantadora localidad de mollet! ¿Estás buscando un hogar que combine , e...;41.534959257;2.20783032;;;barcelona
125.000 €;Piso en Carrer Major;/comprar/piso-montmelo_centro_urbano-27515612417_100500/;Montmeló;3 habs.;;75 m²;"Piso reformado en pleno centro de la población, cerca de todos los comercios y a un paso de la estación de tren de montmeló.
La vi...";41.5510579;2.2471847;Bajo;;barcelona
199.000 €;Piso en Carrer de Coll i Alentorn;/comprar/piso-la_vall_hebron-45024003944_513853/;La Vall d'Hebron (Distrito Horta-Guinardó. Barcelona Capital);2 habs.;1 baño;70 m²;Atención!! Precio final ya rebajado y no negociable. No se rebaja nada más. ** oportunidad única junto a vall d'hebron! Piso de di...;41.424273985;2.146704115;1ª planta;;barcelona
315.000 €;Piso en Baixador;/comprar/piso-baixador-43362740461_100500/;Baixador (Castelldefels);3 habs.;1 baño;70 m²;"Fantástico ático en segunda línea de playa en castelldefels. 
Piso de 3 habitaciones y un baño completo, cocina independiente y sa...";41.2652861;1.9451225;3ª planta;;barcelona
