precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;raw_json;CCAA
119.000 €;Piso en Centro;/comprar/piso-olesa_de_montserrat_centro_urbano-40068589782_100500/;Olesa de Montserrat;4 habs.;1 baño;74 m²;Bajo;"Planta baja distribuida en 4 habitaciones, 1 baño, cocina, comedor y pequeño lavadero.
Municipio que dispone de todos los servicio...";41.539928145;1.894082487;;barcelona
220.000 €;Piso en Carrer de Francesc Layret;/comprar/piso-badalona_centre08911-42548706468_101800/;Centre (Badalona);2 habs.;1 baño;70 m²;;Vivienda situada en la calle francesc layret, este piso es un bajos con ascensor y cuenta con una superficie de 70 m² distribuidos...;41.4521114;2.249813;;barcelona
278.500 €;Piso en Carrer de la Concòrdia;/comprar/piso-ctra_de_santpedor_bases_de_manresa08242-45075318614_109700/;Ctra. de Santpedor-Bases de Manresa (Manresa);3 habs.;2 baños;122 m²;;Piso en un edificio de obra nueva de 122 m² de superficie construida y ubicado en la zona de manresa. Está distribuido en 3 habita...;41.738644;1.826673;;barcelona
231.000 €;Dúplex en Palafolls;/comprar/duplex-palafolls_centro_urbano-92889924055_169200/;Palafolls;3 habs.;2 baños;170 m²;Bajo;3 habitaciones (2 dobles,  1 individual),  2 baños, cocina, lavadero, comedor, terraza (2), suelos gres, garaje, ascensor, armario...;41.6682454;2.7491174;;barcelona
249.000 €;Chalet en Abrera;/comprar/chalet-abrera_centro_urbano-40080482210_100500/;Abrera;4 habs.;3 baños;244 m²;;"Casa 4 vientos en la urbanización de can villalba. Con una parcela de 546m² aprox.
Distribuida en 3 plantas:
- planta baja: garaje...";41.524592406;1.923083006;;barcelona
595.000 €;Chalet en Avinguda de Catalunya;/comprar/chalet-matadepera_centro_urbano-44249004058_100500/;Matadepera;4 habs.;3 baños;300 m²;;¡Increíble oportunidad! Casa / chalet independiente en venta en la exclusiva zona de les pedritxes en matadepera. Esta impresionan...;41.614944027;1.998084346;;barcelona
485.000 €;Piso en Ronda de Sant Pau;/comprar/piso-eixample_sant_antoni08015-44219871426_100500/;Sant Antoni (Distrito Eixample. Barcelona Capital);3 habs.;1 baño;120 m²;5ª planta;"Fantástico piso todo exterior en finca joven, alto, luminoso.

Presentamos este bonito piso en ronda sant pau en finca de 2002, co...";41.3757095;2.1667846;;barcelona
175.000 €;Piso en Carrer de Sant Martí, 7;/comprar/piso-el_raval08001-44243688518_990014/;El Raval (Distrito Ciutat Vella. Barcelona Capital);1 hab.;1 baño;40 m²;Entresuelo;C/ sant marti. Piso todo reformado de 38 m², 1 habitación doble , baño completo con ducha, cocina americana toda equipada (nevera,...;41.378292;2.169027;;barcelona
196.500 €;Piso en La Solana;/comprar/piso-sant_andreu_de_la_barca_centro_urbano-44243057265_100500/;Sant Andreu de La Barca;3 habs.;1 baño;80 m²;2ª planta;Fantástica vivienda en venta en sant andreu de la barca. Totalmente reformada de diseño y lista para mudarse. Esta acogedora vivie...;41.447506896;1.976699807;;barcelona
550.000 €;Piso en Carrer de Mallorca;/comprar/piso-la_sagrada_familia08013-45099189278_100500/;La Sagrada Família (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;87 m²;4ª planta;"Precioso piso junto a la sagrada familia. Alto, con 2 balcones, reformado de lujo.

Nos ilusiona ofrecer viviendas como ésta. De a...";41.4057746;2.1786426;;barcelona
243.000 €;Piso en Carrer de Puntaires;/comprar/piso-can_pantiquet_riera_seca-45057366673_100500/;Can Pantiquet-Riera Seca (Mollet del Vallès);2 habs.;1 baño;87 m²;2ª planta;"Si quieres vivir en el barrio residencial más solicitado de mollet, te ofrecemos la oportunidad perfecta para ti y tu familia. 
Te...";41.540446922;2.220630253;;barcelona
125.000 €;Piso en Carrer Major;/comprar/piso-montmelo_centro_urbano-27515612417_100500/;Montmeló;3 habs.;;75 m²;Bajo;"Piso reformado en pleno centro de la población, cerca de todos los comercios y a un paso de la estación de tren de montmeló.
La vi...";41.5510579;2.2471847;;barcelona
178.000 €;Piso en Passeig Marítim;/comprar/piso-malgrat_de_mar_centro_urbano-39260473105_169200/;Malgrat de Mar;3 habs.;1 baño;65 m²;Bajo;Piso en el paseo maritimo ,frente al mar,comedor con cocina americana ,3 hab. 1 aseo con plato de ducha, todo reformado,suelo de g...;41.6366105;2.7274453;;barcelona
179.000 €;Piso en Carrer de Josep Maria Quadrado;/comprar/piso-distrito_gracia08203-42525720390_528060/;Gràcia (Sabadell);2 habs.;1 baño;77 m²;Bajo;"Se vende bajo exterior luminoso.

La vivienda se encuentra en la planta baja de una finca semi nueva del año 2007. Dispone de 77m²...";41.5336809;2.1112642;;barcelona
204.900 €;Piso en L'Eixample Centre-Barri Antic;/comprar/piso-eixample_centre_barri_antic-45045792687_100200/;L'Eixample Centre-Barri Antic (Viladecans);2 habs.;;91 m²;1ª planta;"Nova viladecans tiene el placer de presentarles este inmueble en exclusiva en el centro de viladecans, en la calle doctor reig.

 ...";41.319765195;2.012749074;;barcelona
199.000 €;Ático en calle Carrer D'antoni de Gimbernat;/comprar/atico-estacio_del_nord_estacio_de_franca-42522282847_100500/;Estació del Nord-Estació de França (Mollet del Vallès);4 habs.;1 baño;100 m²;;¡Bienvenidos a una oportunidad única en el corazón de la encantadora localidad de mollet! ¿Estás buscando un hogar que combine , e...;41.534959257;2.20783032;;barcelona
345.000 €;Piso en Carrer de la Font del Coll;/comprar/piso-el_coll08023-40834333318_100500/;El Coll (Distrito Gràcia. Barcelona Capital);3 habs.;2 baños;95 m²;1ª planta;"Preciso piso, amplio, reformado y soleado.

Con todas las estancias exteriores y tres balcones, recibe sol en todas las habitacion...";41.4196223;2.1503852;;barcelona
355.000 €;Piso en Avinguda del Mistral;/comprar/piso-eixample_sant_antoni08015-45010934181_990014/;Sant Antoni (Distrito Eixample. Barcelona Capital);3 habs.;1 baño;65 m²;2ª planta;Av mistral vivienda de 65 m² aprox en muy buen estado. Este piso cuenta con 3 habitaciones, una de ellas doble con armario empotra...;41.3759395;2.1547824;;barcelona
315.000 €;Piso en Avinguda del Maresme,  s/n;/comprar/piso-mataro_centre08301-4493387067_109700/;Centre (Mataró);3 habs.;2 baños;107 m²;1ª planta;Bloc 4 Esc A Pue 1 Planta 1. Piso en un inmueble de obra nueva de 107 m2 de superficie construida y situado en la zona de Mataró, acomodado en planta 1. Está estructurado en 3 habitaciones, 2 baños completos, terraza y tiene certificación energética B. Aporta como extras ascensor. * Plaza y trastero no incluidos en el precio. Precios sujetos a disponibilidad. Impuestos no incluidos.;41,5353506;2,4477911;;barcelona
1.620.000 €;Ático en Passeig de Manuel Girona;/comprar/atico-sarria_sant_gervasi_sarria08034-45043039205_100500/;Sarrià (Distrito Sarrià-Sant Gervasi. Barcelona Capital);5 habs.;3 baños;232 m²;;"Fantástico ático, toda la vivienda rodeada por la terraza. Completamente exterior.

Nos encanta ofrecer inmuebles únicos como éste...";41.392278728;2.128788475;;barcelona
208.000 €;Piso en Carrer del Poeta Cabanyes;/comprar/piso-el_poble_sec08004-35005498048_993872/;El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital);2 habs.;1 baño;52 m²;1ª planta;"Piso en venta en la calle poeta cabanyes, poble sec, barcelona

Gran oportunidad en finca regia, por precio y zona. A tan sólo poc...";41.3739558;2.1654066;;barcelona
295.000 €;Chalet en Camí dels Castanyers;/comprar/chalet-sant_fost_de_campsentelles_centro_urbano-41747586366_100500/;Sant Fost de Campsentelles;3 habs.;2 baños;138 m²;;"Sant fost en la conrería, un lugar conocido por sus vistas espectaculares y un entorno tranquilo y natural.

Planta garaje: espaci...";41.4934569;2.2393491;;barcelona
239.386 €;Piso en Carrer de Balmes;/comprar/piso-malgrat_de_mar_centro_urbano-45021149071_169200/;Malgrat de Mar;3 habs.;2 baños;80 m²;Bajo;Excelente piso en 2º linea de mar , con unos acabados inmejorables, dos habitaciones dobles y una simple ,cocina completamente equ...;41.640861733;2.73658812;;barcelona
399.500 €;Dúplex en Carrer de Bel-lloc;/comprar/duplex-llinars_del_valles_centro_urbano-34259521052_101800/;Llinars del Vallès;4 habs.;2 baños;170 m²;2ª planta;Venta directa con propietario. Precioso piso dúplex de unos 170m construidos, de los cuales 150m son de vivienda, más 4 terrazas q...;41.64582627;2.403478637;;barcelona
259.900 €;Casa en Cabrera D Anoia;/comprar/casa-cabrera_anoia_centro_urbano-44193889583_100500/;Cabrera d'Anoia;5 habs.;3 baños;315 m²;;"Habitat catalunya te presenta ésta bonita casa situada en la urbanización can ros en cabrera d’anoia.

La vivienda principal de 12...";41.4667361;1.7294749;;barcelona
1.150.000 €;Chalet en Maresme;/comprar/chalet-sant_vicenc_de_montalt_centro_urbano-43351230106_108700/;Sant Vicenç de Montalt;5 habs.;4 baños;282 m²;;Descubre esta impresionante residencia situada en sant vicenç de montalt, en la prestigiosa zona del maresme, a solo 40 minutos de...;41.566705871;2.515347357;;barcelona
245.000 €;Casa adosada en Palafolls;/comprar/casa_adosada-palafolls_centro_urbano-39198321325_501419/;Palafolls;4 habs.;3 baños;180 m²;;"Palafolls (zona san luis) casa adosada con más de 180m² distribuidos en 3 plantas:

Planta baja (acceso): recibidor, garaje 41m² a...";41.662186392;2.750773273;;barcelona
399.500 €;Piso en Baixada del Castell;/comprar/piso-llinars_del_valles_centro_urbano-44205357925_101800/;Llinars del Vallès;4 habs.;3 baños;170 m²;2ª planta;Venta directa con propietario. Precioso piso dúplex de unos 170m construidos, de los cuales 150m son de vivienda, más 4 terrazas q...;41.6393304;2.403366;;barcelona
309.000 €;Ático en Llefià-Artigues;/comprar/atico-llefia_artigues08913-3334895745_101800/;Llefià-Artigues (Badalona);4 habs.;2 baños;140 m²;;Avinguda alfons xiii, super ático de 100 m² de habitabilidad con 80 m² de terraza cuenta con 4 habitaciones y 2 baños, completamen...;41.4357847;2.2211219;;barcelona
166.000 €;Ático en Ctra. de Barcelona;/comprar/atico-barbera_del_valles_centro_urbano-42540129013_100500/;Barberà del Vallès;4 habs.;1 baño;90 m²;;"Ático en planta 10ª, en barbera del valles - céntrico - ctra. Barcelona. 
Dispone de 4 habitaciones (1 doble, 3 individuales), sal...";41.523309978;2.122578259;;barcelona
375.000 €;Casa en Taradell;/comprar/casa-taradell_centro_urbano-39256820966_253600/;Taradell;3 habs.;3 baños;303 m²;;Espectacular casa entremitjeres de 303 m² construïts situada al barri de castellets, zona molt tranquil·la, envoltada de zones ver...;41.8638;2.28344;;barcelona
250.000 €;Piso en Carrer de Columel·la;/comprar/piso-ca_naurell08224-45044345380_142600/;Ca n'Aurell (Terrassa);3 habs.;1 baño;103 m²;Bajo;"Pis tipus dúplex per rehabilitar a la rambla d' egara davant l' estació de ffcc. Planta primera de 90 m"" amb 3 dormitoris, menjado...";41.5601852;2.0068135;;barcelona
315.000 €;Piso en Avinguda del Maresme,  s/n;/comprar/piso-mataro_centre08301-4493387067_109700/;Centre (Mataró);3 habs.;2 baños;107 m²;1ª planta;Bloc 4 esc a pue 1 planta 1. Piso en un inmueble de obra nueva de 107 m² de superficie construida y situado en la zona de mataró, ...;41.5353506;2.4477911;;barcelona
342.000 €;Chalet en Vallserrat;/comprar/chalet-sant_esteve_sesrovires_centro_urbano-32556235087_100500/;Sant Esteve Sesrovires;5 habs.;4 baños;368 m²;;Vivienda de 3 plantas en sant esteve sesrovires - urbanización vallserrat (barcelona) cerca del club de golf. En planta sótano enc...;41.501046847;1.853128302;;barcelona
329.000 €;Piso en Sanfeliu;/comprar/piso-sanfeliu08906-42529587386_100500/;Sanfeliu (L'Hospitalet de Llobregat);3 habs.;1 baño;50 m²;3ª planta;"Bonito piso de 3 habitaciones con balcon junto metro boixeres.

Este piso, luminoso, con balcon y vistas despejadas, se entrega co...";41.3646536;2.0906145;;barcelona
1.150.000 €;Piso en Passeig de la Bonanova;/comprar/piso-les_tres_torres08017-44258559216_100500/;Les Tres Torres (Distrito Sarrià-Sant Gervasi. Barcelona Capital);4 habs.;3 baños;160 m²;2ª planta;"Excelente oportunidad en el paseo de la bonanova

Nos emociona poder ofrecer viviendas como ésta.

Se trata de un fantástico piso ...";41.4018672;2.1251264;;barcelona
1.450.000 €;Chalet en Avinguda del Regadiu, 1;/comprar/chalet-sant_vicenc_de_montalt_centro_urbano-35841884736_108500/;Sant Vicenç de Montalt;5 habs.;6 baños;557 m²;;Esta maravillosa masía data de 1980 y está totalmente reformada en el año 2017. Se encuentra cerca del golf de sant vicenç de mont...;41.5763;2.50961;;barcelona
242.000 €;Ático en La Salut-Lloreda-Sistrells;/comprar/atico-la_salut_lloreda_sistrells08914-43418754841_101800/;La Salut-Lloreda-Sistrells (Badalona);3 habs.;1 baño;87 m²;;Espectacular ático sin ascensor, la vivienda consta de gran terraza orientada a mar (50m aprox) y otra terraza con trastero en la ...;41.442871;2.2242136;;barcelona
249.000 €;Piso en Carrer de Salvà, 31;/comprar/piso-el_poble_sec08004-45009109155_108700/;El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital);2 habs.;1 baño;60 m²;;Magnifico piso de 60m² con balcon -piso exterior luminoso reformado con mucho encanto en poblesec – 2 dormitorios – 1 baño – ascen...;41.3733;2.16603;;barcelona
275.000 €;Piso en Passeig Marítim;/comprar/piso-pineda_de_mar_centre-41738044831_996907/;Centre (Pineda de Mar);3 habs.;2 baños;103 m²;2ª planta;"Excepcional piso con vistas al mar con terraza y junto todos los servicios en pineda centro
Gran piso de 103m² 
Comedor con chimen...";41.620820928;2.688175852;;barcelona
123.000 €;Piso en Plaça de la Llibertat;/comprar/piso-congost_can_gili08403-44242978153_100500/;Congost-Can Gili (Granollers);3 habs.;1 baño;71 m²;4ª planta;Piso de 3 habitaciones, comedor salida a balcón, cocina de roble, baño completo, acabados con suelo de gres, carpintería interior ...;41.6137394;2.2801238;;barcelona
259.000 €;Piso en Carrer de Llobet i Vall-llosera;/comprar/piso-el_guinardo08032-44265829412_990014/;El Guinardó (Distrito Horta-Guinardó. Barcelona Capital);2 habs.;1 baño;70 m²;4ª planta;"No pierdas la oportunidad de adquirir este fantástico piso en barcelona! 
Situada en la calle de llobet i vall-llosera, junto a la...";41.421356517;2.173779185;;barcelona
338.000 €;Piso en Carrer del Torrent Fondo, 63;/comprar/piso-la_torre_roja_camprecios_grup_sant_jordi-45091036439_109700/;La Torre-roja-Campreciós-Grup Sant Jordi (Viladecans);3 habs.;2 baños;;;Piso en un inmueble de obra nueva y situado en la zona de viladecans. Está estructurado en 3 habitaciones dobles y 2 baños complet...;41.32156;2.027327;;barcelona
200.000 €;Piso en Carrer de l'Hortal;/comprar/piso-el_guinardo-45061760612_525021/;El Guinardó (Distrito Horta-Guinardó. Barcelona Capital);3 habs.;1 baño;63 m²;2ª planta;"*whatsapp para visitas.-6.0.2-2.5-4.5-1.2*
(seis-cero-dos-veinticinco-cuarenta y cinco- doce) 

_____________estudio miraflores l’...";41.4220576;2.1525829;;barcelona
136.000 €;Piso en Carrer de Cristóbal Colón;/comprar/piso-plana_lledo_can_borrell_gallecs_lourdes08100-45068612034_100500/;Plana Lledó-Can Borrell-Gallecs-Lourdes (Mollet del Vallès);2 habs.;1 baño;62 m²;1ª planta;"¿Por qué querrías alquilar cuando puedes tener un piso como este?.
Pon fin a tu búsqueda de una buena oportunidad de inversión lle...";41.544759819;2.211714123;;barcelona
549.000 €;Dúplex en Avinguda de Josep Tarradellas, 14;/comprar/duplex-els_molins_poble_sec_pins_vens-44224143932_100500/;Els Molins-Poble Sec-Pins Vens (Sitges);4 habs.;3 baños;165 m²;3ª planta;Descubre esta encantadora propiedad ubicada en la zona de pins vens en sitges, una pintoresca ciudad costera en la provincia de ba...;41.2432;1.81166;;barcelona
1.350.000 €;Piso en Carrer de Casanova, 57;/comprar/piso-antiga_esquerra_de_eixample08011-4547268101_109700/;L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;159 m²;7ª planta;7º b. Piso en un edificio de obra nueva de 159 m² de superficie construida y ubicado en la zona de barcelona capital, enclavado en...;41.3849065;2.1592459;;barcelona
175.000 €;Piso en Gran Via de les Corts Catalanes;/comprar/piso-la_font_de_la_guatlla08004-45065734992_513145/;La Font de la Guatlla (Distrito Sants-Montjuïc. Barcelona Capital);2 habs.;1 baño;57 m²;Bajo;Piso de 57 m² según catastro (51 m² según escritura y 51 m² utiles según cédula de habitabilidad) situado en una finca regia del 1...;41.370490195;2.142789644;;barcelona
195.000 €;Casa en Carrer Major;/comprar/casa-tona_centro_urbano-775305524_137000/;Tona;5 habs.;;413 m²;;Superf. 413 m²,  5 habitaciones (5 dobles), año construcción 1900, estado certificación: , casa totalmente a reformar o para tirar...;41.8505532;2.2281596;;barcelona
338.000 €;Piso en Carrer del Torrent Fondo, 63;/comprar/piso-la_torre_roja_camprecios_grup_sant_jordi-45091036439_109700/;La Torre-roja-Campreciós-Grup Sant Jordi (Viladecans);3 habs.;2 baños;;;Piso en un inmueble de obra nueva y situado en la zona de Viladecans. Está estructurado en 3 habitaciones dobles y 2 baños completos. El Piso tiene está adaptado a personas con discapacidad. Aporta como extras ascensor.;41,32156;2,027327;;barcelona
525.000 €;Piso en Carrer de Bacardí;/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-42595556525_106700/;Santa Eulàlia (L'Hospitalet de Llobregat);3 habs.;2 baños;166 m²;;Luminoso loft de 3 plantas con 1 dormitorio suite grande y posibilidad de habilitar 3 dormitorios más. Espacios diáfanos y alturas...;41.3625;2.12876;;barcelona
