precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
195.000 €;;/comprar/casa-tona_centro_urbano-775305524_137000/;Tona;5 habs.;413 m²;Superf. 413 m²,  5 habitaciones (5 dobles), año construcción 1900, estado certificación: , casa totalmente a reformar o para tirar...;41.8505532;2.2281596;;;barcelona
295.000 €;Piso en Carrer dels Marquesos de Vilallonga, 11;/comprar/piso-sant_julia_de_vilatorta_centro_urbano-29201519279_110300/;Sant Julià de Vilatorta;2 habs.;82 m²;Piso de  82.35 m², con 2 habitaciones dobles, 1 baño completo con plato de ducha, cuarto de lavar, cocina abierta al comedor-sala ...;41.923831430098076;2.325235214026334;1 baño;Bajo;barcelona
179.000 €;;/comprar/piso-distrito_gracia08203-42525720390_528060/;Gràcia (Sabadell);2 habs.;77 m²;"Se vende bajo exterior luminoso.

La vivienda se encuentra en la planta baja de una finca semi nueva del año 2007. Dispone de 77m²...";41.5336809;2.1112642;1 baño;Bajo;barcelona
226.000 €;;/comprar/piso-hospitalet_de_llobregat_les_planes08905-45875661175_525021/;Les Planes (L'Hospitalet de Llobregat);4 habs.;80 m²;"*whatsapp para visitas.-6.0.2-2.5-4.5-1.2*
(seis-cero-dos-veinticinco-cuarenta y cinco- doce) 

_____________estudio miraflores l...";41.3691392;2.1076369;1 baño;7ª planta;barcelona
305.000 €;;/comprar/duplex-sant_just_desvern_centro_urbano08960-41741576984_527777/;Sant Just Desvern;3 habs.;126 m²;En esta ocasión peterjohn's capital os presenta en sant just desvern, en las inmediaciones de av. Industria con carretera reial, e...;41.37976433;2.067502693;2 baños;2ª planta;barcelona
145.000 €;;/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-45000297628_500186/;Singuerlín-Les Oliveres-Can Franquesa-Guinardera (Santa Coloma de Gramenet);3 habs.;76 m²;"Vivienda en perfectoe estado en la zona de singuerlín - sta coloma de gramanet.

Piso de 60m² todo exterior con 3 habitaciones, co...";41.462977426;2.203000986;1 baño;4ª planta;barcelona
460.000 €;;/comprar/piso-eixample_sant_antoni08015-45003927653_100500/;Sant Antoni (Distrito Eixample. Barcelona Capital);4 habs.;87 m²;"En el corazón de sant antoni, terraza, 4 dormitorios, dos baños, parking.

Presentamos este excelente piso con terraza, para refor...";41.3791451;2.1581852;2 baños;4ª planta;barcelona
145.000 €;;/comprar/piso-hospitalet_de_llobregat_les_planes08905-45845048320_525021/;Les Planes (L'Hospitalet de Llobregat);3 habs.;68 m²;"*whatsapp para visitas.-6.0.2-2.5-4.5-1.2*
(seis-cero-dos-veinticinco-cuarenta y cinco- doce) 

_____________estudio miraflores l’...";41.3697416;2.1070088;1 baño;5ª planta;barcelona
194.900 €;;/comprar/piso-eixample_centre_barri_antic-45045792687_100200/;L'Eixample Centre-Barri Antic (Viladecans);2 habs.;91 m²;"Nova viladecans tiene el placer de presentarles este inmueble en exclusiva en el centro de viladecans, en la calle doctor reig.

 ...";41.319765195;2.012749074;1 baño;1ª planta;barcelona
295.000 €;;/comprar/atico-els_molins_poble_sec_pins_vens-45064617591_395600/;Els Molins-Poble Sec-Pins Vens (Sitges);2 habs.;124 m²;"¡Oportunidad venta de 2 pisos por el precio de uno. 
2 piso en una sola unidad registral. 
1º piso y  anejo piso ático en 3ª plant...";41.2402139;1.8083051;2 baños;;barcelona
245.000 €;;/comprar/piso-sagnier_placa_de_catalunya-45845782818_519629/;Sagnier-Plaça de Catalunya (El Prat de Llobregat);3 habs.;69 m²;¿Te gusta estrenar? ¡Estás de suerte! Desde moransender inmobiliaria te ofrecemos la oportunidad de ser el primer habitante de est...;41.323649;2.0940253;1 baño;3ª planta;barcelona
160.000 €;;/comprar/piso-collegis_nous-45926469619_100500/;Col·legis Nous (Mollet del Vallès);3 habs.;84 m²;"¡Tu nuevo hogar te espera en el corazón de mollet del valles! 
Ubicado en el pintoresco barrio de los col.legis nous, en mollet de...";41.541366456;2.209280722;1 baño;2ª planta;barcelona
205.000 €;;/comprar/casa-manlleu_centro_urbano-37599371918_365900/;Manlleu;6 habs.;240 m²;Finca con dos pisos independientes de 3 habitaciones cada uno al lado de las piscinas municipales. La casa tiene un amplio garaje ...;42.003631582;2.290981743;3 baños;;barcelona
235.000 €;;/comprar/piso-esplugues_de_llobregat_centro_urbano08950-44264998732_993006/;Esplugues de Llobregat;2 habs.;52 m²;¡Oportunidad única en la zona de esplugues de llobregat! Este encantador piso reformado de 52 m² es ideal para parejas o pequeñas ...;41.3734702;2.0882683;1 baño;4ª planta;barcelona
175.000 €;;/comprar/piso-la_torre_roja_camprecios_grup_sant_jordi-45871964821_100500/;La Torre-roja-Campreciós-Grup Sant Jordi (Viladecans);3 habs.;62 m²;En merkapiso  nos complace poner a vuestra disposición esta vivienda en planta ático al mejor precio en la valorada población de v...;41.3182192;2.0247308;1 baño;4ª planta;barcelona
350.000 €;;/comprar/duplex-caputxins_santa_clara_hospital-41714510777_110300/;Caputxins-Santa Clara-Hospital (Vic);4 habs.;129 m²;Si buscas luminosidad, tenemos este dúplex invertido ideal para ti. Un hogar amplio, cómodo y con grandes ventanales, para disfrut...;41.931209871;2.262128242;3 baños;2ª planta;barcelona
84.000 €;;/comprar/piso-hospitalet_de_llobregat_les_planes-945856909442342_109700/;Les Planes (L'Hospitalet de Llobregat);2 habs.;52 m²;"Piso en la florida con 50m². Todo exterior, soleado y muy  luminoso ¡¡ 1ª planta   consta de 2-habitaciones cocina; buen estado co...";41.3674854;2.1092886;1 baño;1ª planta;barcelona
179.000 €;;/comprar/piso-montmelo_centro_urbano-42530593711_100500/;Montmeló;3 habs.;70 m²;Te presento este encantador piso completamente reformado, lo que garantiza un buen estado y una sensación de estrenar, dispone tam...;41.5517261;2.2490219;1 baño;4ª planta;barcelona
336.000 €;Piso en Carrer de la Boia, 7;/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-3236802911_109700/;Barri de Mar-Ribes Roges-Plaça de la Sardana (Vilanova i la Geltrú);3 habs.;79 m²;Patmos PL Baja B 3D. Piso en un inmueble de obra nueva de 79 m2 de superficie construida y situado en la zona de Vilanova i la Geltrú, acomodado en planta baja. Está estructurado en 3 habitaciones, 2 baños completos y terraza de 58 m2. Aporta como extras ascensor, garaje y trastero.;41,217131226;1,723453805;2 baños;Bajo;barcelona
105.000 €;;/comprar/piso-collblanc08904-45856989661_525021/;Collblanc (L'Hospitalet de Llobregat);1 hab.;42 m²;"*whatsapp para visitas.-6.0.2-2.5-4.5-1.2*
(seis-cero-dos-veinticinco-cuarenta y cinco- doce) 

_____________estudio miraflores l’...";41.3719938;2.1194346;1 baño;Bajo;barcelona
