precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
210.000 €;;/comprar/loft-sant_gervasi_la_bonanova08022-45008833360_101800/;Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital);1 hab.;1 baño;39 m²;Estudio/loft nuevo a estrenar (sin cédula de habitabilidad), ubicado en el barrio del putxet i el farró de barcelona. Perfectament...;41.4095134;2.1342563;;barcelona
150.000 €;Piso en Carrer de les Camèlies, 40;/comprar/piso-can_cuias-40862041744_519607/;Can Cuiàs (Montcada i Reixac);1 hab.;1 baño;65 m²;"Piso de protección oficial (vpo)

Perfil del comprador:
El comprador de esta vivienda, sólo podrá usarla como residencia habitual ...";41.46386212054238;2.1690720850349967;1ª planta;barcelona
789.000 €;;/comprar/piso-sant_marti_el_poblenou08005-45907572430_991923/;El Poblenou (Distrito Sant Martí. Barcelona Capital);3 habs.;2 baños;100 m²;"Amplio y luminoso piso en diagonal mar, frente al mar

Luminoso y moderno piso en diagonal mar, en excelente estado. Consta de tre...";41.399459976;2.207488233;1ª planta;barcelona
3.950.000 €;;/comprar/atico-pedralbes08034-45072686395_522145/;Pedralbes (Distrito Les Corts. Barcelona Capital);5 habs.;6 baños;546 m²;This duplex penthouse of more than 500 square meters reflects the classic architectural style of barcelona. It is sophisticated an...;41.3934517;2.1143854;;barcelona
250.000 €;;/comprar/piso-sant_pere_de_ribes_nucli_urba-45929541567_100500/;Nucli Urbà (Sant Pere de Ribes);4 habs.;2 baños;125 m²;Imagina despertar cada mañana con el sol acariciando tu rostro en la terraza de tu suite principal. Este luminoso piso de 120 m² (...;41.257796372;1.77058751;1ª planta;barcelona
179.000 €;Piso en Carrer del Ter, 40;/comprar/piso-can_palet08223-25067541818_101800/;Can Palet (Distrito Can Palet-Xúquer. Terrassa);2 habs.;1 baño;86 m²;"**las imágenes que se muestran son creadas virtualmente.
Local reconvertido en vivienda con entrega prevista para diciembre 2021.
...";41.55461499098757;2.0259794434275977;Bajo;barcelona
563.850 €;Piso en Carrer de Cervantes, 45;/comprar/piso-centre_covadonga_centre08201-38379843297_518064/;Centre (Distrito Centre-Covadonga. Sabadell);4 habs.;3 baños;178 m²;"Promoción de obra nueva en la calle cervantes (últimos 4 pisos en venta).

A una esquina de la rambla, ático dúplex invertido de 1...";41.541300442930954;2.109639545837649;2ª planta;barcelona
560.000 €;;/comprar/piso-sant_gervasi_la_bonanova08022-44222081077_518286/;Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital);3 habs.;2 baños;111 m²;Magnífico piso situado en sarriá-sant gervasi con excelente comunicación, a 2 minutos de la parada de bus (líneas v13 y v15), a 5 ...;41.4029485;2.1366759;1ª planta;barcelona
390.000 €;;/comprar/piso-el_congres_els_indians08027-43414312580_101800/;El Congrés-Els Indians (Distrito Sant Andreu. Barcelona Capital);4 habs.;2 baños;110 m²;Fantástico piso muy luminoso, ubicado en carrer manigua en finca de obra vista. El piso presenta 110 mt2, llenos de posibilidades ...;41.422621546;2.179346602;1ª planta;barcelona
125.000 €;Piso en calle Passatge Dalbert Llanas, nº .;/comprar/piso-el_camp_en_grassot_gracia_nova08024-45885080502_109300/;El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital);3 habs.;1 baño;76 m²;"Espléndido piso con terraza en badalona.

Se vende piso en badalona, perfecto para familias o parejas que busquen un lugar cómodo ...";41.4165;2.16373;3ª planta;barcelona
990.000 €;;/comprar/piso-sant_gervasi_galvany08021-44263733638_106700/;Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital);6 habs.;2 baños;200 m²;"Edificio emblemático en la zona de muntaner / diagonal.

Ofrece la opción de ser dividido en dos unidades.

Es un apartamento atra...";41.3940947;2.1486877;;barcelona
135.000 €;;/comprar/piso-manlleu_centro_urbano-45896512215_253600/;Manlleu;3 habs.;1 baño;136 m²;Espectacular pis de 136 m² construïts ubicat a la segona planta de l’edifici sense servei d’ascensor de tant sols 3 veïns situat a...;41.999659063;2.286019781;2ª planta;barcelona
175.000 €;;/comprar/piso-montigala_sant_crist08917-40893796881_101800/;Montigalà-Sant Crist (Badalona);3 habs.;1 baño;67 m²;"¡Estupenda vivienda a la venta!

Finques torres te presenta tu nuevo hogar 
Se trata de una vivienda muy bonita y acogedora a la v...";41.4542797;2.2229092;1ª planta;barcelona
330.000 €;;/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa0-45886154410_109300/;Urbanitzacions Niàgara Parc-Àgora Parc-Roca-Rossa (Tordera);6 habs.;3 baños;258 m²;"¡Oportunidad única! 
Se vende espectacular casa de 2 plantas en la exclusiva urbanización de agora park, tordera. Esta vivienda, c...";41.6971065;2.6667293;;barcelona
595.000 €;;/comprar/piso-el_barri_gotic08002-44228855311_994552/;El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital);5 habs.;2 baños;168 m²;Se vende un espacioso piso en el corazón de barcelona capital, ubicado en el barri gòtic. Con una superficie total de 168 m² y 5 h...;41.3840606;2.1742975;1ª planta;barcelona
719.000 €;;/comprar/piso-sant_pere_santa_caterina_la_ribera08003-45050292454_108900/;Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital);1 hab.;2 baños;105 m²;Piso totalmente reformado en 2021 en un edificio de 1934 que también ha sido rehecho este año de abajo a arriba. Si bien está equi...;41.3832311;2.1795208;;barcelona
345.000 €;;/comprar/casa-centelles_centro_urbano-40074974533_253600/;Centelles;3 habs.;3 baños;181 m²;Casa adossada d’obra nova de 180 m² construïts situada a 10 minuts caminant del centre de la vila, distribuïda en: planta baixa a ...;41.79709205;2.2284953;;barcelona
297.000 €;;/comprar/piso-vilapicina_la_torre_llobeta08031-45881436096_106700/;Vilapicina-La Torre Llobeta (Distrito Nou Barris. Barcelona Capital);3 habs.;1 baño;77 m²;¡Descubre tu nuevo hogar en el corazón del barrio de virrei-amat! Este impresionante piso de 77 m² construidos y 73 m² útiles, ubi...;41.4294007;2.1742436;;barcelona
415.000 €;Piso en Carrer dels Calders, 55;/comprar/piso-eixample_sant_oleguer08203-4560427391_109700/;Eixample-Sant Oleguer (Sabadell);3 habs.;2 baños;142 m²;"VI-2-2-P00-B. Piso en un edificio de obra nueva de 142 m2 de superficie construida y ubicado en la zona de Sabadell, enclavado en planta baja. Está distribuido en 3 habitaciones, 2 baños completos, terraza de 28,2 m2 y cuenta con certificación energética A.

** El precio mostrado en la tabla anterior para cada inmueble, incluye únicamente aquellos anejos (plazas de garaje y/o trastero) que hubiesen sido expresamente especificados en su descripción. En caso de no aparecer especificados, su precio no se entenderá incluido en el precio mostrado anteriormente. El precio mostrado lo es sin incluir impuestos. Los inmuebles identificados están sujetos, en todo caso, a disponibilidad.";41,534595;2,1138549;Bajo;barcelona
