precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
290.000 €;;/comprar/piso-can_baro08024-45909606077_101800/;Can Baró (Distrito Horta-Guinardó. Barcelona Capital);4 habs.;1 baño;84 m²;Entresuelo;"¡Amor a primera vista! ********** producto estrella fincador!

¡Bienvenidos a este espectacular piso en venta! Esta vivienda es pe...";41.4161522;2.1603652;barcelona
315.000 €;Piso en Carrer de la Independència, 2;/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-45869686601_455500/;Sant Pere (Distrito Sant Pere-Zona Esportiva. Terrassa);3 habs.;2 baños;100 m²;8ª planta;Urbe grup ofrece este encantador piso en la estació del nord. Se trata de una vivienda del año 2001 que ha sido completamente reno...;41.57049;2.0146606;barcelona
325.000 €;;/comprar/piso-nord_el_sucre_universitat-45053624676_116000/;Nord-El Sucre-Universitat (Vic);4 habs.;2 baños;151 m²;3ª planta;Esta es su oportunidad para tener un piso de 4 habitaciones en el exclusivo flors park. Piso de superficie construida 151 m² y sup...;41.927364337;2.249374114;barcelona
229.000 €;;/comprar/piso-poble_nou_zona_olimpica08225-41755876683_100200/;Poble Nou-Zona Olímpica (Distrito Sant Pere-Zona Esportiva. Terrassa);4 habs.;;102 m²;;"Desde tecnocasa can boada ofrecemos fantástica vivienda de 102m² en calle dibuixant avellaneda. Lista para entrar a vivir.
Al entr...";41.5762899;2.0160591;barcelona
295.000 €;;/comprar/piso-hospitalet_de_llobregat_centre08901-45005389913_101800/;Centre (L'Hospitalet de Llobregat);2 habs.;2 baños;80 m²;2ª planta;"Presentamos una exclusiva promocion de 11 viviendas de obra nueva situadas en la calle santa anna.

Características de la promoci...";41.3589295;2.1013896;barcelona
179.000 €;;/comprar/piso-la_prosperitat08016-45919909938_100200/;La Prosperitat (Distrito Nou Barris. Barcelona Capital);2 habs.;1 baño;55 m²;;"Tecnocasa valldaura presenta,a exclusiva,
Àtic de 55m², compta amb dues habitacions dobles, pis completament exterior i molt llumi...";41.4423773;2.1799925;barcelona
695.000 €;;/comprar/piso-eixample_sant_antoni08015-45071191829_101300/;Sant Antoni (Distrito Eixample. Barcelona Capital);3 habs.;4 baños;185 m²;;Espectacular tríplex de 170 m² ubicado en el corazón de barcelona, en el popular barrio de sant antoni.   En la planta principal, ...;41.3762148;2.1617127;barcelona
339.000 €;;/comprar/piso-la_geltru_casernes_armanya-44173761092_109300/;La Geltrú-Casernes-L'Armanyà (Vilanova i la Geltrú);3 habs.;2 baños;111 m²;;"¡Descubre esta espectacular vivienda en vilanova i la geltrú! 
Con 111 m² construidos, esta amplia y luminosa propiedad ofrece tod...";41.224182536;1.742748477;barcelona
330.000 €;;/comprar/casa_adosada-la_collada_els_sis_camins_fondo_somella_santa_mari-45068514686_100200/;La Collada-Els Sis Camins-Fondo Somella-Santa Maria (Vilanova i la Geltrú);3 habs.;2 baños;231 m²;;Esta amplia casa adosada en la exclusiva urbanización de la collada en vilanova i la geltrú es sin duda una joya en el mercado inm...;41.224402792;1.70263339;barcelona
795.000 €;;/comprar/piso-pedralbes08034-40835721305_101300/;Pedralbes (Distrito Les Corts. Barcelona Capital);6 habs.;1 baño;154 m²;;Precioso piso situado en una des las mejores zonas de barcelona, entre sarrià y pedralbes, en la calle c/ capitán arenas, junto a ...;41.3904182;2.1262299;barcelona
475.000 €;Piso en Carrer de Colòmbia, 1;/comprar/piso-sant_andreu_barrio08030-4554715013_109700/;Sant Andreu (Distrito Sant Andreu. Barcelona Capital);3 habs.;2 baños;92 m²;1ª planta;1º 3º. Espectacular piso de 3 habitaciones de 79m² con 2 baños completos con ventana (1 suite). Cocina - salón - comedor de 26m² c...;41.4406421;2.1882682;barcelona
194.690 €;Piso en Carrer de Sant Ferran, 39;/comprar/piso-distrito_gracia-40075757620_370400/;Gràcia (Sabadell);3 habs.;2 baños;81 m²;Bajo;"Sabadell gràcia  - plaça jocs florals (habitatges acabats)
Planta baixa obra nova protegida amb preu concertat al carrer sant ferr...";41.53760184205194;2.1059384868670765;barcelona
