precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
323.500 €;Casa adosada en calle Mies de Domañas,  2;/comprar/casa_adosada-maono-4349194097_109700/;Maoño (Santa Cruz de Bezana);4 habs.;3 baños;175 m²;Nº 16. Casa adosada de obra nueva, de 175 m² de superficie construida, y emplazada en la zona de santa cruz de bezana.  Está dispu...;43.456420541;-3.908587246;;;cantabria
45.000 €;Piso en Barrio de Puente San Miguel;/comprar/piso-puente_san_miguel-94240927035_996790/;Puente San Miguel (Reocín);2 habs.;1 baño;60 m²;En puente san miguel, a unos 4 km de torrelavega, próximo a la autovía, vivienda en en una tercera planta con una superficie aprox...;43.359281322;-4.086231663;Bajo;;cantabria
120.000 €;Piso en calle de la República de Argentina, 9;/comprar/piso-zona_playa-42587652758_501239/;Zona Playa (Laredo);2 habs.;1 baño;49 m²;Si estás buscando un apartamento en laredo, que esté cerca de la playa y a la orilla de todos los servicios, tenemos algo que te p...;43.410393;-3.431771;4ª planta;;cantabria
59.000 €;Piso en calle del Río Ebro;/comprar/piso-covadonga_campuzano_ciudad_vergel39300-45075387897_996790/;Covadonga-Campuzano-Ciudad Vergel (Torrelavega);2 habs.;1 baño;66 m²;"En torrelavega, vivienda de dos dormitorios, salón cocina con balcón y un baño 
Luminosa con orientación oeste
Ventanas de pvc.";43.346398619;-4.061015737;4ª planta;;cantabria
119.000 €;Piso en calle de Vicente Aleixandre;/comprar/piso-cazona_la_albericia_el_alisal-34243026342_996790/;El Alisal-Cazoña (Santander);1 hab.;1 baño;68 m²;Pisos en venta junto al complejo deportivo del albericia, en una zona residencial, junto a un parque, en un edifíco con ascensor, ...;43.4626234;-3.8424021;1ª planta;;cantabria
55.000 €;Piso en calle de Julián Urbina;/comprar/piso-la_inmobiliaria_barreda-35841917486_996790/;La Inmobiliaria-Barreda (Torrelavega);3 habs.;1 baño;106 m²;Piso en venta en edificio de hormigón, en torrelavega, con una superficie de 98 m²,  con 3 dormitorios, salón-comedor muy amplio, ...;43.352635741;-4.045821229;4ª planta;;cantabria
720.000 €;Chalet en calle de la Tejera;/comprar/chalet-santa_cruz_de_bezana_centro_urbano-40868072310_100500/;Santa Cruz de Bezana;5 habs.;4 baños;384 m²;El esplendor de este chalet concebido al más depurado estilo montañés con un grado de exquisitez elevado a su máxima expresión, br...;43.432370433;-3.911373614;;;cantabria
450.000 €;Casa rústica en Cacicedo;/comprar/casa_rustica-camargo_cacicedo39600-35093215997_100500/;Cacicedo (Camargo);5 habs.;2 baños;252 m²;"Impresionante casa solariega, con escudo en la fachada y con mucha historia, situada en cacicedo de camargo.

La casa de 250 m² es...";43.431350879;-3.870121907;;;cantabria
172.000 €;Ático en Avenida de Chiclana;/comprar/atico-guarnizo-30005377377_101800/;Guarnizo (El Astillero);2 habs.;1 baño;65 m²;Ático con 2 habitaciones, salón-comedor ,cocina , baño ,terraza con vistas ,parquet flotante, ventanas pvc doble cristal calefacci...;43.402368027;-3.818774205;;;cantabria
178.000 €;Piso en Barrio callejo;/comprar/piso-liencres-45058161714_100500/;Liencres (Piélagos);2 habs.;;55 m²;"Siempre has querido vivir en liencres pero, ¿No has encontrado aún tu oportunidad?
Atento porque esto te va a interesar. Fresno te...";43.458271427;-3.929697323;1ª planta;;cantabria
150.000 €;Dúplex en Urbanización Camino de Orconera;/comprar/duplex-el_astillero_centro_urbano-37517838619_100500/;El Astillero;2 habs.;;97 m²;"Astillero- ideal para primera vivienda de parejas jovenes, . Aprovechate de las ventajas fiscales!
Estupendo duplex de 2 dormitori...";43.39565401;-3.819771335;2ª planta;;cantabria
199.000 €;Chalet en Bádames;/comprar/chalet-badames-45076943212_108500/;Bádames (Voto);3 habs.;3 baños;135 m²;Desde inmobiliaria uranga en laredo les presentamos esta casa individual en rada, en la zona de voto. Se trata de una casa indepen...;43.365317419;-3.49182289;;;cantabria
105.000 €;Chalet pareado en calle Viernoles, nº 429;/comprar/chalet_pareado-torrelavega_nueva_ciudad-41692386870_501239/;Nueva Ciudad (Torrelavega);3 habs.;1 baño;206 m²;"Encantadora casa de piedra en el corazón de viérnoles, 

Descubre el encanto rústico de esta casa de piedra, un verdadero refugio ...";43.32264890095466;-4.047503243045964;;;cantabria
113.000 €;Piso en Barrio Badames;/comprar/piso-badames-40889551118_501239/;Bádames (Voto);3 habs.;2 baños;93 m²;En la apacible localidad de bádames, en el municipio de voto, se presenta esta  vivienda en exclusiva que capturará tu atención de...;43.35735153;-3.496220933;2ª planta;;cantabria
340.000 €;Casa en calle de Via;/comprar/casa-hinojedo-44224610497_996790/;Hinojedo (Suances);3 habs.;2 baños;384 m²;Chalet individual amplio con una superficie aproximadamente de 348 m², con un jardín de unos 900 m² aproximadamente. Distribuido e...;43.395061005;-4.042691516;;;cantabria
35.000 €;Casa adosada en Barrio del Marrón, 59;/comprar/casa_adosada-marron-43346584698_501239/;Marrón (Ampuero);3 habs.;2 baños;138 m²;"Ubicada en  marrón  (ampuero), esta casa de campo adosada en exclusiva ofrece una oportunidad de rehabilitación única.

Oportunida...";43.34843168157852;-3.4342144154247243;;;cantabria
