precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta;CCAA
75.000 €;Estudio en calle de la República de Colombia, 8;/comprar/estudio-laredo_centro_urbano-8386146338_501237/;Zona Playa (Laredo);1 baño;40 m²;Te presentamos este magnífico garaje convertido en choco-vivienda, preparado para hacer la vida en él. Dos plantas, totalmente ext...;43.41112460007908;-3.435292393765668;;;cantabria
380.000 €;Chalet unifamiliar en Barrio Baltezana, 1;/comprar/chalet_unifamiliar-otanes_baltezana_onton39706-45054954696_528259/;Otañes-Baltezana-Ontón (Castro Urdiales);3 baños;230 m²;"¡Obra iniciada! ¡Última vivienda!
Portex inmobiliaria tiene el placer de presentaros estas maravillosas viviendas unifamiliares.

...";43.34574697413629;-3.171563394640401;3 habs.;;cantabria
155.000 €;Piso en calle de la Reconquista de Sevilla, 20;/comprar/piso-laredo_centro39777-43351737681_515274/;Centro (Laredo);1 baño;80 m²;Desde pisos laredo, tenemos el placer de presentarles esta estupenda vivienda en el centro de laredo con un espacio maravilloso!...;43.4063;-3.4157;3 habs.;4ª planta;cantabria
176.000 €;;/comprar/piso-colindres_centro_urbano-43373250839_100500/;Colindres;1 baño;65 m²;"Excepcional vivienda en planta baja con amplio jardín.

Ubicado en el encantador entorno de colindres este excepcional piso en pla...";43.395440426;-3.448564679;2 habs.;Bajo;cantabria
125.000 €;Piso en Avenida de la Libertad, 90;/comprar/piso-laredo_el_puntal-41727618886_515274/;El Puntal (Laredo);1 baño;20 m²;"Buscas un apartamento donde veranear con vistazas al mar y además que se encuentre a unos pasos de la playa?

Tenemos lo que bus...";43.4238;-3.44752;1 hab.;10ª planta;cantabria
358.500 €;Piso en Avenida de Cantabria, 1;/comprar/piso-laredo_centro39770-44183253041_501239/;Centro (Laredo);2 baños;123 m²;Descubre en exclusiva esta magnífica oportunidad en el corazón de laredo.  Esta encantadora propiedad de tres habitaciones goza de...;43.4108;-3.41831;3 habs.;3ª planta;cantabria
244.500 €;;/comprar/piso-san_fernando_numancia-35891891676_511103/;Cuatro Caminos (Santander);2 baños;86 m²;"Santanderhouse. Vende piso en calle san fernando.
Estupendo piso ubicado en una zona privilegiada de santander, cerca del hospital...";43.4589083;-3.8256319;3 habs.;2ª planta;cantabria
172.000 €;;/comprar/piso-liencres-45058161714_100500/;Liencres (Piélagos);1 baño;55 m²;"Siempre has querido vivir en liencres pero, ¿No has encontrado aún tu oportunidad?
Atento porque esto te va a interesar. Fresno te...";43.458271427;-3.929697323;2 habs.;1ª planta;cantabria
140.000 €;;/comprar/chalet-badames-40907274723_108500/;Bádames (Voto);4 baños;450 m²;Desde inmobiliaria uranga les presentamos esta casona en secadura, en la junta de voto. Casa del año 1920 y  situada en terreno de...;43.355834095;-3.526255979;8 habs.;;cantabria
484.000 €;Piso en Avenida de Cantabria, 40;/comprar/piso-santander_el_sardinero39005-42536475100_427100/;El Sardinero (Santander);2 baños;147 m²;Estupenda vivienda exterior orientada al sur - oeste, con una ubicación privilegiada por su cercanía a las playas del sardinero. S...;43.476885823818954;-3.7994873762534045;3 habs.;2ª planta;cantabria
