precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
124.000 €;;/comprar/casa-monachil_centro_urbano-40849643112_100500/;Monachil;5 habs.;1 baño;136 m²;Ponemos a la venta esta estupenda casa con encanto en el casco urbano del pueblo de monachil, en la parte de la solana, a solo 5 k...;37.1315547;-3.5353704;;granada
149.000 €;Piso en Camino Real de los Neveros, 18;/comprar/piso-camino_de_los_neveros_serrallo-45926793438_100500/;Camino de los Neveros-Serrallo (Distrito Genil. Granada Capital);2 habs.;1 baño;61 m²;Piso de 2 dormitorios en plaza de los neveros, bola de oro, a estrenar. Vivienda en planta baja con acceso desde el soportal. En u...;37.1612;-3.58534;Bajo;granada
449.800 €;Casa en calle calle;/comprar/casa-molvizar_centro_urbano-30879243558_105400/;Molvízar;5 habs.;3 baños;436 m²;"Referencia: 65976  se vende chalet, en molvizar granada
Espectacular vivienda de 2 plantas, con zonas ajardinadas y de cultivo. Di...";36.7859546;-3.608484;;granada
289.900 €;;/comprar/atico-zona_calle_poniente_avenida_cristobal_colon18100-45030094205_525859/;Zona Calle Poniente-Avenida Cristóbal Colón (Armilla);3 habs.;2 baños;150 m²;Espectacular ático premiun en el centro de armilla, calle principal, a 50 m parada de metro y plaza del ayuntamiento. 3 hab y 2 ba...;37.143158109;-3.629997102;;granada
585.000 €;;/comprar/chalet-san_ildefonso_hospital_real18011-45844828167_100500/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);5 habs.;3 baños;381 m²;"Fantástica casa en granada, ubicada en la exclusiva urbanización de jardines de rolando.
Urbanización con piscina, pista de tenis,...";37.1886174;-3.5974536;;granada
410.000 €;;/comprar/piso-pajaritos_plaza_de_toros18014-41760514596_101800/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;2 baños;190 m²;Oportunidad !! Gran piso de 180 metros. Consta de 3 dormitorios dobles, gran salón de 50 metros. 2 amplios baños. Cocina office. P...;37.1854061;-3.6083138;3ª planta;granada
95.000 €;;/comprar/piso-zona_de_san_cayetano_avenida_cristobal_colon-41697144010_100200/;Zona de San Cayetano-Avenida Cristóbal Colón (Churriana de La Vega);2 habs.;1 baño;72 m²;¡Increíble oportunidad de adquirir tu nuevo hogar en churriana de la vega! Este piso en venta cuenta con una superficie de 64 m² y...;37.147736331;-3.642399333;;granada
140.000 €;;/comprar/piso-zona_este-43416025025_520312/;Zona Este (Motril);3 habs.;2 baños;90 m²;"¡No pierdas la oportunidad de vivir en esta estupenda urbanización con piscina y hermosas zonas verdes!

En una estupenda zona de ...";36.74486325;-3.507022869;1ª planta;granada
183.000 €;;/comprar/casa_adosada-cenes_de_la_vega_centro_urbano-35920246492_100500/;Cenes de La Vega;4 habs.;3 baños;185 m²;¿Buscas una vivienda en zona sin ruidos, con vistas y  buena orientación ? Estas de suerte, ponemos a la venta esta acogedora casa...;37.1641603;-3.5373422;;granada
130.000 €;;/comprar/casa_pareada-benalua_centro_urbano-44242956074_100200/;Benalúa;3 habs.;3 baños;189 m²;¡Oportunidad! Casa pareada de 2 plantas más cochera en benalua. A través de su acogedor porche ingresamos a la vivienda donde se o...;37.3508588;-3.1677179;;granada
