precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
229.000 €;Piso en calle Actriz Fabiana Laura,  s/n;/comprar/piso-juventud_sanders18015-3250245535_109700/;Juventud-Sanders (Distrito Ronda. Granada Capital);2 habs.;2 baños;78 m²;1ª planta;Bq1 pt3 1b. Piso en un inmueble de obra nueva de 78 m² de superficie construida y situado en la zona de granada capital, acomodado...;37.1871699;-3.6276704;granada
445.000 €;Finca rústica en Orgiva;/comprar/finca_rustica-orgiva_centro_urbano-36668741321_100500/;Órgiva;12 habs.;6 baños;1.000 m²;;En el corazón de órgiva, se encuentra una joya de tierra con un encanto rústico que te cautivará. Con un generoso tamaño de 2415 m...;36.900952282;-3.424572977;granada
245.000 €;Chalet en calle Huerta, 1;/comprar/chalet-la_peza_centro_urbano-41680097593_100500/;La Peza;5 habs.;3 baños;375 m²;;"Precioso chalet independiente en  la peza.
Si estás considerando tener más espacio para tu familia y tener más actividades al aire...";37.2787;-3.28518;granada
245.000 €;Piso en calle Santa Teresa;/comprar/piso-granada_capital_centro_catedral18002-45883834174_100500/;Centro-Catedral (Granada Capital);4 habs.;2 baños;134 m²;2ª planta;Ponemos a la venta este luminoso piso muy céntrico, a escasos pasos de la plaza de la trinidad. El piso tiene cuatro dormitorios, ...;37.1752228;-3.6036884;granada
150.000 €;Piso en Centro;/comprar/piso-motril_centro18600-45919701127_100500/;Centro (Motril);2 habs.;1 baño;71 m²;2ª planta;¡Oportunidad única en la calle más céntrica de motril, calle nueva! Este acogedor piso muy bien cuidado y con muchísimas posibilid...;36.7484033;-3.5186812;granada
650.000 €;Casa en Camino del Cajar;/comprar/casa-la_zubia_centro_urbano-45892634132_100500/;La Zubia;4 habs.;2 baños;200 m²;;¡¡Gana en calidad de vida!! Si lo que quieres es vivir en una zona tranquila, bien comunicada, a menos de 15 minutos del centro de...;37.125669665;-3.580440587;granada
124.500 €;Piso en Avenida de la Virgen de las Nieves;/comprar/piso-aljomahima_ermita_nuestra_senora_de_las_nieves-40859403376_514319/;Aljomahima-Ermita Nuestra Señora de las Nieves (Las Gabias);3 habs.;1 baño;95 m²;2ª planta;Espectacular piso de tres dormitorios, amplio salón, gran cocina con lavadero y un bonito baño. El piso cuenta con dos maravilloso...;37.131848026;-3.671403571;granada
315.000 €;Piso en Campus Salud;/comprar/piso-armilla_san_miguel18100-45925387030_100500/;San Miguel (Armilla);3 habs.;2 baños;114 m²;4ª planta;"Ponemos a la venta este precioso piso en la conocida urbanización novocampus.

La vivienda de 114m² se distribuye entre sus 3 lumi...";37.1509;-3.60866;granada
95.000 €;Casa adosada en Avenida de Andalucía;/comprar/casa_adosada-chimeneas_centro_urbano-45089162200_100500/;Chimeneas;3 habs.;2 baños;168 m²;;Descubre el encanto de vivir en un tranquilo pueblo a solo 25 minutos de granada con excelente acceso a transporte público. Esta...;37.130018847;-3.822363999;granada
475.000 €;Casa adosada en calle del Paseo Marítimo;/comprar/casa_adosada-salobrena_centro_urbano-45874133392_100500/;Salobreña;4 habs.;3 baños;190 m²;;Bienvenido a tu nuevo hogar en la costa. Ponemos a la venta esta magnífica casa en urbanización privada  en pleno paseo marítimo d...;36.7315762;-3.585289;granada
165.000 €;Casa pareada en Centro;/comprar/casa_pareada-salar_centro_urbano-44174880620_100500/;Salar;3 habs.;1 baño;255 m²;;"Ponemos a la venta esta casa recién reformada en 2 plantas.
Planta primera:  salón, cocina. 3 dormitorios y un baño. Tiene 2 patio...";37.1493967;-4.0683846;granada
215.000 €;Finca rústica en calle 71 Parcela 91 El Cerro, nº 71;/comprar/finca_rustica-montefrio_centro_urbano-45842808725_100500/;Montefrío;3 habs.;3 baños;254 m²;;"Despierta cada mañana con la majestuosidad de un castillo medieval como telón de fondo."" nuestra casa de campo en montefrío te in...";37.3208;-4.0114;granada
