precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
299.000 €;Piso en calle de Vargas;/comprar/piso-rios_rosas28003-44207637630_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);3 habs.;57 m²;Piso bajo exterior, en venta con estupenda ubicación, esquina con la afamada calle josé abascal. Consta de 57m² construidos (51m² ...;40.438793;-3.6986356;;;madrid
310.000 €;Casa unifamiliar en calle de Somiedo;/comprar/casa_unifamiliar-villalbilla_centro_urbano-20842409004_995907/;Villalbilla;4 habs.;180 m²;"Nueva fase chalet de “las brisas del mirador” de villalbilla 
Obra nueva c/ degaña 9, con chalet piloto
Precio: desde 310.000.-€+i...";40.4303218;-3.2903399;3 baños;;madrid
679.500 €;Casa pareada en calle de las Guindaleras;/comprar/casa_pareada-paracuellos_de_jarama_centro_urbano-36697070520_101000/;Paracuellos de Jarama;4 habs.;309 m²;"!!! Ha llegado a su destino !!!!!
+++++precio cerrado no negociable+++++
Esta frase que tanto oímos a diario, esta vez no se va a ...";40.510827373;-3.517670987;3 baños;;madrid
220.000 €;Chalet en calle de Cervantes;/comprar/chalet-daganzo_de_arriba_centro_urbano-42584780385_100500/;Daganzo de Arriba;4 habs.;136 m²;"Casa en pleno centro de daganzo totalmente a reformar con 136m² construidos sobre parcela de 160m². 

Actualmente esta vivienda cu...";40.544377;-3.4587082;2 baños;;madrid
420.000 €;Casa pareada en calle de los Hermanos Grimm;/comprar/casa_pareada-mostoles_oeste28935-42514722920_101800/;Oeste (Móstoles);4 habs.;200 m²;"• chalet inmejorable situación, frente a finca liana 
• muy bien comunicado de medios de transporte
• 4 dormitorios con armarios e...";40.3225145;-3.882411;3 baños;;madrid
143.000 €;Piso en calle de Eusebio Morán;/comprar/piso-opanel28019-30892452969_520820/;Opañel (Distrito Carabanchel. Madrid Capital);2 habs.;53 m²;Estupendo piso de 53m², situado en una planta baja, distribuido en dos dormitorios, salón, cocina y baño con plato de ducha. Suelo...;40.3893417;-3.7209484;1 baño;Bajo;madrid
299.000 €;Piso en San Diego;/comprar/piso-san_diego28053-44170718834_523188/;San Diego (Distrito Puente de Vallecas. Madrid Capital);3 habs.;75 m²;Soluin ofrece en venta formidable piso de tres dormitorios con amplio patio/jardín privado, propio (único acceso al patio desde la...;40.3864998;-3.6655637;2 baños;Bajo;madrid
289.000 €;Casa en calle de Guadalajara;/comprar/casa-cabanillas_de_la_sierra_centro_urbano-36666813812_501235/;Cabanillas de La Sierra;3 habs.;188 m²;"""brem global inmobiliaria presenta un chalet independiente en cabanillas de la sierra, pueblo situado a poco más de 50 km de madri...";40.8305352;-3.6264061;2 baños;;madrid
3.650.000 €;Chalet en calle Horche, 3;/comprar/chalet-moncloa_aravaca_aravaca28023-3548570793_109700/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);5 habs.;754 m²;Villa 3e. Chalet de obra nueva de 754 m² de superficie construida y ubicado en la zona de madrid capital. Está distribuido en 5 ha...;40.4594593;-3.7656639;7 baños;;madrid
129.000 €;Piso en calle de El Villar;/comprar/piso-grinon_centro_urbano-25896185122_520675/;Griñón;1 hab.;60 m²;Precioso piso de un dormitorio salón y cocina con baño cocina amueblada suelos de tarima tres armarios empotrados  ventanas  en bl...;40.2149556;-3.8574833;1 baño;Principal;madrid
600.000 €;Piso en Avenida de Burgos;/comprar/piso-castilla28036-45006524214_440000/;Castilla (Distrito Chamartín. Madrid Capital);4 habs.;123 m²;Moderna y luminosa vivienda totalmente exterior, (en esquina o chaflán) con una superficie aproximada de 123m² y una fantástica di...;40.4800967;-3.6746864;2 baños;13ª planta;madrid
419.900 €;Ático en Avenida de la Aviación, 34;/comprar/atico-cuatro_vientos28054-3064848220_109700/;Cuatro Vientos (Distrito Latina. Madrid Capital);2 habs.;88 m²;Pa ático b. Ático en un inmueble de obra nueva de 88 m² de superficie construida y situado en la zona de madrid capital. Está estr...;40.3737303;-3.7700909;2 baños;;madrid
640.000 €;Piso en calle Picasso;/comprar/piso-somosaguas_humera_los_angeles28223-45051537580_500635/;Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón);3 habs.;188 m²;Luxcasa les ofrece sin honorarios añadidos, estupenda vivienda con muchas mejoras de tres dormitorios, con 2 plazas de garaje y tr...;40.4099506;-3.7846922;2 baños;1ª planta;madrid
