precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
219.900 €;;/comprar/piso-galapagar_centro-44170583620_104700/;Centro (Galapagar);3 habs.;2 baños;105 m²;"Redpiso galapagar les ofrece en exclusiva este piso  en planta de 105m².

La vivienda cuenta con 3 dormitorios con armarios empotr...";40.5760068;-4.0052947;;madrid
6.500.000 €;;/comprar/piso-salamanca_castellana28006-40074691500_101800/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;5 baños;462 m²;"Calle velázquez: 462m² completamente reformado, 4 habitaciones y 5 baños

Posibilidad de venta antes de la reforma y/o segregación...";40.4313755;-3.6838357;3ª planta;madrid
1.295.000 €;;/comprar/chalet-castillo_campodon-43419824168_100500/;Castillo-Campodón (Villaviciosa de Odón);7 habs.;;553 m²;Excepcional chalet independiente en urb. Campodón con excelentes calidades, gran salón independiente y preciosa parcela de 2.000m²...;40.3600353;-3.8773895;;madrid
465.000 €;Chalet en calle de Santiago García el Tranquilo, 6;/comprar/chalet-san_crispin_la_estacion-4527220926_109700/;San Crispín-La Estación (Colmenar Viejo);4 habs.;;160 m²;Tipo a. Chalet de obra nueva de 160 m² de superficie construida y emplazado en la zona de colmenar viejo. Está dispuesto en 4 habi...;40.6491202;-3.7773083;;madrid
499.000 €;;/comprar/piso-pilar28034-45049533018_528414/;Pilar (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;3 baños;90 m²;"Tirma 7ª planta exterior con 2 terrazas, unico de esa tipologia con dos baños uno en suite y un aseo reformado a estrenar
Hoome so...";40.4830176;-3.7098032;7ª planta;madrid
270.000 €;;/comprar/chalet_pareado-valdepielagos_centro_urbano-39238987686_516971/;Valdepiélagos;4 habs.;3 baños;180 m²;Lar soluciones inmobiliarias vende estupendo chalet adosado, en urbanización privada, de talamanca del jarama, rodeado restaurante...;40.7622402;-3.4659322;;madrid
279.000 €;;/comprar/chalet-la_cabrera_centro_urbano-45852084402_100500/;La Cabrera;4 habs.;3 baños;164 m²;"Brem global inmobiliaria presenta amplio y acogedor chalet pareado totalmente reformado en la cabrera.

La vivienda está construid...";40.8729195;-3.6063478;;madrid
220.000 €;;/comprar/piso-el_olivar_la_magdalena-45834744274_100200/;El Olivar-La Magdalena (Colmenar Viejo);2 habs.;1 baño;64 m²;Agencia inmobiliaria de colmenar viejo zona colmenar viejo oficina tecnocasa vende piso en primera planta construido en 1998. Muy ...;40.6568312;-3.7646087;1ª planta;madrid
349.000 €;;/comprar/chalet_adosado-parla_este28983-43382813327_998146/;Parla Este (Parla);4 habs.;3 baños;274 m²;"Magnifico chalet en zona super tranquila.

Alfa hortaleza pone en venta esta vivienda de 4 plantas, para entrar a vivir.
La vivien...";40.2224969;-3.7622475;;madrid
479.067 €;Casa adosada en calle Alcalde Pedro Gutierrez,  s/n;/comprar/casa_adosada-el_canaveral-4240098963_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);4 habs.;3 baños;149 m²;Vivienda 2. Casa adosada de obra nueva, de 149 m² de superficie construida, y ubicada en la zona de madrid capital.  Está distribu...;40.4001976;-3.5450396;;madrid
