precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
228.000 €;Piso en Urbanización Camarate Golf;/comprar/piso-finca_cortesin-3985024034_109700/;Finca Cortesín (Casares);2 habs.;2 baños;87 m²;1ª planta;Ed.3, esc.1. Planta 1, letra a. Piso en un inmueble de obra nueva de 87 m² de superficie construida y situado en la zona de casare...;36.3955865;-5.2115884;malaga
295.000 €;Apartamento en Avenida del Arte (Urbanización Estepona Golf),  S/N;/comprar/apartamento-playa_bahia_dorada-3179489576_109700/;Playa Bahía Dorada (Estepona);2 habs.;2 baños;84 m²;1ª planta;B2-01-8. Apartamento en una finca de obra nueva de 83 m² de superficie construida y emplazado en la zona de estepona, posicionado ...;36.3914611;-5.2068081;malaga
415.000 €;Piso en calle Córdoba;/comprar/piso-fuengirola_centro-34226712898_992242/;Centro (Fuengirola);3 habs.;2 baños;194 m²;2ª planta;Fuengirola centro! Magnífico piso a la venta en fuengirola centro, 194 m² incluido terraza, 3 dormitorios, 2 baños, salón-comedor,...;36.540278;-4.6258592;malaga
295.000 €;Chalet en Urbanización Ur1C Embalse,  75;/comprar/chalet-vinuela_centro_urbano-4594472657_109700/;Viñuela;3 habs.;2 baños;113 m²;;42. Chalet de obra nueva de 113 m² de superficie construida y ubicado en la zona de logroño. Está distribuido en 3 habitaciones, 2...;36.8834;-4.16148;malaga
378.500 €;Piso en calle Andorra;/comprar/piso-hacienda_de_torrequebrada-41695403249_513519/;Hacienda de Torrequebrada (Distrito Benalmádena Costa. Benalmádena);3 habs.;3 baños;125 m²;Bajo;Superficie total 125 m², piso superficie útil 113 m², habitaciones dobles: 3, 2 baños, 1 aseo, aire acondicionado (frío y calor), ...;36.583853272;-4.540103412;malaga
293.000 €;Piso en Carretera de Almería;/comprar/piso-torrox_el_morche29793-43397081241_100500/;El Morche (Torrox);3 habs.;;103 m²;;"Fase i terminada y vendida en su totalidad

Fase ii pisos disponibles de 2 y 3 dormitorios en planta baja con amplias terrazas, pl...";36.739;-3.9926;malaga
380.000 €;Piso en Urbanización Arroyo Enmedio;/comprar/piso-costa_natura29693-45098603661_525341/;Costa Natura (Estepona);3 habs.;2 baños;145 m²;1ª planta;No pierda esta oportunidad de comprar un apartamento de nueva construcción en la zona en expansión del oeste de estepona, a poca d...;36.4084;-5.18839;malaga
560.000 €;Apartamento en Urbanización Guadalmina Alta, 1;/comprar/apartamento-san_pedro_de_alcantara_guadalmina-588303329_337300/;Guadalmina (Distrito San Pedro de Alcántara. Marbella);3 habs.;3 baños;188 m²;3ª planta;Magnifico apartamento con orientación sur con impresionantes vistas al mar y al campo de golf de guadalmina, convenientemente situ...;36.48015585012659;-5.003349781036378;malaga
355.000 €;Piso en calle Terrazas del Rodeo;/comprar/piso-la_campana_altos_del_rodeo-43364823161_100500/;La Campana-Altos del Rodeo (Distrito Nueva Andalucía. Marbella);2 habs.;2 baños;110 m²;;"Nueva andalucia, marbella. 
Precioso apartamento en planta baja de 2 dormitorios con más de 100m² de terraza exterior. Este fantás...";36.4993842;-4.9763825;malaga
488.000 €;Apartamento en Avenida del Golf, 1;/comprar/apartamento-la_cala_golf_lagar_martell29649-3953791451_109700/;La Cala Golf-Lagar Martell (Mijas);3 habs.;2 baños;108 m²;;B2-02-12. Apartamento en un inmueble de obra nueva de 108 m² de superficie construida y situado en la zona de mijas. Está estructu...;36.508857302;-4.688061482;malaga
817.000 €;Ático en calle Casas de Padron;/comprar/atico-el_padron_el_velerin_voladilla29689-40860570480_100500/;Punta Plata (Estepona);4 habs.;3 baños;144 m²;;Lagumare41 se encuentra ubicado en estepona, uno de los municipios más populares y con mayor proyección de la costa de sol. En el ...;36.4371123;-5.1099683;malaga
218.000 €;Piso en Urbanización Duquesa Village;/comprar/piso-urbanizacion_el_hacho_la_duquesa_golf-43337352726_514533/;Urbanización El Hacho-La Duquesa Golf (Manilva);2 habs.;2 baños;90 m²;1ª planta;¡Increíble oportunidad de adquirir este apartamento bellamente reformado en la conocida urbanización duquesa village! Con una ubic...;36.361554388;-5.244364629;malaga
483.000 €;Ático en Carretera de Peñoncillo,  s/n;/comprar/atico-manilva_san_luis_de_sabinillas-3607938301_109700/;San Luis de Sabinillas (Manilva);2 habs.;2 baños;100 m²;;Portal 1. 2º b. Ático en un edificio de obra nueva de 99 m² de superficie construida y ubicado en la zona de manilva, enclavado en...;36.361343684;-5.231437872;malaga
1.175.000 €;Chalet en calle de Finlandia;/comprar/chalet-torrequebrada29630-26669532106_992242/;Hacienda de Torrequebrada (Distrito Benalmádena Costa. Benalmádena);5 habs.;5 baños;480 m²;;Oportunidad! Magnifica villa a la venta en benalmádena costa, en la conocida urbanización de torrequebrada, 1.350 m² de parcela co...;36.584403;-4.5429253;malaga
995.000 €;Ático en Urbanización Nueva Andalucía J,  9;/comprar/atico-los_naranjos_las_brisas29660-3146219116_109700/;Los Naranjos-Las Brisas (Distrito Nueva Andalucía. Marbella);3 habs.;2 baños;122 m²;;B11-at-6. Ático en una finca de obra nueva de 122 m² de superficie construida y emplazado en la zona de marbella. Está dispuesto e...;36.505452;-4.9732447;malaga
244.000 €;Piso en calle Terreno A Sunp., nº 10 A;/comprar/piso-almayate29749-43426771296_100500/;Almayate (Vélez-Málaga);2 habs.;;72 m²;1ª planta;Residencial marinsa costa niza, ubicado frente al mar en una zona privilegiada de la costa del sol, a 10 minutos de torre del mar ...;36.7215;-4.1566;malaga
445.000 €;Apartamento en calle Brida,  s/n;/comprar/apartamento-hipodromo_cerrado_del_aguila29649-3525091499_109700/;Hipódromo-Cerrado del Águila (Distrito Mijas Costa. Mijas);3 habs.;2 baños;135 m²;;Nº 80, vt080. Apartamento en un edificio de obra nueva de 135 m² de superficie construida y ubicado en la zona de mijas, enclavado...;36.5200839;-4.6542613;malaga
349.000 €;Apartamento en Paseo Marítimo Rey de España, 16;/comprar/apartamento-las_gaviotas_carvajal-43414724711_108500/;Las Gaviotas-Carvajal (Fuengirola);1 hab.;1 baño;60 m²;;A continuación les presentamos éste estupendo apartamento exclusivo totalmente equipado y listo para entrar a vivir, con licencia ...;36.5567;-4.61059;malaga
228.000 €;Piso en Urbanización Camarate Golf;/comprar/piso-finca_cortesin-3985024034_109700/;Finca Cortesín (Casares);2 habs.;2 baños;87 m²;1ª planta;ED.3, Esc.1. Planta 1, Letra A. Piso en un inmueble de obra nueva de 87 m2 de superficie construida y situado en la zona de Casares, acomodado en planta 1. Está estructurado en 2 habitaciones y terraza. Aporta como extras garaje y trastero.;36,3955865;-5,2115884;malaga
