precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
145.000 €;;/comprar/piso-antequera_centro-43408735677_100200/;Centro (Antequera);4 habs.;116 m²;"Amplio piso de 107 m² en avenida la legion.
Consta de cuatro habitaciones (una a modo de sala de estar), dos baños completos, coci...";37.018993793;-4.56534927;;;malaga
409.000 €;;/comprar/piso-torremuelle29639-34198472397_100500/;Torremuelle (Distrito Benalmádena Costa. Benalmádena);2 habs.;108 m²;En un futuro próximo, aquellos que estén buscando un hogar moderno y lleno de luz en la hermosa zona de benalmádena, se encontrará...;36.5880707;-4.5629959;2 baños;1ª planta;malaga
600.000 €;;/comprar/chalet-el_romeral_santa_amalia-43340302253_108500/;El Romeral-Santa Amalia (Alhaurín de la Torre);3 habs.;195 m²;Clarosan real estate group vende estupendo chalet independiente de 195 m² construidos sobre una parcela de 3.158 m² en alhaurín de...;36.685906527;-4.572655555;3 baños;;malaga
790.000 €;;/comprar/apartamento-los_naranjos_las_brisas29670-31757467104_102100/;Los Naranjos-Las Brisas (Distrito Nueva Andalucía. Marbella);3 habs.;126 m²;Espectacular proyecto de 34 apartamentos y áticos, de 2, 3 y 4 dormitorios en una ubicación perfecta, donde podrá disfrutar del de...;36.510820486;-4.98110171;2 baños;;malaga
99.990 €;;/comprar/casa-serrato-45041156338_100500/;Serrato;5 habs.;125 m²;Ponemos a la venta ésta preciosa casa en el pueblo de serrato, pueblo blanco perteneciente a la llamada serranía de ronda formando...;36.8876665;-4.9813484;1 baño;;malaga
495.000 €;;/comprar/casa-la_cala_golf_lagar_martell29649-41671776886_106200/;La Cala Golf-Lagar Martell (Mijas);2 habs.;113 m²;Lucas fox se complace en presentar la cala golf, una exclusiva promoción de obra nueva en primera línea del campo de golf la cala ...;36.537965247;-4.710473883;3 baños;;malaga
319.000 €;;/comprar/casa_adosada-casares_costa29690-43376428892_109300/;Casares Costa (Casares);3 habs.;134 m²;Lujosa adosada totalmente reformada recientemente a 3 minutos andando de la playa, en una de las zonas mas privilegiadas en marina...;36.381176745;-5.21934909;3 baños;;malaga
239.000 €;;/comprar/chalet_pareado-estacion_de_cartama-44227052734_515138/;Estación de Cártama (Cártama);4 habs.;180 m²;"Preciosa casa pareada de 160 m útiles en la zona de estación de cártama (el sexmo), consta de 3 plantas; planta baja porche de ent...";36.739089532;-4.613529161;2 baños;;malaga
135.000 €;;/comprar/casa-archidona_centro_urbano-40070164404_100500/;Archidona;4 habs.;183 m²;"¿Eres de los que le gusta vivir en el centro y no tener que preocuparte por el aparcamiento?
Esta es tu vivienda 
Se encuentra a t...";37.095864928;-4.392277197;2 baños;;malaga
560.000 €;;/comprar/atico-area_de_casares29690-42540646055_108700/;Área de Casares (Casares);3 habs.;220 m²;Vivienda, exclusiva por su situación única y privilegiada junto a un campo de viñedos donde nunca se va a poder construir y del qu...;36.443733667;-5.273946394;3 baños;;malaga
