precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
550.000 €;Ático en Los Arqueros-Puerto del Almendro;/comprar/atico-los_arqueros_puerto_del_almendro29678-40071393300_109300/;Los Arqueros-Puerto del Almendro (Benahavís);3 habs.;2 baños;96 m²;"Ático perfectamente situado con increíble solarium en la azotea con vistas de 360 grados al mar, golf y montañas.

Situado junto y...";36.5165312;-5.0130144;;malaga
649.000 €;Ático en Casares Costa;/comprar/atico-casares_costa29690-25040837765_109300/;Casares Costa (Casares);2 habs.;2 baños;91 m²;Este impresionante ático se encuentra en casares playa, casares, málaga. Con una superficie construida de 91.42m² y una superficie...;36.375062437;-5.227205855;;malaga
850.000 €;Chalet unifamiliar en calle Teide;/comprar/chalet_unifamiliar-este_el_palo29018-44241281429_990526/;El Palo (Distrito Este. Málaga Capital);6 habs.;4 baños;376 m²;Chalet independiente ubicado en miraflores del palo, cerca del colegio unamuno. La vivienda se encuentra en una sola planta, rodea...;36.7272702;-4.3532834;;malaga
895.000 €;Apartamento en Urbanización Alhambra del Golf;/comprar/apartamento-san_pedro_de_alcantara_guadalmina-994752284_337300/;Guadalmina (Distrito San Pedro de Alcántara. Marbella);4 habs.;5 baños;261 m²;Este espacioso apartamento en venta se encuentra en la exclusiva zona de guadalmina, en marbella. Con una superficie total de 261,...;36.470454964375236;-5.009708276052976;Bajo;malaga
492.000 €;Piso en calle Martínez Catena,  s/n;/comprar/piso-puerto_deportivo-3295340663_109700/;Puerto Deportivo (Fuengirola);2 habs.;2 baños;104 m²;A308.piso en un edificio de obra nueva de 104 m² de superficie construida y ubicado en la zona de fuengirola, enclavado en planta ...;36.5421109;-4.6202075;3ª planta;malaga
240.000 €;Piso en calle de Luis Vives;/comprar/piso-puerto_marina29630-45082744756_526765/;Puerto Marina (Distrito Benalmádena Costa. Benalmádena);1 hab.;1 baño;49 m²;"Piso en venta de 1 dormitorio con vistas al mar en benalmádena costa. 

Se trata de un piso de 58 m² distribuido en: salón comedor...";36.5992121;-4.5274433;7ª planta;malaga
440.000 €;Piso en calle Salinas, 3;/comprar/piso-centro_historico_la_merced29015-45035094199_992766/;Centro Histórico-La Merced (Distrito Centro. Málaga Capital);1 hab.;1 baño;82 m²;Amplia vivienda a escasos metros de la catedral y de calle larios, directo del propietario, amueblado completo, muy luminoso, aire...;36.720085;-4.420951;3ª planta;malaga
375.000 €;Apartamento en Avenida de Alay;/comprar/apartamento-puerto_marina29630-34220640331_513519/;Puerto Marina (Distrito Benalmádena Costa. Benalmádena);3 habs.;2 baños;100 m²;Bienvenido a tu nuevo hogar en la hermosa benalmádena costa, donde el sol brilla y las vistas al mar son simplemente impresionante...;36.5983556;-4.5169553;8ª planta;malaga
185.000 €;Apartamento en Costa Natura;/comprar/apartamento-costa_natura-45006958095_109300/;Costa Natura (Estepona);2 habs.;2 baños;109 m²;"Magnifico apartamento ubicado en una de las mejores zonas de estepona.  A tan solo 10 minutos del centro de estepona.
Este apartam...";36.435389143;-5.140231921;;malaga
213.200 €;Piso en calle Cortijo Finca Loma Riz,  S/N;/comprar/piso-caleta_de_velez_lagos29751-3992095685_109700/;Caleta de Vélez-Lagos (Vélez-Málaga);2 habs.;2 baños;82 m²;Piso en un inmueble de obra nueva de 82 m² de superficie construida y situado en la zona de vélez-málaga. Está estructurado en 2 h...;36.7559126;-4.066882;;malaga
388.000 €;Piso en Plaza de Olletas, 4;/comprar/piso-el_ejido_cristo_de_la_epidemia_olletas_san_miguel2-4404108563_109700/;El Ejido-Cristo de la Epidemia-Olletas-San Miguel (Distrito Centro. Málaga Capital);3 habs.;2 baños;119 m²;Piso en una finca de obra nueva de 119 m² de superficie construida y emplazado en la zona de sant joan d'alacant, posicionado en p...;36.7330967;-4.415991;6ª planta;malaga
245.000 €;Piso en calle Cuartel Ii;/comprar/piso-zona_avenida_de_andalucia-45875119680_100500/;Zona Avenida de Andalucía (Distrito Centro. Estepona);3 habs.;2 baños;108 m²;Nueva vivienda a la venta en estepona pueblo, ubicada en una zona residencial muy tranquila y que destaca por ser amplia y luminos...;36.433411735;-5.144988509;2ª planta;malaga
124.900 €;Piso en Avenida de Cibeles;/comprar/piso-mangas_verdes_las_flores_parque_del_sur29014-45933114157_501323/;Mangas Verdes-Las Flores-Parque del Sur (Distrito Ciudad Jardín. Málaga Capital);2 habs.;2 baños;71 m²;"¡Oportunidad única para adquirir un piso en planta baja en una de las mejores zonas de málaga!

Este piso, ideal para reformar y p...";36.7391258;-4.4193928;Bajo;malaga
