precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
205.000 €;Piso en calle de Chipre, 3;/comprar/piso-elcano_los_bermejales41012-43348383408_106000/;Elcano-Los Bermejales (Distrito Bellavista-La Palmera. Sevilla Capital);2 habs.;1 baño;90 m²;2ª planta;"Piso a la venta en los bermejales.
La vivienda consta de dos dormitorios, salón, cocina independiente y baño.
Dispone de plaza de ...";37.3444;-5.98227;sevilla
199.900 €;Casa pareada en Centro;/comprar/casa_pareada-bormujos_centro-42597766177_101800/;Centro (Bormujos);3 habs.;2 baños;136 m²;;Casa pareada situada en bormujos, muy cerca al polideportivo, parada de bus, restauración, parques. La vivienda de 136 m² consta d...;37.3720693;-6.0655302;sevilla
185.000 €;Piso en calle Columbretes,  s/n;/comprar/piso-cerro_amate-4371430981_109700/;Cerro Amate (Sevilla Capital);2 habs.;2 baños;95 m²;4ª planta;9, 4ºb. Piso en un edificio de obra nueva de 95 m² de superficie construida y ubicado en la zona de sevilla capital, enclavado en ...;37.3787386;-5.9149262;sevilla
151.000 €;Apartamento en calle Madalena Murillo, nº 29;/comprar/apartamento-gelves_centro_urbano-38338569931_106000/;Gelves;2 habs.;2 baños;Más de 20;;"Ultimo atico a la venta de una promoción de obra nueva recien iniciada, y con entrega en primavera de 2025.
La promoción consta de...";37.3462;-6.02996;sevilla
210.000 €;Casa unifamiliar en calle de Lope de Vega;/comprar/casa_unifamiliar-zona_plazas_el_arenal_la_polvora41701-44240857140_521710/;Zona Plazas El Arenal-La Pólvora (Distrito Zona Centro. Dos Hermanas);4 habs.;3 baños;165 m²;;"Casa en venta en calle lope de vega.

Esta magnífica vivienda de 165 m² consta de planta baja, planta primera y castillete.

En pl...";37.2862896;-5.928243;sevilla
280.000 €;Chalet en calle Olivo;/comprar/chalet-bollullos_de_la_mitacion_centro_urbano41110-25036304051_101800/;Bollullos de la Mitación;3 habs.;2 baños;160 m²;;"Oportunidad en urbanización ""la juliana""
Bonito chalet independiente de 160 m² en parcela de 551 m². 
Vivienda de dos plantas dist...";37.3138464;-6.170708;sevilla
110.000 €;Piso en calle de El Greco;/comprar/piso-san_jose_de_la_rinconada-40921243403_525238/;San José de La Rinconada (La Rinconada);3 habs.;1 baño;70 m²;Bajo;Alvaross inmobiliaria les ofrece este fantastico piso en una zona muy trnquila de san jose de la rinconada . A pocos mints de sevi...;37.4859753;-5.9482189;sevilla
360.000 €;Chalet en Lanzarote;/comprar/chalet-palmete41016-41679401651_108700/;Palmete (Distrito Cerro Amate. Sevilla Capital);4 habs.;2 baños;145 m²;;Oportunidad las calamares esta encantadora villa está situada en una urbanización madura, a 5 minutos a pie del centro del pueblo....;37.3778091;-5.918022;sevilla
895.000 €;Casa en calle San Pablo;/comprar/casa-alfalfa41001-40092674586_527420/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);2 habs.;3 baños;151 m²;;Este inmueble en venta en exclusiva se trata de una casa reformada recientemente que consta de 3 plantas y una terraza amplia y co...;37.389596;-5.9993289;sevilla
294.000 €;Chalet en La Rinconada;/comprar/chalet-la_rinconada_centro_urbano-42519155964_101800/;La Rinconada;5 habs.;3 baños;475 m²;;Magnífico chalet listo para entrar a vivir situado en la urbanización nueva jarilla, en san josé de la rinconada. Una zona muy tra...;37.4849482;-5.9046855;sevilla
148.900 €;Chalet en Centro;/comprar/chalet-bollullos_de_la_mitacion_centro_urbano41110-44182548722_100500/;Bollullos de la Mitación;3 habs.;;;;La ubicación de esta casa adosada es inigualable, situada en la mejor zona de bollullos de la mitación.disfrutarás de la cercanía ...;37.344741492;-6.138686255;sevilla
75.000 €;Piso en calle de San Antonio;/comprar/piso-alcala_del_rio_centro_urbano-27503616183_525238/;Alcalá del Río;3 habs.;2 baños;80 m²;2ª planta;Precioso nuevo a estrenar en zona muy tranquila que consta de 3 habitaciones y con garaje y trastero opcional. Muy bien comunicado...;37.5162173;-5.9821675;sevilla
280.000 €;Casa pareada en calle Fernando Villalón, 12;/comprar/casa_pareada-valencina_de_la_concepcion_centro_urbano-39217790360_100500/;Valencina de la Concepción;6 habs.;3 baños;275 m²;;"Venta de casa pareada en valencina de la concepción (sevilla).

Valencina de la concepción ha sido noticia recientemente por conoc...";37.4164;-6.08266;sevilla
171.000 €;Piso en Avenida de las Ciencias, 3;/comprar/piso-avenida_de_las_ciencias_emilio_lemos41020-4444673687_109700/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);2 habs.;2 baños;79 m²;Bajo;Portal 1 - planta baja - puerta e. Piso en un edificio de obra nueva de 79 m² de superficie construida y ubicado en la zona de sev...;37.3921537;-5.9203836;sevilla
326.000 €;Piso en Parcelas R3.4 y R1.1, Palmas Altas;/comprar/piso-bellavista_la_palmera_bellavista41014-43421775839_109700/;Bellavista (Distrito Bellavista-La Palmera. Sevilla Capital);3 habs.;2 baños;190 m²;;Piso en un edificio de obra nueva de 190 m² de superficie construida y ubicado en la zona de sevilla capital, con orientación sure...;37.330568;-5.983237;sevilla
90.000 €;Piso en calle de la Candelería;/comprar/piso-amate-37501343567_525238/;Amate (Distrito Cerro Amate. Sevilla Capital);3 habs.;1 baño;83 m²;3ª planta;Fantástico piso totalmente reformado . Paredes de perlita ,puertas nuevas y ventanas climalit . Tercero si ascensor .se distribuye...;37.3825455;-5.9537197;sevilla
120.000 €;Casa en calle C. Malaga, 13;/comprar/casa-burguillos_centro_urbano-45094716607_100500/;Burguillos;3 habs.;1 baño;79 m²;;"\""¡Descubre tu próxima aventura en esta encantadora casa adosada en la pintoresca localidad de burguillos, en plena sierra norte d...";37.5882941;-5.972894;sevilla
145.000 €;Piso en Arco Norte-La Alquería;/comprar/piso-arco_norte_la_alqueria41704-41702574687_101800/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3 habs.;2 baños;129 m²;3ª planta;Piso vpo en tercera planta con ascensor que consta de amplio salón - comedor con salida a una pequeña terraza, cocina equipada y a...;37.2960831;-5.9340733;sevilla
185.000 €;Piso en calle Columbretes,  s/n;/comprar/piso-cerro_amate-4371430981_109700/;Cerro Amate (Sevilla Capital);2 habs.;2 baños;95 m²;4ª planta;9, 4ºB. Piso en un edificio de obra nueva de 95 m2 de superficie construida y ubicado en la zona de Sevilla Capital, enclavado en planta 4. Está distribuido en 2 habitaciones, 2 baños completos y terraza. Incluye extras como garaje y trastero.;37,3787386;-5,9149262;sevilla
172.000 €;Casa adosada en calle del Esparterillo;/comprar/casa_adosada-zona_avenida_de_juan_diego-37590192190_525238/;Zona Avenida de Juan Diego (Bormujos);4 habs.;2 baños;120 m²;;Superficie total 120 m², casa adosada superficie útil 120 m², hab. Individuales: 3, habitaciones dobles: 1, 2 baños, aire acondici...;37.3805859;-6.0681032;sevilla
159.500 €;Piso en calle calle Poeta en Nueva York, nº 14;/comprar/piso-san_jose_de_la_rinconada-43394834288_101800/;San José de La Rinconada (La Rinconada);2 habs.;2 baños;106 m²;;"Grupo ansan, se complace en presentarles su nueva promoción en san josé de la rinconada. Residencial lorca.

Visite nuestro piso p...";37.4955;-5.93832;sevilla
1.285.000 €;Casa en Arenal - Museo - Tetuán;/comprar/casa-casco_antiguo_arenal41001-30021846392_100900/;Arenal (Distrito Casco Antiguo. Sevilla Capital);5 habs.;4 baños;228 m²;;"No cobramos honorarios al comprador
Arenal junto a la maestranza. Casa regionalista de principios del siglo xx, totalmente rehabil...";37.3872425;-5.9988066;sevilla
131.050 €;Apartamento en Plaza del Rey Aurelio;/comprar/apartamento-parque_alcosa_jardines_del_eden41019-44245314300_100500/;Parque Alcosa-Jardines del Edén (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;;94 m²;Bajo;"Espléndido piso en el parque alcosa.
¿Le gustaría una vivienda luminosa, con un salón amplio, tres habitaciones y dos baños?
Ésta ...";37.4081492;-5.9192529;sevilla
150.000 €;Casa en calle calle Parra;/comprar/casa-cazalla_de_la_sierra_centro_urbano-31681925861_525238/;Cazalla de La Sierra;6 habs.;2 baños;246 m²;;Alvaroos traviesa les ofrece esta fantástica y gran casa senorial   en un pueblo de los mas bonitos en cazalla de la sierra .con ...;37.929253;-5.7560597;sevilla
295.000 €;Piso en Parlamento;/comprar/piso-parlamento41009-42539110741_101800/;Parlamento (Distrito Macarena. Sevilla Capital);4 habs.;2 baños;128 m²;2ª planta;Piso en venta separado en dos pisos independientes, uno con 3 dormitorios, cocina office con salón, 1 baño completo , reformado , ...;37.4034366;-5.9920714;sevilla
155.000 €;Casa en Tinajas;/comprar/casa-el_viso_del_alcor_centro_urbano-43361568130_291300/;El Viso del Alcor;3 habs.;2 baños;124 m²;;Esta encantadora casa en el viso del alcor cuenta con una superficie total construida de 107 m² destinados a vivienda a la que se ...;37.3975262;-5.7216778;sevilla
126.000 €;Piso en calle Tamar, nº 00;/comprar/piso-amate-42586057774_500593/;Amate (Distrito Cerro Amate. Sevilla Capital);3 habs.;1 baño;80 m²;7ª planta;Jacaranda inmobiliaria le ofrece en exclusiva esta gran oportunidad en santa aurelia, junto a avenida andalucía. La vivienda se en...;37.38631504536841;-5.950368576784981;sevilla
211.000 €;Piso en Avenida de Manuel Clavero Arévalo,  s/n;/comprar/piso-montequinto_el_colmenar41089-4440565549_109700/;Montequinto-El Colmenar (Dos Hermanas);3 habs.;2 baños;112 m²;1ª planta;Portal 3, 1º d. Piso en una finca de obra nueva de 112 m² de superficie construida y emplazado en la zona de dos hermanas, posicio...;37.3183;-5.93688;sevilla
131.050 €;Apartamento en Plaza del Rey Aurelio;/comprar/apartamento-parque_alcosa_jardines_del_eden41019-44244178469_100500/;Parque Alcosa-Jardines del Edén (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;;82 m²;Bajo;"Piso muy tranquilo en pleno parque alcosa.
La vivienda consta de tres habitaciones, un baño y patio interior, siendo sus ventanas ...";37.4087756;-5.9190182;sevilla
193.200 €;Piso en calle de Nueva Delhi, 6;/comprar/piso-avenida_de_las_ciencias_emilio_lemos41020-4425193816_109700/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;2 baños;83 m²;5ª planta;5º. Piso en un edificio de obra nueva de 83 m² de superficie construida y ubicado en la zona de sevilla capital, enclavado en plan...;37.4040435;-5.9200277;sevilla
163.000 €;Casa adosada en calle Isaac Peral;/comprar/casa_adosada-bollullos_de_la_mitacion_centro_urbano41110-40866302139_100500/;Bollullos de la Mitación;5 habs.;2 baños;106 m²;;¿Quieres tener todos los servicios al alcance de la mano y, al mismo, tiempo, la mejor conectividad con sevilla? ¿Necesitas una ca...;37.3449982;-6.1369213;sevilla
94.990 €;Casa unifamiliar en calle Villa Chica;/comprar/casa_unifamiliar-castilblanco_de_los_arroyos_centro_urbano-34235335861_525238/;Castilblanco de los Arroyos;3 habs.;1 baño;120 m²;;"Fantástica  casa en castiblanco de los arroyos. En urbanización privada de solo 8 casas cada una independiente , 
La casa es una s...";37.6752204;-5.9893048;sevilla
235.000 €;Piso en Avenida de las Civilizaciones;/comprar/piso-nuevo_bulevar-35080857249_100500/;Nuevo Bulevar (Mairena del Aljarafe);3 habs.;3 baños;112 m²;1ª planta;"Obra nueva en nuevo bulevar:

¡Compra y disfruta de un crucero para dos personas por el mediterráneo!

Modernidad, distinción y so...";37.3427023;-6.0556156;sevilla
260.000 €;Piso en Ronda de los Tejares;/comprar/piso-zona_ronda_de_triana_cartuja41010-44180496152_525238/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);3 habs.;1 baño;73 m²;4ª planta;"Has visto un piso que en las fotos se ve amplio, luminoso, acogedor y luego cuando lo visitas es pequeño, oscuro,y diferente?

Est...";37.3863025;-6.0133257;sevilla
325.000 €;Chalet pareado en calle Benacazón, 16;/comprar/chalet_pareado-palomares_del_rio_centro_urbano-45054391529_517788/;Palomares del Río;5 habs.;3 baños;189 m²;;"Visítalo pulsando en tour virtual.

Le ofrecemos en exclusiva este maravilloso chalet pareado para entrar a vivir recientemente re...";37.318554;-6.06971;sevilla
120.000 €;Casa adosada en calle de Santa Brigida, 8;/comprar/casa_adosada-camas_centro_urbano-35009590966_100500/;Camas;3 habs.;1 baño;78 m²;;"Un lugar incomparable parar vivir.

Casa en venta en el centro de camas de una sola planta para reformar.

Imagínate vivir en la c...";37.402;-6.03439;sevilla
253.700 €;Piso en calle Bangladesh,  s/n;/comprar/piso-parque_alcosa_jardines_del_eden41019-4258477234_109700/;Parque Alcosa-Jardines del Edén (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);3 habs.;2 baños;103 m²;5ª planta;Vi-6-5-a. Piso en un inmueble de obra nueva de 102 m² de superficie construida y situado en la zona de sevilla capital, acomodado ...;37.4057824;-5.9199768;sevilla
239.000 €;Piso en Avenida de las Civilizaciones;/comprar/piso-nuevo_bulevar-35089941967_100500/;Nuevo Bulevar (Mairena del Aljarafe);3 habs.;2 baños;112 m²;1ª planta;"¡  Si quieres celebrar la compra de tu nuevo hogar  te regalamos un crucero para dos personas por el mediterráneo!

Podrás persona...";37.3400735;-6.0603595;sevilla
118.900 €;Apartamento en calle Concejal Francisco Blando;/comprar/apartamento-el_aral-43385927539_100500/;El Aral (La Algaba);3 habs.;2 baños;99 m²;Bajo;"Descubre esta encantadora vivienda en la calle concejal francisco blandón, la algaba!
¡Antes de todo vea nuestro tour virtual y el...";37.474313155;-6.002955558;sevilla
220.000 €;Casa adosada en calle Carnaval, 49;/comprar/casa_adosada-las_pajanosas-37538729222_525238/;Las Pajanosas (Guillena);3 habs.;3 baños;120 m²;;Alvaross real estate les ofrece esta maravilla de casa adosada con todo lujo de detalles y totalmente reformada durante la pandemi...;37.57809816718865;-6.105238131767186;sevilla
216.777 €;Apartamento en calle Afán de Ribera;/comprar/apartamento-cerro_amate_el_cerro41006-43388209303_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;1 baño;98 m²;Bajo;"Obra nueva. Próxima entrega. 
Bienvenido a tu nuevo hogar en nuestro exclusivo edificio residencial!
Su ubicación privilegiada, en...";37.3692185;-5.9531922;sevilla
225.000 €;Piso en calle Doctor Fedriani;/comprar/piso-doctor_fedriani41009-40037760985_515894/;Doctor Fedriani (Distrito Macarena. Sevilla Capital);4 habs.;2 baños;123 m²;1ª planta;Se vende magnífico piso en la calle doctor fedriani, ubicado en una de las mejores comunidades de la zona. Este inmueble cuenta co...;37.408805514;-5.985087519;sevilla
478.500 €;Chalet en calle Poligono Ue-2 Entrenucleos,  63;/comprar/chalet-montequinto_el_colmenar41704-4372360630_109700/;Montequinto-El Colmenar (Dos Hermanas);4 habs.;3 baños;268 m²;;Tipo vi. Casa 27. Chalet de obra nueva de 277 m² de superficie construida y ubicado en la zona de dos hermanas. Está distribuido e...;37.3154119;-5.9240613;sevilla
630.360 €;Chalet en calle de Marte;/comprar/chalet-dos_hermanas_la_motilla41703-44260687471_521710/;La Motilla (Dos Hermanas);4 habs.;3 baños;568 m²;;"Chalet en venta situado en la urbanización la motilla.

Esta magnífica vivienda con 568 m² de parcela, consta de sótano, planta ba...";37.2832147;-5.9486318;sevilla
319.000 €;Ático en Avenida de la Navegación,  s/n;/comprar/atico-nuevo_bulevar-3045310217_109700/;Nuevo Bulevar (Mairena del Aljarafe);4 habs.;2 baños;106 m²;;P 5 5ºa. Ático en una finca de obra nueva de 106 m² de superficie construida y emplazado en la zona de mairena del aljarafe, posic...;37.333396239;-6.073033529;sevilla
193.300 €;Piso en Avenida de las Universidades,  s/n;/comprar/piso-montequinto_el_colmenar41089-4241494698_109700/;Montequinto-El Colmenar (Dos Hermanas);3 habs.;2 baños;88 m²;;Piso en un inmueble de obra nueva de 88 m² de superficie construida y situado en la zona de dos hermanas. Está estructurado en 3 h...;37.3055966;-5.9439866;sevilla
366.505 €;Casa en calle de la Salud;/comprar/casa-bellavista_la_palmera_bellavista41014-34190148298_109700/;Bellavista (Distrito Bellavista-La Palmera. Sevilla Capital);4 habs.;3 baños;163 m²;;Casa de obra nueva, de 163 m² de superficie construida, y emplazada en la zona de sevilla capital.  Está dispuesta en 4 habitacion...;37.3236138;-5.9703353;sevilla
432.000 €;Chalet en calle del Haya;/comprar/chalet-zona_avenida_de_juan_diego-43408190055_100500/;Zona Avenida de Juan Diego (Bormujos);6 habs.;;357 m²;;"Chalet unifamiliar en venta junto al parque los álamos ii, bormujos.

Características básicas:

-357 m² construidos en parcela de ...";37.372855;-6.0766813;sevilla
210.000 €;Piso en calle Afán de Ribera, 36;/comprar/piso-cerro_amate_el_cerro41006-43411281429_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2 habs.;2 baños;80 m²;Bajo;"¡Espectacular vivienda de obra nueva!
Este magnífico piso consta de 2 habitaciones, una de ellas en suite, lo que te brinda la com...";37.3741;-5.96087;sevilla
171.000 €;Piso en Avenida de las Ciencias, 3;/comprar/piso-avenida_de_las_ciencias_emilio_lemos41020-4444673687_109700/;Avenida de las Ciencias-Emilio Lemos (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);2 habs.;2 baños;79 m²;Bajo;Portal 1 - Planta Baja - Puerta E. Piso en un edificio de obra nueva de 79 m2 de superficie construida y ubicado en la zona de Sevilla Capital, enclavado en planta baja. Está distribuido en 2 habitaciones, 2 baños completos y cuenta con certificación energética B. * Plaza y/o trastero incluidos en el precio. Las viviendas de 4D con 2 plazas incluidas. Precios sujetos a disponibilidad. Impuestos no incluidos. Consulta más viviendas disponibles en nuestro punto de venta.;37,3921537;-5,9203836;sevilla
415.000 €;Casa adosada en calle calle Ug5 & Ug6 del P.P Sen-1,  S/N;/comprar/casa_adosada-montequinto_el_colmenar41089-3586828273_109700/;Montequinto-El Colmenar (Dos Hermanas);5 habs.;4 baños;193 m²;;Vivienda 2. Casa adosada de obra nueva, de 193 m² de superficie útil, y ubicada en la zona de dos hermanas.  Está distribuida en 5...;37.3264197;-5.9315799;sevilla
136.000 €;Piso en calle del Padre Pedro Ayala;/comprar/piso-nervion_barrio41005-45013152771_100200/;Nervión (Distrito Nervión. Sevilla Capital);2 habs.;1 baño;45 m²;;Piso de dos dormitorios, baño, cocina y salón. Reformado y amueblado. Segunda planta sin ascensor. Ideal inversores. Zona tranquil...;37.385941;-5.9639453;sevilla
310.000 €;Casa adosada en calle de Nuestra Señora de los Dolores,  s/n;/comprar/casa_adosada-bormujos_centro-4381256160_109700/;Centro (Bormujos);3 habs.;3 baños;135 m²;;Vvda. 28. Casa adosada de obra nueva, de 135 m² de superficie construida, y situada en la zona de bormujos.  Está estructurada en ...;37.3683338;-6.0734391;sevilla
216.200 €;Ático en Avenida de José Rodríguez de la Borbolla Camoyán,  s/n;/comprar/atico-montequinto_el_colmenar41089-4310292673_109700/;Montequinto-El Colmenar (Dos Hermanas);2 habs.;2 baños;95 m²;;3, 9ºa. Ático en un edificio de obra nueva de 95 m² de superficie construida y ubicado en la zona de dos hermanas, enclavado en pl...;37.3219;-5.92539;sevilla
283.000 €;Casa adosada en Aljarafe-San Juan Aznalfarache;/comprar/casa_adosada-san_juan_de_aznalfarache_barrio_alto-42588893207_100500/;Barrio Alto (San Juan de Aznalfarache);4 habs.;3 baños;170 m²;;Te presentamos ésta preciosa casa, oportunidad de vivir en un sitio tranquilo, muy bien comunicado y cerca de todos los servicios,...;37.3511981;-6.0294282;sevilla
