precio;sub_descr;href;ubicacion;planta;otros;latitude;longitude;habitaciones;banios;mt2;CCAA
162.000 €;Piso en Avenida Anda Jaleo,  s/nº;/comprar/piso-san_jose_de_la_rinconada-4428771869_109700/;San José de La Rinconada (La Rinconada);2ª planta;Portal 5, 2º h. Piso en un inmueble de obra nueva y situado en la zona de san josé de la rinconada, acomodado en planta 2. Está es...;37.495969258;-5.936866898;;;;sevilla
187.000 €;;/comprar/piso-montequinto_el_colmenar41089-42581531815_500593/;Montequinto-El Colmenar (Dos Hermanas);3ª planta;Piso en residencial privado  en avd europa orientación sur, cuenta con salón comedor con salida a terraza independiente, cocina am...;37.3310736;-5.9228874;3 habs.;2 baños;97 m²;sevilla
275.000 €;Chalet en Urbanización Santiago Apóstol, 12;/comprar/chalet-espartinas_centro_urbano-34212312650_106000/;Espartinas;;Chalet independiente en espartinas (sevilla). Precio de venta 302.000 euros. La parcela tiene una superficie de 1.765 m², así como...;37.3908;-6.13803;5 habs.;4 baños;280 m²;sevilla
248.000 €;;/comprar/piso-pio_xii41008-42567520281_108900/;Pío XII (Distrito Macarena. Sevilla Capital);2ª planta;"¡Descubre tu nuevo hogar en sevilla! 

Este amplio piso de 106 metros cuadrados te ofrece un espacio acogedor y funcional en una d...";37.4030819;-5.9791255;4 habs.;2 baños;106 m²;sevilla
131.050 €;;/comprar/apartamento-parque_alcosa_jardines_del_eden41019-44245314300_100500/;Parque Alcosa-Jardines del Edén (Distrito Este-Alcosa-Torreblanca. Sevilla Capital);Bajo;"Espléndido piso en el parque alcosa.
¿Le gustaría una vivienda luminosa, con un salón amplio, tres habitaciones y dos baños?
Ésta ...";37.4081492;-5.9192529;3 habs.;1 baño;94 m²;sevilla
213.300 €;Piso en Avenida de las Universidades,  s/n;/comprar/piso-montequinto_el_colmenar41089-4504315670_109700/;Montequinto-El Colmenar (Dos Hermanas);;Piso en una finca de obra nueva de 104 m² de superficie construida y emplazado en la zona de dos hermanas. Está dispuesto en 3 hab...;37.3055966;-5.9439866;3 habs.;2 baños;104 m²;sevilla
235.000 €;;/comprar/piso-zona_ronda_de_triana_cartuja41010-43351060592_100500/;Zona Ronda de Triana-Cartuja (Distrito Triana. Sevilla Capital);3ª planta;"¡Venta de piso en el barrio de triana con terraza privada de 29 m²!

Situado entre la calle ronda de tejares y calle manuel arella...";37.3845687;-6.012095;2 habs.;1 baño;81 m²;sevilla
294.000 €;Ático en Avenida Felipe González Márquez,  s/n;/comprar/atico-montequinto_el_colmenar41704-4303351210_109700/;Montequinto-El Colmenar (Dos Hermanas);;Ref. 682. Ático en un edificio de obra nueva de 95 m² de superficie construida y ubicado en la zona de dos hermanas, enclavado en ...;37.3041103;-5.9365007;2 habs.;2 baños;90 m²;sevilla
325.000 €;Chalet pareado en calle Benacazón, 16;/comprar/chalet_pareado-palomares_del_rio_centro_urbano-45054391529_517788/;Palomares del Río;;"Visítalo pulsando en tour virtual.

Le ofrecemos este maravilloso chalet pareado para entrar a vivir recientemente reformado, en p...";37.318554;-6.06971;5 habs.;3 baños;189 m²;sevilla
199.500 €;;/comprar/piso-arco_norte_la_alqueria41704-44221471021_100200/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3ª planta;"Piso de renta libre en arco norte, amplio y luminoso.
Magnifico piso en una de las zonas privilegiadas de dos hermanas, el cual co...";37.2942279;-5.9388815;3 habs.;2 baños;102 m²;sevilla
