precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
130.000 €;Apartamento en Avenida Rafael Escuredo Rodríguez,  S/N;/comprar/apartamento-montequinto_el_colmenar41704-4124789174_109700/;Montequinto-El Colmenar (Dos Hermanas);1 hab.;1 baño;69 m²;V06. Apartamento en un edificio de obra nueva de 69 m² de superficie construida y ubicado en la zona de dos hermanas. Está distrib...;37.311153573;-5.920620076;;sevilla
240.000 €;Casa en calle Varela de Salamanca, 3;/comprar/casa-nervion_ciudad_jardin41005-32522248216_990078/;Ciudad Jardín (Distrito Nervión. Sevilla Capital);4 habs.;2 baños;121 m²;Se vende dos pisos independientes en una misma escritura, en la zona de ciudad jardín, al lado de la gran plaza. Costa de una plan...;37.378637699268786;-5.963223468500732;;sevilla
85.000 €;;/comprar/piso-osuna_centro_urbano-44177163442_510829/;Osuna;3 habs.;1 baño;88 m²;Plaza de la pastora. Amplio piso en 2ª planta que consta de: entrada, cocina amueblada, salón con aire acondicionado, 3 dormitorio...;37.2409035;-5.107479;2ª planta;sevilla
97.260 €;;/comprar/casa_rustica-alcala_de_guadaira_la_paz-44171843002_100200/;La Paz (Alcalá de Guadaíra);3 habs.;1 baño;66 m²;Tecnocasa le presenta esta exclusiva finca rústica, a 10 minutos de sevilla con tres naves para diversos usos, parcela de 2500 m² ...;37.3489845;-5.8316968;;sevilla
142.000 €;;/comprar/piso-arco_norte_la_alqueria41704-45099861963_101800/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3 habs.;2 baños;87 m²;Descubre este encantador piso de vivienda de protección oficial (vpo) situado en la planta baja de un moderno edificio en la prest...;37.297030454;-5.933631966;;sevilla
158.900 €;;/comprar/casa_rustica-utrera_centro_urbano-44230139267_100200/;Utrera;;;150 m²;Urbana : terreno de 2606m², que consta en el exterior con cochera, cuarto de aparejo, boxes para caballo con capacidad de 5 caball...;37.1707772;-5.7463892;;sevilla
765.000 €;;/comprar/apartamento-casco_antiguo_san_gil41002-12523507331_100500/;San Gil (Distrito Casco Antiguo. Sevilla Capital);3 habs.;2 baños;208 m²;"Ponemos a la venta tres apartamentos en pleno corazón de la macarena!!
 
 Tres fantásticos apartamentos, dos de ellos con 2 dormit...";37.403600437;-5.994276162;;sevilla
68.000 €;;/comprar/casa_adosada-la_puebla_del_rio_centro_urbano-45923098113_100500/;La Puebla del Río;3 habs.;1 baño;71 m²;¡Oportunidad única en la puebla del río! Presentamos este encantador chalet adosado, ideal para familias que buscan comodidad y ca...;37.271007699;-6.065315572;;sevilla
185.000 €;;/comprar/piso-parlamento41009-42584312384_527644/;Parlamento (Distrito Macarena. Sevilla Capital);3 habs.;1 baño;68 m²;"""piso de 68 m², en primero planta con ascensor, reformado, que consta de tres dormitorios, salón-comedor con aire acondicionado co...";37.4082994;-5.9890756;1ª planta;sevilla
139.000 €;;/comprar/piso-la_buhaira_san_bernardo41005-45069433675_100500/;La Buhaira-San Bernardo (Distrito Nervión. Sevilla Capital);3 habs.;1 baño;54 m²;Piso de 54 metros construidos, con tres dormitorios, cocina, baño y salón con terraza. Vivienda a reformar, tercera planta en bloq...;37.3817446;-5.9712863;3ª planta;sevilla
530.000 €;;/comprar/chalet-villanueva_del_ariscal_centro_urbano-31729830806_103800/;Villanueva del Ariscal;4 habs.;2 baños;320 m²;"Fantástico chalet independiente en venta en villanueva del ariscal, sevilla. 
Es la oportunidad que estabas esperando para tener t...";37.3964083;-6.1499;;sevilla
94.900 €;;/comprar/piso-lora_del_rio_centro_urbano-43410864085_108900/;Lora del Río;3 habs.;1 baño;105 m²;Magnifico piso en buena zona de lora del río, el inmueble consta de 105 metros cuadrados distribuidos en recibidor, amplio salón c...;37.6603541;-5.5261218;;sevilla
255.000 €;Casa adosada en calle del Zurraque,  s/n;/comprar/casa_adosada-mairena_del_aljarafe_casco_antiguo-4236537049_109700/;Casco Antiguo (Mairena del Aljarafe);3 habs.;2 baños;120 m²;Vivienda 16. Casa adosada de obra nueva, de 120 m² de superficie construida, y emplazada en la zona de mairena del aljarafe.  Está...;37.3428618;-6.0647672;;sevilla
