precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
190.000 €;Casa en Carrer Músic Ricardo Melchor, 6;/comprar/casa-gilet_centro_urbano-43391486392_528066/;Gilet;3 habs.;3 baños;186 m²;"¡Adosado triplex en muy buen estado de conservación y en perfectas condiciones para entrar a vivir!
Cuenta con una alarma securita...";39.67618;-0.3202404;;;valencia
100.000 €;Piso en Plaza de Reginaldo Barbera Jornet;/comprar/piso-guadassuar_centro_urbano-945856909237931_109700/;Guadassuar;4 habs.;2 baños;114 m²;Piso en la plaza reginaldo, zona exclusiva  de guadassuar, cerca de todos los sitios, colegios, médicos, zonas de ocio . Cuatro ha...;39.1884686;-0.4796085;1ª planta;;valencia
195.000 €;Apartamento en Carrer Grau Vell;/comprar/apartamento-platja_de_pucol-43425898323_997738/;Platja de Puçol (Puçol);2 habs.;1 baño;67 m²;"Apartamento en playa de puçol

Vivienda ubicada en la playa de puçol, en segunda línea de mar, a tan solo 100 metros del paseo mar...";39.613199311;-0.262044138;1ª planta;;valencia
269.000 €;Casa en Carrer del Doctor Andrés Piquer;/comprar/casa-massarrojos46112-43334858706_997738/;Massarrojos (Distrito Pobles del Nord. València Capital);3 habs.;2 baños;178 m²;"Excelente casa de pueblo en el centro de massarojos

Vivienda ubicada en la localidad de massarojos, a 2 minutos de la localidad d...";39.5399032;-0.4025983;;;valencia
295.000 €;Chalet en Urbanització Llomayna;/comprar/chalet-vilamarxant_centro_urbano-40902559659_516139/;Vilamarxant;4 habs.;3 baños;278 m²;"Precioso chalet en vilamarxant, con vistas al parque natural de la rodana.
Situado en una parcela urbana y dentro de la urbanizaci...";39.5383685;-0.6489864;;;valencia
224.500 €;Piso en Avinguda Carlos Marx, 11;/comprar/piso-zona_placa_pais_valencia_placa_major46920-4466087801_109700/;Zona Plaça País Valencià-Plaça Major (Mislata);2 habs.;2 baños;76 m²;T02_e01_p01_p11_c_2d_e1_40. Piso en una finca de obra nueva de 76 m² de superficie construida y emplazado en la zona de mislata, p...;39.476360672;-0.423952415;10ª planta;;valencia
358.500 €;Chalet en calle Laurel,  s/n;/comprar/chalet-la_conarda_montesano46117-2389243406_109700/;La Conarda-Montesano (Bétera);4 habs.;3 baños;136 m²;Nº 11. Chalet pareado de obra nueva de 136 m² de superficie construida y situado en la zona de bétera. Está estructurado en 4 habi...;39.5796255;-0.5053066;;;valencia
199.000 €;Apartamento en calle de José Segrelles, 30;/comprar/apartamento-canet_en_berenguer_centro_urbano-43388824043_511599/;Canet d'en Berenguer;2 habs.;1 baño;100 m²;"En venta este fantástico apartamento en la playa de canet d'en berenguer.
La vivienda tiene una superficie de 80m². Cuenta con un ...";39.679195;-0.20634302;2ª planta;;valencia
115.000 €;Piso en Avinguda de la Generalitat Valenciana;/comprar/piso-algemesi_centro_urbano-45005967266_100500/;Algemesí;3 habs.;2 baños;100 m²;Piso situado en edificio seminuevo, zona residencial con fácil acceso a la a7, a unos minutos de la estación de tren de cercanías....;39.195817998;-0.433133117;2ª planta;;valencia
530.000 €;Piso en calle de Salvador Giner, 3;/comprar/piso-el_carme46003-4450185820_109700/;El Carme (Distrito Ciutat Vella. València Capital);3 habs.;2 baños;120 m²;A-1-c. Piso de obra nueva, de 120 m² de superficie construida, y ubicada en la zona de valència capital.  Está distribuida en 3 ha...;39.4801223;-0.3799867;1ª planta;;valencia
