precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;raw_json;CCAA
100.000 €;Piso en Plaza de Reginaldo Barbera Jornet;/comprar/piso-guadassuar_centro_urbano-945856909237931_109700/;Guadassuar;4 habs.;2 baños;114 m²;1ª planta;Piso en la plaza reginaldo, zona exclusiva  de guadassuar, cerca de todos los sitios, colegios, médicos, zonas de ocio . Cuatro ha...;39.1884686;-0.4796085;;valencia
369.500 €;Chalet en calle Laurel,  s/n;/comprar/chalet-la_conarda_montesano46117-2317712885_109700/;La Conarda-Montesano (Bétera);4 habs.;3 baños;136 m²;;Nº 7. Chalet pareado de obra nueva de 136 m² de superficie construida y situado en la zona de bétera. Está estructurado en 4 habit...;39.5785258;-0.5036987;;valencia
190.000 €;Casa en Carrer Músic Ricardo Melchor, 6;/comprar/casa-gilet_centro_urbano-43391486392_528066/;Gilet;3 habs.;3 baños;186 m²;;"¡Adosado triplex en muy buen estado de conservación y en perfectas condiciones para entrar a vivir!
Cuenta con una alarma securita...";39.67618;-0.3202404;;valencia
1.094.999 €;Ático en Valencia;/comprar/atico-sant_pau46015-42581367695_108700/;Sant Pau (Distrito Campanar. València Capital);4 habs.;2 baños;320 m²;;Se vende espectacular ático, en la calle marina alta, zona de palacio de congresos, rodeado por una gran terraza, que crea varios ...;39.472937522;-0.406927841;;valencia
156.000 €;Piso en calle de Moraira, 11;/comprar/piso-natzaret46024-42518933676_100500/;Natzaret (Distrito Poblats Marítims. València Capital);3 habs.;1 baño;70 m²;3ª planta;"Nuevo ingreso! Gran oportunidad.

Se vende apartamento en el barrio natzaret, una zona en pleno desarrollo y con grandes proyectos...";39.4505;-0.334578;;valencia
565.000 €;Chalet en Montepilar;/comprar/chalet-montepilar-7529519309_101800/;Montepilar (L'Eliana);5 habs.;3 baños;196 m²;;Impresionante chalet independiente de excelente construcción en zona residencial consolidada muy próxima a la eliana. 196 m² const...;39.5590925;-0.5483175;;valencia
199.000 €;Apartamento en calle de José Segrelles, 30;/comprar/apartamento-canet_en_berenguer_centro_urbano-43388824043_511599/;Canet d'en Berenguer;2 habs.;1 baño;100 m²;2ª planta;"En venta este fantástico apartamento en la playa de canet d'en berenguer.
La vivienda tiene una superficie de 80m². Cuenta con un ...";39.679195;-0.20634302;;valencia
215.000 €;Casa en calle del Maestro Ruperto Chapí;/comprar/casa-el_puig_de_santa_maria_centro_urbano-43405355696_997738/;El Puig de Santa Maria;3 habs.;1 baño;132 m²;;"Casa de pueblo en el centro de el puig

Vivienda ubicada en la localidad de el puig, en el centro de la localidad, cerca de todos ...";39.589118612;-0.299136151;;valencia
545.000 €;Piso en calle de Salvador Giner, 3;/comprar/piso-el_carme46003-4336720475_109700/;El Carme (Distrito Ciutat Vella. València Capital);3 habs.;2 baños;101 m²;3ª planta;B-3-c. Piso de obra nueva, de 101 m² de superficie construida, y ubicada en la zona de valència capital.  Está distribuida en 3 ha...;39.4801223;-0.3799867;;valencia
700.000 €;Chalet en Chiva;/comprar/chalet-chiva_centro_urbano-18339040237_109300/;Chiva;5 habs.;3 baños;218 m²;;El encanto del mediterráneo y la calidad de vida son de los principales elementos de esta casa. Se encuentra en la prestigiosa urb...;39.4495794;-0.6177294;;valencia
500.000 €;Chalet unifamiliar en Carrer Llidoner;/comprar/chalet_unifamiliar-albalat_dels_tarongers_centro_urbano-44180204448_528099/;Albalat dels Tarongers;5 habs.;3 baños;790 m²;;¡Hola! ¿Estás listo para descubrir tu próxima joya en albalat de tarongers, valencia? Soy mabel gonzalez, tu agente inmobiliario d...;39.7079625;-0.3268517;;valencia
230.000 €;Apartamento en Passeig Marítim de Neptú;/comprar/apartamento-playa_de_gandia-8378795469_101800/;Playa de Gandia (Gandia);3 habs.;2 baños;140 m²;2ª planta;Apartamento en primera linea de la playa de gandia , con una espectacular terraza vistas al mar y muy grande, 3 dormitorios , 2 ba...;39.0107686;-0.1678159;;valencia
295.000 €;Chalet en Urbanització Llomayna;/comprar/chalet-vilamarxant_centro_urbano-40902559659_516139/;Vilamarxant;4 habs.;3 baños;278 m²;;"Precioso chalet en vilamarxant, con vistas al parque natural de la rodana.
Situado en una parcela urbana y dentro de la urbanizaci...";39.5383685;-0.6489864;;valencia
549.000 €;Chalet en Chiva;/comprar/chalet-chiva_centro_urbano-34239744839_109300/;Chiva;5 habs.;5 baños;541 m²;;Esta vivienda, construida en los años 80, con un diseño singular, se ubica en una de las mejores parcelas de la urbanización el bo...;39.4482828;-0.617595;;valencia
325.000 €;Chalet en Carrer Oronetes;/comprar/chalet-urbanizaciones_cumbres_de_calicanto_manyes_barbeta-44215692080_109300/;Urbanizaciones Cumbres de Calicanto-Manyes-Barbeta (Torrent);4 habs.;3 baños;279 m²;;"Increíble chalet en venta en urbanización font de la teula, torrente

Este destacado inmueble ofrece una oportunidad única para ...";39.410004;-0.597769;;valencia
388.500 €;Chalet en calle Laurel,  s/n;/comprar/chalet-la_conarda_montesano46117-4242053660_109700/;La Conarda-Montesano (Bétera);4 habs.;3 baños;136 m²;;Nº 4. Chalet pareado de obra nueva de 136 m² de superficie construida y situado en la zona de bétera. Está estructurado en 4 habit...;39.5795286;-0.5047038;;valencia
246.000 €;Piso en Carrer Practicante Vicente Fajardo;/comprar/piso-tavernes_blanques_centro_urbano-41691496435_511859/;Tavernes Blanques;3 habs.;2 baños;119 m²;Entresuelo;"Piso de 3 habitaciones con terraza de obra nueva a estrenar.
Nos complace anunciar una promoción de obra nueva con entrega de llav...";39.510547971;-0.363981004;;valencia
