precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta;CCAA
A consultar;;/comprar/finca_rustica-montroi_montroy_centro_urbano-45073951543_994429/;Montroi - Montroy;664 m²;Terreno de regadío a escasos metros del rio magro  en la parcela 160 del polígono 19. Montroy;39.318597648;-0.667283775;;;;valencia
65.000 €;;/comprar/casa-sagunt_poble_centre46500-43429857425_100900/;Centre (Distrito Sagunt Poble. Sagunt - Sagunto);128 m²;".*. Oportunidad unica .*.

Auténtica y genuina casa de pueblo unifamiliar en venta en sagunto, a reformar. 
Construida a mediados ...";39.6766761;-0.2734212;5 habs.;;;valencia
240.000 €;;/comprar/casa_adosada-naquera_naquera_centro_urbano-44199732622_100500/;Nàquera - Náquera;130 m²;Lleno de historias por contar y en mitad de un paraíso, este adosado ha sido testigo de cómo los pequeños de la casa se hacían ma...;39.6488869;-0.4277876;5 habs.;2 baños;;valencia
219.800 €;Casa en Carrer de Sant Vicent, 31;/comprar/casa-oliva_nucli_urba-33406017596_100500/;Nucli Urbà (Oliva);433 m²;"Esta es sin duda una gran casa para una gran familia.
 En una de las mejores calles de oliva, situada en la parte peatonal de la c...";38.9214;-0.125216;6 habs.;3 baños;;valencia
350.000 €;;/comprar/piso-algiros_la_carrasca46021-45068359605_106700/;La Carrasca (Distrito Algirós. València Capital);120 m²;"Inmobiliaria sorolla ofrece en venta magnifico piso en zona blasco ibañez.
Totalmente exterior.
120 metros muy bien aprovechados.
...";39.4790074;-0.3517751;3 habs.;2 baños;;valencia
398.000 €;;/comprar/casa_adosada-alt_palancia_doctor_palos46500-39184531022_100500/;Alt Palància-Doctor Palos (Distrito Sagunt Poble. Sagunt - Sagunto);300 m²;Se pone a la venta en exclusiva este enorme adosado de altas calidades con una ubicación privilegiada con sus vistas despejadas a ...;39.6861092;-0.2790176;5 habs.;4 baños;;valencia
193.200 €;Piso en Carrer Moncada, 6;/comprar/piso-paiporta_centro_urbano-3140510123_109700/;Paiporta;111 m²;Tipo 3-d. Piso en un edificio de obra nueva de 111 m² de superficie construida y ubicado en la zona de paiporta. Está distribuido ...;39.4314275;-0.4105684;3 habs.;2 baños;;valencia
199.999 €;;/comprar/casa-sants_patrons-37585246579_106700/;Sants Patrons (Alzira);238 m²;Gran casa en pleno centro de alzira, rodeada de todos los servicios, colegios, supermercados, ambulatorio, comercio, etc, de 238 m...;39.1494421;-0.4352386;3 habs.;3 baños;;valencia
403.000 €;;/comprar/piso-la_raiosa_san_vicente_martir-44251429758_108500/;La Raïosa-San Vicente Mártir (Distrito Jesús. València Capital);167 m²;Te presentamos este encantador piso con una ubicación privilegiada en la zona de extramurs, una de las áreas más demandadas y cosm...;39.4597942;-0.3832214;4 habs.;2 baños;;valencia
52.000 €;;/comprar/piso-la_font_en_carros_centro_urbano-43358098438_109100/;La Font d'en Carròs;69 m²;Descubre la versatilidad de este singular bajo en font d´encarros! Este espacio único, originalmente concebido como local, ahora s...;38.9163737;-0.1692403;2 habs.;1 baño;Bajo;valencia
124.900 €;;/comprar/atico-torrent_centre-35058619018_100500/;Centre (Torrent);90 m²;Se vende ático al lado de la torre, de tres dormitorios, dos baños, vivienda de 80 metros más 90 de terraza, es un tercero sin asc...;39.4355849;-0.4646546;3 habs.;2 baños;;valencia
154.000 €;Casa pareada en Carrer de Cádiz, 23;/comprar/casa_pareada-catarroja_centro_urbano-38406881141_991284/;Catarroja;202 m²;Oportunidad venta casa!!! Realiza la casa de tus sueños con una superficie de unos 149 m²!!! Se trata de una casa en catarroja tod...;39.40505089555568;-0.40477188387141516;3 habs.;1 baño;;valencia
115.000 €;Chalet adosado en Carrer de Sant Pasqual, 26;/comprar/chalet_adosado-xativa_centro_urbano-30896778519_100900/;Xàtiva;250 m²;Casa en venta en xátiva, junto al torreón. Calle san pascual, subida de bisquert. Dispone de diferentes estancias repartidas entre...;38.9873;-0.512845;5 habs.;1 baño;;valencia
320.000 €;;/comprar/chalet-palma_de_gandia_centro_urbano-38417729414_100500/;Palma de Gandia;480 m²;"Vivir en plena naturaleza es posible.
¿Buscas una vivienda excepcional, funcional, independiente y rodeada de un entorno natural i...";38.9575444;-0.2429691;7 habs.;3 baños;;valencia
360.000 €;;/comprar/casa-alcublas_centro_urbano-44192364179_108500/;Alcublas;560 m²;"Llave maestra vende edificio en alcublas!. Edificio de 3 alturas por acabar! . 
En planta baja tenemos dos puertas en las que actu...";39.795551429;-0.700616365;3 habs.;2 baños;;valencia
235.000 €;;/comprar/casa-albalat_dels_tarongers_centro_urbano-40093949154_108900/;Albalat dels Tarongers;278 m²;Seguro que alguna vez has soñado con levantarte por la mañana y bajar a tu huerto a arrancar de la mata un tomate, recolectar una ...;39.653237268;-0.364518376;5 habs.;2 baños;;valencia
280.000 €;;/comprar/chalet-moncada_centro_urbano-41673195402_100500/;Moncada;221 m²;En el corazón del encantador pueblo de moncada, se encuentra esta preciosa casa antigua, lista para ser renovada y convertida en e...;39.5456221;-0.3952859;6 habs.;3 baños;;valencia
125.000 €;;/comprar/piso-carcaixent_centro_urbano-39181665862_995924/;Carcaixent;146 m²;Excelente piso en carcaixent con ascensor en un edificio de 1970. Tiene 146m² construidos distribuido en un amplio salón-comedor m...;39.1181617;-0.4507808;5 habs.;2 baños;4ª planta;valencia
698.000 €;Ático en calle de Ángel Villena, 32;/comprar/atico-ciutat_de_les_arts_i_de_les_ciencies46013-4014205038_109700/;Ciutat de les Arts i de les Ciències (Distrito Quatre Carreres. València Capital);168 m²;B 14º A. Ático en un edificio de obra nueva de 168 m2 de superficie construida y ubicado en la zona de València Capital, enclavado en planta 14. Está distribuido en 3 habitaciones, 2 baños completos y terraza. Incluye extras como ascensor.;39,4484641;-0,367032;3 habs.;2 baños;;valencia
265.000 €;;/comprar/casa-alcasser_centro_urbano-42555924671_103800/;Alcàsser;170 m²;"Osgial servicios inmobiliarios os ofrece en esta ocasión esta fantástica y señorial casa de pueblo en el centro de la población.

...";39.367943141;-0.44392509;4 habs.;3 baños;;valencia
425.000 €;;/comprar/piso-el_pla_del_real_mestalla46010-44170384385_100500/;Mestalla (Distrito El Pla del Real. València Capital);132 m²;"Fantástica vivienda junto a la alameda en quinta planta de 132 m², (112 útiles según catastro)

Vivienda totalmente exterior, muy ...";39.4727808;-0.360523;5 habs.;2 baños;5ª planta;valencia
250.000 €;;/comprar/casa-rafelbunyol_centro_urbano-35856486044_108900/;Rafelbunyol;300 m²;Casa para reformar. Cómo nos gustan las casas de pueblo con historia, respetando la esencia rural. Sus vigas de madera, sus techos...;39.5887121;-0.3328025;6 habs.;2 baños;;valencia
330.000 €;Piso en Avenida José Roca Coll,  1311;/comprar/piso-safranar46014-4613435749_109700/;Safranar (Distrito Patraix. València Capital);130 m²;Esc. 1 pl. 4ª pt. D t6. Piso en una finca de obra nueva de 130 m² de superficie construida y emplazado en la zona de valència capi...;39.458211226;-0.400404769;3 habs.;2 baños;4ª planta;valencia
180.000 €;;/comprar/casa-rafelbunyol_centro_urbano-40932065152_108900/;Rafelbunyol;209 m²;¿Te gustan las casas de pueblo, su distribución y tipología? Si es así. Te ofrecemos una vivienda en la calle principal de rafelbu...;39.587902122;-0.336197073;3 habs.;2 baños;;valencia
98.000 €;;/comprar/piso-carcaixent_centro_urbano-45871961284_517024/;Carcaixent;121 m²;Se ofrece 1º piso de 121m construidos  sin ascensor totalmente reformado . Es una vivienda con solera, con techos altos y suelos d...;39.120581267;-0.451294078;4 habs.;1 baño;1ª planta;valencia
585.000 €;;/comprar/casa_unifamiliar-museros_centro_urbano-24252886226_994057/;Museros;550 m²;¡Lujosa casa independiente en zona residencial de museros! Se trata de una espectacular vivienda con calidades superiores, lista p...;39.565799;-0.3401693;5 habs.;3 baños;;valencia
200.000 €;;/comprar/casa-manises_el_mercat-27590093104_103800/;El Mercat (Manises);199 m²;"Casa de pueblo en el centro de manises, con patio interior y muchas posibilidades.
Zona comercial por lo que el bajo se puede dedi...";39.494997;-0.4647337;4 habs.;2 baños;;valencia
225.000 €;;/comprar/chalet_adosado-naquera_naquera_centro_urbano-44253641123_100900/;Nàquera - Náquera;107 m²;"•.• exclusivo adosado en venta en naquera •.•

Moderno, luminoso y soleado, se caracteriza por tener  todas las estancias exterior...";39.6354305;-0.4315395;3 habs.;3 baños;;valencia
163.000 €;;/comprar/casa_adosada-catarroja_centro_urbano-45005632993_510850/;Catarroja;70 m²;"Teresa raga inmobiliaria dispone de vivienda a la venta en la población de catarroja, casa de 70m².

Vivienda totalmente reformada...";39.4008035;-0.402919;2 habs.;2 baños;;valencia
279.500 €;;/comprar/casa-albuixarres-38394000995_100500/;Albuixarres (Alzira);254 m²;Aquí les presentamos su futuro hogar, con una inmejorable ubicación. Situado a dos calles de la avda. Santos patronos a un paso de...;39.1529439;-0.4358205;5 habs.;5 baños;;valencia
152.500 €;;/comprar/piso-patraix_barrio46018-35854057555_100200/;Patraix (Distrito Patraix. València Capital);78 m²;"Tecnocasa patraix dispone en exclusiva de vivienda reformada en el centro de patraix.

La vivienda está distribuida en 2 dormitori...";39.4599074;-0.394027;2 habs.;2 baños;4ª planta;valencia
350.000 €;;/comprar/atico-benicalap_barrio46015-45842138327_104700/;Benicalap (Distrito Benicalap. València Capital);155 m²;Redpiso benicalap vende en exclusiva este magnífico ático muy próximo a cortes valencianas. Se trata de un ático dúplex, con dos t...;39.4951074;-0.3971633;4 habs.;2 baños;;valencia
250.000 €;;/comprar/piso-benicalap_barrio46015-45929448272_104700/;Benicalap (Distrito Benicalap. València Capital);94 m²;¡Redpiso en exclusiva presenta este encantador piso de 94 m² construidos, ideal para quienes buscan confort y funcionalidad. Ubica...;39.4902101;-0.3924977;2 habs.;1 baño;;valencia
1.325.000 €;;/comprar/casa_unifamiliar-rocafort_centro_urbano-10010714599_997236/;Rocafort;740 m²;"""magnífica casa individual en una de las urbanizaciones mas prestigiosas de valencia tan sólo a 9 km del centro de la capital. La ...";39.5457666;-0.4212852;6 habs.;5 baños;;valencia
185.000 €;;/comprar/piso-benicalap_barrio46025-45895697671_104700/;Benicalap (Distrito Benicalap. València Capital);98 m²;"¡Gran oportunidad! Amplio piso de 4 habitaciones con balcón

Presentamos este espacioso piso, perfecto para familias numerosas o a...";39.4942889;-0.3915899;4 habs.;1 baño;;valencia
