precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
75.000 €;Casa en Avenida Santos Patronos;/comprar/casa-albuixarres-22510384024_100500/;Albuixarres (Alzira);2 habs.;1 baño;122 m²;Casa compuesta de planta baja, corral, y piso alto con 2 dormitorios, cocina abierta, aseo. Terraza solana con lavadero y cobertiz...;39.152521236;-0.437094768;;valencia
299.000 €;Chalet unifamiliar en Urbanització Puig Gros;/comprar/chalet_unifamiliar-carcaixent_centro_urbano-42556510246_995924/;Carcaixent;3 habs.;3 baños;269 m²;Chalet de lujo en venta en carcaixent, en la exclusiva urbanización puig gros. Construido en el año 2003, este impresionante chale...;39.077183199;-0.438203541;;valencia
80.000 €;Piso en Tulell;/comprar/piso-albuixarres-34234838312_100500/;Albuixarres (Alzira);4 habs.;2 baños;132 m²;Piso en zona tulell. Se compone de cocina independiente con galería, salón con balcón, cuatro habitaciones y dos cuartos de baño. ...;39.1560926;-0.4340943;3ª planta;valencia
269.000 €;Piso en El Pilar;/comprar/piso-ciutat_vella_el_pilar46001-45000041145_100200/;El Pilar (Distrito Ciutat Vella. València Capital);2 habs.;1 baño;76 m²;Presentamos este encantador piso exterior de 76 metros cuadrados, ubicado en un segundo piso de una finca clásica, tranquila y bie...;39.4727951;-0.3833827;2ª planta;valencia
250.000 €;Chalet rústico en Urbanizaciones Cumbres de Calicanto-Manyes-Barbeta;/comprar/chalet_rustico-urbanizaciones_cumbres_de_calicanto_manyes_barbeta-45849029260_520218/;Urbanizaciones Cumbres de Calicanto-Manyes-Barbeta (Torrent);4 habs.;1 baño;130 m²;Este encantador chalet rústico se encuentra ubicado en la zona de urbanizaciones partida de l,alberca en torrent, en torrent. Con ...;39.414493148;-0.518463115;;valencia
120.000 €;Piso en calle calle Vicent Aleixandre;/comprar/piso-pucol_centre-45023325047_108900/;Centre (Puçol);1 hab.;1 baño;66 m²;¿Buscas total independencia? Si es así, te ofrecemos una planta baja con trastero en semisótano y con entrada independiente en una...;39.613944;-0.3036228;Bajo;valencia
154.900 €;Piso en Avinguda de la República Argentina, 124;/comprar/piso-republica_argentina_iglesia_cristo_rey46701-45926082516_100500/;República Argentina-Iglesia Cristo Rey (Distrito Gandia Ciutat. Gandia);3 habs.;2 baños;159 m²;"Oportunidad vivienda vpo en gandía con ascensor, garaje y trastero. 3 habitaciones.

¡Oportunidad única en gandía! Presentamos est...";38.9757;-0.183059;5ª planta;valencia
245.000 €;Piso en Sant Antoni;/comprar/piso-la_saidia_sant_antoni46009-43427127877_100200/;Sant Antoni (Distrito La Saïdia. València Capital);5 habs.;1 baño;135 m²;"Se vende piso en barrio de san antonio
La vivienda se encuentra en una finca de los años 70, la cual cuenta con ascensor
Esta prop...";39.486451665;-0.374771522;;valencia
399.000 €;Piso en Gran Vía;/comprar/piso-russafa46005-43370584571_100500/;Russafa (Distrito L'Eixample. València Capital);4 habs.;2 baños;152 m²;"Ref: 08461 -salico vende en magnifica zona -ruzafa

Piso de grandes dimensiones para reformar, aunque las ventanas son nuevas, osc...";39.4615805;-0.3673588;1ª planta;valencia
470.000 €;Piso en Sant Antoni;/comprar/piso-la_saidia_sant_antoni46009-44248549088_108500/;Sant Antoni (Distrito La Saïdia. València Capital);5 habs.;3 baños;215 m²;"Piso amplio de 215m² en valencia, distribuidos en 5 habitaciones, 3 baños, cocina,  salón – comedor con 3 balcones. 
La cocina tie...";39.4892193;-0.3717431;;valencia
160.000 €;Piso en Casco Antiguo;/comprar/piso-torrent_centre-40015182656_100500/;Centre (Torrent);5 habs.;2 baños;169 m²;Se venden dos pisos por 160.000€ , ideales para reformar y convertir en rentables habitaciones para estudiantes. La ubicación estr...;39.4337655;-0.4642434;1ª planta;valencia
154.000 €;Casa pareada en Carrer de Cádiz, 23;/comprar/casa_pareada-catarroja_centro_urbano-38406881141_991284/;Catarroja;3 habs.;1 baño;202 m²;Oportunidad venta casa!!! Realiza la casa de tus sueños con una superficie de unos 149 m²!!! Se trata de una casa en catarroja tod...;39.40505089555568;-0.40477188387141516;;valencia
183.000 €;Piso en El Calvari;/comprar/piso-el_calvari46015-44209123941_106700/;El Calvari (Distrito Campanar. València Capital);2 habs.;1 baño;90 m²;"¡Oportunidad para inversores!
La vivienda se vende con inquilinos pagando una renta de 630€ finalizan contrato noviembre 2025. 
Pi...";39.4865151;-0.390673;;valencia
160.000 €;Ático en Centre;/comprar/atico-betera_centre46117-44198466341_109300/;Centre (Bétera);2 habs.;1 baño;71 m²;"Bonito atico en betera con impresionantes vistas al pueblo y a la montaña

Este encantador ático de 71 m² construidos ubicado en 4...";39.5886888;-0.4641899;;valencia
235.000 €;Piso en Ayora;/comprar/piso-aiora-45837626146_500328/;Aiora (Distrito Camins al Grau. València Capital);4 habs.;2 baños;111 m²;Atencion inversores si estais buscando un piso muy proximo a vicente blasco ibañes y musico gines esta es su oportunidad!!! Muy pr...;39.471730697;-0.34218677;2ª planta;valencia
130.000 €;Piso en Nou Moles;/comprar/piso-nou_moles46018-45072623890_100200/;Nou Moles (Distrito L'Olivereta. València Capital);2 habs.;;79 m²;"Cid-149

Tecnocasa nou moles vende excelente vivienda con ascensor en av. Cid de 79 mt2s distribuidos de a siguiente manera:

- te...";39.4689109;-0.3990646;3ª planta;valencia
195.000 €;Chalet en Olocau;/comprar/chalet-olocau_centro_urbano-44181614580_109300/;Olocau;4 habs.;1 baño;183 m²;"Oportunidad en olocau con inmejorables vistas a la sierra calderona. 

Chalet de 183 m² en  una parcela  rústica de 1084 m² con ja...";39.6648438;-0.514859;;valencia
435.000 €;Casa en Avenida del Molino de Viento;/comprar/casa-pucol_centre-43416826341_108900/;Centre (Puçol);4 habs.;1 baño;389 m²;Cuando coincide espacio, orientación, ubicación y calidad en una misma vivienda sólo queda visitarla para convertirla en la casa d...;39.6190101;-0.3117171;;valencia
426.000 €;Chalet en Plaza Poligono N-23.R, ,  4;/comprar/chalet-mas_camarena-4522947376_109700/;Mas Camarena (Bétera);4 habs.;3 baños;148 m²;"VI-4-P00-24. Chalet de obra nueva de 148 m2 de superficie construida y situado en la zona de Bétera. Está estructurado en 4 habitaciones, 3 baños completos y terraza de 27.8 m2
** El precio mostrado en la tabla anterior para cada inmueble, incluye únicamente aquellos anejos (plazas de garaje y/o trastero) que hubiesen sido expresamente especificados en su descripción. En caso de no aparecer especificados, su precio no se entenderá incluido en el precio mostrado anteriormente. El precio mostrado lo es sin incluir impuestos. Los inmuebles identificados están sujetos, en todo caso, a disponibilidad..";39,555622;-0,4561239;;valencia
235.000 €;Casa en Partida Plan del Caball;/comprar/casa-albalat_dels_tarongers_centro_urbano-40093949154_108900/;Albalat dels Tarongers;5 habs.;2 baños;278 m²;Seguro que alguna vez has soñado con levantarte por la mañana y bajar a tu huerto a arrancar de la mata un tomate, recolectar una ...;39.653237268;-0.364518376;;valencia
257.900 €;Piso en Avenida Castelló;/comprar/piso-cullera_sant_antoni-43401754315_100500/;Sant Antoni (Cullera);2 habs.;1 baño;47 m²;"** segunda planta con ascensor y piscina en cullera**

Segunda planta de 47m² con ascensor, distribuidos en salón/comedor muy ampl...";39.173604594;-0.241210033;2ª planta;valencia
83.000 €;Piso en Avenida de la Virgen del Castillo;/comprar/piso-favara_centro_urbano-10925374489_512047/;Favara;3 habs.;2 baños;117 m²;Fantástica vivienda en venta en favara con 3 dormitorios, 2 cuartos de baño, comedor-salón, cocina y recibidor. En edificio con tr...;39.1275906;-0.2894063;1ª planta;valencia
152.500 €;Piso en Patraix;/comprar/piso-patraix_barrio46018-35854057555_100200/;Patraix (Distrito Patraix. València Capital);2 habs.;2 baños;78 m²;"Tecnocasa patraix dispone en exclusiva de vivienda reformada en el centro de patraix.

La vivienda está distribuida en 2 dormitori...";39.4599074;-0.394027;4ª planta;valencia
139.900 €;Piso en calle de Alcañiz;/comprar/piso-rascanya_torrefiel46019-43411391504_511048/;Torrefiel (Distrito Rascanya. València Capital);1 hab.;1 baño;42 m²;Bajo vivienda turistico en zona av. Peset alexandre. Excelente estudio de 42m², reformado a estrenar. Amplio, espacioso y techo al...;39.4920134;-0.3777267;Bajo;valencia
329.000 €;Chalet en calle Francesc Ferrer Pastor, nº 28;/comprar/chalet-bellreguard_centro_urbano-43368018656_100500/;Bellreguard;3 habs.;4 baños;312 m²;¡Bienvenido a esta hermosa propiedad en bellreguard, situada en la encantadora zona valenciana de la safor! Esta casa independient...;38.9474;-0.167587;;valencia
249.997 €;Casa en Pueblo;/comprar/casa-cullera_centre_urba-42559665831_100500/;Centre Urbà (Cullera);7 habs.;4 baños;280 m²;"Ref: 08443 - salico vende singular casa de pueblo en cullera completamente renovada

¡Descubre esta joya arquitectónica que combin...";39.1681452;-0.258566;;valencia
279.000 €;Piso en La Roqueta;/comprar/piso-la_roqueta46007-43403816334_108500/;La Roqueta (Distrito Extramurs. València Capital);4 habs.;2 baños;105 m²;Piso en venta en zona arrancapins, extramurs, muy céntrico, cerca de la gran vía ramón y cajal, calle doctor vila barbera. Piso de...;39.4635289;-0.3807062;;valencia
60.000 €;Casa en Carrer de Sant Miquel, 31;/comprar/casa-bellreguard_centro_urbano-39226804399_106700/;Bellreguard;4 habs.;1 baño;173 m²;"Esta es tu oportunidad de adquirir una casa con un potencial increíble en bellreguard

 Esta propiedad, ubicada en el encantador c...";38.9448;-0.163907;;valencia
180.000 €;Piso en Carrer de la Isla Cabrera, 25;/comprar/piso-malilla46026-44240235389_103800/;Malilla (Distrito Quatre Carreres. València Capital);1 hab.;1 baño;53 m²;Piso  en malilla, con 53 m² construidos, 49 m² útiles, 1 dormitorios, 1 baños, seminuevo, exterior, planta 2, 1 armarios, cocina a...;39.4492;-0.379786;2ª planta;valencia
120.000 €;Casa adosada en Carrer de la Unión;/comprar/casa_adosada-sants_patrons-42547272533_100500/;Sants Patrons (Alzira);4 habs.;2 baños;132 m²;¡Bienvenido a esta encantadora casa de pueblo en alzira, ubicada en la tranquila zona de les basses! Esta propiedad de dos plantas...;39.1445105;-0.4342898;;valencia
249.900 €;Casa en Carrer de la Marina;/comprar/casa-cullera_centre_urba-43418645582_100500/;Centre Urbà (Cullera);3 habs.;4 baños;260 m²;Ven a visitar esta casa en el centro de cullera en una calle semipeatonal y con todos los servicios a tu alcance (supermercados, c...;39.1629661;-0.2548695;;valencia
480.000 €;Casa pareada en calle del Montgó;/comprar/casa_pareada-sant_josep_els_metalls-41766199272_100500/;Sant Josep-Els Metalls (Distrito Port de Sagunt. Sagunt - Sagunto);5 habs.;3 baños;273 m²;"Casa pareada en la población puerto de sagunto, reformada recientemente.

Construida sobre una parcela de 230 m² la vivienda cuent...";39.6654108;-0.2161907;;valencia
153.000 €;Apartamento en Carrer Atlàntic, 66;/comprar/apartamento-playa_de_gandia-43361948359_992222/;Playa de Gandia (Gandia);3 habs.;2 baños;82 m²;¡No pierdas la oportunidad de vivir en este bonito apartamento en segunda línea de la playa de gandía, ubicado en la zona del puer...;38.999825;-0.16096911;2ª planta;valencia
70.000 €;Casa en Carrer Sant Josep, 3;/comprar/casa-llauri_centro_urbano-14200882307_516920/;Llaurí;5 habs.;3 baños;260 m²;"Magnífica oportunidad para comprar esta fantástica vivienda. 
Está en pleno centro del pueblo, cerca de los comercios y de la farm...";39.14640252204808;-0.3307596876128078;;valencia
280.000 €;Casa en Meliana;/comprar/casa-meliana_centro_urbano-44194824859_522542/;Meliana;3 habs.;1 baño;358 m²;"Venta casa de pueblo en roca (meliana)
Les presentamos, una estupenda casa de pueblo, situada en l’horta nord de valencia, en el m...";39.524368889;-0.325267505;;valencia
895.000 €;Chalet en calle Diseminados;/comprar/chalet-bocairent_centro_urbano-43389323794_100500/;Bocairent;12 habs.;5 baños;1.888 m²;¿Buscas una inversión interesante? Deja de mirar, aquí está. Fabulosa masia que puede convertirse en un hotel rural, a las faldas ...;38.7561446;-0.6133668;;valencia
75.000 €;Casa en Carrer de Molí, 36;/comprar/casa-palma_de_gandia_centro_urbano-33387096583_100500/;Palma de Gandia;4 habs.;1 baño;173 m²;Casa en palma de gandía zona palma de gandía, 173 m. De superficie, 40 m² de terraza, 4 habitaciones dobles,  un baño, propiedad d...;38.9251;-0.219004;;valencia
45.000 €;Chalet adosado en calle Huerta;/comprar/chalet_adosado-alberic_centro_urbano-39254356759_993822/;Alberic;3 habs.;2 baños;173 m²;"Sin comisión inmobiliaria.

Casa adosada en calle huertas de alberic.
Construido en 1900, con 173 m² construidos en dos plantas + ...";39.11418369;-0.517310191;;valencia
680.000 €;Chalet en calle Juan Pablo Ii;/comprar/chalet-el_vedat_santa_apollonia46901-14228898292_100100/;El Vedat-Santa Apol·lònia (Torrent);4 habs.;2 baños;446 m²;Exclusiva vivienda unifamiliar independiente a un paso del auditori de torrent. B@bgnrealtor presenta esta exclusiva propiedad de ...;39.4193;-0.476689;;valencia
299.000 €;Apartamento en Carrer de Santa Teresa;/comprar/apartamento-centre_la_canaleta-45867521423_100500/;Centre-La Canaleta (Mislata);4 habs.;2 baños;140 m²;¡Descubre este magnífico piso en pleno centro de mislata! Con una ubicación inmejorable, este espacioso y luminoso hogar es perfec...;39.4744234;-0.4184091;3ª planta;valencia
180.000 €;Ático en Avenida de Arrabal;/comprar/atico-requena_centro_urbano-45889193043_992784/;Requena;3 habs.;3 baños;145 m²;"En requena, capital de la vendimia, dispones de un ático dúplex , con mucha luz natural todo el día y unas vistas espectaculares.
...";39.4889613;-1.1099932;;valencia
243.000 €;Ático en Carrer de Palancia, 6;/comprar/atico-gilet_centro_urbano-45839528192_108700/;Gilet;3 habs.;2 baños;124 m²;"¡Bonito ático en venta en gilet con vistas panorámicas!
Te presentamos esta espectacular vivienda en tercera planta con una superf...";39.6784;-0.327501;;valencia
205.000 €;Piso en Campanar;/comprar/piso-campanar_barrio46015-45864133249_109300/;Campanar (Distrito Campanar. València Capital);2 habs.;1 baño;80 m²;"¡Descubre tu nuevo hogar en valencia con nuwe inmobiliaria!

Dirección: calle molí de la marquesa, valencia.

Características del ...";39.484527276;-0.397960534;1ª planta;valencia
179.000 €;Casa adosada en calle 1, nº 1;/comprar/casa_adosada-masia_del_conde_cortichelles-39243276424_992468/;Masía del Conde Cortichelles (Turís);3 habs.;1 baño;261 m²;Casa de pueblo moderna a estrenar de gran calidad y diseño, ubicada dentro de la misma población de turís, a tan sólo 400 metros d...;39.389090022425655;-0.7197571550950842;;valencia
456.000 €;Chalet en calle Paraiso Rincons;/comprar/chalet-la_pobla_de_vallbona_centro_urbano-43424556558_100500/;La Pobla de Vallbona;7 habs.;3 baños;513 m²;Había una vez un hermoso chalet independiente a la venta en la pobla de vallbona, que podría ser la casa de tus sueños. Este chale...;39.6306717;-0.5380847;;valencia
96.000 €;Piso en calle de la Verge de los Desemparats;/comprar/piso-benipeixcar_raval46702-43389865411_100500/;Benipeixcar-Raval (Distrito Gandia Ciutat. Gandia);2 habs.;2 baños;72 m²;"Piso en zona benipeixcar/museu faller. 
 
 Altura 3º con ascensor, superficie aproximada de 72 m². 
 
 Distribuido en salón-comedo...";38.958606;-0.1877896;3ª planta;valencia
181.000 €;Piso en Carrer Manuel Baixauli Andres;/comprar/piso-alfafar_centro_urbano-45926672311_100500/;Alfafar;3 habs.;2 baños;;"Obra ya iniciada, con entrega prevista a finales del 2025!
A tan solo 6km de valencia, el residencial a^casaalfafar se encuentra e...";39.417677589;-0.390219176;Bajo;valencia
187.000 €;Chalet en Els Blasques;/comprar/chalet-turis_centro_urbano-45087976802_100500/;Turís;4 habs.;2 baños;191 m²;Bonito chalet independente en urbanización els blasques junto a la cv-415 de turís con increíbles vistas a las cumbres de calicant...;39.385434;-0.649817;;valencia
950.000 €;Chalet en calle Perís y Valero;/comprar/chalet-urbanizaciones_cumbres_de_calicanto_manyes_barbeta-45860970759_997517/;Urbanizaciones Cumbres de Calicanto-Manyes-Barbeta (Torrent);4 habs.;3 baños;520 m²;Situada en la urbanización cumbres de calicanto, en la zona perteneciente al término municipal de torrente, se encuentra esta excl...;39.4311554;-0.5932205;;valencia
