precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
142.000 €;;/comprar/piso-zorrotza48013-43345282213_100200/;Zorrotza (Distrito Basurtu-Zorrotza. Bilbao);3 habs.;71 m²;¡Increíble oportunidad de adquirir este maravilloso piso ubicado en una de las mejores zonas de zorroza! Con 3 habitaciones, 1 sal...;43.2756644;-2.9738;;;vizcaya_bizkaia
A consultar;Ático en calle Kalea Gaztañatxu,  S/N;/comprar/atico-derio_centro_urbano-4589740115_109700/;Derio;3 habs.;89 m²;Sukia04132 - ático a - ático en un inmueble de obra nueva de 89 m² de superficie construida y situado en la zona de logroño. Está ...;43.3004;-2.88458;5 baños;;vizcaya_bizkaia
320.000 €;;/comprar/piso-mamariga_la_sardinera-39261817111_102200/;Mamariga-La Sardinera (Santurtzi);4 habs.;123 m²;Este encantador piso en la codiciada calle itsasalde de santurtzi ofrece una oportunidad excepcional para vivir cerca del mar en u...;43.3316763;-3.0349222;2 baños;1ª planta;vizcaya_bizkaia
95.000 €;;/comprar/piso-arrigorriaga_centro_urbano-43380110496_100200/;Arrigorriaga;2 habs.;52 m²;"La peña.
¡No dejes escapar esta oportunidad única de adquirir tu nuevo hogar en la encantadora zona de santa isabel (la peña)!

Pr...";43.2427559;-2.9175856;1 baño;4ª planta;vizcaya_bizkaia
380.000 €;;/comprar/casa_adosada-gordexola_centro_urbano-43349726165_100500/;Gordexola;4 habs.;200 m²;"Adosados con jardin de nueva construccion en gordexola.

Se distribuyen de la siguiente manera:

Planta sotano donde se encuentra ...";43.187191162;-3.056266451;3 baños;;vizcaya_bizkaia
330.000 €;;/comprar/piso-ugao_miraballes_centro_urbano-42575039953_100500/;Ugao-Miraballes;4 habs.;115 m²;"Se vende en exclusiva piso en torre de ugao kalea en ugao-miraballes 
Vivienda muy céntrica junto a la plaza del ayuntamiento-herr...";43.1805911;-2.9023622;2 baños;2ª planta;vizcaya_bizkaia
205.000 €;;/comprar/piso-leioa_centro_urbano-45056622510_101800/;Leioa;3 habs.;70 m²;Inmobiliaria jose luis núñez pone en venta en el centro de leioa y cerca del metro piso con buena orientación, exterior con calefa...;43.3226156;-2.9872131;1 baño;;vizcaya_bizkaia
525.000 €;;/comprar/piso-areeta48930-45026716563_109300/;Areeta (Getxo);3 habs.;110 m²;"Piso de 95m² en el centro de las arenas. 
La vivienda dispone de hall, salón, cocina con tendedero y despensa, salón, tres habitac...";43.327888419;-3.012026606;2 baños;;vizcaya_bizkaia
250.000 €;;/comprar/piso-zamudio_centro_urbano-41684320594_500479/;Zamudio;2 habs.;68 m²;"Bm inmuebles,  vende bonito piso exterior de 2 habitaciones, 1 baño, con ascensor
Y garaje, la vivienda se encuentra en el centro ...";43.283613;-2.8626162;1 baño;2ª planta;vizcaya_bizkaia
345.000 €;;/comprar/piso-bagatza_beurko_desertu48901-41731898103_102200/;Lasesarre (Barakaldo);2 habs.;92 m²;"Seminuevo en urban, 2 habitaciones y 2 baños, con garaje directo y trastero. Terraza con maravillosas vistas.

¡¡¡ Exclusiva !!! P...";43.3019592;-2.984154;2 baños;8ª planta;vizcaya_bizkaia
220.000 €;Piso en Alameda Serralta S/N;/comprar/piso-lutxana_llano48903-44213330864_109700/;Lutxana-Llano (Barakaldo);2 habs.;103 m²;Piso en un edificio de obra nueva de 103 m² de superficie construida y ubicado en la zona de barakaldo. Está distribuido en 2 habi...;43.289076;-2.980251;2 baños;;vizcaya_bizkaia
