precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
270.000 €;;/comprar/piso-santurtzi_las_vinas-98395383230_102200/;Las Viñas (Santurtzi);3 habs.;2 baños;88 m²;3ª planta;Piso en venta en zona de las viñas de santurtzi. Tiene una superficie construida aproximada de 88 m² y consta de 3 habitaciones, s...;43.3286319;-3.0410427;vizcaya_bizkaia
152.000 €;;/comprar/piso-errepelega48920-40850687917_102200/;Errepelega (Portugalete);2 habs.;1 baño;70 m²;1ª planta;Exclusiva compartida.  zona metro zubeldia. Con ascensora cota 0 y para entrar a vivir. Hall, sala, 2 habitaciones amplias, cocina...;43.3180595;-3.0182237;vizcaya_bizkaia
310.000 €;;/comprar/piso-rontegui_pormetxeta48902-45007165296_102200/;Rontegui-Pormetxeta (Barakaldo);3 habs.;2 baños;89 m²;3ª planta;"Vivienda en pleno centro de barakaldo de 85 m² lista  para entrar a vivir 

Situado junto a la boca de metro , comercios , colegio...";43.2947617;-2.9881795;vizcaya_bizkaia
266.000 €;;/comprar/piso-arteagabeitia_retuerto_kareaga48902-45875610183_109100/;Arteagabeitia-Retuerto-Kareaga (Barakaldo);2 habs.;1 baño;65 m²;2ª planta;Donpiso pone a la venta piso de construcción joven situado en arteagabeitia , junto a grandes zonas verdes. Cuenta con 65 metros q...;43.2933642;-2.9927394;vizcaya_bizkaia
275.000 €;;/comprar/piso-santurtzi_las_vinas-17525718775_102200/;Las Viñas (Santurtzi);3 habs.;2 baños;100 m²;7ª planta;"Piso en venta en zona céntrica de santurtzi; los ""pisos verdes"". Tiene una superficie construida aproximada de 100 m² y consta de ...";43.3278241;-3.0358199;vizcaya_bizkaia
A consultar;Piso en calle de la Autonomía, 9;/comprar/piso-centro_arizgoiti-3958094185_109700/;Centro-Arizgoiti (Basauri);3 habs.;2 baños;97 m²;4ª planta;P1 4º-6º a. Piso en un inmueble de obra nueva de 97 m² de superficie construida y situado en la zona de basauri, acomodado en plan...;43.2366;-2.88866;vizcaya_bizkaia
335.000 €;;/comprar/piso-portugalete_centro-41718025645_102200/;Centro (Portugalete);3 habs.;2 baños;98 m²;2ª planta;;43.3187835;-3.0230867;vizcaya_bizkaia
115.000 €;;/comprar/apartamento-kabiezes-37574381817_102200/;Kabiezes (Santurtzi);1 hab.;1 baño;43 m²;;Este es un hermoso apartamento tipo piso que se encuentra en buen estado de conservación y cuenta con amplios espacios para tu com...;43.3224843;-3.0388056;vizcaya_bizkaia
300.000 €;;/comprar/casa_rustica-san_martin_de_arteaga_zamudio-82546773441_500479/;San Martín de Arteaga (Zamudio);5 habs.;2 baños;350 m²;;Bm inmobiliaria vende, finca rústica para reforma integral, con 2.900 m² de terreno en un entorno natural,  a 2 minutos de la esta...;43.292739;-2.8576613;vizcaya_bizkaia
535.000 €;;/comprar/chalet-gamiz_fika_centro_urbano-40893130552_101800/;Gamiz-Fika;5 habs.;3 baños;286 m²;;"En venta vivienda unifamiliar con muy buena ubicación y vistas.
Con una superficie construida de 286 m², distribuida en:
Planta se...";43.32649612;-2.815608298;vizcaya_bizkaia
149.900 €;;/comprar/piso-abando_ensanche48005-22520560182_500479/;Abando Ensanche (Distrito Abando. Bilbao);2 habs.;1 baño;55 m²;2ª planta;"Bm inmuebles, vende piso en segunda planta de 2 habitaciones, 1 baño, salita
Y cocina equipada, instalación sanitaria nueva, con b...";43.25639724955686;-2.922740642105593;vizcaya_bizkaia
320.000 €;;/comprar/piso-mamariga_la_sardinera-39261817111_102200/;Mamariga-La Sardinera (Santurtzi);4 habs.;2 baños;123 m²;1ª planta;Este encantador piso en la codiciada calle itsasalde de santurtzi ofrece una oportunidad excepcional para vivir cerca del mar en u...;43.3316763;-3.0349222;vizcaya_bizkaia
165.000 €;;/comprar/piso-portugalete_centro_urbano-75040124206_102200/;Centro (Portugalete);2 habs.;1 baño;55 m²;1ª planta;Piso en venta 55 m², 2 habitaciones, sala de estar, equipada - comedor, completo. Interior. Buen estado.;43.3228408;-3.0231262;vizcaya_bizkaia
314.300 €;;/comprar/piso-mungia_centro_urbano-44244978955_109700/;Mungia;2 habs.;2 baños;73 m²;;Piso en una finca de obra nueva de 73 m² de superficie construida y emplazado en la zona de mungia. Está dispuesto en 2 habitacion...;43.3559714;-2.848914;vizcaya_bizkaia
205.000 €;;/comprar/piso-leioa_centro_urbano-45056622510_101800/;Leioa;3 habs.;1 baño;70 m²;;Inmobiliaria jose luis núñez pone en venta en el centro de leioa y cerca del metro piso con buena orientación, exterior con calefa...;43.3226156;-2.9872131;vizcaya_bizkaia
298.500 €;;/comprar/piso-txurdinaga48004-45919210010_100200/;Txurdinaga (Distrito Otxarkoaga-Txurdinaga. Bilbao);3 habs.;2 baños;92 m²;3ª planta;"Piso en venta en el centro de txurdinaga.

Esta vivienda de 92 m² destaca por su luminosidad gracias a ser completamente exterior ...";43.2575092;-2.9055209;vizcaya_bizkaia
589.000 €;;/comprar/piso-indautxu48011-43400370022_100500/;Indautxu (Bilbao);7 habs.;2 baños;136 m²;1ª planta;"Piso en zona campuzano, calles máximo aguirre y rodríguez arias, exterior y de 136 m² que se distribuyen actualmente:
-7 estancias...";43.2628163;-2.9408585;vizcaya_bizkaia
118.000 €;;/comprar/piso-uretamendi-43409841442_100200/;Uretamendi (Distrito Errekalde. Bilbao);3 habs.;1 baño;74 m²;;"Uretamendi
Se vende piso completamente exterior, muy luminoso y amplio en el barrio de uretamendi muy cerca del ascensor municipal...";43.2488296;-2.9491009;vizcaya_bizkaia
