precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
130.000 €;;/comprar/piso-otxarkoaga-44229351473_100200/;Otxarkoaga (Distrito Otxarkoaga-Txurdinaga. Bilbao);3 habs.;1 baño;52 m²;"Se vende piso completamente exterior y muy luminoso en langaran.

La vivienda cuenta con una superficie de 56m² según catastro, es...";43.2583597;-2.9247649;;vizcaya_bizkaia
149.900 €;;/comprar/piso-abando_ensanche48005-22520560182_500479/;Abando Ensanche (Distrito Abando. Bilbao);2 habs.;1 baño;55 m²;"Bm inmuebles, vende piso en segunda planta de 2 habitaciones, 1 baño, salita
Y cocina equipada, instalación sanitaria nueva, con b...";43.25639724955686;-2.922740642105593;2ª planta;vizcaya_bizkaia
213.000 €;;/comprar/piso-santutxu48004-31723256914_101800/;Santutxu (Distrito Begoña-Santutxu. Bilbao);3 habs.;1 baño;68 m²;Exclusiva inmobiliaria santutxu. Vendemos vivienda en el centro de santutxu, totalmente reformado y listo para entrar a vivir, con...;43.2543868;-2.9167692;1ª planta;vizcaya_bizkaia
165.000 €;;/comprar/piso-portugalete_centro_urbano-75040124206_102200/;Centro (Portugalete);2 habs.;1 baño;55 m²;Piso en venta 55 m², 2 habitaciones, sala de estar, equipada - comedor, completo. Interior. Buen estado.;43.3228408;-3.0231262;1ª planta;vizcaya_bizkaia
725.000 €;Chalet en Avenida Txikia;/comprar/chalet-leioa_centro_urbano-24210397148_100500/;Leioa;5 habs.;4 baños;300 m²;Chalet individual en artaza en la zona del parque. Edificio especial con techos altos y con mucha luz. Orientacion suroeste. Parce...;43.3297;-2.99838;;vizcaya_bizkaia
320.000 €;;/comprar/piso-mamariga_la_sardinera-39261817111_102200/;Mamariga-La Sardinera (Santurtzi);4 habs.;2 baños;123 m²;Este encantador piso en la codiciada calle itsasalde de santurtzi ofrece una oportunidad excepcional para vivir cerca del mar en u...;43.3316763;-3.0349222;1ª planta;vizcaya_bizkaia
587.000 €;;/comprar/piso-doneperiaga_deustuibarra_san_pedro_la_ribera48014-45879683290_109700/;Doneperiaga-Deustuibarra San Pedro-La Ribera (Distrito Deustu. Bilbao);3 habs.;2 baños;89 m²;Piso en una finca de obra nueva de 89 m² de superficie construida y emplazado en la zona de bilbao. Está dispuesto en 3 habitacion...;43.2664807;-2.9561158;;vizcaya_bizkaia
340.000 €;;/comprar/piso-gernika_lumo_centro_urbano-45885179153_109300/;Gernika-Lumo;4 habs.;1 baño;130 m²;En pleno centro de gernika se vende amplio piso totalmente reformado. La vivienda dispone de 130 m² construidos de los que 100 m² ...;43.3136946;-2.6773418;1ª planta;vizcaya_bizkaia
180.000 €;;/comprar/piso-kabiezes-39178325473_102200/;Kabiezes (Santurtzi);2 habs.;1 baño;76 m²;"Encantador piso en el corazón de kabiezes, santurtzi - ¡Listo para vivir!

Descubre la oportunidad de vivir en un luminoso y acoge...";43.3218907;-3.0346231;3ª planta;vizcaya_bizkaia
380.000 €;;/comprar/casa_adosada-gordexola_centro_urbano-43349726165_100500/;Gordexola;4 habs.;3 baños;200 m²;"Adosados con jardin de nueva construccion en gordexola.

Se distribuyen de la siguiente manera:

Planta sotano donde se encuentra ...";43.187191162;-3.056266451;;vizcaya_bizkaia
270.000 €;;/comprar/piso-santurtzi_las_vinas-98395383230_102200/;Las Viñas (Santurtzi);3 habs.;2 baños;88 m²;Piso en venta en zona de las viñas de santurtzi. Tiene una superficie construida aproximada de 88 m² y consta de 3 habitaciones, s...;43.3286319;-3.0410427;3ª planta;vizcaya_bizkaia
