precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
1.195€;Stupendous studio in Sant Pere, Santa Caterina i la Ribiera;https://rd.clk.thribee.com/id.1B14114B1OkR/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.1/;08003, Provincia de Barcelona;1  habitaciones;1  baños;-;IMPORTANTE: Esse proprietário pode solicitar documentação como recibos de pagamento, declarações comprovando solvência econômica, documento de id...;Hace 17 h 1 minuto;Rentola;Barcelona
945€;Piso en alquiler en Sabadell, Eixample;https://rd.clk.thribee.com/id.o1k1PD1g1W1ag/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.1/;08203, Sabadell, Provincia de Barcelona;4 habitaciones;2 baños;95 m²;SUBERNA Gestió Immobiliària, ALQUILA piso de xx m² en Eixample a un paso de Centro de Sabadell, rodeado de servicios tales como autobuses, estaci...;Hace 3 días;Todopisos;Barcelona
1.300€;Atico Duplex en alquiler en Vilassar de Mar, Casco Antiguo;https://rd.clk.thribee.com/id.BO1e1E1_1I1z1N/origin.1/section.232/section_type.2/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.2/;08340, Vilassar de Mar, Provincia de Barcelona;3 habitaciones;2 baños;76 m²;Piso de temporada solo disponible del 15 de septiembre al 15 de junio~piso de 65.22m2 útiles + 22.3m2 terraza distribuidos en: Planta 0: Recibido...;Hace 3 días;Todopisos;Barcelona
1.895€;Delightful 2-bedroom flat in La Nova Esquerra de l'Eixample;https://rd.clk.thribee.com/id.v91Gh1T1lwb/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.2/;08015, Provincia de Barcelona;2  habitaciones;2  baños;-;IMPORTANTE: Esse proprietário pode solicitar documentação como recibos de pagamento, declarações comprovando solvência econômica, documento de id...;Hace 17 h 1 minuto;Rentola;Barcelona
1.895€;Piso C/ Muntaner Barcelona 08019;https://rd.clk.thribee.com/id.14MhUiLhz/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.3/;08036, Provincia de Barcelona;3  habitaciones;2  baños;120  m²;...si reservas antes del 31 de julio. Y además, ¡sin comisiones de agencia! Piso de 121 m² en alquiler de 3 dormitorios situado en Barcelona...;Hace 17 h 1 minuto;Rentola;Barcelona
747€;Single room in shared apartment in Barcelona;https://rd.clk.thribee.com/id.ea21I4IN13/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.4/;08006, Provincia de Barcelona;3  habitaciones;3  baños;-;...railway stops. Enjoy your stay in one of the most exclusive neighborhoods in Barcelona, with all the necessary amenities for a great experience...;Hace 17 h 1 minuto;Rentola;Barcelona
450€;Snug single bedroom in a 4-bedroom flat, near the lovely Mirador del Poble Sec;https://rd.clk.thribee.com/id.1bgG1P1y1A1Q1I/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.5/;08004, Provincia de Barcelona;4  habitaciones;1  baños;-;Si está buscando un lugar acogedor para quedarse en la Barcelona cultural, asegúrese de visitar este acogedor apartamento cerca de la estación...;Hace 17 h 2 minutos;Rentola;Barcelona
1.395€;Modern 1-bedroom apartment in Sant Antoni;https://rd.clk.thribee.com/id.1y171w1tDK1G7/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.6/;08011, Provincia de Barcelona;1  habitaciones;1  baños;-;IMPORTANTE: Esse proprietário pode solicitar documentação como recibos de pagamento, declarações comprovando solvência econômica, documento de id...;Hace 17 h 2 minutos;Rentola;Barcelona
1.795€;Great 3-bedroom apartment in La Maternitat i Sant Ramon;https://rd.clk.thribee.com/id.Y1J1sHp1IEM/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.7/;08028, Provincia de Barcelona;3  habitaciones;2  baños;-;IMPORTANTE: Esse proprietário pode solicitar documentação como recibos de pagamento, declarações comprovando solvência econômica, documento de id...;Hace 17 h 2 minutos;Rentola;Barcelona
760€;Charming double bedroom near Verdaguer metro station;https://rd.clk.thribee.com/id.k1uSe141h1RN/origin.1/section.97/section_type.1/country.es/vertical.homes/iuid.39953trovit-web-85d48c649-kk2s86697da44d541e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.Barcelona/type.2/page.48/cookieid.1020015016697da44d4ff29.16786182/pos.8/;08009, Provincia de Barcelona;6  habitaciones;2  baños;-;Landlord will ask for ONLY HALF of the admin fee in bookings with stay ONLY in July and August. Price of the rent will vary from September onward...;Hace 17 h 2 minutos;Rentola;Barcelona
