precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
1.357€;Spacious stone house in Potes Cantabria;https://rd.clk.thribee.com/id.1L4vC1P1ctJ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.1/;39570, Camaleño, Provincia de Cantabria;2  habitaciones;1  baños;78  m²;The location of the house allows some privacy and relaxation without forgetting the communication with the historic center of the town of Potes w...;Hace 17 días;Rentola;Cantabria
1.100€;Piso completo de 2 dormitorios en Cantabria;https://rd.clk.thribee.com/id.1Xk1g1lwh1WF/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.2/;39619, Valdáliga, Provincia de Cantabria;2  habitaciones;1  baños;45  m²;DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...;Hace 17 días;Rentola;Cantabria
750€;Great Two Bedroom Apartment close to University of Cantabria;https://rd.clk.thribee.com/id.1e8SM15h1C1p/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.3/;39005, Santander, Provincia de Cantabria;2  habitaciones;1  baños;-;Rental period for this listing is between 3. 24 months...;Hace 17 días;Rentola;Cantabria
600€;Estudio en Cantabria;https://rd.clk.thribee.com/id.1i1T6e4u1Lq/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.4/;39792, Santander, Provincia de Cantabria;1  habitaciones;1  baños;40  m²;DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...;Hace 17 días;Rentola;Cantabria
1.767€;Alterhome - Cozy apartment in Cantabria;https://rd.clk.thribee.com/id.1T1t51T1oi1P1Y/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.5/;39310, Miengo, Provincia de Cantabria;4  habitaciones;1  baños;60  m²;This accommodation in Mogro is the perfect place to stay during your vacation. With two bedrooms and capacity for four people, the apartment is s...;Hace 17 días;Rentola;Cantabria
450€;Comfortable single bedroom close to Universidad de Cantabria;https://rd.clk.thribee.com/id.1oV1b151UW1n1-/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.6/;39006, Santander, Provincia de Cantabria;3  habitaciones;1  baños;-;Rental period for this listing is between 3. 24 months...;Hace 9 días;Rentola;Cantabria
880€;Marvellous 3-bedroom apartment near Universidad de Cantabria;https://rd.clk.thribee.com/id.3Oc1zS1JHL/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.7/;39005, Santander, Provincia de Cantabria;3  habitaciones;1  baños;-;Estancia máxima de 9 meses. Edad máxima. 40 años Rental period for this listing is between 3. 24 months...;Hace 17 días;Rentola;Cantabria
1.050€;Modern 3-bedroom apartment near Universidad de Cantabria;https://rd.clk.thribee.com/id.aDmk1z1G61b/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.8/;39001, Santander, Provincia de Cantabria;3  habitaciones;2  baños;-;Rental period for this listing is between 3. 24 months...;Hace 17 días;Rentola;Cantabria
1.000€;Piso completo de 1 dormitorio en Cantabria;https://rd.clk.thribee.com/id.v1A1QlB1z1H1X/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.9/;39619, Valdáliga, Provincia de Cantabria;1  habitaciones;1  baños;45  m²;DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...;Hace 17 días;Rentola;Cantabria
750€;Piso completo de 1 dormitorio en Cantabria;https://rd.clk.thribee.com/id.1za1_1u1_11a1i/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.7243trovit-web-7f7dc96976-l4r6p66870337b8df3/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.1/cookieid.102010466870337a45738.49718711/pos.10/;39792, Santander, Provincia de Cantabria;1  habitaciones;1  baños;40  m²;DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...;Hace 17 días;Rentola;Cantabria
