sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;precio;CCAA
Piso en alquiler en Isla, -playa;https://rd.clk.thribee.com/id.1HmRHDN1z12/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.1/;39195, Isla Playa, Arnuero, Provincia de Cantabria;3  habitaciones;2  baños;90  m²;En Isla, a 300 metros de la Playa y rodeado de todos los servicios como supermercado, carnicería, pescadería, restaurantes. Encontramos este ampl...;Hace +30 días;Todopisos;;Cantabria
Piso en alquiler en Santander, Cazoña-Albericia-Alisal;https://rd.clk.thribee.com/id.1Oy1i1q1Eg-q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.2/;39011, Cazoña, Santander, Provincia de Cantabria;3  habitaciones;2  baños;80  m²;Temporada estudiantes de septiembre a junio de 2024. Mies de Rial alquila estupendo piso muy cerca del Alisal, frente al Complejo Deportivo, un p...;Hace 7 días;Todopisos;750€;Cantabria
Alquiler por Habitaciones en Vivienda Unifamiliar compartida. Estancias temporales;https://rd.clk.thribee.com/id.AeM1u1CB1S1z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.3/;Santander, Provincia de Cantabria;5  habitaciones;3  baños;171  m²;A por Habitaciones en Vivienda Unifamiliar compartida. Estancias temporales. No para fijo. A de habitaciones sencillas y dobles en fabuloso chale...;Hace +30 días;Solocasa;495€;Cantabria
Piso en alquiler en Santander, Centro-Puertochico;https://rd.clk.thribee.com/id.1Lu1p1a1T1H1aA/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.4/;39003, Centro, Santander, Provincia de Cantabria;-;1  baños;35  m²;¡Bienvenido a tu refugio moderno en el corazón de Santander con este fantástico Loft en la codiciada zona del Paseo Pereda! ~Con sus 35m2 perfect...;Hace +30 días;Todopisos;500€;Cantabria
3 dormitorio, Santander 39012 1ES67742-;https://rd.clk.thribee.com/id.1N8I01Dy1C6/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.5/;39012, Santander, Provincia de Cantabria;3  habitaciones;3  baños;-;TRV67742---. Piso completo de 3 habitaciones en Santander...;Hace 19 días;Listanza;2.100€;Cantabria
Piso en alquiler en Santander;https://rd.clk.thribee.com/id.1Rn1Yq91MLi/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.6/;39011, Santander, Provincia de Cantabria;3  habitaciones;2  baños;110  m²;Se alquila piso en zona residencial de la S20, urbanización con piscina y zonas verdes, alquiler de septiembre a junio, totalmente amueblado, dis...;Hace +30 días;Todopisos;950€;Cantabria
Piso en alquiler en Santander, Centro-Puertochico;https://rd.clk.thribee.com/id.1SLsn1I1vPJ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.7/;39003, Centro, Santander, Provincia de Cantabria;5  habitaciones;3  baños;228  m²;¿Quién no ha deseado vivir en pleno centro de una bella y espléndida ciudad, con vistas a la Bahía de Santander? Rodeado de Arquitectura, Museos,...;Hace 3 días;Todopisos;2.000€;Cantabria
Piso en alquiler en Santander, Dávila-Castros;https://rd.clk.thribee.com/id.1T6nr1PW141-/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.8/;39005, Santander, Provincia de Cantabria;2  habitaciones;1  baños;71  m²;Piso para alquiler de temporada de verano. Situado a 15 minutos de las Playas de Santander y la zona del Sardinero, y a su vez, a a tan solo 15 m...;Hace +30 días;Todopisos;2.000€;Cantabria
Piso en alquiler en Santander, Centro;https://rd.clk.thribee.com/id.1RolP1sW1oB/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.9/;39010, Centro, Santander, Provincia de Cantabria;3  habitaciones;2  baños;120  m²;¡No pierdas la oportunidad de alquilar este maravilloso piso en pleno centro de Santander para disfrutar del verano! ~Con 3 habitaciones y 2 baño...;Hace 13 días;Todopisos;4.000€;Cantabria
Piso en alquiler en Santander, Dávila-Castros;https://rd.clk.thribee.com/id.11pd1W1tCkx/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.10/;39005, Santander, Provincia de Cantabria;3  habitaciones;2  baños;115  m²;Piso para estudiantes con calefacción central y agua caliente incluida en el precio, se alquila de septiembre a junio. Piso totalmente exterior,...;Hace 13 días;Todopisos;900€;Cantabria
