precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
2.400€;4 dormitorio, Granada 18010 1ES67028-;https://rd.clk.thribee.com/id.uO1a1msz114/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.1/;18010, Granada, Provincia de Granada;4  habitaciones;-;-;...casa se encuentra en Granada Granada 18010. Tiene 4 dormitorios. Esta 4 dormitorio apartamentos en Granada Granada es para alquilar por 2400...;Hace 10 días;Listanza;Granada
950€;1 dormitorio, Granada 18010 1ES76608-;https://rd.clk.thribee.com/id.wo1B81PR1M1j/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.2/;18010, Granada, Provincia de Granada;1  habitaciones;-;-;...Esta casa se encuentra en Granada Granada 18010. Tiene 1 dormitorio. Esta 1 dormitorio apartamentos en Granada Granada es para alquilar por 950...;Hace 10 días;Listanza;Granada
1.353€;Calle Boabdil, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1al1i1XPc1012/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.3/;18001, Provincia de Granada;1  habitaciones;1  baños;323  m²;Study (Available From) The area where the Líbere Granada Cathedral building is located is perfect for enjoying the wonders that this...;Hace 1 día;Rentola;Granada
850€;1 dormitorio, Granada 18010 1ES44503-;https://rd.clk.thribee.com/id.1nrn1xZ1RTk/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.4/;18010, Granada, Provincia de Granada;1  habitaciones;1  baños;-;...se encuentra en Granada Granada 18010. Tiene 1 dormitorio, 1 baño. Esta 1 dormitorio apartamentos en Granada Granada es para alquilar por 850...;Hace +30 días;Listanza;Granada
1.200€;1 dormitorio, Granada 18001 1ES52536-;https://rd.clk.thribee.com/id.1pg1N1311NUD/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.5/;18001, Granada, Provincia de Granada;1  habitaciones;-;-;...casa se encuentra en Granada Granada 18001. Tiene 1 dormitorio. Esta 1 dormitorio apartamentos en Granada Granada es para alquilar por 1200...;Hace +30 días;Listanza;Granada
805€;Granada 18009 1ES44502-;https://rd.clk.thribee.com/id.1SI1Yl1Tw1e1d/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.6/;18009, Granada, Provincia de Granada;-;1  baños;-;...se encuentra en Granada Granada 18009. Tiene 0 dormitorio, 1 baño. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 805...;Hace +30 días;Listanza;Granada
705€;Granada 18015 1ES67376-;https://rd.clk.thribee.com/id.1y1s1C1MmDwJ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.7/;18015, Granada, Provincia de Granada;-;-;-;...Esta casa se encuentra en Granada Granada 18015. Tiene 0 dormitorio. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 705...;Hace 10 días;Listanza;Granada
1.000€;3 dormitorio, Granada 18012 1ES67029-;https://rd.clk.thribee.com/id.1s2QVZ1Ao1O/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.8/;18012, Granada, Provincia de Granada;3  habitaciones;2  baños;-;...encuentra en Granada Granada 18012. Tiene 3 dormitorios, 2 baños. Esta 3 dormitorio apartamentos en Granada Granada es para alquilar por 1000...;Hace 10 días;Listanza;Granada
550€;Granada 18009 1ES63073-;https://rd.clk.thribee.com/id.1hPNn1Kn1UX/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.9/;18009, Granada, Provincia de Granada;-;-;-;...Esta casa se encuentra en Granada Granada 18009. Tiene 0 dormitorio. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 550...;Hace +30 días;Listanza;Granada
490€;Granada 18002 1ES55273-;https://rd.clk.thribee.com/id.1w1IF1a1K1A6G/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.243690trovit-web-7f7dc96976-h5kkr6687156a20c07/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.3/cookieid.10212056687156a2083c7.82366394/pos.10/;18002, Granada, Provincia de Granada;-;1  baños;-;...se encuentra en Granada Granada 18002. Tiene 0 dormitorio, 1 baño. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 490...;Hace 27 días;Listanza;Granada
