precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
4.055€;Piso de lujo de 165 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.13a1rj1q1h1Ns/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.1/;Comunidad de Madrid;5  habitaciones;3  baños;165  m²;...interiores modernos y una zona para trabajar a distancia, este apartamento de alquiler amueblado es el lugar perfecto para descubrir Madrid...;Hace +30 días;LuxuryEstate;Madrid
2.800€;Piso de alto standing de 97 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.191yTtm5191d/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.2/;28001, Comunidad de Madrid;-;2  baños;97  m²;...No pierda la oportunidad de vivir en una de las zonas más exclusivas de Madrid, en un entorno elegante y con todas las comodidades necesarias...;Hace 19 días;LuxuryEstate;Madrid
6.000€;Piso de alto standing de 221 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.1CPWL1t1G1X1P/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.3/;Comunidad de Madrid;4  habitaciones;3  baños;221  m²;...proporciona un confort inigualable, mientras que su ubicación envidiable te ofrece la posibilidad de disfrutar de los encantos de Madrid...;Hace +30 días;LuxuryEstate;Madrid
4.800€;Piso de alto standing de 146 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.1FnQ101R51R1I/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.4/;28004, Comunidad de Madrid;3  habitaciones;3  baños;146  m²;...Madrid. Contamos con tres oficinas de atención al público, una en CALLE AYALA 62, otra en CALLE SERRANO 81, y otra en CALLE VELÁZQUEZ 117, en...;Hace +30 días;LuxuryEstate;Madrid
2.800€;Exclusiva Villa en alquiler Casco histórico de Hortaleza, Chamartín, Comunidad de Madrid;https://rd.clk.thribee.com/id.1OO1NH18N1I/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.5/;Hortaleza, Madrid, Comunidad de Madrid;3  habitaciones;3  baños;172  m²;Ubicado en una zona privilegiada, este chalet independiente ideal para familias que buscan un hogar con todas las comodidades y los mejores acaba...;Hace 5 días;LuxuryEstate;Madrid
3.200€;Piso exclusivo de 98 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.1TF1sJ1fRcZ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.6/;Comunidad de Madrid;-;-;98  m²;...las salidas de la ciudad. Le invitamos a visitar nuestra página web, donde encontrará viviendas únicas. Propiedad presentada por BARNES MADRID...;Hace 8 h 42 minutos;LuxuryEstate;Madrid
2.600€;Piso de alto standing en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.1U4V1rf1c1g1e/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.7/;Comunidad de Madrid;4  habitaciones;3  baños;172  m²;Disponibilidad inmediata para contratos de temporada. En una de las mejores zonas de Madrid, en la calle Orense, se sitúa este piso de 170m²...;Hace 18 días;LuxuryEstate;Madrid
6.500€;Atico de lujo de 182 m2 en alquiler Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.1V1z71K1EY15u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.8/;Comunidad de Madrid;2  habitaciones;2  baños;182  m²;...amueblado con dos terrazas y vista panorámica a la Gran Via una verdadera joya en términos de lujo, comodidad y ubicación privilegiada en Madrid...;Hace 29 días;LuxuryEstate;Madrid
2.700€;Piso de alto standing en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.HUVK1r7vE/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.9/;Comunidad de Madrid;1  habitaciones;1  baños;100  m²;...cotizadas de la capital, se encuentra esta vivienda de 100m2 reformada. Situada en Calle Carranza, una de las zonas con más encanto de Madrid...;Hace 28 días;LuxuryEstate;Madrid
2.800€;Piso exclusivo de 100 m2 en alquiler en Madrid, Comunidad de Madrid;https://rd.clk.thribee.com/id.I1vz31dzo1u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.71894trovit-web-7f7dc96976-zdwfj668708c1563b2/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.comunidad%20madrid/type.2/page.2/cookieid.1020120668708c1457a72.46760420/pos.10/;Comunidad de Madrid;-;2  baños;100  m²;BARNES Madrid presenta este exclusivo piso de lujo de 100 metros cuadrados, completamente amueblado con una habitación con cama de 180, baño...;Hace 29 días;LuxuryEstate;Madrid
