precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
620.000€;Piso de lujo de 85 m2 en venta en Camí Vell del Far, 03581 L'Albir, Alicante, Alfaz del Pi, Provincia de Alicante, Valencia;https://rd.clk.thribee.com/id.1cxX1N1v1Z1Q3/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.1/;03580, L'Alfàs del Pi, Provincia de Alicante;-;2  baños;85  m²;La urbanización Delfin Natura se encuentra a 200m de la entrada al parque natural Sierra Helada, el primer parque marítimo-terrestre de la comuni...;Hace +30 días;LuxuryEstate;Alicante
1.335.000€;Vivienda de alto standing de 718 m2 en venta San Juan de Alicante, España;https://rd.clk.thribee.com/id.3s1Z1e1u1f1Z1R/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.2/;03550, Sant Joan d'Alacant, Provincia de Alicante;8  habitaciones;5  baños;718  m²;...CHALET EN LA FONT~Descubra esta magnífica residencia de 718 m2 8 habitaciones dobles y piscina propia. Este impresionante chalet de tres pisos...;Hace 21 días;LuxuryEstate;Alicante
3.300.000€;Villa / Chalet de lujo 1147 m2 en venta, San Juan de Alicante, Comunidad Valenciana;https://rd.clk.thribee.com/id.1p1-U1SG81M1M/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.3/;Sant Joan d'Alacant, Provincia de Alicante;9  habitaciones;9  baños;1.147  m²;Le presentamos la villa más exclusiva de Cabo de las Huertas, a pocos kilómetros del centro de la ciudad de Alicante. La vivienda se...;Hace +1 año;LuxuryEstate;Alicante
685.000€;Piso exclusivo en venta en Dehesa de Campoamor, Mil Palmeras, Comunidad Valenciana;https://rd.clk.thribee.com/id.9W1M1t1B1zk18/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.4/;Dehesa de Campoamor, Orihuela, Provincia de Alicante;3  habitaciones;3  baños;133  m²;¡Llave en mano! Tenemos el placer de presentar este excepcional y lujoso piso a estrenar en planta baja de 3 dormitorios y 3 baños situado en...;Hace +30 días;LuxuryEstate;Alicante
459.000€;Piso de lujo de 118 m2 en venta en Dehesa de Campoamor, Mil Palmeras, Comunidad Valenciana;https://rd.clk.thribee.com/id.1iCX1H1N1IaQ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.5/;Dehesa de Campoamor, Orihuela, Provincia de Alicante;3  habitaciones;2  baños;118  m²;Nueva promoción de pisos de lujo en venta en el exclusivo Las Colinas Golf Resort, en el sur de la Costa Blanca. Estos exclusivos pisos en...;Hace +30 días;LuxuryEstate;Alicante
425.000€;Piso de alto standing en venta en Dehesa de Campoamor, España;https://rd.clk.thribee.com/id.1E1A11gMK177/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.6/;Dehesa de Campoamor, Orihuela, Provincia de Alicante;2  habitaciones;2  baños;113  m²;Nueva promoción de pisos de lujo en venta en el exclusivo Las Colinas Golf Resort, en el sur de la Costa Blanca. Estos exclusivos pisos en...;Hace +30 días;LuxuryEstate;Alicante
395.000€;Piso, Ensanche-Diputación, Alicante / Alacant;https://rd.clk.thribee.com/id.1yHG171E181zm/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.7/;Diputación, Alicante, Provincia de Alicante;3  habitaciones;2  baños;120  m²;...Alicante. Cuenta con una superficie de 110 m2 útiles de vivienda con amplios espacios abiertos, completamente todo exterior, con 3...;Hace 11 días;Idealista;Alicante
410.000€;Piso exclusivo en venta en Santa Pola, España;https://rd.clk.thribee.com/id.1bZ1Hz4-5s/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.8/;Santa Pola, Provincia de Alicante;-;2  baños;106  m²;"...encuentra a 21 km. De Alicante, capital de provincia con excelentes infraestructuras y a 15 km. Del Aeropuerto internacional ""Elche-Alicante""...";Hace 5 días;LuxuryEstate;Alicante
;Piso de lujo de 154 m2 en venta en Santa Pola, España;https://rd.clk.thribee.com/id.GR1I1bUV1s1r/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.9/;Santa Pola, Provincia de Alicante;6  habitaciones;2  baños;154  m²;Oportunidad! Amplio apartamento de 154 m², vista al mar y puerto pesquero de Santa Pola (Alicante), gran terraza y orientación sur Situado en...;Hace +30 días;LuxuryEstate;Alicante
42.600€;Piso en C/ Cerdá Nº 7, Alicante;https://rd.clk.thribee.com/id.160R1yW1M01O/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.26033trovit-web-86bb757b58-qv4nc66817efe2d149/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20alicante/type.1/page.1/cookieid.102010466817efe140755.51582303/pos.10/;03009, Alicante, Provincia de Alicante;3  habitaciones;1  baños;85  m²;...sólo para inversores. El activo se encuentra ocupado. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso...;Hace +30 días;solvia;Alicante
