precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
1.175.000€;Piso de lujo de 133 m2 en La Dreta de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1E1vZ1y1mo1Z1n/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.1/;08008, Provincia de Barcelona;3  habitaciones;3  baños;133  m²;Savills presenta un exclusivo Piso a estrenar en el Corazon de Barcelona. Ubicado en una de las zonas mas codiciadas de Barcelona, este...;Hace +30 días;LuxuryEstate;Barcelona
720.000€;Piso exclusivo de 90 m2 en venta en La Sagrada Familia, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1wc1B1QA9152/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.2/;08008, Provincia de Barcelona;3  habitaciones;2  baños;90  m²;...Ven y descubre tu proximo hogar, donde la historia y la modernidad se encuentran para brindarte una experiencia de vida unica en Barcelona...;Hace 12 días;LuxuryEstate;Barcelona
3.600.000€;Piso exclusivo de 123 m2 en venta en Passeig de Gràcia, 111, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1R1v0JJ1h19v/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.3/;08008, Provincia de Barcelona;2  habitaciones;2  baños;123  m²;...salón biblioteca Conserjería y seguridad 24 horas, valet parking Acceso privilegiado a los servicios del hotel Mandarin Oriental Barcelona...;Hace 17 días;LuxuryEstate;Barcelona
729.000€;Piso de lujo de 112 m2 en venta en Calle del Comte d'Urgell 52-54, 08011 Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.18M1p1A1L1F1fk/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.4/;Provincia de Barcelona;4  habitaciones;2  baños;112  m²;...que los espera a ustedes. No pierdan la oportunidad de ser los dueños de esta joya, su nuevo hogar. ¡Bienvenidos a su paraíso en Barcelona!...;Hace +30 días;LuxuryEstate;Barcelona
790.000€;Piso de alto standing de 118 m2 en La Dreta de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1BIUwp1g_C/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.5/;Provincia de Barcelona;3  habitaciones;-;118  m²;...de Barcelona. ¡No pierdas la oportunidad de transformar este piso en tu hogar ideal! Contacte con Savills si queire organizar una visita...;Hace +30 días;LuxuryEstate;Barcelona
3.000.000€;Piso de alto standing en venta en La Dreta de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.ut1T1b1_1X1Dn/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.6/;Provincia de Barcelona;4  habitaciones;4  baños;254  m²;Te presentamos este espectacular piso ubicado en una exclusiva promocion de obra nueva en el corazon de Barcelona. Este inmueble ofrece un...;Hace +30 días;LuxuryEstate;Barcelona
640.000€;Piso de lujo en venta en L'Antiga Esquerra de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1q11Z1L7n81h/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.7/;Provincia de Barcelona;2  habitaciones;2  baños;90  m²;Savills presenta este luminoso y reformado piso en Gran Via de les Corts Catalanes, donde la elegancia y el estilo de vida excepcional se...;Hace +30 días;LuxuryEstate;Barcelona
550.000€;Piso exclusivo de 80 m2 en venta en L'Antiga Esquerra de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1E1LO81l1f1GA/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.8/;08022, Provincia de Barcelona;3  habitaciones;2  baños;80  m²;Piso reformado en venta en l'Antiga Esquerra de l'Eixample de 80m2 con 3 habitaciones y 2 banos, en una finde recien restaurada de la Calle...;Hace 2 días;LuxuryEstate;Barcelona
1.700.000€;Piso de lujo de 280 m2 en venta en Rambla de Catalunya, 122, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1F141W1FT12G1A/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.9/;Provincia de Barcelona;-;3  baños;280  m²;¡Increíble oportunidad de adquirir un piso impecable y recién reformado en la prestigiosa Rambla Catalunya de Barcelona! Este inmueble se...;Hace +30 días;LuxuryEstate;Barcelona
849.000€;Piso de alto standing en venta en L'Antiga Esquerra de l'Eixample, Barcelona, Provincia de Barcelona, Cataluña;https://rd.clk.thribee.com/id.1W1QPb1d1kFz/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.27411trovit-web-86bb757b58-qdrf2668174e6c5f28/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.1/cookieid.1021205668174e6a224b4.52295481/pos.10/;Provincia de Barcelona;4  habitaciones;2  baños;156  m²;¡Bienvenido al corazon del exclusivo Cuadrat d'Or de Barcelona! Savills presenta este impresionante piso, ubicado en la prestigiosa calle...;Hace +30 días;LuxuryEstate;Barcelona
